pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1	0.24991684006221265	-1.452961103571554	1.0	16.56	['ELOVL6', 'HADHA', 'ELOVL5', 'PECR', 'ACOX1', 'ACAA1', 'HSD17B12', 'FADS1', 'HACD2']
KEGG_VIBRIO_CHOLERAE_INFECTION	1	0.24327490417330636	1.6269989038450472	1.0	60.43	['ATP6V1F', 'PRKX', 'ATP6AP1', 'PRKCA', 'ACTG1', 'ATP6V0B', 'ARF1', 'ATP6V0A2', 'KCNQ1', 'SEC61A2', 'PLCG2', 'ATP6V1A', 'ATP6V1E2', 'ATP6V1D', 'SEC61A1', 'PLCG1', 'ACTB', 'ATP6V0D1', 'ATP6V1G2', 'PDIA4', 'ATP6V1G1', 'ATP6V0C', 'ADCY3', 'KDELR1', 'ATP6V0A4', 'SEC61B', 'ATP6V1C2', 'ATP6V1B2', 'KDELR3', 'ATP6V0A1', 'ATP6V1H', 'TCIRG1', 'ATP6V1B1', 'PRKACB', 'ATP6V1C1', 'PRKCB', 'ATP6V0E2', 'KDELR2', 'ERO1A']
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.22735942450516564	-1.479467254986406	1.0	33.38	['NFKB1', 'SHC3', 'PTPN11', 'CBL', 'GAB2', 'ARAF', 'CDKN1A', 'ABL1', 'TGFBR2', 'AKT3', 'CBLB', 'RUNX1', 'PIK3R5', 'PIK3R1', 'BRAF', 'CHUK', 'STAT5A', 'SMAD4', 'BCR', 'CDKN1B', 'MAP2K1', 'AKT2', 'SOS1', 'RB1', 'HDAC1', 'CRKL', 'PIK3CA', 'RAF1', 'SOS2', 'KRAS', 'IKBKG', 'STAT5B', 'MECOM', 'CRK', 'PIK3CB']
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.21768117202240703	-1.4952852994374473	1.0	24.67	['STON1', 'GTF2H1', 'TAF1L', 'TAF9B', 'GTF2I', 'TAF13', 'TBPL1', 'TAF1', 'GTF2E2', 'GTF2H3', 'TBP', 'GTF2A2', 'GTF2B', 'GTF2A1', 'TAF5']
KEGG_MAPK_SIGNALING_PATHWAY	1	0.21272040505132941	-1.5061526178388607	1.0	18.2	['NFKB1', 'IL1B', 'PDGFRB', 'CD14', 'PPP3R1', 'TGFBR2', 'RASA2', 'HSPA8', 'GNA12', 'MAPK8', 'MAPK10', 'CACNA2D3', 'MKNK2', 'PPM1A', 'PPP3CC', 'RAPGEF2', 'MAP3K4', 'MAP4K3', 'MAP3K14', 'RASGRP2', 'CACNA2D1', 'MAPK14', 'MAP3K20', 'TNFRSF1A', 'CHP1', 'FGF13', 'CHUK', 'MAP3K2', 'RASGRP3', 'RAP1A', 'PPP3CB', 'MRAS', 'RAP1B', 'RASGRF2', 'MAP2K1', 'CACNB1', 'MAPK9', 'AKT2', 'TAOK2', 'SOS1', 'RRAS2', 'MKNK1', 'TAOK1', 'FGF2', 'MEF2C', 'MAP3K5', 'RPS6KA2', 'RAF1', 'SOS2', 'MAP4K4', 'PRKACA', 'RASGRP4', 'ATF2', 'PPM1B', 'MAP2K5', 'MECOM', 'IL1R2', 'NF1', 'CRK', 'DUSP3', 'PLA2G4A']
KEGG_LINOLEIC_ACID_METABOLISM	1	0.211767764084832	1.719649433876683	1.0	55.92	['PLA2G2A', 'PLA2G4B', 'CYP2J2', 'PLA2G3', 'PLA2G2D', 'AKR1B10', 'ALOX15', 'PLA2G6', 'PLA2G12A', 'PLA2G10', 'PLA2G5', 'CYP2C8', 'CYP2E1', 'JMJD7-PLA2G4B']
KEGG_GLUTATHIONE_METABOLISM	1	0.21126735288628565	1.8706644572839322	1.0	62.09	['GSTZ1', 'GPX3', 'GGT6', 'TXNDC12', 'GSTT2', 'G6PD', 'GGT1', 'GPX1', 'GSTP1', 'ODC1', 'GSTO1', 'GSR', 'GSTA2', 'GGT5', 'MGST2', 'MGST1', 'GSTM2', 'OPLAH', 'GGT7', 'GSTM3', 'RRM2', 'GSTO2', 'GPX7', 'GSS', 'GPX4', 'GSTM1', 'GGCT', 'ANPEP', 'GSTK1', 'SMS', 'GSTM5', 'IDH2', 'GPX2', 'GCLM', 'GSTA4', 'RRM2B', 'SRM', 'GSTA3', 'GSTA1']
KEGG_AXON_GUIDANCE	1	0.18639691631853225	1.806970659007417	1.0	22.17	['CFL1', 'SEMA4A', 'UNC5B', 'SRGAP1', 'SEMA7A', 'EFNA1', 'SEMA4B', 'SEMA3F', 'SEMA5A', 'EPHA4', 'EPHA7', 'EFNA3', 'SEMA4G', 'SEMA3D', 'EFNA4', 'ROBO3', 'NTN4', 'RAC2', 'NCK2', 'EPHA2', 'NFATC4', 'PTK2', 'PLXNA3', 'PLXNC1', 'PLXNB2', 'EPHB3', 'PAK1', 'NGEF', 'NTN1', 'EFNB3', 'PLXNA1', 'PAK5', 'EPHB1', 'PLXNB3', 'SEMA4C', 'PAK4', 'SEMA3C', 'LIMK1', 'EFNB2', 'CXCR4', 'EPHA1', 'EFNA5', 'PAK6']
KEGG_REGULATION_OF_AUTOPHAGY	1	0.1778714677645136	-1.5506185397224495	1.0	65.96	['ATG4B', 'BECN1', 'ATG3', 'ATG5', 'ULK1', 'GABARAP', 'ULK2', 'PRKAA1', 'ATG4D', 'ATG4A', 'IFNG', 'GABARAPL1', 'ATG12', 'ATG4C', 'PIK3R4', 'PRKAA2', 'PIK3C3', 'GABARAPL2', 'ATG7']
KEGG_PRIMARY_IMMUNODEFICIENCY	1	0.17421346741892413	1.85737865483991	1.0	23.1	['ZAP70', 'UNG', 'RFXANK', 'TAP2', 'CD3E', 'IL2RG', 'BLNK', 'CD3D', 'IL7R', 'JAK3', 'LCK', 'ICOS', 'TAP1', 'CD8A', 'CD79A']
KEGG_COLORECTAL_CANCER	1	0.17379204637167422	-1.5620806251442998	1.0	33.12	['MLH1', 'ARAF', 'TGFBR2', 'AKT3', 'MAPK8', 'APC', 'MAPK10', 'CTNNB1', 'CASP9', 'PIK3R5', 'MSH6', 'RHOA', 'APPL1', 'PIK3R1', 'MSH2', 'BRAF', 'CYCS', 'GSK3B', 'SMAD4', 'SMAD2', 'MAP2K1', 'MAPK9', 'AKT2', 'AXIN2', 'PIK3CA', 'RAF1', 'CASP3', 'KRAS', 'MSH3', 'PIK3CB']
KEGG_ENDOMETRIAL_CANCER	1	0.17094324684204845	-1.5714036385361003	1.0	7.88	['PIK3CA', 'PTEN', 'RAF1', 'ARAF', 'CTNNB1', 'PIK3R5', 'MLH1', 'SOS2', 'MAP2K1', 'AKT2', 'APC', 'ILK', 'SOS1']
KEGG_LYSINE_DEGRADATION	1	0.1706633858388508	-1.5842108919861255	1.0	14.53	['ALDH9A1', 'HADH', 'EHHADH', 'ACAT1', 'HADHA', 'PLOD2', 'NSD1', 'AASS', 'TMLHE', 'OGDH', 'DLST', 'SETD7', 'SETD2', 'AASDH', 'ALDH3A2']
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1	0.1667803144194837	-1.5832208062266064	1.0	48.25	['ALDH9A1', 'ACSS2', 'PKM', 'LDHB', 'ALDH3A2', 'GAPDH', 'ADH1B', 'DLD', 'ADH1A', 'PGK1', 'PGAM4', 'PCK1', 'ENO3', 'ALDH7A1', 'PDHA1', 'HK1', 'HK2', 'GPI', 'ADH1C', 'HK3', 'TPI1', 'PGM1', 'PGM2', 'LDHA', 'ADH5', 'PGAM1', 'PFKM', 'GALM', 'PCK2', 'PDHB', 'PGAM2', 'DLAT', 'ALDH1B1']
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1	0.15598755329686895	1.805762136566429	1.0	18.79	['B3GNT4', 'B3GNT3', 'FUT9', 'B4GALT1', 'FUT2', 'FUT3', 'B4GALT3', 'ST8SIA1', 'ABO', 'FUT6', 'B3GALT5', 'FUT5']
