pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_DOPAMINE_TRANSPORT	1	0.24992976072609538	1.5380617541014665	1.0	21.26	{'PINK1;DRD2;SYT11;PARK7;CHRNB2;CNR1;CHRNA6;SYT7;MAPK15;GABBR1;RAB3B;CXCL12;SYT12'}
GOBP_POSITIVE_REGULATION_OF_GLUTAMATE_SECRETION	1	0.24987233606101714	1.53827579690687	1.0	30.47	{'STXBP1;ADORA2A;KMO;GABBR1;DTNBP1;RAB3GAP1'}
GOBP_DEVELOPMENTAL_CELL_GROWTH	1	0.24985281817996874	1.5379536223986374	1.0	52.53	{'PPP3CB;RTN4;PPARA;ITGB1;LPAR3;SEMA4A;WASF1;DDR1;RASAL1;SEMA3C;NRP1;TTL;DBNL;PRKCZ;ST8SIA2;SPAG9;ARIH2;CTTN;SEMA4G;GOLGA4;TGFBR2;IGF1;SEMA4D;MUL1;CTNNB1;SEMA3F;SLIT3;ITSN2;USP9X;EIF4G2;SEMA3D;C9orf72;SOX9;LAMB2;RNF157;EPHA7;SEMA4C;GDI1;HSP90AB1;SMAD7;SEMA6B;NIN;SEMA4B;BCL11A;AKAP6;CPNE1;BMPR2;NRP2;CXCL12;LIMK1;EDN1;SMURF1;RYK;PLXNA4;FN1;FSTL4;PAFAH1B1;NLGN3;CPNE5;PLXNA3;TRIM46;MEGF8;AGT;RAB11A;PLAA;HSP90AA1;DRAXIN;CXCR4;VEGFA;EFNA5;PAK6;SPAG6;SLIT2;SEMA5A;DIP2B;MACF1;SYT1;RUFY3;TRPV2;NTN1;FGF13;VCL;SEMA3A;GSK3B;PLXNA1;DCLK1;SPG11;RGS4;ALCAM;SLC23A2;RGS2;OLFM1;SEMA7A;PTPRS;AUTS2;AKAP13;WNT3;CDKL3;ZFYVE27;SEMA6C;ADNP;SEMA3B;TMEM108;RAB21;EDN3;NGF;ARHGAP4;DNM2;CDKL5;CRABP2;RIMS2;MAP2;MEX3C;CYFIP1;ULK2;SORBS2;NEDD4L;L1CAM;PARP2;TWF2'}
GOBP_REGULATION_OF_NEURAL_PRECURSOR_CELL_PROLIFERATION	1	0.24984285573589146	1.5375824004464929	1.0	37.14	{'ELL3;SPINT2;LRRK2;SPINT1;SOX10;DRD2;RHOA;ADGRG1;PTPRZ1;TOX;FOXO1;CTNNB1;PTN;ILK;KDM1A;FGF2;DISP3;SMO;LRP2;PTBP2;CX3CL1;EGF;FOXO3;INSM1;MDK;GNAI2;PROX1;NF1;CDH2;VEGFA;FZD3;GLI3;HIF1A;CTNNA1;RASSF10;LYN'}
GOBP_POSITIVE_REGULATION_OF_HYPERSENSITIVITY	1	0.24971308119486568	1.53787817686199	1.0	45.75	{'ZP3;C3;BTK;CCR7;HLA-E'}
GOBP_REGULATION_OF_T_CELL_EXTRAVASATION	1	0.2495217697474968	1.538747013696679	1.0	26.51	{'CD99L2;RIPK3;FADD;IL27RA'}
GOBP_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	1	0.24888210434748737	1.5396746776458206	1.0	61.46	{'ZEB2;CDH3;GATA3;OPN3;TYRP1;PARK7;RAPGEF2;MFSD12;MC1R;PAH;KL;INSM1;APPL1;SLC7A11;GPR37;PMEL;VPS35;CITED1;TPH1;SNCA;ATP7A;TGFB2;MOXD1;GCH1;PNMT;GIPC1;HAND2;WNT5A;SLC24A5;DDT'}
GOBP_EPITHELIAL_CELL_MORPHOGENESIS	1	0.2486794078067298	1.5396692587353422	1.0	34.72	{'SPINT2;RAB25;POF1B;CCDC88C;HEG1;ROCK1;COL22A1;BCL11B;ST14;NOTCH4;SIPA1L3;GRHL2;AR;COL15A1;FAT1;PALLD;FLNB'}
GOBP_POSITIVE_REGULATION_OF_CELLULAR_AMIDE_METABOLIC_PROCESS	1	0.24803877344451325	1.5409517651746938	1.0	33.09	{'SAMD4A;RPUSD4;CSDE1;FXR1;RPS4X;PICALM;YBX3;METTL5;PINK1;TOB1;CTIF;ROCK2;CD28;RHOA;RMND1;FXR2;RELA;RCC1L;EFNA1;PTAFR;UQCC2;EIF4A3;EIF4G1;JMJD4;MTOR;PABPC1;NAT10;KRT17;EIF4G2;NCK1;ERBB2;CNBP;EIF3C;EIF3D;DHX36;CCL5;DDX3X;HABP4;FASTKD2;EIF3E;MRPS27;KHDRBS1;POLR2D;POLR2G;PRKCD;RPL26;IFNGR1;LARP4;USP16;EIF2B5;PRR16;C1QBP;CPEB3;PLD1;SPHK2;FASTKD3;YTHDF2;SP1;MPV17L2;PYM1;CLU;DHX9;EPHA4'}
GOBP_BRAINSTEM_DEVELOPMENT	1	0.24794026400680877	1.5408632768234836	1.0	33.76	{'SMAD4;NLGN4X;ATF2;ATIC;GART'}
GOBP_POSITIVE_REGULATION_OF_T_HELPER_1_TYPE_IMMUNE_RESPONSE	1	0.24791715920801508	1.5407004488932896	1.0	40.28	{'IL1B;RIPK2;XCL1;IL18R1;SLC11A1;ARID5A;IL27RA;PLA2G4A;SLAMF1;IL18;IL23A'}
GOBP_REGULATION_OF_PHOSPHOPROTEIN_PHOSPHATASE_ACTIVITY	1	0.24789666777791763	1.5423366533813285	1.0	15.57	{'CRY2;NUAK1;GNA12;CALM1;ROCK2;DRD2;CD33;FKBP1A;JAK2;RGN;MTOR;PPP1R11;HSP90B1;ROCK1;PPP1R12A;RCAN1;HSP90AB1;STYXL1'}
