pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_NEURAL_CREST_CELL_MIGRATION	1	0.24973131024736414	1.5993830457031526	1.0	67.94	{'SEMA4A;SEMA6A;SOX10;SEMA3F;SEMA3C;SEMA5A;SEMA3E;SEMA4B;HIF1A;ERBB4;OVOL2;FOLR1;SMO;SEMA3D;SEMA4C;KITLG;SEMA4G;SEMA6D;BMP7;RADIL;EDN1;SEMA7A;SOX8;EDNRA;EDN3;LAMA5;SEMA4F;TBX1;SEMA3G;EFNB1;NRTN;SEMA5B;TWIST1;ENG;EDNRB;RET;SEMA6C;SEMA3A;SEMA3B;HAND2;FN1;HTR2B;BMP4;NRP2;CORO1C'}
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	1	0.2497253872914388	1.5987337209690444	1.0	27.97	{'SGSM1;PTK2B;GARNL3;RABGAP1L;TBC1D30;CCDC125;ARHGAP25;PIP5K1A;RASGRP1;ECT2;GMIP;RAP1GAP2;TBC1D9;NEDD9;SIPA1L3;TBC1D10C;SGSM2;SIPA1L2;TBC1D10B;TBC1D7;BCAS3;GRTP1;TBC1D2;NGEF;NTF3;RANGAP1;ARHGEF5;RUNDC1;TBC1D3I;SIPA1;TBC1D3;TBC1D3H;RASGRF1;EPHA1;TBC1D10A;SGSM3;TBC1D3L;RAP1GAP;TBC1D3K;TBC1D3C;SYDE2;CCR7;ARHGAP45'}
GOBP_NEGATIVE_REGULATION_OF_LENS_FIBER_CELL_DIFFERENTIATION	1	0.24962594030909008	1.5975501175068931	1.0	42.09	{'SPRED2;SPRED3;SPRED1;SPRY2;SPRY1'}
GOBP_LIPID_DROPLET_FORMATION	1	0.24953988276838313	1.5985576130390429	1.0	23.27	{'SQLE;BSCL2;RNF213;CDS2;SMIM22;AUP1;CDS1'}
GOBP_TRNA_METHYLATION	1	0.2494623859499042	-1.450230634432766	1.0	28.52	{'MTO1;NSUN2;TRMT11;TYW3;THADA;TRMT10B;METTL8;TRMT61B;THUMPD2;THUMPD3;NSUN3;TRMO;TRMT13;METTL2B;TRMT6;TRDMT1;TRMT5;TRMT2B;TRMT1L'}
GOBP_CELLULAR_RESPONSE_TO_ESTROGEN_STIMULUS	1	0.2494238563077494	1.60000342554432	1.0	19.13	{'SFRP1;AR;RARA;BCAS3;PELP1;TRIM24;ESR1;ARID5A'}
GOBP_PROTEIN_LOCALIZATION_TO_NUCLEAR_BODY	1	0.2494021044480519	1.5983610188995738	1.0	28.81	{'CCT3;CCT2;TCP1;CCT8;WRAP53;CCT5;MEPCE;CCT7'}
GOBP_CHROMOSOME_LOCALIZATION_TO_NUCLEAR_ENVELOPE_INVOLVED_IN_HOMOLOGOUS_CHROMOSOME_SEGREGATION	1	0.24935667397653427	-1.4505201896195197	1.0	7.67	{'MLH1;ATM;UBE2B'}
GOBP_NEGATIVE_REGULATION_OF_AXON_EXTENSION_INVOLVED_IN_AXON_GUIDANCE	1	0.249089057853113	1.5982688174315856	1.0	20.86	{'SEMA4A;SEMA6A;SEMA3F;SEMA3C;SEMA5A;SEMA3E;SEMA4B;SEMA3D;SEMA4C;PLXNA3;SEMA4G;SEMA6D'}
GOBP_DNA_CYTOSINE_DEAMINATION	1	0.24900301585240503	1.601093040781236	1.0	17.87	{'APOBEC3F;APOBEC3D;APOBEC3G;APOBEC3C;APOBEC3H'}
