pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_HISTONE_H3_K36_DEMETHYLATION	1	0.24987097120576088	-1.5263886870646686	1.0	19.38	['KDM8', 'KDM2B', 'KDM4C', 'KDM4A', 'PHF8', 'KDM2A']
GOBP_ACTIN_FILAMENT_POLYMERIZATION	1	0.2497086821155396	-1.5263050731762569	1.0	60.57	['MTOR', 'CCL11', 'ARPC1A', 'WASHC2C', 'ALOX15', 'FER', 'PFN2', 'ARHGAP6', 'LATS1', 'DIAPH1', 'FLII', 'FCHSD2', 'TMOD1', 'ANG', 'PFN1', 'GBA2', 'CORO7', 'SPTAN1', 'ARPC2', 'BIN1', 'BAIAP2L2', 'CCR7', 'MTPN', 'ARPC1B', 'TTC17', 'ARHGAP18', 'CAPZA2', 'COTL1', 'PRKCD', 'TWF1', 'SPTB', 'VILL', 'FHOD3', 'TMSB4X', 'BBS4', 'ELN', 'MICALL2', 'KANK4', 'MIR214', 'CCL21', 'KANK3', 'RICTOR', 'HCK', 'RDX', 'SNX9', 'DBNL', 'CDC42EP5', 'CCL26', 'ADD2', 'CDC42EP4', 'MSRB2', 'ABL1', 'HAX1', 'CCL24', 'CDC42EP2', 'WASL', 'ARHGAP28', 'GAS7', 'DBN1', 'LMOD1', 'AVIL', 'SPTBN1', 'RHOA', 'GSN', 'SPTBN4', 'PFN4', 'RASA1', 'MYADM', 'SSH1', 'SSH2', 'SCIN', 'TMOD3', 'PSTPIP2', 'PSTPIP1', 'ADD1', 'CORO1A', 'SPTBN5', 'JAK2', 'FAM107A', 'HCLS1', 'TMOD4', 'CATIP', 'NCKAP1', 'WASF3', 'TMSB10', 'DLG1', 'MKKS', 'DMTN', 'EPS8', 'SLIT2', 'NCKAP1L', 'MSRB1', 'C15orf62', 'TWF2', 'DAAM2', 'MLST8', 'CYFIP2', 'ARPC5', 'ARPC4', 'KANK1', 'ESAM', 'NCK1', 'CAPZA1', 'SVIL', 'CYFIP1', 'VIL1', 'AIF1']
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_IMPORT	1	0.2493705517665708	-1.5275358459056234	1.0	54.21	['UCN', 'ATP2A1', 'CASK', 'SPHK2', 'PDGFRB', 'CXCL12', 'RAMP3', 'P2RX1', 'TRPV2', 'LGALS3', 'PDGFB', 'CCL2', 'CCL3']
GOBP_MODULATION_BY_HOST_OF_SYMBIONT_PROCESS	1	0.24818621085642523	-1.528828517788657	1.0	30.71	['PTX3', 'TARDBP', 'EP300', 'CSF1R', 'VAPA', 'HSPA8', 'TMEM41B', 'PC', 'FMR1', 'CX3CR1', 'ZNF502', 'CCL3', 'ZNF639', 'REST', 'CCNT1', 'EIF2AK4', 'NAPEPLD', 'YTHDC2', 'RRP1B', 'SP1', 'STOM', 'HDAC1', 'TBC1D20', 'INPP5K', 'FBXL2', 'CAV2', 'CHD1', 'IGF2R']
GOBP_METANEPHRIC_NEPHRON_MORPHOGENESIS	1	0.24781149580119982	1.837387524756248	1.0	62.08	['PDGFRB', 'PAX8', 'SIX2', 'FMN1', 'LGR4', 'LIF', 'PAX2', 'PKD1', 'WT1', 'WNT4', 'SMO', 'PKD2', 'SOX9', 'KIF26B', 'HES1', 'BMP4', 'SALL1', 'STAT1', 'SOX8', 'GREM1']
GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR	1	0.247678172163767	1.836394243176391	1.0	48.34	['RPL37', 'SPRED1', 'RPL26', 'CDK5RAP3', 'SPRED2', 'RPS20', 'HEXIM1', 'PMAIP1', 'RPS7', 'EIF5A', 'MYC', 'RPS15', 'HIC1', 'ANKRD1', 'ZNF385A', 'EEF1E1', 'PML', 'RPL23', 'DDX5', 'PYHIN1', 'PLA2R1']
GOBP_OLEFINIC_COMPOUND_METABOLIC_PROCESS	1	0.24751409717921538	1.8433476414724297	1.0	75.98	['SCP2', 'ALOX15', 'FAAH', 'GSTP1', 'CYP4F12', 'SCNN1B', 'ELOVL1', 'DGAT1', 'RDH10', 'AKR1B1', 'EPHX2', 'CYP11A1', 'FADS1', 'RDH5', 'CYP2D7', 'ADH1C', 'BMP5', 'DKKL1', 'BMP2', 'ELOVL3', 'PTGS2', 'LRAT', 'PTGES2', 'CYP27C1', 'PLB1', 'DAGLA', 'CYP2C8', 'ALOX12', 'DHRS9', 'LIPE', 'PTGIS', 'PTGES3', 'GRIN1', 'EDNRB', 'ADH1A', 'CACNA1H', 'SDR16C5', 'AKR1C2', 'PNPLA2', 'CLCN2', 'EGR1', 'RDH16', 'CYP2A6', 'WNT4', 'CYP2G1P', 'DGAT2', 'CYP2S1', 'PTGDS', 'PNPLA8', 'AKR1C3', 'AFP', 'PLA2G4A', 'DGKQ', 'PNPLA4', 'CYP4Z1', 'ABHD12', 'CYP4F11', 'GPX1', 'ALDH1A2', 'CYP2E1', 'FADS2', 'ADH1B', 'CYP2B6', 'GSTM2', 'DHRS4L1', 'ABCD1', 'DAB2', 'ALDH1A1', 'AKR1C1', 'DHRS4', 'ELOVL5', 'ALOX15B', 'CBR1', 'DHRS7', 'ALDH1A3', 'AKR1B15', 'HSD11B2', 'ALDH8A1', 'ADM', 'CYP2J2', 'FAAH2', 'RDH13', 'RDH11', 'DHRS4L2', 'RDH14', 'PLA2G4B', 'PLA2G10', 'CYP1B1', 'ELOVL2', 'DKK3', 'HSD17B1', 'AKR1B10', 'CYP4F3', 'RBP4', 'GPX4', 'DAGLB', 'STARD3', 'MGLL', 'DHRS13', 'PTGS1', 'DHRS3', 'ALOXE3', 'EPHX1', 'CYP2D6', 'BMP6', 'CYP2U1', 'ABCA4', 'GSTA1']
GOBP_SMAD_PROTEIN_COMPLEX_ASSEMBLY	1	0.24740949749772312	-1.529709007479977	1.0	34.07	['PMEPA1', 'SMAD1', 'SMAD6', 'SMAD4', 'FKBP1A', 'SMAD2', 'EID2', 'TBX20', 'PPM1A']
GOBP_REGULATION_OF_MUSCLE_HYPERTROPHY	1	0.24672931637359313	-1.530554145600166	1.0	41.86	['ERRFI1', 'MTPN', 'ROCK2', 'MIR21', 'PPARA', 'JARID2', 'ATP2B4', 'MIR25', 'MEF2A', 'TWF1', 'TNFRSF1A', 'HAND2', 'PI16', 'ROCK1', 'GSK3A', 'IGF1', 'IL6ST', 'SMAD4', 'IGFBP5', 'AGT', 'PPARG', 'NOTCH1', 'TOMM70', 'MIR214', 'GLRX3', 'AKAP6', 'FOXO1', 'CTDP1', 'TNFRSF1B', 'LMCD1', 'NR4A3']
GOBP_CELL_MORPHOGENESIS	1	0.24660434304650483	-1.5317153954548877	1.0	43.33	['CDC42', 'WASHC2C', 'DTNBP1', 'NEO1', 'SPRY3', 'NOVA2', 'CASP9', 'USP9X', 'SPAG9', 'FOXD1', 'ZDHHC17', 'LLPH', 'DAG1', 'GOLGA4', 'ITGB1BP1', 'SLIT3', 'ZNF335', 'RPS6KA5', 'SHOX2', 'SNX2', 'RP2', 'LAMA2', 'BRWD3', 'CRKL', 'SLC25A46', 'ARPC2', 'FN1', 'CRK', 'FEZ1', 'CXCL12', 'STXBP1', 'PAK2', 'EEF2K', 'PRMT3', 'NRP2', 'STK11', 'RAP2A', 'ARMCX5-GPRASP2', 'YTHDF2', 'MED1', 'FMNL2', 'MAP1A', 'OLFM1', 'SDC2', 'COCH', 'HECW2', 'CDH23', 'SKIL', 'VAMP3', 'ARHGEF7', 'RTN4', 'VEGFA', 'TOP2B', 'CAPRIN2', 'DOCK10', 'STAU2', 'TBC1D20', 'FGG', 'ATL1', 'ZMYM3', 'CLIC4', 'VLDLR', 'EPB42', 'PTPN11', 'MSX1', 'FGD4', 'PTPRO', 'TRIO', 'GAS7', 'BVES', 'WDPCP', 'ITGB3', 'LIMS1', 'KDR', 'SPAST', 'FMNL1', 'CDHR3', 'TAL1', 'TESK1', 'PPP3CB', 'SEMA3A', 'NOTCH1', 'NEXN', 'SEMA4D', 'PTPRM', 'EPB41L3', 'BTBD3', 'BRWD1', 'AGO4', 'RYK', 'DCLK1', 'SIDT2', 'NOTCH4', 'SGK1', 'RNF6', 'NPTN', 'MEF2A', 'DLG1', 'RAB1A', 'DLC1', 'CCL3', 'TIAM2', 'TWF2', 'NUMB', 'EPB41', 'KANK1', 'MAP1B', 'MYO9A', 'RHOBTB1', 'SEC24B', 'SS18L2', 'CYFIP1', 'WNT5A', 'KALRN', 'TSKU', 'RET', 'PDLIM5', 'GORASP1', 'VIL1', 'FZD3', 'RBFOX2', 'FZD4', 'FER', 'SIN3A', 'PREX2', 'CAMSAP1', 'TYRO3', 'RHOBTB3', 'FGF13', 'ACTR2', 'EPHA3', 'MUL1', 'RAB10', 'DCHS1', 'AFG3L2', 'PLXNA2', 'GNA13', 'ROBO2', 'SH3KBP1', 'DIP2A', 'FGD5', 'MEF2C', 'FGD6', 'ATP7A', 'PHACTR1', 'RHOG', 'SPP1', 'BCL9L', 'IQGAP1', 'UBB', 'NCAM1', 'BSG', 'HOXA2', 'ARHGAP18', 'MIR21', 'TMEM106B', 'FBLN1', 'RAPGEF2', 'CTNNB1', 'RNF157', 'ATRNL1', 'AKIP1', 'DHX36', 'PRKCQ', 'MAP2K1', 'PALM', 'SYNE3', 'SPG11', 'ANK3', 'DKK1', 'CDC42SE2', 'ABL1', 'CREB1', 'ILK', 'FRYL', 'EMB', 'STRIP2', 'PIK3R1', 'SPTBN4', 'PTEN', 'SEMA3B', 'COL15A1', 'SYNGAP1', 'PICALM', 'ALS2', 'SSH1', 'SMURF1', 'DNM3', 'HAS2', 'TPM1', 'PAFAH1B1', 'STK25', 'RREB1', 'NEK3', 'NCKAP1', 'HEXB', 'ROBO1', 'SPARC', 'PLEKHO1', 'FBXO31', 'SMAD4', 'PHIP', 'RB1', 'LLGL1', 'NEDD4', 'SS18', 'FRY', 'ROBO4', 'PALLD', 'LATS1', 'CDKL3', 'MYO7A', 'ATRN', 'DIAPH1', 'FBXO45', 'SH3D19', 'LAMC1', 'MKLN1', 'FMNL3', 'BMPR2', 'PRPF40A', 'CNTNAP2', 'DICER1', 'TAOK1', 'SNX1', 'NOX4', 'MSN', 'NRCAM', 'ENPP2', 'USP33', 'DOCK5', 'FERMT2', 'S100B', 'GSK3B', 'LRRK2', 'LPAR1', 'YAP1', 'TNIK', 'ZNF365', 'RHOF', 'ITGB1', 'ITGAV', 'SEMA6C', 'ABI1', 'DBNL', 'GAP43', 'CSF1R', 'CCL24', 'ITGA4', 'FES', 'APBB1', 'RCC2', 'EMX1', 'SCN1B', 'ZMYM6', 'AMIGO1', 'ISLR2', 'ZRANB1', 'PALMD', 'FGR', 'LIMD1', 'ARHGAP15', 'KIF5B', 'RHOBTB2', 'TBCCD1', 'CDH5', 'NDEL1', 'HDAC6', 'BLOC1S6', 'ARPIN', 'ARHGEF18', 'WEE1', 'AP3B1', 'MYH14', 'CAMK2B', 'CDH6', 'DIXDC1', 'WASF2', 'SHROOM4', 'P2RY1', 'PLPPR4', 'MBP', 'ATP10A', 'LIMS2', 'DIP2B', 'SLC1A3', 'SCFD1', 'CDKL5', 'SPRY4', 'RILPL1', 'ULK2', 'DMTN', 'SLIT2', 'YWHAH', 'CYFIP2', 'FGB', 'AXL', 'CNTNAP1', 'UBE3A', 'RUFY3', 'PLXND1', 'ARHGEF26', 'EXT1', 'LIPA', 'ASXL1', 'B4GALT6', 'FGD2', 'RND1', 'LAMB1', 'SZT2', 'BIN3', 'RAB21', 'SHROOM3', 'SRGAP2', 'ROCK1', 'VCL', 'CUL3', 'TRPV2', 'PARVB', 'ITGA7', 'RERE', 'ITGA8', 'DNM2', 'CASP3', 'CSPG5', 'MYH10', 'FEZ2', 'SIPA1L1', 'RAPH1', 'FRMD6', 'ADNP', 'MAPK14', 'PRKDC', 'FYN', 'TIAM1', 'PAX2', 'ARL13B', 'IMPACT', 'CAP2', 'CUX1', 'ST6GAL1', 'SART3', 'HGF', 'ITSN2', 'VHL', 'MAP4K4', 'NTNG1', 'RDX', 'SHANK3', 'DOCK7', 'STRIP1', 'LARP4', 'WASL', 'MYCBP2', 'RHOA', 'DAB2', 'SLC11A2', 'PTPRS', 'ABI2', 'PARVA', 'C9orf72', 'EIF2AK4', 'BCL6', 'EPHB2', 'NRP1', 'LPXN', 'TAOK2', 'RASA1', 'SOS1', 'TAOK3', 'NOTCH2', 'SEMA6B', 'RHOQ', 'EIF4G2', 'ZMYM4', 'ARHGEF2', 'WDR19', 'EP300', 'PLAA', 'GNA12', 'MEGF8', 'MACF1', 'LAMB2', 'WASF3', 'CORO1C', 'FLRT2', 'FITM2', 'STRADB', 'TEK', 'PLXNA4', 'NIN', 'PEAK1', 'EPS8', 'NCKAP1L', 'BHLHB9', 'C15orf62', 'STK4', 'ITGA1', 'ARAP1', 'KIDINS220', 'RIMS1', 'HEG1', 'MYO10', 'ANXA1', 'PTPRD', 'PDZD7', 'CASS4', 'NUMBL', 'TTL']
