pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_HISTONE_EXCHANGE	1	0.24990281741307985	1.39611885905217	1.0	7.0	['NASP', 'SRCAP', 'CENPP', 'RNF8', 'ITGB3BP', 'PSME4']
GOBP_NEGATIVE_REGULATION_OF_B_CELL_DIFFERENTIATION	1	0.24940213143109602	1.3967466472218957	1.0	37.47	['ID2', 'INHBA', 'INHA', 'HMGB3', 'SFRP1']
GOBP_RESPONSE_TO_AMINO_ACID_STARVATION	1	0.24879444130110326	1.3975672025693535	1.0	57.23	['MTOR', 'EIF2AK2', 'LARP1', 'FLCN', 'RRAGC', 'EIF2S1', 'MAPK8', 'MIOS', 'MAPK1', 'DAP', 'SZT2', 'WDR59', 'BECN1', 'BMT2', 'RRAGA', 'DEPDC5', 'SH3GLB1', 'IMPACT', 'ITFG2', 'SEH1L', 'KPTN', 'EIF2AK4', 'ATF3', 'SESN3', 'MAP3K5', 'EIF2AK3', 'WDR24', 'ATF2', 'RNF152', 'EIF2A', 'GCN1', 'FAS', 'SLC38A2', 'RRAGB', 'SESN1']
GOBP_NUCLEOTIDE_EXCISION_REPAIR_DNA_INCISION	1	0.24868204796371746	1.3975592520455036	1.0	28.87	['FAN1', 'ERCC5', 'ERCC3', 'OGG1', 'ERCC4', 'ERCC1']
GOBP_LATE_ENDOSOME_TO_GOLGI_TRANSPORT	1	0.2486737217161695	1.3977981746677555	1.0	50.85	['SGSM2', 'GCC2', 'SNX12', 'SNX3', 'RAB7B']
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	1	0.24819335452363386	1.398494901401817	1.0	10.13	['MATR3', 'RNF216', 'MR1', 'APOBEC3G', 'TRAF3IP1', 'IRF2', 'SIN3A', 'MAPKBP1', 'TRIM56', 'RAB27A', 'TMF1', 'CIITA', 'IL4R', 'AKAP8', 'TRIM14', 'ALPK1', 'NPLOC4', 'IRAK4', 'GATA3', 'STAT2', 'DROSHA', 'KLRG1', 'BNIP3L', 'MST1R', 'PIK3CD', 'ITGAM', 'DDX21', 'G3BP2', 'ADAR', 'RNASET2', 'TRIM5', 'TRIM34', 'SPN', 'N4BP1', 'IKBKE', 'IFNAR2', 'TUSC2', 'SRPK1', 'NLRX1', 'OTUD4', 'XRCC6', 'CYLD', 'ATG16L1', 'ILF3', 'VAV1', 'PLCG2', 'YTHDF2', 'MED1', 'PSPC1', 'DHX36', 'NOD1', 'PCBP2', 'G3BP1', 'SLFN13', 'ADAM17', 'VAMP3', 'TRIM29', 'RIOK3', 'CEACAM1', 'FOXP1', 'SYNCRIP', 'TTC4', 'RNF185', 'PTPN11', 'APOBEC3D', 'PTK2B', 'CLPB', 'POLR3A', 'RNF125', 'DHX9', 'USP15', 'ANKRD17', 'DDX3X', 'FGR', 'TRAF3', 'EIF2AK4', 'PTPN2', 'NUB1', 'OPTN', 'IL17RA', 'CASP6', 'MCOLN2', 'IFNGR2', 'DDX17', 'POLR3E', 'POLR3C', 'TRIM6', 'LSM14A', 'IFNLR1', 'ANKHD1', 'TRIM4', 'SETD2', 'ATG7', 'APOBEC3F', 'BIRC2', 'IL1B', 'TRIM68', 'BCL10', 'NLRC4', 'XIAP', 'BECN1', 'NCBP3', 'MAP3K14', 'MX1', 'PUM2', 'MOV10', 'NLRP3', 'SFPQ', 'TRIM39', 'ACTR3', 'XRCC5', 'IRF1', 'STXBP3', 'PUM1', 'STX8', 'NONO', 'MALT1', 'ERAP1', 'RNF19B', 'OTULIN', 'IKBKB', 'WNT5A', 'STAT5B']
GOBP_T_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	1	0.2481291658482832	1.3984411100371537	1.0	39.07	['MTOR', 'RIPK2', 'IL6R', 'SOCS5', 'PSEN1', 'SEMA4A', 'APBB1IP', 'STAT6', 'PRKCZ', 'RC3H2', 'STAT3', 'RARA', 'RAB27A', 'TP53', 'MYB', 'HAVCR2', 'RC3H1', 'CD46', 'LY9', 'IL4R', 'IL12RB1', 'NLRP3', 'NCKAP1L', 'GATA3', 'LEF1', 'EIF2AK4', 'LCP1', 'BCL6', 'LILRB1', 'JAK3', 'BATF', 'ITGAL', 'CRACR2A', 'MALT1', 'CD1C', 'ATP7A', 'CEACAM1', 'LGALS9', 'FOXP1', 'TSC1', 'IL23A', 'ENTPD7', 'SPN', 'IL18R1', 'NFKBID', 'FOXP3', 'TMEM98']
GOBP_CELL_CELL_JUNCTION_ASSEMBLY	1	0.24727075010975116	1.3994516270405044	1.0	19.49	['IL1B', 'DLG5', 'TLN1', 'ROCK2', 'CD9', 'CLDN11', 'CLDN12', 'PTPRO', 'APC', 'NPHP1', 'HIPK1', 'CTNND1', 'CTNNB1', 'PKN2', 'ILDR1', 'CTNNA1', 'GJB1', 'F11R', 'PKP2', 'TJP1', 'AFDN', 'GJC1', 'PKP4', 'ROCK1', 'OCLN', 'JAM3', 'HDAC7', 'CTNND2', 'CLDN7', 'PRKCH', 'TLN2', 'CLDN4', 'IKBKB', 'PRKACA', 'ANK2', 'ECT2', 'PATJ', 'PDCD6IP']
GOBP_SNO_S_RNA_METABOLIC_PROCESS	1	0.2470977025749389	1.3997244631109553	1.0	15.83	['LARP7', 'FBL', 'PARN', 'EXOSC10', 'EXOSC2', 'DKC1', 'EXOSC3']
GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1	0.24615247911121113	1.4007748223263228	1.0	42.3	['FHIT', 'MTM1', 'CCAR2', 'USP7', 'SDCBP', 'HFE', 'CAMLG', 'WAC', 'SMARCC1', 'SVIP', 'TAF9', 'PARK7', 'TLK2', 'TRIM39', 'OGT', 'HSP90AB1', 'N4BP1', 'STYX', 'UCHL5', 'RYBP']
GOBP_NEGATIVE_REGULATION_OF_WNT_SIGNALING_PATHWAY	1	0.24362302014632167	1.4034390845535574	1.0	17.29	['TPBG', 'HMGXB4', 'SLC9A3R1', 'RACK1', 'SOX10', 'NLK', 'SFRP1', 'DAB2IP', 'WWOX', 'CCDC88C', 'APC', 'PTPRO', 'CTNND1', 'CYLD', 'CTNNB1', 'SOX13', 'LATS1', 'RNF43', 'CHD8', 'CTNNBIP1', 'LIMD1', 'CSNK1A1L', 'GSK3A', 'CSNK1A1', 'MLLT3', 'IFT80', 'GPC3', 'G3BP1', 'NFATC1', 'ANKRD6', 'TMEM170B', 'UBAC2', 'ROR2', 'DKKL1', 'TLE3', 'HDAC1', 'VGLL4', 'FOXO3', 'WNT5A', 'SCYL2', 'NPHP3']
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	1	0.24300049963315107	1.4041658190148827	1.0	47.54	['STXBP2', 'CBL', 'ANXA3', 'GAB2', 'DOCK2', 'F2RL1', 'STXBP1', 'PRKCE', 'FES', 'FER', 'PRAM1', 'C12orf4', 'SNAP23', 'PYCARD', 'IL13RA2', 'PIK3CG', 'HAVCR2', 'PLCG2', 'UNC13D', 'LAT', 'LYN', 'IL4R', 'PTAFR', 'CX3CR1', 'ADGRE2', 'RABGEF1', 'FGR', 'SNX4', 'SNX6', 'SYK', 'MILR1', 'SPHK2', 'CCR2', 'PIK3CD', 'ITGAM', 'BCR', 'STXBP3', 'ENPP3', 'NMI', 'VAMP3', 'MYD88', 'SUCNR1', 'LAT2', 'VAMP8', 'TICAM1', 'KIT', 'LGALS9', 'BLK', 'PDPK1', 'BTK', 'RASGRP1']
GOBP_HISTAMINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE	1	0.24226652884676145	1.40514832705114	1.0	23.21	['VAMP8', 'SNAP23', 'LYN', 'VAMP3', 'SNX4', 'SNX6']
GOBP_HISTONE_H2A_K119_MONOUBIQUITINATION	1	0.24220821259666872	1.4051027484862217	1.0	46.59	['BMI1', 'PCGF5', 'RNF2', 'PCGF3', 'TRIM37', 'PCGF6', 'PCGF2']
