pathway	freq	padj	stability	overlap	genes
GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	1	1.6639824661921634e-12	1.0	0.10068493150684932	['PYCR1', 'SORD', 'FITM2', 'ETFA', 'SLC16A9', 'PAM', 'DHRS13', 'TAT', 'ETFDH', 'INPP5A', 'PDE4D', 'ADI1', 'SULT1A1', 'DLST', 'OGDH', 'GPLD1', 'ADH5', 'VNN2', 'ABHD6', 'PPTC7', 'ACAD11', 'GLUL', 'SULT2B1', 'PEX5', 'GLRX', 'MAN2A2', 'FBP1', 'ACAA2', 'TXN', 'AHCY', 'NANS', 'LBR', 'CAT', 'UGP2', 'APIP', 'DLD', 'NUDT10', 'FUT8', 'HADHB', 'OGG1', 'PPARA', 'RHOQ', 'LRAT', 'SORBS1', 'DHDDS', 'PDE8A', 'SLC1A3', 'ECHDC1', 'ALDH6A1', 'DLAT', 'ADCY6', 'IDI2', 'SDHA', 'PFKM', 'TPST2', 'AKT2', 'PRKAB2', 'ICMT', 'MFSD2A', 'ACOX1', 'ACER3', 'PRKAR2B', 'SQLE', 'HACD2', 'ADIPOR1', 'VKORC1L1', 'ATP2B4', 'MLYCD', 'CS', 'DKKL1', 'LRRK2', 'SHMT1', 'VLDLR', 'CYP4F22', 'INPP5K', 'TJP2', 'OXCT1', 'COQ10A', 'FAH', 'MCCC1', 'MPP1', 'SLC25A12', 'LPIN1', 'PINK1', 'PCCA', 'KAT2B', 'MDH1', 'ACACA', 'BTD', 'ATP6V1B1', 'CYP2E1', 'STAT5B', 'STAT5A', 'ABCA1', 'HMGCL', 'SLC52A1', 'TRIB3', 'PDK4', 'HACL1', 'ADCY2', 'AK3', 'PLA2G4C', 'HADHA', 'BCKDHB', 'ALOX5AP', 'ADAL', 'RRM2', 'IDH3A', 'QKI', 'UROS', 'MRPS36', 'ACSS2', 'ADIPOR2', 'PPARGC1A', 'ACACB', 'PECR', 'MSRA', 'TFF3', 'NDUFA9', 'PDHA1', 'GHR', 'HADH', 'HIBADH', 'QPRT', 'PIK3CA', 'UCP3', 'COQ5', 'SUCLG2', 'ABHD5', 'L2HGDH', 'PFKFB3', 'SDHB', 'TK2', 'SLC25A16', 'COQ3', 'ABHD2', 'CLN6', 'ACADM', 'SUCLA2', 'MTHFD1', 'PTEN', 'CPT1B', 'MECR', 'FA2H', 'SLC2A1', 'ACAT1', 'SULT1A3']
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	1	4.664555810982351e-12	1.0	0.18248175182481752	['BID', 'ETFA', 'SLC25A51', 'STK40', 'IDH3A', 'PHKA2', 'CISD1', 'CS', 'ETFDH', 'MRPS36', 'PPARGC1A', 'NFATC4', 'SLC25A33', 'GBE1', 'INPP5K', 'NDUFA9', 'SORBS1', 'MTFR1L', 'DLST', 'PYGL', 'GHITM', 'OGDH', 'PDHA1', 'PIK3CA', 'DLAT', 'COQ10A', 'NNT', 'SLC25A12', 'SUCLG2', 'SDHB', 'SDHA', 'UQCRC2', 'GYG1', 'NDUFS4', 'PINK1', 'LYRM7', 'AKT2', 'PFKM', 'COX10', 'MDH1', 'SUCLG1', 'NDUFB5', 'ACADM', 'SUCLA2', 'CAT', 'NDUFAF1', 'AGL', 'UGP2', 'DLD', 'NDUFS1']
GOBP_ORGANIC_ACID_METABOLIC_PROCESS	1	4.809253573089502e-11	1.0	0.11749680715197956	['PYCR1', 'ETFA', 'SLC16A9', 'PAM', 'TAT', 'ETFDH', 'ADI1', 'SULT1A1', 'DLST', 'OGDH', 'ADH5', 'VNN2', 'ABHD6', 'ACAD11', 'GLUL', 'SULT2B1', 'PEX5', 'FBP1', 'ACAA2', 'APIP', 'DLD', 'HADHB', 'PPARA', 'SLC1A3', 'ECHDC1', 'ALDH6A1', 'DLAT', 'SDHA', 'AKT2', 'TPST2', 'PFKM', 'PRKAB2', 'ICMT', 'MFSD2A', 'ACOX1', 'PRKAR2B', 'HACD2', 'ADIPOR1', 'ATP2B4', 'MLYCD', 'CS', 'SHMT1', 'CYP4F22', 'FAH', 'MCCC1', 'SLC25A12', 'LPIN1', 'PCCA', 'ACACA', 'MDH1', 'BTD', 'CYP2E1', 'ATP6V1B1', 'STAT5B', 'STAT5A', 'HMGCL', 'TRIB3', 'PDK4', 'HACL1', 'PLA2G4C', 'HADHA', 'BCKDHB', 'ALOX5AP', 'IDH3A', 'QKI', 'UROS', 'MRPS36', 'ACSS2', 'ADIPOR2', 'PPARGC1A', 'PECR', 'ACACB', 'MSRA', 'GHR', 'PDHA1', 'HADH', 'HIBADH', 'QPRT', 'UCP3', 'ABHD5', 'SDHB', 'L2HGDH', 'ABHD2', 'ACADM', 'SUCLA2', 'MTHFD1', 'CPT1B', 'MECR', 'FA2H', 'SLC2A1', 'ACAT1', 'SULT1A3']
GOBP_CELLULAR_RESPIRATION	1	1.8074383327434886e-09	1.0	0.1890547263681592	['BID', 'ETFA', 'SLC25A51', 'IDH3A', 'CISD1', 'CS', 'ETFDH', 'MRPS36', 'PPARGC1A', 'NFATC4', 'SLC25A33', 'NDUFA9', 'MTFR1L', 'DLST', 'PDHA1', 'GHITM', 'OGDH', 'PIK3CA', 'DLAT', 'COQ10A', 'NNT', 'SLC25A12', 'SUCLG2', 'SDHB', 'SDHA', 'UQCRC2', 'PINK1', 'NDUFS4', 'LYRM7', 'COX10', 'MDH1', 'SUCLG1', 'NDUFB5', 'SUCLA2', 'NDUFAF1', 'CAT', 'DLD', 'NDUFS1']
GOBP_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	1	1.9256556069677406e-09	1.0	0.13817330210772832	['BID', 'ETFA', 'SLC25A51', 'STK40', 'IDH3A', 'PHKA2', 'CISD1', 'CS', 'ETFDH', 'MRPS36', 'ACSS2', 'PPARA', 'PPARGC1A', 'NFATC4', 'SLC25A33', 'GBE1', 'INPP5K', 'NDUFA9', 'SORBS1', 'MTFR1L', 'DLST', 'PDHA1', 'GHITM', 'PYGL', 'OGDH', 'ADH5', 'PIK3CA', 'OXCT1', 'DLAT', 'COQ10A', 'SLC25A12', 'NNT', 'SUCLG2', 'SDHB', 'SDHA', 'UQCRC2', 'GYG1', 'NDUFS4', 'PINK1', 'LYRM7', 'AKT2', 'PFKM', 'ASPH', 'COX10', 'MDH1', 'NDUFB5', 'SUCLG1', 'ACADM', 'FBP1', 'SUCLA2', 'ACOX1', 'CAT', 'NDUFAF1', 'AGL', 'ACAT1', 'UGP2', 'HMGCL', 'DLD', 'NDUFS1']
GOBP_TRICARBOXYLIC_ACID_CYCLE	1	2.0229494630700462e-08	1.0	0.4827586206896552	['DLAT', 'SUCLG1', 'SUCLA2', 'NNT', 'SUCLG2', 'SDHB', 'SDHA', 'IDH3A', 'DLST', 'PDHA1', 'OGDH', 'CS', 'MRPS36', 'MDH1']
GOBP_RESPONSE_TO_ENDOGENOUS_STIMULUS	1	2.8801413606874007e-08	1.0	0.09295120061967467	['RRAGC', 'BCL2L2', 'SORD', 'ZEB1', 'LIMS1', 'PAM', 'SPINT1', 'USP15', 'SOX6', 'TAT', 'PTPN11', 'SDCBP', 'SLC25A33', 'HAPLN3', 'SNX5', 'GPLD1', 'GKAP1', 'CLDN4', 'PRKACA', 'SLC2A1', 'ROCK2', 'GALNT3', 'GATA3', 'SIK2', 'PLAT', 'FBP1', 'EZR', 'CAT', 'RAD51', 'FUT8', 'LGR4', 'PPARA', 'RHOQ', 'MEN1', 'UBE2D1', 'SOX10', 'SORBS1', 'PDE8A', 'SLC9A3R1', 'SLC1A3', 'RAPGEF3', 'TOB1', 'ADCY6', 'TP63', 'CAB39', 'P2RX4', 'AKT2', 'ITGB1BP1', 'GPC3', 'SNX6', 'HAS2', 'DUSP3', 'WWOX', 'AGL', 'FGF12', 'FERMT2', 'SFRP1', 'ADIPOR1', 'SPINT2', 'ZNF423', 'DUSP22', 'ATP2B4', 'AIFM1', 'ZEB2', 'LRRK2', 'SHMT1', 'INPP5K', 'RDX', 'KANK1', 'IPO5', 'RAP1A', 'OXCT1', 'LPIN1', 'KAT2B', 'EIF4EBP2', 'ACACA', 'GNG2', 'STAT5B', 'CYSLTR2', 'KANK2', 'STAT5A', 'CRY2', 'ABCA1', 'CACNA2D1', 'SORT1', 'CAPN2', 'TRIB3', 'PDK4', 'ZNF106', 'RAPGEF1', 'HADHA', 'IL10', 'BCKDHB', 'RAP1B', 'LTBP2', 'UROS', 'ITGB1', 'CD24', 'ADIPOR2', 'AREG', 'CRLS1', 'GHR', 'HADH', 'RBPJ', 'PIK3CA', 'UCP3', 'SLC2A10', 'ITGA8', 'RWDD1', 'CFLAR', 'ABHD2', 'WASF1', 'FGFBP3', 'ALAD', 'PDE3A', 'KRT19', 'FBN1', 'EIF2B3', 'ACAT1', 'SULT1A3']
GOBP_LIPID_METABOLIC_PROCESS	1	2.8801413606874007e-08	1.0	0.09585492227979274	['FITM2', 'ETFA', 'PAM', 'DHRS13', 'ETFDH', 'PTPN11', 'INPP5A', 'PLCL2', 'SLC16A1', 'SULT1A1', 'ST6GALNAC3', 'GPLD1', 'UVRAG', 'ADH5', 'ABHD6', 'CTDNEP1', 'CHP1', 'ACAD11', 'CSF1R', 'SULT2B1', 'PEX5', 'SLC44A4', 'ACAA2', 'LBR', 'CAT', 'ST3GAL6', 'B4GALT6', 'HADHB', 'SMPDL3B', 'PIGF', 'MTMR10', 'PPM1L', 'CERS4', 'PPARA', 'JAZF1', 'LRAT', 'PLCL1', 'SORBS1', 'PIGM', 'ABO', 'DHDDS', 'CPT1B', 'ECHDC1', 'SDR42E1', 'PCYT1A', 'IDI2', 'AKT2', 'PRKAB2', 'MFSD2A', 'ACOX1', 'ACER3', 'BSCL2', 'PRKAR2B', 'SQLE', 'PGAP3', 'HACD2', 'ST3GAL5', 'ADIPOR1', 'MLYCD', 'PLCB4', 'DKKL1', 'VLDLR', 'CYP4F22', 'INPP5K', 'FGR', 'PLPPR1', 'FAH', 'LPIN1', 'PCCA', 'COX10', 'ACACA', 'CYP2E1', 'ATP6V1B1', 'STAT5B', 'ABCA1', 'CAPN2', 'HMGCL', 'TRIB3', 'PDK4', 'HACL1', 'PLA2G4C', 'HADHA', 'BCKDHB', 'ALOX5AP', 'QKI', 'ACSS2', 'ADIPOR2', 'PPARGC1A', 'PECR', 'ACACB', 'CRLS1', 'HADH', 'AOX1', 'PIK3CA', 'UCP3', 'SAMD8', 'ABHD5', 'ST3GAL3', 'ABCA8', 'ABHD2', 'CLN6', 'ACADM', 'DGKI', 'PDE3A', 'PTEN', 'SMPD2', 'MECR', 'B4GALT3', 'FA2H', 'ACAT1', 'SULT1A3']
GOBP_RESPONSE_TO_NITROGEN_COMPOUND	1	4.0430534302832996e-08	1.0	0.10270880361173815	['RRAGC', 'BCL2L2', 'ZEB1', 'RFTN1', 'PTPN11', 'SLC25A33', 'SNX5', 'GPLD1', 'GKAP1', 'PRKACA', 'ABCC9', 'SLC2A1', 'IRAK3', 'ROCK2', 'SIK2', 'PLAT', 'FBP1', 'TXN', 'EZR', 'CAT', 'RAD51', 'NPLOC4', 'OGG1', 'PPARA', 'RHOQ', 'MEN1', 'SORBS1', 'SLC9A3R1', 'SLC1A3', 'RAPGEF3', 'ADCY6', 'P2RX4', 'NDUFS4', 'AKT2', 'SNX6', 'GLRA3', 'PRKAR2B', 'USP25', 'SFRP1', 'ADIPOR1', 'ATP2B4', 'FOXP3', 'RFTN2', 'AIFM1', 'LRRK2', 'SHMT1', 'INPP5K', 'KANK1', 'IPO5', 'RAP1A', 'LPIN1', 'LYPD1', 'KAT2B', 'EIF4EBP2', 'CYP2E1', 'GNG2', 'STAT5B', 'CYSLTR2', 'STAT5A', 'CRY2', 'ABCA1', 'CACNA2D1', 'SORT1', 'HM13', 'CAPN2', 'TRIB3', 'PDK4', 'ZNF106', 'RAPGEF1', 'HADHA', 'IL10', 'BCKDHB', 'RAP1B', 'UROS', 'ITGB1', 'AREG', 'CCDC47', 'CRLS1', 'GHR', 'HADH', 'PIK3CA', 'UCP3', 'MAN1A1', 'CFLAR', 'SLC3A2', 'ALAD', 'USP13', 'PDE3A', 'FBN1', 'EIF2B3', 'SULT1A3']
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	1	4.0430534302832996e-08	1.0	0.1441717791411043	['HACL1', 'SORD', 'FUT8', 'ETFA', 'HADHB', 'HADHA', 'BCKDHB', 'ATP2B4', 'ADAL', 'MLYCD', 'TAT', 'ETFDH', 'INPP5A', 'SHMT1', 'PPARA', 'ACACB', 'SULT1A1', 'INPP5K', 'DLST', 'HADH', 'HIBADH', 'ADH5', 'ECHDC1', 'ALDH6A1', 'QPRT', 'OXCT1', 'FAH', 'MCCC1', 'SLC25A12', 'ACAD11', 'GLUL', 'LPIN1', 'PCCA', 'AKT2', 'PFKM', 'PEX5', 'ABHD2', 'ACADM', 'ACAA2', 'MFSD2A', 'ACOX1', 'PTEN', 'CPT1B', 'HMGCL', 'DLD', 'ACAT1', 'SULT1A3']
