pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_CYTOKINE_PRODUCTION	1	0.24978665153973098	1.5393504938905553	1.0	39.02	['IL1RL1', 'C1QBP', 'PARK7', 'PPP1R11', 'EPHA2', 'GPNMB', 'USP50', 'MAP2K5', 'DRD2', 'RFTN1', 'SMAD7', 'PTPN11', 'C5AR1', 'PYCARD', 'MAPK14', 'PDE4D', 'NLRX1', 'SIRT1', 'NCKAP1L', 'LY9', 'NFATC4', 'STAT1', 'MALT1', 'IL18', 'ABCD2', 'JAK3', 'PSEN1', 'ALOX15B', 'IFIH1', 'BCL6', 'TNFAIP3', 'NLRP3', 'TIA1', 'FADD', 'GSDMD', 'AIM2', 'HSP90AB1', 'DDX1', 'BTN3A2', 'IL33', 'HTR2B', 'NMI', 'AKIRIN2', 'HAVCR2', 'ABCC8', 'IRAK3', 'ROCK2', 'IL18R1', 'CSF1R', 'LURAP1', 'TLR5', 'KAT2A', 'ZNF580', 'GATA3', 'LTBP1', 'ZBTB20', 'CLEC4E', 'KIT', 'PCSK5', 'HLA-DPB1', 'CD96', 'ZP3', 'NFKB1', 'DDX58', 'EZR', 'GBA', 'INHBA', 'GIT1', 'TRIM32', 'DHX36', 'PIK3R1', 'RNF128', 'IL1B', 'MDK', 'AFAP1L2', 'IL17B', 'IL27RA', 'CD200R1', 'HSP90AA1', 'CD55', 'MUL1', 'MC1R', 'ASB1', 'TNFRSF14', 'UBASH3A', 'CD83', 'PQBP1', 'KPNA6', 'ARG2', 'POLR3C', 'RASGRP1', 'IL1RL2', 'VSIG4', 'IFNGR1', 'ITCH', 'LYN', 'NPLOC4', 'LGR4', 'MAPK13', 'XCL1', 'CD3E', 'CD2', 'SELENOS', 'CD200', 'TRPV4', 'BTK', 'BTNL9', 'IL12RB2', 'PML', 'CCL3', 'PPARA', 'GPR18', 'F2R', 'HLA-F', 'FN1', 'LAPTM4B', 'CARD8', 'NLRP1', 'ACP5', 'TRAF3', 'RIOK3', 'ADORA2B', 'RPS3', 'CR1', 'TRPM4', 'ITGAV', 'IL20RB', 'HDAC9', 'SYK', 'PHB', 'BPI', 'POU2AF1', 'C1QTNF3', 'CD33', 'F11R', 'ARNT', 'OAS1', 'JAK2', 'DHX58', 'BANK1', 'INHA', 'HFE', 'HIF1A', 'PPM1B', 'MIR142', 'ERBIN', 'IL16', 'KLF4', 'SYT11', 'ICOSLG', 'C3', 'SLAMF1', 'F2RL1', 'SELENOK', 'LILRA4', 'BCL10', 'ARID5A', 'VTCN1', 'CD28', 'LGALS7B', 'ANGPT1', 'FOXP3', 'OAS3', 'SPTBN1', 'LRRK2', 'BCL6B', 'RARA', 'RIPK3', 'SULF2', 'DDX3X', 'ZBTB7B', 'LAG3', 'PTGS2', 'IL15', 'GBP5', 'S1PR3', 'DHX9', 'FGR', 'EZH2', 'IDO1', 'GHRL', 'ATF2', 'POU2F2', 'AGPAT1', 'PRNP', 'CD84', 'FLOT1', 'ANXA1', 'MAVS', 'BATF', 'ADAM8', 'TRIM16', 'PDCD4', 'IL6R', 'MIR155', 'CD58', 'HLA-A', 'AGT', 'PRKCQ', 'CHUK', 'HLA-G', 'FRMD8', 'IL1R2', 'CD14', 'TRAF2', 'PTGER4', 'CX3CL1', 'STAT5B', 'DICER1', 'CSK', 'SLC7A5', 'ACE2', 'CAPN2', 'GBP1', 'BAP1', 'ADGRG1', 'IL17RA', 'SLC11A1', 'RELB', 'TLR3', 'CLU', 'DENND1B', 'GPSM3', 'C3AR1', 'FERMT1', 'GSTP1', 'IL10', 'BTN3A3', 'FURIN', 'RNF125', 'NFATC1', 'SCAMP5', 'HEG1', 'SMAD4', 'SPHK1', 'TRIB2', 'CD24', 'MIR205', 'CDH3', 'SNAI2', 'CD4', 'IL12A', 'SRGN', 'APPL1', 'SOCS5', 'CD34', 'OAS2', 'ADRA2A', 'RIPK2', 'GPAM', 'TMF1', 'SLAMF6', 'FCGR2B', 'IRF8', 'TLR6', 'LPL', 'SLC2A10', 'EREG', 'ADCY7', 'TLR8', 'AKAP12', 'IRF7', 'IL7', 'CEBPG', 'NOX1', 'IFI16', 'SPHK2', 'IGF1', 'ADCYAP1', 'NLRC4', 'TLR4', 'SRC', 'TUSC2', 'COL3A1', 'CHI3L1', 'IRF3', 'TRAIP', 'CYBB', 'PRKCZ', 'PTAFR', 'CD6', 'SETD2', 'RORA', 'RELA', 'TLR10', 'LGALS9']
GOBP_CELLULAR_DETOXIFICATION_OF_ALDEHYDE	1	0.24936301404131156	1.5413305349143611	1.0	10.62	['RDH11', 'ADH5', 'AKR1A1', 'PARK7']
GOBP_AXO_DENDRITIC_TRANSPORT	1	0.24934093435225257	1.5411442937292412	1.0	50.19	['SPG7', 'STAU2', 'SNAPIN', 'FLOT2', 'MAP2', 'HSBP1', 'KIF1B', 'ACTR10', 'HAP1', 'TMEM108', 'KIF5B', 'FBXW11', 'DST', 'DYNC1H1', 'BLOC1S4', 'PAFAH1B1', 'AP3M2', 'TRAK2', 'SPAST', 'AP3S1', 'BLOC1S3', 'SPG11', 'KLC3', 'SFPQ', 'AP3B1', 'PURA', 'KIF17', 'FEZ1', 'BLOC1S6', 'RAB21', 'AGTPBP1', 'AP3B2', 'APBA1', 'KIF1C', 'OPA1', 'HIF1A', 'KIF3A', 'MAP1A', 'TRAK1', 'WASF1', 'DTNBP1', 'KIF5A', 'BLOC1S2', 'HSPA8', 'AP3S2', 'DCTN1', 'TRIM46', 'ARL8A']
GOBP_NEGATIVE_REGULATION_OF_RHO_PROTEIN_SIGNAL_TRANSDUCTION	1	0.24916929976208413	1.5411113678632566	1.0	15.71	['CUL3', 'DLC1', 'HEG1', 'STMN1', 'BCL6', 'KANK1', 'ITGA3', 'SCAI', 'ITGB1']
GOBP_ACTIVATION_OF_GTPASE_ACTIVITY	1	0.2491187238988461	1.540981596523645	1.0	67.72	['TBC1D2', 'SIPA1L3', 'SGSM2', 'DOCK7', 'TBC1D3F', 'EPHA2', 'TBC1D30', 'NTRK3', 'TBC1D10A', 'TBC1D2B', 'SIPA1L1', 'RABGAP1L', 'TBC1D10B', 'TBC1D1', 'TBC1D8', 'CXCL13', 'BCR', 'TBC1D5', 'SIPA1L2', 'TBC1D3H', 'ARHGEF16', 'SCRIB', 'RASGRP1', 'TIAM2', 'TSC1', 'RASGRF1', 'TBC1D3C', 'RHOG', 'TBC1D3I', 'GPR65', 'TBCK', 'ARHGEF15', 'ECT2', 'TBC1D15', 'RANGAP1', 'NEDD9', 'EPHA1', 'AKT2', 'BCAS3', 'CORO1C', 'TBC1D3K', 'ARHGEF10', 'TBC1D3', 'TBC1D4', 'TBC1D16', 'NGEF', 'NTF3', 'TBC1D8B', 'ADPRH', 'SGSM1', 'SLC27A4', 'WNT5A', 'CCR7', 'ARHGAP42', 'ARHGEF19', 'RUNDC1', 'GMIP', 'RAP1GAP', 'TBC1D7', 'PTK2B', 'RALGAPA1', 'RALGAPB', 'RABGAP1', 'TBC1D17', 'USP6NL', 'TBC1D9', 'SYDE2', 'CRK', 'PIP5K1A', 'SGSM3', 'TBC1D13', 'CRKL', 'CCL21', 'TBC1D3L', 'TBC1D25', 'TBC1D9B', 'TBC1D10C', 'ARHGAP24', 'EVI5', 'RALGAPA2', 'SIPA1', 'RAP1GAP2', 'GRTP1']
GOBP_HYPOTHALAMUS_DEVELOPMENT	1	0.24907870747827832	1.5406628284841195	1.0	63.73	['HAP1', 'SRD5A1', 'UQCRQ', 'NDNF', 'NRP1', 'BAX', 'NRP2', 'BLOC1S6', 'UBB', 'RAB3GAP1', 'SEMA3A', 'MYC']
GOBP_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_HOMOLOGOUS_RECOMBINATION	1	0.24896309860993118	1.5409394344722884	1.0	77.85	['RAD51', 'RECQL5', 'MRGBP', 'MMS19', 'KDM1A', 'ZNF365', 'SMCHD1', 'SIRT6', 'USP51', 'RPA2', 'WAS', 'PPP4C', 'FIGNL1', 'RUVBL1', 'YEATS4', 'RTEL1', 'TERF2IP', 'MAGEF1', 'EP400', 'MRNIP', 'RAD51AP1', 'HELB', 'WDR48', 'KAT5', 'MBTD1', 'TIMELESS', 'ACTB', 'RMI2', 'VPS72', 'CHEK1', 'FUS', 'MAD2L2', 'EPC1', 'MORF4L1', 'TRRAP', 'POLQ', 'PPP4R2', 'RBBP8', 'PARP1', 'KLHL15', 'RUVBL2', 'UBQLN4', 'SPIDR', 'ING3', 'ERCC6', 'TP53BP1', 'MORF4L2', 'PARPBP', 'ARID2', 'WRAP53', 'EPC2', 'SETD2', 'BRD8', 'ACTL6A', 'ACTR2', 'RIF1', 'DMAP1']
GOBP_CRANIAL_SKELETAL_SYSTEM_DEVELOPMENT	1	0.24889833194413435	1.5406327783546192	1.0	38.09	['PAX5', 'NIPBL', 'FREM1', 'PRRX1', 'CHST11', 'EIF4A3', 'MSX2', 'WDR19', 'GLI3', 'SIX1', 'INSIG2', 'TFAP2A', 'TULP3', 'CTNNB1', 'TGFBR2', 'RAB23', 'TP63', 'RDH10', 'CEP55', 'IRX5', 'FOXN3', 'TIFAB', 'IFT140', 'MEGF8', 'PDGFRA', 'SLC39A1', 'MMP14', 'RIC1', 'SETD2', 'TBX15', 'MTHFD1', 'GRHL2', 'FGFR2', 'MTHFD1L']
GOBP_NEGATIVE_REGULATION_OF_INTERLEUKIN_2_PRODUCTION	1	0.2487134938123053	1.540611536723392	1.0	16.99	['IL20RB', 'PRNP', 'EZR', 'HAVCR2', 'VSIG4', 'LAG3', 'FOXP3', 'XCL1', 'TNFAIP3', 'GATA3', 'GBP1']
GOBP_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	1	0.24870876117445295	1.5404480750611915	1.0	64.11	['BCL2L2', 'CYLD', 'BCL2L1', 'MOAP1', 'PARK7', 'PAK5', 'CRADD', 'UNC5B', 'MAP2K5', 'PYCARD', 'TGFBR1', 'MCL1', 'STK3', 'PARP2', 'PPP2R1A', 'TRAF1', 'RNF34', 'RB1CC1', 'PDIA3', 'SCG2', 'EYA1', 'TNFAIP3', 'FADD', 'MKNK2', 'GSK3B', 'CTNNA1', 'TGFB1', 'NF1', 'TCF7L2', 'COL2A1', 'BCL2A1', 'AR', 'DDX47', 'SKIL', 'RBCK1', 'INHBA', 'PIK3R1', 'FAF1', 'FGB', 'FAIM', 'IL1B', 'IFNG', 'TNFRSF10A', 'FAS', 'PAK2', 'FGFR3', 'DEDD', 'DEPTOR', 'DAXX', 'ACVR1', 'MLLT11', 'BCL2', 'GCLC', 'FGG', 'FOXO3', 'PML', 'RNF41', 'CIB1', 'MIR221', 'BCL2L12', 'TMBIM1', 'ITGAV', 'TMC8', 'JAK2', 'NGF', 'CTTN', 'MIR198', 'PHIP', 'WWOX', 'TNFRSF10C', 'RET', 'BCL10', 'MAL', 'SRPX', 'BCL2L10', 'SFRP1', 'HIPK1', 'DAPK1', 'DIABLO', 'RFFL', 'BIRC6', 'CASP8AP2', 'RAF1', 'FAIM2', 'THBS1', 'PPP1CA', 'BAK1', 'DDX3X', 'BEX3', 'LGALS3', 'ITPRIP', 'ZDHHC3', 'STRADB', 'CD27', 'ARHGEF2', 'ITM2C', 'P2RX7', 'AGT', 'TNFRSF1A', 'HGF', 'KRT18', 'TRAF2', 'CX3CL1', 'ERBB3', 'TGFB2', 'RPS6KB1', 'SORT1', 'FGFR1', 'TNFRSF1B', 'BMPR1B', 'PMAIP1', 'TLR3', 'ZC3HC1', 'BID', 'GSTP1', 'YAP1', 'BCL2L11', 'EYA2', 'SIAH2', 'LTBR', 'AKT1', 'SNAI2', 'MADD', 'IL12A', 'RIPK1', 'PPP2R1B', 'EYA3', 'LMNA', 'TNFSF10', 'HTT', 'PSME3', 'NRP1', 'BAX', 'TNFRSF12A', 'STK4', 'IL7', 'CFLAR', 'IGF1', 'SFRP2', 'SRC', 'KITLG', 'SP100', 'TRADD', 'SPI1', 'RELA', 'BLOC1S2', 'PTEN', 'IL6R', 'BAD']
