pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_MAPK_SIGNALING_PATHWAY	1	0.23495160898737533	1.4564938329891968	1.0	31.19	['RASGRP3', 'MAPK9', 'RAPGEF2', 'EGFR', 'MAP3K5', 'MAP2K5', 'RASGRF2', 'MAPK14', 'CACNA2D3', 'STK3', 'TAOK2', 'NFATC4', 'DUSP4', 'STMN1', 'MAPK8', 'CACNA1F', 'CACNB3', 'MYC', 'PRKACA', 'CHP1', 'FGF1', 'NF1', 'CACNB2', 'MAX', 'MAP4K4', 'NFKB1', 'PDGFRA', 'IL1B', 'PPM1A', 'PRKACB', 'RASGRP1', 'DAXX', 'PPP3R1', 'MAPK13', 'RASGRF1', 'MAP2K1', 'PPP3CB', 'NFKB2', 'MAP3K2', 'DUSP5', 'RAC2', 'MKNK1', 'TGFBR2', 'AKT2', 'RPS6KA2', 'RRAS2', 'MAP3K4', 'PPM1B', 'NTRK2', 'DUSP3', 'HSPA8', 'FGF12', 'PRKX', 'FGF14', 'RASGRP4', 'NTF3', 'MEF2C', 'RAF1', 'MAP4K1', 'MRAS', 'TAOK1', 'MAP3K20', 'RAP1A', 'ATF2', 'TNFRSF1A', 'PPP3CC', 'IL1R2', 'PAK1', 'CACNB1', 'TRAF2', 'GNA12', 'SOS1', 'CACNA2D1', 'FGFR1', 'RELB', 'MAP4K3', 'FGFR4', 'MECOM', 'RAP1B', 'CRK', 'RASA2', 'PDGFRB', 'FGF2', 'EGF', 'CACNA1I', 'CACNA2D2', 'SOS2', 'MAP4K2', 'RELA', 'FGFR2']
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	0.23133455437413555	1.4551985280090238	1.0	18.43	['BID', 'TOMM40L', 'CHP1', 'ALS2', 'BAX', 'BCL2L1', 'PPP3CB', 'PPP3R1', 'SLC1A2', 'CYCS', 'CAT', 'MAPK13', 'TNFRSF1A', 'PPP3CC', 'MAP3K5', 'MAPK14']
KEGG_LYSOSOME	1	0.18992317168049794	1.519668094990275	1.0	30.81	['CLN3', 'PPT2', 'SUMF1', 'GUSB', 'AP4M1', 'ATP6AP1', 'LGMN', 'HGSNAT', 'AP4E1', 'IDUA', 'GALNS', 'SGSH', 'LAPTM4B', 'DNASE2', 'ATP6V0A4', 'PSAP', 'ACP5', 'SMPD1', 'GNS', 'AP4B1', 'AP3S1', 'AP1M2', 'TCIRG1', 'AP1S1', 'CTSL', 'HEXB', 'MAN2B1', 'CTSV', 'NEU1', 'CTSB', 'ASAH1', 'LAMP3', 'AP3B2', 'CLTC', 'ARSA', 'LIPA', 'ARSG', 'CTSC', 'AP1S2', 'CTSW', 'GBA', 'TPP1', 'ARSB', 'PPT1', 'GAA', 'AP3S2', 'SORT1', 'GLA', 'LAPTM4A', 'IGF2R', 'SLC11A1']
KEGG_TRYPTOPHAN_METABOLISM	1	0.18905954018581994	1.5105461188110563	1.0	19.24	['ALDH9A1', 'ALDH3A2', 'KMO', 'HADHA', 'EHHADH', 'CAT', 'HADH', 'OGDH', 'IL4I1', 'MAOB', 'AOX1', 'IDO1', 'ACAT1']
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.18684877823881973	1.5179478129371122	1.0	40.82	['OCLN', 'YWHAZ', 'FYN', 'TUBA3D', 'TUBB', 'CD14', 'ITGB1', 'ARPC1A', 'TUBA8', 'ARPC2', 'ROCK1', 'NCK2', 'TUBAL3', 'TUBB6', 'TUBA1B', 'ACTB', 'CTNNB1', 'ARHGEF2', 'PRKCA', 'TLR5', 'ROCK2', 'HCLS1', 'TUBB8', 'TLR4', 'ARPC3', 'KRT18', 'CTTN', 'EZR', 'RHOA', 'CDH1', 'TUBA1C', 'NCK1']
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	0.16364107883817428	1.555908840800169	1.0	33.67	['MAPK9', 'ADIPOR1', 'CPT1C', 'CAMKK2', 'ACSL1', 'PTPN11', 'ADIPOR2', 'PPARA', 'PPARGC1A', 'ACACB', 'LEPR', 'NFKBIE', 'MAPK8', 'PRKAG2', 'MTOR', 'MAPK10', 'TNFRSF1A', 'JAK2', 'AKT2', 'ACSL4', 'PRKCQ', 'CHUK', 'PRKAB2', 'TRAF2', 'NFKB1', 'PRKAG1', 'ACSL3', 'CPT1B', 'RELA', 'SLC2A1']
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.15554636014156697	1.6190439304016178	1.0	33.67	['MAPK9', 'RNF125', 'MAPK13', 'AZI2', 'SIKE1', 'MAPK14', 'NLRX1', 'IL12A', 'ATG12', 'DDX3X', 'TKFC', 'IFIH1', 'FADD', 'CXCL10', 'MAPK8', 'MAPK10', 'MAVS', 'IRF7', 'TANK', 'CHUK', 'DHX58', 'IRF3', 'TRAF2', 'NFKB1', 'DDX58', 'CASP10', 'RELA']
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.15114200503852995	1.6189416761463569	1.0	69.58	['OSM', 'PIAS4', 'IL11', 'BCL2L1', 'STAT3', 'IL13RA2', 'PTPN11', 'IL20RA', 'STAT1', 'CLCF1', 'JAK3', 'PIK3R5', 'IL2RA', 'MYC', 'IL13RA1', 'STAM2', 'CCND2', 'PIAS2', 'LEP', 'PIK3R1', 'IFNG', 'IL10RB', 'IL24', 'IFNGR1', 'EP300', 'IL23A', 'IL12RB2', 'IL22RA2', 'IL12RB1', 'TPO', 'IL20RB', 'SPRY3', 'PIAS3', 'STAM', 'JAK2', 'AKT2', 'CCND1', 'IL3RA', 'CNTF', 'PTPN6', 'CSF2RA', 'PIK3R2', 'PIM1', 'PRLR', 'IL15', 'IL15RA', 'CBLC', 'IL10RA', 'SOCS1', 'IL6ST', 'IL7R', 'EPO', 'IFNGR2', 'SPRY4', 'STAT5B', 'IL2RB', 'STAT5A', 'SOS1', 'JAK1', 'CSF2RB', 'SOCS4', 'IFNLR1', 'PIK3CB', 'PIK3R3', 'PIAS1', 'LIFR', 'IRF9', 'TSLP', 'IL10', 'IL20', 'IFNAR2', 'CBLB', 'CREBBP', 'PIK3CD', 'GRB2', 'AKT1', 'SPRED1', 'IL12A', 'LEPR', 'SOCS5', 'IFNAR1', 'GHR', 'PIK3CA', 'SOCS2', 'IL7', 'AKT3', 'SOS2', 'IL2RG', 'IL11RA', 'IL22RA1', 'CBL', 'CCND3', 'IL6R', 'EPOR']
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	1	0.1497314790802213	1.614412217458077	1.0	26.34	['ENPP3', 'NMRK1', 'NNT', 'NADSYN1', 'BST1', 'AOX1', 'NADK', 'ENPP1', 'NMNAT1', 'NT5C2', 'QPRT', 'NMNAT2']
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	0.14866091454525066	1.6099389719109376	1.0	55.41	['PVR', 'CLDN22', 'PDCD1', 'CNTNAP2', 'PTPRM', 'NLGN2', 'CLDN4', 'MPZ', 'NRXN2', 'NFASC', 'VCAM1', 'HLA-DQA1', 'HLA-DOB', 'ALCAM', 'NLGN3', 'HLA-DPB1', 'CD6', 'HLA-DQB1', 'HLA-E', 'NLGN4X', 'CLDN8', 'CDH2', 'L1CAM', 'CD2', 'NECTIN3', 'NECTIN1', 'SDC1', 'PECAM1', 'HLA-F', 'HLA-B', 'ITGAV', 'CD8A', 'CLDN7', 'F11R', 'ITGAM', 'SELP', 'CDH1', 'ICOSLG', 'SELL', 'CD28', 'HLA-C', 'SDC4', 'SDC2', 'ICOS', 'VCAN', 'NECTIN2', 'ITGA9', 'HLA-DOA', 'NCAM2', 'NRXN3', 'HLA-A', 'ITGB8', 'PDCD1LG2', 'CD58', 'HLA-G', 'CLDN15', 'HLA-DMB', 'NEGR1', 'JAM3', 'PTPRF', 'SELE', 'CD86', 'OCLN', 'ITGAL', 'CNTN1', 'ITGB1', 'CD22', 'ICAM3', 'CDH3', 'CD4', 'CD34', 'CD276', 'NCAM1', 'NEO1', 'ITGA8', 'CLDN11', 'CNTNAP1', 'CLDN19', 'CTLA4', 'ITGB7', 'CDH5']
