pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_NEGATIVE_REGULATION_OF_HISTONE_PHOSPHORYLATION	1	0.24968607917248556	1.3854968951773696	1.0	11.38	['PPP4R2', 'PPP4R3B', 'UBE2B']
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	1	0.2496051043402208	1.385463089788224	1.0	3.36	['CUL3', 'CNOT1', 'CTR9', 'SP3', 'CNOT2']
GOBP_MDA_5_SIGNALING_PATHWAY	1	0.24944163410316944	1.385844782991335	1.0	53.61	['C1QBP', 'ANKRD17', 'TKFC', 'IFIH1', 'RIOK3', 'DHX58', 'OAS3', 'IRF3', 'DDX60']
GOBP_C4_DICARBOXYLATE_TRANSPORT	1	0.24910763782314976	1.3863715656505953	1.0	16.66	['ABAT', 'SLC13A3', 'SLC25A12', 'SLC3A1', 'LRRC8D', 'SLC25A14', 'SLC25A30', 'SLC12A2', 'SLC1A3', 'SLC25A13']
GOBP_ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_APOPTOTIC_PROCESS	1	0.24907743506101138	1.3862973244019512	1.0	65.85	['APAF1', 'BID', 'LCK', 'MUL1', 'RPS27L', 'HSPD1', 'DIABLO', 'BBC3', 'CASP8', 'CTSH', 'EGLN3', 'PPARG', 'SNCA', 'CRADD', 'MAPT', 'SLC1A1', 'CASP8AP2', 'CYCS', 'PYCARD', 'EIF2AK3', 'AIFM1', 'NKX3-1', 'PML', 'BAK1', 'F2R', 'CARD8', 'NLRP1', 'BEX3', 'IFT57', 'PDCD6', 'HIP1R', 'CASP1', 'HIP1', 'SMAD3', 'DLC1', 'RACK1', 'BAX', 'NOD1', 'KHDC1', 'JAK2', 'ST20', 'CFLAR', 'DAP', 'ACER2', 'NLRC4', 'ROBO1', 'CASP4', 'SENP1', 'NGFR', 'VCP', 'TNFSF15', 'PIDD1', 'CASP10', 'CASP2', 'ATP2A3', 'XDH', 'PDCD2', 'CASP9', 'BCL2L13']
GOBP_LONG_TERM_SYNAPTIC_POTENTIATION	1	0.2485128236375208	1.3870479772873534	1.0	50.69	['SLC24A1', 'ABL1', 'SNCA', 'STX3', 'LGMN', 'DRD2', 'RASGRF2', 'NCSTN', 'SYT12', 'NFATC4', 'AGER', 'ITPR3', 'MIR320E', 'PAIP2', 'APP', 'EPHA4', 'ADORA2A', 'GSK3B', 'PLK2', 'PRNP', 'SNAP25', 'PTK2B', 'NF1', 'AKAP5', 'EIF2AK4', 'STAU1', 'MME', 'TSHZ3', 'ZDHHC2', 'SERPINE2', 'VAMP2', 'RELN', 'GFAP', 'MECP2', 'NTRK2', 'PRKCZ', 'MPP2', 'NPTN', 'PRRT1', 'PTEN', 'MAPK1', 'NSG1', 'SHANK2']
GOBP_DICARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	1	0.24796814031276393	1.3877023695254618	1.0	44.65	['ACMSD', 'KMO', 'SLC25A12', 'GLUD1', 'GLS2', 'KYNU', 'MTHFD1', 'GLS', 'MTHFD1L', 'GLUD2']
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_TRANSPORT	1	0.24786162160935532	1.3879269599092763	1.0	37.95	['KHDRBS1', 'DHX9', 'CPSF6', 'NCBP2', 'NRDE2']
GOBP_KETONE_BODY_METABOLIC_PROCESS	1	0.2471089102120942	1.3887514131139724	1.0	62.58	['OXCT1', 'HMGCS2', 'SLC27A5', 'TYRP1', 'AACS', 'HMGCL', 'ACSS3', 'HMGCLL1', 'ACAT1']
GOBP_TRYPTOPHAN_TRANSPORT	1	0.2463781215810908	1.3895703545773928	1.0	48.36	['SLC7A8', 'SLC36A4', 'SLC7A5', 'ACE2', 'SLC3A2']
