pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_SUBSTRATE_ADHESION_DEPENDENT_CELL_SPREADING	1	0.24987062535411683	-1.5894854489374937	1.0	37.85	['ITGA4', 'ARPC2', 'DAB2', 'RCC2', 'CRK', 'ITGA8', 'NTNG1', 'BVES', 'ARHGEF7', 'TEK', 'LAMB2', 'FGG', 'DMTN', 'RHOA', 'KANK1', 'LAMC1', 'PEAK1', 'AKIP1', 'SRGAP2', 'FBLN1', 'PARVB', 'FZD4', 'LPXN', 'FERMT2', 'FER', 'ILK', 'ITGB3', 'SPRY4', 'PIK3R1', 'PARVA', 'ITGAV', 'DNM2', 'ATRN', 'CRKL', 'RREB1', 'ST6GAL1', 'HAS2', 'RAB1A', 'VAMP3', 'NRP1', 'CSPG5', 'FN1', 'CDC42', 'DOCK5', 'WASHC2C', 'ATRNL1', 'LIMS1', 'FGB', 'TYRO3', 'ABL1', 'CASS4', 'TESK1', 'ITGB1BP1']
GOBP_PROTEIN_LOCALIZATION_TO_CELL_CELL_JUNCTION	1	0.24966424240381696	-1.5901909498896885	1.0	28.24	['MPP7', 'PECAM1', 'CDH5', 'TJP2', 'TJP1', 'ARHGEF18', 'PAK2', 'MAPK9', 'ZDHHC7', 'CGNL1', 'JAK1', 'VCL']
GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	1	0.24952030663913843	1.9424807382298706	1.0	63.9	['IGHV2-26', 'UBE2K', 'IGHV3-64', 'DGKZ', 'CAV1', 'CLECL1', 'TNFRSF14', 'EDN1', 'THY1', 'TNFSF13B', 'ADAM8', 'NLRC5', 'APP', 'ZBTB7B', 'RASGRP1', 'TNFRSF18', 'DEFB124', 'BMX', 'PHB2', 'KLHL6', 'SLA2', 'AIM2', 'C3AR1', 'FOXP3', 'LIME1', 'CCL20', 'C1QC', 'GCSAM', 'PTK2B', 'BTN2A2', 'CD320', 'MZB1', 'CD6', 'ZFP36L1', 'IGHV4-34', 'DHX58', 'KCNN4', 'TRIM62', 'CORO1A', 'HLA-DMB', 'IGHV3-49', 'RAC2', 'TNFSF14', 'SKAP1', 'RARRES2', 'LBP', 'PLD2', 'TNFRSF13C', 'ITGB2', 'XG', 'KLRC4-KLRK1', 'IGHV3-11', 'NCK2', 'HSPH1', 'IGHV3-23', 'SLC9B2', 'SASH3', 'IFI16', 'PNP', 'EBI3', 'JUND', 'IGHV1-45', 'ENPP3', 'CMTM3', 'MAD2L2', 'JAM2', 'C4B', 'CARD11', 'PTPN6', 'VEGFD', 'IGHV3-33', 'BDKRB1', 'TSLP', 'ARID5A', 'RNF185', 'LILRA2', 'FCN3', 'PTPRJ', 'TNFSF13', 'C1QB', 'CFI', 'SPN', 'GLI2', 'IGHV4-39', 'RNF31', 'PRAM1', 'PARP9', 'IGHV3-7', 'CD8A', 'IL7', 'PTK2', 'RAET1G', 'BAD', 'SYK', 'LIF', 'IL7R', 'LAG3', 'GPR183', 'CADM1', 'XRCC6', 'RUNX3', 'VCAM1', 'VSIR', 'NECTIN2', 'PIK3CD', 'BTN3A3', 'IL20', 'FCER1G', 'IGHV1-58', 'IKBKB', 'EPHB2', 'CREB3', 'IGLL5', 'ZNF580', 'MICB', 'IKBKE', 'PRKCZ', 'KLRC4', 'CD5', 'SLAMF1', 'C4BPB', 'IGHG3', 'HSP90AA1', 'TREX1', 'IGHV1-24', 'IGHA1', 'CSK', 'MAP3K8', 'CD74', 'AKIRIN1', 'AIF1', 'RBM14', 'CLU', 'CCL2', 'EIF2B4', 'TNF', 'IKBKG', 'RBP4', 'ROR2', 'EFNB1', 'PLA2G6', 'LEP', 'CCDC88B', 'PRKCB', 'LACC1', 'CD27', 'HPX', 'AZGP1', 'IRF7', 'LGALS9', 'MYD88', 'TICAM1', 'HLA-DRB1', 'ZP3', 'TNFSF9', 'FOXJ1', 'AXL', 'NCKAP1L', 'PYCARD', 'TNFSF11', 'P2RX7', 'INPP5D', 'IGHV4-4', 'IGHV4-31', 'RELA', 'CCR7', 'SLC7A1', 'PLPP6', 'IGHM', 'CD99', 'BAG6', 'TEC', 'POLR3C', 'PQBP1', 'LTA', 'CD79A', 'CCL19', 'KLK5', 'PLA2G3', 'SERPINE1', 'EREG', 'STXBP2', 'CXCL17', 'ZC3H12A', 'PHPT1', 'MDK', 'IGHG4', 'CD2', 'BAX', 'XCL2', 'IGHV3-73', 'VEGFA', 'CD274', 'XBP1', 'MYO1G', 'CD4', 'ANXA1', 'LAMP1', 'KLF10', 'CALR', 'UBE2N', 'PCK1', 'STK11', 'CCL8', 'IGHV5-51', 'IL12A', 'HMGB1', 'IGHV5-10-1', 'CASP6', 'MYB', 'MFAP4', 'RASAL3', 'P2RX4', 'BTN3A2', 'FUT7', 'PTN', 'HLA-DQA2', 'RPS19', 'IL33', 'AQP3', 'RAB29', 'IGHV3-13', 'IGHV4-59', 'DNAJB9', 'KLRC3', 'CEBPA', 'EGR3', 'HSF1', 'VAMP8', 'GPRC5B', 'IGHV7-81', 'VAV3', 'HAMP', 'IGHV3-43', 'IGHV3-72', 'SIRPG', 'IGHV3-20', 'IL13RA2', 'SUSD4', 'PLPP4', 'TRAF2', 'IGLC1', 'PVR', 'IGHV3-64D', 'PDPK1', 'SELP', 'PDE4B', 'CD86', 'KMT5C', 'RPS3', 'FCHO1', 'IL1R1', 'PAXIP1', 'DHPS', 'F2RL1', 'CD177', 'PLCG2', 'PDGFD', 'PGF', 'CD244', 'TFRC', 'LILRB2', 'PAWR', 'IGHV1-69', 'STAP1', 'MIR145', 'DOCK8', 'CD47', 'GAS6', 'CD40', 'SRC', 'CD300A', 'BTN3A1', 'POLR3B', 'SLC7A5', 'HLA-DPB1', 'IGHV4-28', 'SEMA7A', 'ITK', 'CSF1', 'NFATC2', 'CCL5', 'SOX13', 'HLA-B', 'EIF2B2', 'CASP8', 'KLRC2', 'PLSCR1', 'LAX1', 'HEXIM1', 'HLA-A', 'UBASH3A', 'CARD9', 'CD40LG', 'PLVAP', 'EXOSC6', 'IGKC', 'ICOSLG', 'PAK3', 'SIRPB1', 'CCR2', 'FLOT2', 'TRBC1', 'PRNP', 'ZMIZ1', 'DNAJA3', 'CD46', 'CD247', 'PHB', 'MMP12', 'IGHV2-5', 'THEMIS', 'TNFRSF21', 'TREM2', 'LCP2', 'FCN1', 'IGLC7', 'C4BPA', 'IGF2', 'JAM3', 'HLA-F', 'PRKD2', 'IGHV3-21', 'LILRB4', 'STX4', 'HMGB2', 'HLA-DPA1', 'HLA-DQB1', 'CTSG', 'CCL7', 'TRAT1', 'IL4I1', 'CDKN1A', 'APPL2', 'PGC', 'CLCF1', 'IGHG1', 'MIA3', 'CEACAM1', 'SOX4', 'TYROBP', 'IGHV1-69D', 'PYHIN1', 'TMEM64', 'MIF', 'MIR21', 'HES1', 'IL23A', 'C5AR2', 'LAPTM5', 'ID2', 'CR2', 'IL12RB1', 'SOX12', 'POLR3G', 'F7', 'RIPK2', 'PELI1', 'SH2B2', 'FCGR3A', 'FCRL3', 'ADORA2B', 'DPP4', 'NFAM1', 'CD79B', 'LGALS1', 'CD59', 'BLOC1S3', 'VAV2', 'JAK3', 'EZR', 'CFB', 'COLEC11', 'IGHG2', 'EFNB2', 'IL27RA', 'PTPRC', 'IRF3', 'SNX4', 'RAC1', 'CD55', 'GPS2', 'FCN2', 'ICOS', 'FUT4', 'IGHV2-70', 'IGHV1-69-2', 'IL34', 'PAK1', 'KITLG', 'CD226', 'C4A', 'IL18', 'ZNFX1', 'TRIM6', 'IGLC3', 'BCAR1', 'FADD', 'ZBP1', 'DENND1B', 'IGHV3-30', 'FOS', 'IGHV4-61', 'FGF10', 'TESC', 'DDX60', 'PLA2G5', 'ITGA2', 'KLRK1', 'LIMK1', 'SPPL3', 'CCL4', 'AGER', 'TNFRSF4', 'RGCC', 'C1S', 'EXOSC3', 'TRBC2', 'CD24', 'C8G', 'HLA-DQB2', 'IL1RL2', 'PPARGC1B', 'FPR3', 'C1QBP', 'S100A7', 'IGLC6', 'CAMK1D', 'IL6R', 'IGHV1OR15-1', 'C1QA', 'PRKCE', 'MAPK3', 'PLA2G7', 'MASP2', 'EDN2', 'SERPING1', 'CD276', 'TMIGD2', 'NR4A3', 'HLA-DRB5', 'MS4A1', 'PDCD1LG2', 'NMI', 'SOCS1', 'IGHV3-38', 'C2', 'IGHA2', 'AP3D1', 'IGHV3-16', 'EFNB3', 'MMP14', 'C1R', 'IGHV3-48', 'SLAMF6', 'RSAD2', 'ZAP70', 'EVI2B', 'HLA-DOA', 'CFD', 'IGHV6-1', 'PVRIG', 'EIF2B1', 'IGHV3-15', 'IGHV1-18', 'TLR9', 'GATA3', 'HRAS', 'TGFB1', 'RARA', 'GPSM3', 'MR1', 'EPO', 'SPI1', 'PIK3R6', 'BLNK', 'KIT', 'AKT1', 'IGHV3-53', 'CTLA4', 'PSEN1', 'UNC13D', 'BTK', 'CX3CL1', 'VEGFC', 'VTCN1', 'LYN', 'IGHV2-70D', 'HLA-DQA1', 'IFI35', 'IGFBP2', 'HLA-H', 'TOX', 'TESPA1', 'TRIB1', 'CD81', 'CXCL10', 'PLA2G4A', 'PTPN22', 'TNIP2', 'S100A14', 'TGFB2', 'CHRNB2', 'GLI3', 'RAET1E', 'IGHV3-35', 'HLA-DOB', 'HCK', 'CACNB3', 'EDN3', 'C9', 'PRKCA', 'NOD2', 'RHOH', 'HAX1', 'CCL21', 'BLOC1S6', 'B2M', 'SH2D1A', 'CMKLR1', 'TACR1', 'SIRPA', 'ICAM1', 'C3', 'IGHD', 'FFAR2', 'IGLC2', 'RBCK1', 'CAMK4', 'IGHV3-66', 'IGHV3-74', 'BCL2', 'LAT2', 'IGHV1-3', 'SART1', 'KLK7', 'LEF1', 'DDX58', 'STOML2', 'DUSP10', 'CD8B', 'TBX21', 'XCL1', 'GATA2', 'CD80', 'USP27X', 'TMEM102', 'TRPV4', 'THEMIS2', 'THBS1', 'GBP1', 'GPR68', 'CD3E', 'LCK', 'NSD2', 'CRTAM', 'CXCL13', 'IL4R', 'GBP5', 'SPON2', 'HMCES']
GOBP_CIRCADIAN_REGULATION_OF_GENE_EXPRESSION	1	0.24904380176116434	-1.590948419585229	1.0	31.45	['SIRT1', 'TOP1', 'PPP1CC', 'CRY1', 'CIART', 'PPARA', 'PPARGC1A', 'HDAC3', 'NR1D1', 'ARNTL', 'PER3', 'KDM8', 'NAMPT', 'RBM4B', 'KDM5A', 'RORA', 'ID3', 'MYCBP2', 'PPP1CB', 'OGT', 'CRY2', 'PER2', 'CLOCK', 'ZFHX3', 'NRIP1', 'KDM2A', 'HDAC1', 'HUWE1', 'KMT2A', 'PRMT5']
GOBP_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	1	0.24851597002884998	1.951304054357271	1.0	38.62	['DBF4B', 'WIZ', 'ZNF830', 'NUGGC', 'E2F7', 'KAT7', 'TIPIN', 'DSCC1', 'SSBP1', 'ZMPSTE24', 'FBXO5', 'GINS1', 'GMNN', 'CDK2', 'LIG3', 'TICRR', 'RFC5', 'CDC7', 'PCNA', 'WRNIP1', 'POLG2', 'MCIDAS', 'CDT1', 'GINS2', 'DACH1', 'GINS4', 'NBN', 'TIMELESS', 'RFC2', 'DBF4', 'BLM']
GOBP_REGULATION_OF_CHROMATIN_ORGANIZATION	1	0.24797424075351168	-1.5921657728554146	1.0	29.76	['CTR9', 'PIK3CA', 'METTL4', 'DNMT1', 'LSM11', 'KDM1A', 'TPR', 'SETD5', 'TLK1', 'PPHLN1', 'MPHOSPH8', 'SPTY2D1', 'PHF8', 'ZNF445', 'SIN3A', 'L3MBTL3', 'ATF7IP', 'PHF2', 'TAL1', 'SSRP1']
GOBP_RETROGRADE_AXONAL_TRANSPORT	1	0.2478986515270773	-1.5924750856966754	1.0	55.94	['SOD1', 'NDEL1', 'KIF5B', 'DST', 'SNAPIN', 'AGTPBP1', 'KIF1A', 'DYNC1H1', 'PAFAH1B1', 'MAP1A', 'FBXW11', 'MGARP', 'KIF1C', 'ACTR10', 'TMEM108']
GOBP_PEROXISOME_ORGANIZATION	1	0.24633492026975012	-1.5941116371570683	1.0	52.48	['PEX6', 'PEX13', 'MFF', 'HACL1', 'PEX19', 'PEX11A', 'PEX26', 'ZFAND6', 'PEX14', 'SCP2', 'DNM1L', 'ABCD2', 'RAB8B', 'ACOT8', 'PEX12', 'ABCD1', 'PEX3', 'PEX16', 'MAVS', 'PEX1', 'TMEM135', 'PEX11G', 'FIS1', 'PEX5', 'LONP2']
GOBP_RESPONSE_TO_COPPER_ION	1	0.2458391548956744	1.951059179753995	1.0	59.49	['CDK1', 'SORD', 'SNCA', 'MT1A', 'TFRC', 'DAXX', 'HSF1', 'APP', 'MT-CO1', 'PRNP', 'SOD1', 'MT1G', 'AQP1', 'MT1DP', 'BECN1', 'ATP7B', 'MT1M', 'BACE1', 'MT1H', 'MT1B', 'AOC1', 'LCAT', 'MAP1LC3A', 'LOXL2', 'MT1E', 'MT1X', 'SOD3', 'MT2A', 'MT1F']
GOBP_REGULATION_OF_PROTEIN_TARGETING	1	0.24483236493066768	-1.5960151362105723	1.0	28.09	['FZD5', 'STOM', 'SAE1', 'GSK3A', 'ATG13', 'LMAN1', 'DMTN', 'MFF', 'ITGAM', 'C11orf65', 'LRRK2', 'ARIH2', 'FBXW7', 'KCNB1', 'VPS11', 'NPEPPS', 'MYO1C', 'BNIP3L', 'FYN', 'C2CD5', 'CHP1', 'UBE2D3', 'AKT2', 'MIEF1', 'ANK3', 'BAP1', 'ABLIM3', 'PINK1', 'HUWE1', 'INPP5K', 'SH3GLB1', 'ITGB1BP1']
