pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	0.24139973082099597	1.4780385061852053	0.125	22.13	['ALDH2', 'UGT1A8', 'UGT1A10', 'UGT2B17', 'UGDH', 'UGT1A4', 'UGT2B15', 'UGT1A9']
KEGG_HEDGEHOG_SIGNALING_PATHWAY	4	0.23630411627425812	1.311582498014646	0.5	28.567499999999995	['BMP6', 'BMP5', 'BMP8B', 'GLI2', 'WNT4', 'BTRC', 'WNT3', 'PTCH1', 'BMP7', 'CSNK1E', 'GLI3', 'CSNK1G2', 'SMO', 'WNT10A', 'STK36', 'ZIC2', 'BMP8A', 'WNT6', 'LRP2', 'WNT5B', 'WNT9A', 'DHH', 'PTCH2', 'PRKX', 'CSNK1D', 'PRKACB', 'WNT11', 'WNT7B', 'WNT2B']
KEGG_PRIMARY_IMMUNODEFICIENCY	5	0.2316731629828018	1.4002466336043982	0.625	59.760000000000005	['CD19', 'JAK3', 'PTPRC', 'TNFRSF13C', 'RFXANK', 'UNG', 'CD8B', 'CD8A', 'CD40LG', 'CD3D', 'TAP1', 'IL7R', 'ICOS', 'TAP2', 'CD4', 'CD40', 'IKBKG', 'BLNK', 'CD3E', 'RFX5', 'LCK', 'CD79A', 'ADA', 'BTK', 'ZAP70', 'IL2RG']
KEGG_GALACTOSE_METABOLISM	1	0.22258355257270696	-1.350237331471218	0.125	65.8	['GAA', 'GANC', 'PGM1', 'PFKM', 'PGM2', 'AKR1B1', 'GALT', 'HK2', 'HK1', 'MGAM', 'GALK2', 'B4GALT2', 'HK3', 'PFKL', 'GLB1', 'PFKP', 'UGP2', 'GALE', 'GALK1']
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	4	0.22187748117708497	1.3399043801276966	0.5	24.18	['ASS1', 'IL4I1', 'GLUD1', 'CPS1', 'GLS2', 'ASNS', 'GPT', 'CAD', 'ASL', 'NIT2', 'PPAT', 'ABAT']
KEGG_PURINE_METABOLISM	2	0.22006339639261996	1.3393555526240783	0.25	34.725	['POLR2J3', 'POLR3K', 'ENTPD6', 'NUDT5', 'GMPR2', 'APRT', 'AK4', 'DGUOK', 'POLR2L', 'POLA2', 'POLR1D', 'POLE4', 'PAICS', 'POLR2A', 'NME1-NME2', 'PRIM1', 'ADCY3', 'POLR2J2', 'POLD1', 'HPRT1', 'POLE', 'ADK', 'GUCY2D', 'PDE9A', 'AMPD2', 'PFAS', 'POLR2F', 'POLR3C', 'DCK', 'NT5C3A', 'ENTPD5', 'PDE6D', 'CANT1', 'GUK1', 'POLE2', 'POLR3B', 'POLR1C', 'NME3', 'PPAT', 'PDE6B', 'ITPA', 'POLR2C', 'POLR2H', 'GMPS', 'PRUNE1', 'ATIC', 'AK7', 'PDE1C', 'FHIT', 'POLR2G', 'PDE4B', 'NME1', 'ENTPD2', 'RRM2', 'POLR3GL', 'NUDT9', 'NME2', 'IMPDH2', 'PRIM2', 'ENTPD1', 'ENTPD8', 'PDE5A']
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	4	0.21897082467632398	1.3466751499621974	0.5	75.0875	['UCK1', 'XDH', 'UPP1', 'UCK2', 'TYMP', 'UCKL1', 'NAT2', 'UGT1A10', 'UGT2B7', 'TPMT', 'HPRT1', 'CYP2A7', 'UGT1A9', 'NAT1', 'UGT1A8', 'CES2', 'UGT2B15', 'IMPDH1', 'ITPA', 'UMPS', 'GMPS', 'UGT2B28', 'UGT2B11', 'TK1', 'CES1', 'UGT2B17', 'CYP2A6', 'UGT1A4', 'IMPDH2', 'CDA', 'GUSB', 'DPYD']
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	0.2185768699542846	-1.3770077952744988	0.125	54.45	['PPP3CB', 'BCL2', 'TNFRSF1B', 'TOMM40', 'PRPH2', 'PPP3CC', 'CASP3', 'GRIN2D', 'SLC1A2', 'CASP9', 'DAXX', 'TOMM40L', 'DERL1', 'BAD', 'GRIN1', 'PPP3R1', 'SOD1', 'CHP1', 'RAB5A', 'APAF1', 'MAP3K5', 'TNFRSF1A', 'CYCS', 'CCS', 'CAT', 'MAP2K3', 'MAP2K6', 'GRIA2', 'MAPK12', 'MAPK14', 'ALS2']
KEGG_HEMATOPOIETIC_CELL_LINEAGE	6	0.2184930627398064	-0.5100417925329289	0.75	34.751666666666665	['CD1D', 'IL1B', 'CD19', 'CD59', 'CD3G', 'IL3RA', 'ITGA5', 'CD37', 'CD5', 'GP1BA', 'IL1R1', 'IL11', 'FCGR1A', 'CD1A', 'EPOR', 'CSF2RA', 'HLA-DRB5', 'CD1E', 'IL11RA', 'HLA-DRA', 'FLT3', 'IL2RA', 'CD38', 'IL1R2', 'CD2', 'MS4A1', 'CD1C', 'TFRC', 'IL7', 'CD55', 'FCER2', 'CD8A', 'CD8B', 'ITGB3', 'CD34', 'ANPEP', 'ITGA2', 'CD3D', 'FLT3LG', 'CD33', 'IL7R', 'EPO', 'CD4', 'ITGA3', 'CD22', 'CD9', 'IL6', 'TNF', 'KIT', 'CD7', 'IL9R', 'CD3E', 'ITGAM', 'CR1', 'KITLG', 'IL4R', 'CR2', 'THPO', 'CD14', 'CD44', 'CSF1', 'IL6R', 'CD1B', 'ITGA6', 'CSF1R', 'GP1BB', 'CSF3R', 'HLA-DRB1']
KEGG_PHENYLALANINE_METABOLISM	7	0.21694448364345606	1.4412323101736224	0.875	41.097142857142856	['IL4I1', 'AOC2', 'ALDH1A3', 'ALDH3A1', 'AOC3', 'GOT1', 'MIF', 'TAT', 'ALDH3B1', 'MAOA', 'PAH', 'ALDH3B2']
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	5	0.21552186311901034	-1.352665303050833	0.625	34.998	['CREB3L1', 'DCTN2', 'DCTN1', 'DYNC1I1', 'DYNLL1', 'DYNC1LI2', 'DYNC2H1', 'ARHGDIA', 'ADCY3', 'CREB3L2', 'VAMP2', 'ADCY6', 'ADCY9', 'NSF', 'CREB5', 'DYNC1LI1', 'DCTN5', 'RAB5A', 'DYNC1H1', 'DYNLL2', 'DCTN4', 'AVPR2', 'RAB5B', 'DCTN6', 'RAB11B', 'GNAS', 'PRKACB', 'CREB1', 'STX4', 'PRKACA', 'DYNC1I2']
KEGG_OTHER_GLYCAN_DEGRADATION	4	0.21387095238593107	-1.3277004925135658	0.5	31.5575	['MAN2C1', 'HEXA', 'AGA', 'MAN2B2', 'HEXB', 'NEU3', 'GLB1', 'ENGASE', 'FUCA1']
