pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_HISTIDINE_METABOLIC_PROCESS	1	0.2499971316534805	-1.4316196449964809	0.125	34.57	['MTHFD1', 'HDC', 'CARNMT1', 'HNMT', 'BLOC1S6', 'CARNS1']
GOBP_ANTEROGRADE_AXONAL_TRANSPORT_OF_MITOCHONDRION	1	0.2497505833383807	-1.4210003755999125	0.125	28.19	['TRAK2', 'AGTPBP1', 'TRAK1', 'FEZ1']
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	1	0.2496101322434256	1.5641212722527342	0.125	34.82	['DAB2IP', 'FICD', 'NCK2', 'HSPA5', 'PTPN1', 'ATF6B', 'ERN1', 'BAK1', 'ATF6', 'BOK', 'BAX', 'COPS5', 'XBP1', 'RACK1', 'AGR2', 'DNAJB9', 'DDRGK1']
GOBP_TERTIARY_ALCOHOL_METABOLIC_PROCESS	1	0.24942205112652266	-1.4914599027161697	0.125	71.81	['CBR4', 'AKR1C3', 'CYP11A1', 'DKK3', 'AKR1B1', 'WNT4', 'AKR1B10', 'CACNA1H', 'H6PD', 'HSD11B2', 'BMP5', 'AKR7A2', 'AKR1A1', 'REST', 'DGKQ', 'AKR1C1', 'AKR1C2', 'SULT1C4', 'BMP2']
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_INTERNALIZATION	1	0.24940599324455565	-1.4714975136640382	0.125	60.24	['FMR1', 'AHI1', 'INSR', 'APELA', 'AP2M1', 'MAGI2', 'DTNBP1', 'ARRB1', 'CD63', 'GREM1', 'TBC1D5', 'ARRB2', 'APLN', 'EGF', 'ATAD1', 'VEGFA', 'SCYL2', 'PCSK9', 'SFRP4', 'ANGPT1', 'PLCG2', 'SELE']
GOBP_POSITIVE_REGULATION_OF_ERYTHROCYTE_DIFFERENTIATION	1	0.24939886613502837	-1.4716735565726633	0.125	74.4	['STAT3', 'PRMT1', 'STAT5B', 'SMAP1', 'STAT1', 'ACVR1B', 'ZNF16', 'ARNT', 'KAT7', 'INPP5D', 'PRKDC', 'HSPA1A', 'FAM210B', 'NCKAP1L', 'FOXO3', 'HMGB2', 'HIF1A', 'ANKRD54', 'INHBA', 'MAPK14', 'HSPA1B', 'ISG15', 'GATA2', 'ACVR2A', 'MED1', 'ABCB10', 'MIR221', 'TAL1', 'BRD1', 'ETS1']
GOBP_GMP_METABOLIC_PROCESS	1	0.24936959624515304	1.5333196813052128	0.125	34.14	['GMPS', 'GUK1', 'LRGUK', 'PRTFDC1', 'PPAT', 'PAICS', 'ATIC', 'GMPR2', 'PFAS', 'CARD11', 'ADK', 'APRT', 'MAGI3', 'HPRT1', 'IMPDH2']
GOBP_HISTONE_H3_K9_ACETYLATION	1	0.24932260664474587	-1.4224575537465836	0.125	22.93	['SPHK2', 'ZNF451', 'CAMK1', 'KAT2B', 'RAPGEF3', 'SMAD4', 'HDAC5', 'KMT2A']
GOBP_ENTRY_INTO_HOST	1	0.24921054575548093	1.532958156057633	0.125	26.36	['ITGB7', 'CXADR', 'F11R', 'TRIM68', 'SRC', 'HYAL2', 'TRIM26', 'XPR1', 'CLDN1', 'EXOC7', 'SCARB2', 'LAMP3', 'TRIM22', 'LDLR', 'GRK2', 'TRIM14', 'P4HB', 'MID2', 'ITGB6', 'PLSCR1', 'TNFRSF14', 'CDK1', 'TMPRSS2', 'NECTIN2', 'TRIM11', 'CCR5', 'EXOC2', 'SLC52A1', 'LGALS1', 'EGFR', 'EFNB3', 'ANPEP', 'TRIM59', 'SLC3A2', 'CXCR4', 'PVR', 'LY6E', 'LAMP1', 'CD55', 'EFNB2', 'TRIM27', 'ACE2', 'TFRC', 'NECTIN1', 'ITGA2', 'CD46', 'TRIM62', 'NPC1', 'TRIM6', 'SLC52A2', 'VAMP8']
GOBP_REGULATION_OF_CELL_CELL_ADHESION	1	0.24902044661605494	1.6554217398055822	0.125	38.49	['KIFAP3', 'PAWR', 'MYB', 'HES1', 'DHPS', 'DLG5', 'EPHA7', 'ZP3', 'KLRC4-KLRK1', 'CCR2', 'ZBTB7B', 'ICOS', 'AFDN', 'TNFRSF14', 'HLA-DOA', 'PRKCZ', 'CSK', 'ZMIZ1', 'CD6', 'GATA3', 'NCK2', 'ERBB2', 'EPB41L5', 'DOCK8', 'RIPK2', 'ADTRP', 'IL4I1', 'TMIGD2', 'PTPN6', 'CHST4', 'LGALS7B', 'KLRK1', 'CD300A', 'MMRN1', 'PTPN23', 'ABAT', 'CD276', 'IL4R', 'CCL5', 'TNFSF13B', 'LYN', 'IL12A', 'WNT4', 'RELA', 'PELI1', 'CEACAM1', 'SRC', 'PLAUR', 'HMGB1', 'FLOT2', 'VCAM1', 'SIRPG', 'SERPINE2', 'AGER', 'LCK', 'ITGB2', 'MEGF10', 'IL27RA', 'FOXA1', 'GLI2', 'ADORA2A', 'ZAP70', 'PAG1', 'CD3E', 'CD5', 'PRNP', 'PDE5A', 'SPN', 'ADAM8', 'PYCARD', 'ABCA12', 'EFNB2', 'SOX12', 'FOXP3', 'CD46', 'SIRPA', 'CORO1A', 'CARD11', 'PTK2', 'EPCAM', 'HLA-DOB', 'SDC4', 'XCL1', 'HLA-DQB2', 'LAG3', 'EPHB3', 'IRAK1', 'GLI3', 'EGR3', 'CXCL13', 'CD47', 'MDK', 'VTCN1', 'RUNX3', 'IL23A', 'RARA', 'TWSG1', 'KIF26B', 'TIGIT', 'PNP', 'JAK3', 'IL7', 'CD24', 'HLA-DQA1', 'LAX1', 'TNFRSF13C', 'IL1RL2', 'PTPRU', 'CD44', 'RASAL3', 'HLA-DQA2', 'AP3D1', 'PTPN22', 'SOX4', 'CTLA4', 'MIA3', 'BMP7', 'LRFN3', 'FLOT1', 'FERMT3', 'CX3CL1', 'CD55', 'BTN2A2', 'SOX13', 'CD274', 'TFRC', 'IL18', 'CCR7', 'PODXL', 'FUT9', 'LGALS9', 'GCNT2', 'TRPV4', 'CCL28', 'HLA-DPB1', 'IL7R', 'MYADM', 'TNFSF11', 'IL12RB1', 'RPS3', 'PDPN', 'F11R', 'PRKCA', 'NOD2', 'SLC7A1', 'MINK1', 'CD40LG', 'IGFBP2', 'SYK', 'TGFB1', 'HSPH1', 'CDSN', 'FCHO1', 'EFNA5', 'CD9', 'PLA2G2D', 'FADD', 'ALOX12', 'SPINT2', 'RASGRP1', 'CCDC88B', 'CDH1', 'EFNB3', 'PTPRC', 'LEF1', 'CEACAM6', 'HLA-A', 'FXYD5', 'ICOSLG', 'CD27', 'EBI3', 'METTL3', 'FUT4', 'HFE', 'CRTAM', 'SKAP1', 'LGALS9B', 'FUT3', 'SLAMF1', 'RHOH', 'XBP1', 'MIR221']
