pathway	freq	padj	stability	overlap	genes
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	4	1.0497778081406446e-07	0.5	0.22692307692307695	['UBA2', 'CUL5', 'HERC2', 'BIRC2', 'UBE2D1', 'CUL2', 'UBE3A', 'PIAS1', 'ITCH', 'NEDD4', 'CDC23', 'BIRC6', 'XIAP', 'ERCC8', 'FBXW7', 'HERC3', 'CBLB', 'ANAPC4', 'UBE4B', 'UBA3', 'UBE2D3', 'CUL3', 'UBR5', 'ANAPC5', 'HERC1', 'VHL', 'HERC4', 'UBE3C', 'CUL4B', 'TRIP12', 'CDC27', 'PIAS2', 'ANAPC1', 'HUWE1']
KEGG_SPLICEOSOME	4	0.00011658292703661669	0.5	0.17261904761904762	['HNRNPK', 'AQR', 'ACIN1', 'TCERG1', 'PLRG1', 'PRPF38B', 'SLU7', 'SF3B1', 'DDX46', 'SRSF7', 'RBMX', 'CDC40', 'SNRNP200', 'SF3A3', 'RBM17', 'SRSF10', 'THOC1', 'RBM25', 'PRPF3', 'TRA2A', 'TRA2B', 'PRPF40A', 'THOC2', 'HNRNPU', 'U2SURP', 'DHX8', 'DHX15']
KEGG_CELL_CYCLE	4	0.00022752400878196466	0.5	0.15983606557377047	['ATM', 'ATR', 'CREBBP', 'WEE1', 'ORC2', 'SMAD4', 'PRKDC', 'RAD21', 'RBL2', 'TFDP2', 'STAG2', 'ORC3', 'CDC23', 'EP300', 'STAG1', 'ANAPC4', 'CCNH', 'ANAPC5', 'GSK3B', 'ORC4', 'SMC3', 'CDC27', 'SMAD2', 'ANAPC1']
KEGG_ERBB_SIGNALING_PATHWAY	3	0.0009789143738090872	0.375	0.16666666666666666	['RAF1', 'GSK3B', 'CBLB', 'MAPK8', 'MTOR', 'MAP2K1', 'MAPK10', 'PIK3CB', 'BRAF', 'PIK3R1', 'NCK1', 'PTK2', 'SOS1', 'GAB1', 'PIK3CA']
KEGG_RENAL_CELL_CARCINOMA	3	0.001162435258968415	0.375	0.1761904761904762	['ARNT', 'RAF1', 'PTPN11', 'MAP2K1', 'BRAF', 'PIK3CB', 'CREBBP', 'PIK3R1', 'EP300', 'SOS1', 'CUL2', 'GAB1', 'PIK3CA']
KEGG_TIGHT_JUNCTION	3	0.00122798421970917	0.375	0.14814814814814814	['CTNNB1', 'PPP2R2A', 'MAGI2', 'CTNNA1', 'PPP2CB', 'MPDZ', 'EPB41L2', 'ASH1L', 'TJP2', 'PTEN', 'AFDN', 'EXOC4', 'CASK', 'PRKCI', 'TJP1', 'PRKCH', 'PPP2R1B']
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	3	0.001351972426663667	0.375	0.12204007285974498	['ENAH', 'ABI2', 'PDGFC', 'BRAF', 'NCKAP1', 'CYFIP1', 'SOS1', 'PIK3CA', 'ARHGEF12', 'RAF1', 'ROCK2', 'TIAM2', 'PPP1R12A', 'PIK3CB', 'PIK3R1', 'ITGAV', 'APC', 'ROCK1', 'IQGAP1', 'SSH2', 'ARHGEF7', 'MAP2K1', 'PTK2', 'ITGB1']
KEGG_WNT_SIGNALING_PATHWAY	4	0.0017163051554887419	0.5	0.14661654135338345	['PPP2CB', 'MAPK10', 'CREBBP', 'PLCB4', 'SMAD4', 'ROCK2', 'MAPK8', 'SENP2', 'CHD8', 'EP300', 'APC', 'ROCK1', 'PPP2R5C', 'CSNK1A1', 'PPP3R1', 'PPP3CB', 'TBL1XR1', 'CTNNB1', 'GSK3B', 'NFAT5', 'LRP6', 'SMAD2', 'DAAM1', 'PPP2R1B']
KEGG_ADHERENS_JUNCTION	4	0.0018417225234836543	0.5	0.17857142857142858	['CTNNB1', 'IQGAP1', 'CTNNA1', 'FARP2', 'FER', 'CTNND1', 'SORBS1', 'PTPRM', 'SSX2IP', 'CREBBP', 'AFDN', 'EP300', 'SMAD4', 'SMAD2', 'TJP1']
KEGG_CHRONIC_MYELOID_LEUKEMIA	3	0.001985569067050014	0.375	0.1643835616438356	['RAF1', 'PTPN11', 'CBLB', 'SOS1', 'MAP2K1', 'BRAF', 'PIK3CB', 'PIK3R1', 'SMAD4', 'NFKB1', 'CHUK', 'PIK3CA']
KEGG_NUCLEOTIDE_EXCISION_REPAIR	4	0.0023588097682520886	0.5	0.21511627906976746	['GTF2H3', 'ERCC5', 'ERCC6', 'RPA1', 'RFC1', 'CUL4B', 'ERCC8', 'GTF2H1', 'XPC', 'POLD3', 'CCNH']
KEGG_COLORECTAL_CANCER	4	0.0028463685261539955	0.5	0.20416666666666666	['CTNNB1', 'RAF1', 'GSK3B', 'APPL1', 'MAPK8', 'MAP2K1', 'MAPK10', 'BRAF', 'PIK3CB', 'PIK3R1', 'SMAD4', 'SMAD2', 'APC', 'PIK3CA']
KEGG_PROSTATE_CANCER	4	0.0030702829852757288	0.5	0.17261904761904762	['CTNNB1', 'CREB1', 'RAF1', 'GSK3B', 'PDGFC', 'MTOR', 'MAP2K1', 'BRAF', 'PIK3CB', 'PTEN', 'CREBBP', 'PIK3R1', 'EP300', 'SOS1', 'NFKB1', 'CHUK', 'PIK3CA']
