pathway	freq	padj	stability	overlap	genes
KEGG_SPLICEOSOME	1	1.63783985214824e-08	1.0	0.21428571428571427	['HNRNPK', 'AQR', 'ACIN1', 'TCERG1', 'PLRG1', 'PRPF38B', 'SLU7', 'SF3B1', 'DDX46', 'SRSF7', 'RBMX', 'CDC40', 'SNRNP200', 'SF3A3', 'RBM17', 'SRSF10', 'THOC1', 'RBM25', 'PRPF3', 'TRA2A', 'TRA2B', 'PRPF40A', 'THOC2', 'HNRNPU', 'U2SURP', 'DHX8', 'DHX15']
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	4.197957936075902e-07	1.0	0.19230769230769232	['UBA2', 'HERC2', 'BIRC2', 'UBE3A', 'PIAS1', 'ITCH', 'CDC23', 'BIRC6', 'XIAP', 'FBXW7', 'HERC3', 'ANAPC4', 'UBE4B', 'UBA3', 'CUL3', 'UBR5', 'ANAPC5', 'VHL', 'HERC4', 'UBE3C', 'CUL4B', 'TRIP12', 'PIAS2', 'ANAPC1', 'HUWE1']
KEGG_CELL_CYCLE	1	0.0001247261237539843	1.0	0.16393442622950818	['ATM', 'ATR', 'CREBBP', 'WEE1', 'ORC2', 'SMAD4', 'PRKDC', 'TFDP2', 'STAG2', 'ORC3', 'CDC23', 'EP300', 'STAG1', 'ANAPC4', 'ANAPC5', 'GSK3B', 'ORC4', 'SMC3', 'SMAD2', 'ANAPC1']
KEGG_ADHERENS_JUNCTION	1	0.004844974596550307	1.0	0.17142857142857143	['CTNNB1', 'IQGAP1', 'CTNNA1', 'FARP2', 'FER', 'CTNND1', 'SSX2IP', 'CREBBP', 'AFDN', 'EP300', 'SMAD4', 'SMAD2']
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.004844974596550307	1.0	0.4166666666666667	['XRCC5', 'DCLRE1C', 'PRKDC', 'RAD50', 'MRE11']
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0.0051460941903596555	1.0	0.20930232558139536	['GTF2H3', 'ERCC5', 'ERCC6', 'RPA1', 'RFC1', 'CUL4B', 'GTF2H1', 'XPC', 'POLD3']
KEGG_RNA_DEGRADATION	1	0.006033976662052601	1.0	0.18181818181818182	['CNOT6', 'CNOT6L', 'EXOSC10', 'CNOT2', 'PAPOLA', 'XRN1', 'CNOT10', 'TTC37', 'CNOT1', 'PAPOLG']
KEGG_WNT_SIGNALING_PATHWAY	1	0.006033976662052601	1.0	0.12781954887218044	['CTNNB1', 'ROCK1', 'GSK3B', 'PPP2R1B', 'MAPK8', 'CSNK1A1', 'SENP2', 'CHD8', 'NFAT5', 'PPP3CB', 'LRP6', 'CREBBP', 'EP300', 'SMAD4', 'SMAD2', 'DAAM1', 'APC']
KEGG_COLORECTAL_CANCER	1	0.01085622315648479	1.0	0.16666666666666666	['CTNNB1', 'RAF1', 'GSK3B', 'APPL1', 'MAPK8', 'BRAF', 'SMAD4', 'SMAD2', 'APC', 'PIK3CA']
KEGG_PATHWAYS_IN_CANCER	1	0.011525465956753118	1.0	0.09556313993174062	['STAT3', 'APPL1', 'BIRC2', 'BRAF', 'CREBBP', 'SOS1', 'SMAD4', 'NFKB1', 'PIK3CA', 'TPR', 'RAF1', 'CTNNA1', 'MAPK8', 'BRCA2', 'PIAS1', 'EP300', 'ITGAV', 'XIAP', 'APC', 'CHUK', 'SUFU', 'CTNNB1', 'GSK3B', 'VHL', 'MTOR', 'STK36', 'PIAS2', 'SMAD2']
KEGG_PROSTATE_CANCER	1	0.011525465956753118	1.0	0.14285714285714285	['CTNNB1', 'CREB1', 'RAF1', 'GSK3B', 'MTOR', 'BRAF', 'CREBBP', 'EP300', 'SOS1', 'NFKB1', 'CHUK', 'PIK3CA']
KEGG_APOPTOSIS	1	0.025142695387367645	1.0	0.13580246913580246	['ATM', 'APAF1', 'CHUK', 'BIRC2', 'PPP3CB', 'IRAK4', 'RIPK1', 'NFKB1', 'XIAP', 'TNFRSF10B', 'PIK3CA']
KEGG_PANCREATIC_CANCER	1	0.025142695387367645	1.0	0.14285714285714285	['STAT3', 'RAF1', 'CHUK', 'MAPK8', 'BRCA2', 'BRAF', 'SMAD4', 'NFKB1', 'SMAD2', 'PIK3CA']
KEGG_ENDOMETRIAL_CANCER	1	0.026425956033354847	1.0	0.16326530612244897	['CTNNB1', 'RAF1', 'GSK3B', 'CTNNA1', 'BRAF', 'SOS1', 'APC', 'PIK3CA']
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.03187803664676261	1.0	0.1568627450980392	['TBK1', 'AZI2', 'DDX3X', 'MAPK8', 'CYLD', 'NFKB1', 'RIPK1', 'CHUK']
KEGG_MISMATCH_REPAIR	1	0.03307422505335461	1.0	0.22727272727272727	['PMS2', 'MLH3', 'RPA1', 'RFC1', 'POLD3']
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.056034140713175744	1.0	0.14035087719298245	['STAT3', 'RAF1', 'MTOR', 'BRAF', 'SOS1', 'NFKB1', 'CHUK', 'PIK3CA']
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.06504634966056766	1.0	0.13559322033898305	['TAB2', 'MAPK8', 'BIRC2', 'ERBIN', 'TAB3', 'NFKB1', 'XIAP', 'CHUK']
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.06936298477774513	1.0	0.18518518518518517	['RAD50', 'BRCA2', 'MRE11', 'RPA1', 'POLD3']
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.06936309532217015	1.0	0.1232876712328767	['RAF1', 'GSK3B', 'MALT1', 'NFAT5', 'PPP3CB', 'SOS1', 'NFKB1', 'CHUK', 'PIK3CA']
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	1	0.08306851332756765	1.0	0.15	['TBK1', 'ADAR', 'POLR3A', 'NFKB1', 'RIPK1', 'CHUK']
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.08306851332756765	1.0	0.10784313725490197	['RAF1', 'GSK3B', 'MALT1', 'NFAT5', 'DLG1', 'PPP3CB', 'NCK1', 'SOS1', 'NFKB1', 'CHUK', 'PIK3CA']
KEGG_TGF_BETA_SIGNALING_PATHWAY	1	0.08397133514730029	1.0	0.11688311688311688	['ROCK1', 'SMAD5', 'CREBBP', 'EP300', 'SP1', 'SMAD4', 'SMAD2', 'ZFYVE16', 'PPP2R1B']
KEGG_REGULATION_OF_AUTOPHAGY	1	0.08690160977516792	1.0	0.2	['PIK3R4', 'ATG3', 'PIK3C3', 'ATG7']
KEGG_SMALL_CELL_LUNG_CANCER	1	0.09728381763797359	1.0	0.1125	['APAF1', 'PIAS1', 'BIRC2', 'PIAS2', 'NFKB1', 'ITGAV', 'XIAP', 'CHUK', 'PIK3CA']
