pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_RNA_POLYMERASE	1	0.24941140829221847	1.6190587247816268	1.0	21.2	['POLR3C', 'POLR2B', 'POLR2J3', 'POLR2H', 'POLR1A', 'POLR1B', 'POLR2J2', 'POLR3D', 'POLR2G', 'POLR2D', 'POLR3A', 'POLR2A', 'POLR3B']
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.24881884936091633	1.5839215287079702	1.0	44.74	['TGFA', 'STK4', 'CASP9', 'AKT2', 'RARB', 'E2F3', 'NRAS', 'BRAF', 'MAPK1', 'RB1', 'PIK3R3', 'SOS1', 'GRB2', 'PIK3CA', 'PLCG1', 'RAF1', 'PDPK1', 'TP53', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'FOXO3', 'RASSF1', 'RASSF5', 'PIK3CG', 'FHIT', 'CDK6', 'SOS2', 'PIK3R5', 'ARAF', 'MAP2K1', 'RXRB', 'KRAS']
KEGG_ENDOMETRIAL_CANCER	1	0.23615010711503504	1.6171078059893471	1.0	47.49	['MLH1', 'CASP9', 'AKT2', 'NRAS', 'BRAF', 'MAPK1', 'PIK3R3', 'SOS1', 'GRB2', 'PIK3CA', 'RAF1', 'CTNNA1', 'PDPK1', 'TP53', 'PIK3CB', 'PIK3CD', 'PIK3R1', 'APC', 'FOXO3', 'CDH1', 'PIK3CG', 'TCF7', 'PTEN', 'LEF1', 'TCF7L1', 'SOS2', 'PIK3R5', 'CTNNB1', 'ILK', 'GSK3B', 'ARAF', 'MAP2K1', 'KRAS']
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.19638297411927638	1.7138547191040667	1.0	40.07	['PLCB2', 'ITPR2', 'IMPA1', 'PIK3C2A', 'PLCB4', 'PIK3R3', 'PIK3CA', 'INPP5D', 'ITPR3', 'PIP4K2A', 'INPP5B', 'PIP5K1B', 'IPPK', 'PIKFYVE', 'CALM1', 'PIK3CD', 'PIK3CB', 'PIK3R1', 'INPP5K', 'INPP4A', 'INPP5A', 'CDS2', 'PIK3C3', 'PI4KA', 'PIP4K2C', 'SYNJ2', 'PI4KB', 'PIP4K2B', 'PTEN', 'DGKE', 'OCRL', 'INPP5E', 'DGKH', 'INPP1', 'PIK3R5', 'DGKA', 'DGKD', 'ITPKB', 'SYNJ1', 'PIP5K1A', 'PIK3C2G']
KEGG_RENAL_CELL_CARCINOMA	1	0.18739138685256576	1.7074306578432623	1.0	46.88	['TGFA', 'ARNT2', 'CDC42', 'SLC2A1', 'EPAS1', 'AKT2', 'NRAS', 'BRAF', 'MAPK1', 'CREBBP', 'CRKL', 'PIK3R3', 'EGLN1', 'SOS1', 'CUL2', 'GRB2', 'TGFB3', 'PIK3CA', 'ARNT', 'RAF1', 'PAK4', 'PIK3CB', 'CRK', 'PIK3CD', 'PIK3R1', 'EP300', 'RAPGEF1', 'FH', 'RAC1', 'PTPN11', 'HIF1A', 'PIK3CG', 'PAK3', 'SOS2', 'PIK3R5', 'GAB1', 'RAP1B', 'RAP1A', 'FLCN', 'VHL', 'ARAF', 'MAP2K1', 'PAK2', 'KRAS', 'HGF']
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.17727980925851608	1.7465494726075155	1.0	34.58	['XRCC5', 'DCLRE1C', 'PRKDC', 'RAD50', 'POLM', 'XRCC6', 'MRE11', 'LIG4', 'XRCC4']
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.16804076863152428	1.7756268305692178	1.0	42.4	['HARS2', 'TARS2', 'IARS2', 'YARS2', 'MARS2', 'RARS2', 'DARS2', 'SEPSECS', 'MTFMT', 'LARS2', 'WARS2', 'PARS2', 'EARS2', 'PSTK', 'FARS2', 'FARSB']
KEGG_SMALL_CELL_LUNG_CANCER	1	0.13043284211893014	1.8636855187882297	1.0	44.74	['APAF1', 'ITGA6', 'CASP9', 'BIRC2', 'AKT2', 'RARB', 'RELA', 'E2F3', 'RB1', 'PIK3R3', 'MAX', 'NFKB1', 'PIK3CA', 'CYCS', 'BIRC3', 'TP53', 'PIAS1', 'LAMC2', 'PIK3CB', 'SKP2', 'CCNE2', 'PIK3CD', 'PIK3R1', 'CDK2', 'XIAP', 'ITGAV', 'CHUK', 'PIAS3', 'LAMC3', 'IKBKB', 'COL4A6', 'PIK3CG', 'TRAF6', 'FHIT', 'PTEN', 'CDK6', 'LAMB3', 'PIK3R5', 'CDKN2B', 'ITGA2', 'LAMA4', 'TRAF3', 'TRAF5', 'RXRB', 'LAMA2', 'ITGB1', 'PIAS2', 'LAMB2', 'TRAF1', 'LAMC1']
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.12935673273897114	1.8452613048810647	1.0	49.87	['ITK', 'NFATC1', 'CDC42', 'IL10', 'PPP3CA', 'AKT2', 'CD28', 'RELA', 'NRAS', 'MAPK1', 'CBLC', 'PIK3R3', 'SOS1', 'NFKB1', 'GRB2', 'PIK3CA', 'PLCG1', 'RAF1', 'TEC', 'LCK', 'PDPK1', 'PAK4', 'PIK3CB', 'PIK3CD', 'MAPK9', 'NCK1', 'PIK3R1', 'PAK1', 'CHUK', 'RASGRP1', 'NCK2', 'MALT1', 'CD3E', 'CD8A', 'CBLB', 'IKBKB', 'LAT', 'PIK3CG', 'RHOA', 'DLG1', 'PPP3R1', 'PPP3CB', 'BCL10', 'MAPK14', 'NFATC3', 'MAPK13', 'MAP3K7', 'PTPRC', 'PAK3', 'CDK4', 'VAV3', 'SOS2', 'PIK3R5', 'CBL', 'PRKCQ', 'GSK3B', 'NFAT5', 'MAP2K1', 'CARD11', 'MAP3K14', 'PAK2', 'VAV1', 'CD3G', 'CHP1', 'PPP3CC', 'KRAS', 'NFKBIE']
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.10699601835021207	1.949006451650374	1.0	31.43	['STX16', 'BET1', 'VAMP2', 'STX19', 'STX2', 'STX8', 'STX6', 'STX12', 'YKT6', 'STX18', 'VAMP1', 'GOSR2', 'SNAP23', 'STX17', 'STX3', 'GOSR1', 'VAMP3', 'SNAP29', 'STX7', 'BNIP1', 'VTI1B', 'VAMP8']
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.10177319434655191	1.9291022918631058	1.0	44.6	['PLCB2', 'IMPA1', 'PIK3C2A', 'MINPP1', 'PLCB4', 'PIK3CA', 'PLCG1', 'PIP4K2A', 'INPP5B', 'PIP5K1B', 'IPPK', 'PIKFYVE', 'PIK3CB', 'PIK3CD', 'INPP4B', 'INPP5K', 'INPP4A', 'INPP5A', 'PIK3C3', 'PI4KA', 'PIK3CG', 'PIP4K2C', 'SYNJ2', 'PI4KB', 'PIP4K2B', 'PTEN', 'OCRL', 'INPP5E', 'IPMK', 'INPP1', 'ALDH6A1', 'ITPKB', 'SYNJ1', 'PIP5K1A', 'PIK3C2G']
KEGG_CITRATE_CYCLE_TCA_CYCLE	1	0.018313425084393663	2.250894307932799	1.0	12.25	['SUCLA2', 'CS', 'SDHB', 'ACO1', 'DLAT', 'OGDH', 'MDH1', 'DLD', 'SUCLG1', 'PDHB', 'PDHA1', 'SDHA', 'SDHD', 'DLST']
KEGG_APOPTOSIS	1	0.006037392884964943	2.434987987467284	1.0	46.02	['DFFA', 'PRKACB', 'APAF1', 'ATM', 'CASP9', 'BIRC2', 'PPP3CA', 'AKT2', 'TNFRSF10A', 'RELA', 'MYD88', 'CASP7', 'IRAK4', 'PIK3R3', 'CASP6', 'NFKB1', 'RIPK1', 'CASP3', 'PIK3CA', 'IL1RAP', 'TNFRSF1A', 'TNFSF10', 'CYCS', 'BIRC3', 'TP53', 'IRAK2', 'AIFM1', 'PIK3CB', 'PIK3CD', 'CASP8', 'PIK3R1', 'TNFRSF10D', 'IL1B', 'PRKAR2B', 'BID', 'XIAP', 'EXOG', 'TNFRSF10B', 'CHUK', 'PRKX', 'PRKAR2A', 'IRAK3', 'IKBKB', 'PIK3CG', 'PPP3R1', 'PPP3CB', 'FAS', 'PIK3R5', 'PRKACA', 'TNFRSF10C', 'ENDOD1', 'CFLAR', 'DFFB', 'MAP3K14', 'CHP1', 'PPP3CC']
KEGG_RNA_DEGRADATION	1	0.0046957500216394015	2.513444138598649	1.0	51.87	['CNOT6', 'DCP2', 'MPHOSPH6', 'PNPT1', 'ENO2', 'ZCCHC7', 'CNOT9', 'XRN2', 'CNOT7', 'DCPS', 'EXOSC1', 'C1D', 'PARN', 'EXOSC6', 'LSM6', 'CNOT6L', 'EXOSC10', 'CNOT2', 'LSM5', 'DDX6', 'XRN1', 'DCP1B', 'CNOT10', 'EXOSC3', 'TTC37', 'HSPD1', 'SKIV2L', 'DCP1A', 'DIS3', 'ENO1', 'CNOT4', 'WDR61', 'HSPA9', 'CNOT8', 'CNOT1', 'EXOSC8', 'EXOSC2', 'PAPOLA', 'LSM2', 'EDC3', 'PATL1', 'LSM8', 'PAPOLG', 'EXOSC9']
KEGG_SPLICEOSOME	1	0.0005031160737470787	2.8433609149802375	1.0	51.6	['SRSF5', 'DHX16', 'PPIL1', 'SNRPF', 'PRPF8', 'USP39', 'HNRNPA1L2', 'SF3B1', 'SNRNP70', 'LSM5', 'SF3A1', 'ISY1', 'SNRNP200', 'SRSF3', 'PRPF38A', 'PRPF3', 'CRNKL1', 'TRA2B', 'SNRPC', 'HNRNPU', 'SNRNP40', 'SRSF8', 'SYF2', 'HNRNPK', 'ZMAT2', 'ACIN1', 'PRPF38B', 'SLU7', 'DDX46', 'HNRNPC', 'BCAS2', 'CDC40', 'SRSF6', 'RBM17', 'THOC1', 'RBM25', 'THOC3', 'DDX39B', 'SNRPD2', 'SRSF2', 'SNW1', 'SNRPD1', 'U2AF2', 'PRPF19', 'MAGOHB', 'U2SURP', 'DHX8', 'SRSF1', 'LSM8', 'RBM8A', 'AQR', 'RBM22', 'TCERG1', 'DDX23', 'SNRPB', 'LSM6', 'HNRNPA1', 'SRSF7', 'EIF4A3', 'HNRNPM', 'SNRNP27', 'SNRPA1', 'CWC15', 'NCBP2', 'PRPF18', 'TRA2A', 'HNRNPA3', 'WBP11', 'DHX15', 'SF3B3', 'PLRG1', 'DDX42', 'PRPF4', 'MAGOH', 'PPIH', 'SF3B4', 'RBMX', 'PRPF40B', 'SNRPG', 'SF3A3', 'SRSF10', 'EFTUD2', 'DHX38', 'DDX5', 'SNU13', 'NCBP1', 'PRPF40A', 'THOC2', 'LSM2', 'SRSF4', 'SRSF9', 'HSPA8']
