pathway	freq	padj	NES	stability	overlap
GOBP_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1	0.2496030393835459	-1.4875642180309323	1.0	11.97
GOBP_PROTEIN_LOCALIZATION_TO_VACUOLE	1	0.2495087335424778	-1.487289535655467	1.0	42.79
GOBP_REGULATION_OF_SECRETION	1	0.24949809437065362	-1.486924251820671	1.0	15.06
GOBP_REGULATION_OF_POST_TRANSLATIONAL_PROTEIN_MODIFICATION	1	0.24947979599630166	-1.4874900908620317	1.0	26.56
GOBP_REGULATION_OF_PLASMA_MEMBRANE_ORGANIZATION	1	0.24942607646093842	-1.4871835355715568	1.0	42.38
GOBP_POSITIVE_REGULATION_OF_ERAD_PATHWAY	1	0.24918948578552874	-1.4881422795982504	1.0	31.74
GOBP_POSITIVE_REGULATION_OF_GLUCOSE_TRANSMEMBRANE_TRANSPORT	1	0.2491865684405707	-1.4883285154227663	1.0	62.82
GOBP_ARF_PROTEIN_SIGNAL_TRANSDUCTION	1	0.24907041397429203	-1.488805777088165	1.0	55.88
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	1	0.24900937552273458	-1.4886516413869315	1.0	20.32
GOBP_REGULATION_OF_CELL_SIZE	1	0.24861353947431367	-1.489376308792855	1.0	27.43
GOBP_REGULATION_OF_POSITIVE_CHEMOTAXIS	1	0.24849425963002353	-1.489839291939545	1.0	47.1
GOBP_ENDODERMAL_CELL_DIFFERENTIATION	1	0.24845432116663907	-1.4896862810393816	1.0	18.2
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_BINDING_OLIGOMERIZATION_DOMAIN_CONTAINING_2_SIGNALING_PATHWAY	1	0.24831399710909594	-1.4903723764387273	1.0	45.57
GOBP_CYTOPLASMIC_SEQUESTERING_OF_TRANSCRIPTION_FACTOR	1	0.2481332025861048	-1.4903483874232863	1.0	35.66
GOBP_THROMBIN_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	1	0.2473655370725062	1.651651073513623	1.0	26.88
GOBP_T_TUBULE_ORGANIZATION	1	0.24723780210147994	-1.4915347679215485	1.0	26.35
GOBP_NEGATIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	1	0.24704378117425693	1.6514229521233597	1.0	32.45
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_17_PRODUCTION	1	0.24681202191747686	1.6525776246734671	1.0	28.85
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BIOSYNTHETIC_PROCESS	1	0.24675627345095386	-1.4921622641920071	1.0	26.17
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL	1	0.24655778224101244	1.6513500370380518	1.0	49.18
GOBP_NEGATIVE_REGULATION_OF_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	1	0.2462568786957942	-1.493913140294725	1.0	26.29
GOBP_POSITIVE_REGULATION_OF_CELL_DEATH	1	0.24608883140373056	-1.4938797009802514	1.0	38.72
GOBP_IRON_IMPORT_INTO_CELL	1	0.24607157077647013	1.6508048071514512	1.0	31.84
GOBP_POSITIVE_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	1	0.2460501366430777	1.6512860719198115	1.0	30.22
GOBP_ADAPTATION_OF_SIGNALING_PATHWAY	1	0.24594600477991896	-1.4943963515086365	1.0	54.99
GOBP_REGULATION_OF_KERATINOCYTE_MIGRATION	1	0.24594201237250937	-1.4938140977842482	1.0	16.62
GOBP_REGULATION_OF_GASTRULATION	1	0.24590689549735925	-1.4946147171721855	1.0	39.87
GOBP_MOTOR_NEURON_AXON_GUIDANCE	1	0.24585890731460205	1.6505322441361752	1.0	42.2
GOBP_NUCLEOSIDE_TRIPHOSPHATE_CATABOLIC_PROCESS	1	0.24583444538150817	-1.4937386613009538	1.0	57.25
GOBP_FOREBRAIN_NEURON_DEVELOPMENT	1	0.24579550169244632	-1.493583541921822	1.0	12.38
GOBP_SYNAPTIC_VESICLE_RECYCLING	1	0.24579183333388532	-1.4932267311043104	1.0	68.32
GOBP_OSSIFICATION	1	0.24573097733522334	-1.4934545167496802	1.0	11.12
GOBP_REGULATION_OF_VIRAL_TRANSCRIPTION	1	0.24505305420710485	-1.495526624195563	1.0	25.96
GOBP_ASPARTATE_METABOLIC_PROCESS	1	0.24471741529341867	-1.4962461464321894	1.0	49.37
GOBP_MESENCHYMAL_CELL_PROLIFERATION	1	0.2446014167601577	-1.4965268336494788	1.0	9.84
GOBP_LONG_CHAIN_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS	1	0.24453177047779684	-1.4962329157872405	1.0	22.11
GOBP_NEGATIVE_REGULATION_OF_POTASSIUM_ION_TRANSPORT	1	0.24419165021965375	-1.4971008221145108	1.0	34.93
GOBP_ORGAN_INDUCTION	1	0.243667961878519	-1.4979524433502083	1.0	53.78
GOBP_REGULATION_OF_RESPONSE_TO_REACTIVE_OXYGEN_SPECIES	1	0.24366117111660637	-1.4977655423866207	1.0	17.61
GOBP_CHORIO_ALLANTOIC_FUSION	1	0.24343190802048284	1.6556910931153677	1.0	45.1
GOBP_POSITIVE_REGULATION_OF_MIRNA_MEDIATED_GENE_SILENCING_BY_INHIBITION_OF_TRANSLATION	1	0.24313422639817164	-1.498604984147749	1.0	39.62
GOBP_RESPONSE_TO_CYTOKINE	1	0.24287561804953559	1.6570901280940953	1.0	21.67
GOBP_POSITIVE_REGULATION_OF_DNA_BINDING_TRANSCRIPTION_FACTOR_ACTIVITY	1	0.24259172294146117	1.6568622918090892	1.0	21.53
GOBP_DENDRITIC_CELL_MIGRATION	1	0.24180736494007954	1.6588610018971428	1.0	32.68
GOBP_INNERVATION	1	0.24167487786266936	1.6585345123967206	1.0	31.36
GOBP_RESPONSE_TO_LAMINAR_FLUID_SHEAR_STRESS	1	0.2408206698801656	-1.5009431403445743	1.0	21.95
GOBP_XENOBIOTIC_TRANSPORT	1	0.24063099860581932	1.6602496315697688	1.0	27.79
GOBP_AROMATIC_AMINO_ACID_TRANSPORT	1	0.24006034154945965	1.6611630147315688	1.0	19.05
GOBP_REGULATION_OF_PANCREATIC_JUICE_SECRETION	1	0.24006012029180432	-1.5018626021412786	1.0	40.13
GOBP_REPRODUCTION	1	0.2395689322558549	1.6620829786671978	1.0	23.31
GOBP_IMMUNE_RESPONSE_TO_TUMOR_CELL	1	0.23941824574643572	1.6627146183268524	1.0	49.18
GOBP_DEVELOPMENTAL_MATURATION	1	0.23936192824213337	-1.5026657378115327	1.0	13.97
GOBP_REGULATION_OF_PROTEIN_COMPLEX_STABILITY	1	0.23928115960929075	-1.5029331304767612	1.0	51.9
GOBP_AMINO_SUGAR_METABOLIC_PROCESS	1	0.23917622524697424	1.6633608294304505	1.0	66.43
GOBP_POSITIVE_REGULATION_OF_HISTONE_DEACETYLATION	1	0.23894429833240172	-1.5034054233072511	1.0	32.74
GOBP_MICROTUBULE_POLYMERIZATION	1	0.23787124690187134	-1.506333418980107	1.0	44.44
GOBP_DEVELOPMENTAL_GROWTH	1	0.23785278862242393	-1.505607635559858	1.0	28.12
GOBP_CELLULAR_SPHINGOLIPID_HOMEOSTASIS	1	0.23783334391341288	-1.505797047383188	1.0	25.59
GOBP_GLYCOSPHINGOLIPID_METABOLIC_PROCESS	1	0.2378176531090873	1.6702313750239768	1.0	23.34
GOBP_NEGATIVE_REGULATION_OF_ENDOCYTOSIS	1	0.23780644909909576	-1.5046594708671837	1.0	65.99
GOBP_HIGH_DENSITY_LIPOPROTEIN_PARTICLE_ASSEMBLY	1	0.237770023436637	-1.5062567636582664	1.0	50.49
GOBP_POSITIVE_REGULATION_OF_NUCLEOCYTOPLASMIC_TRANSPORT	1	0.23768258632290623	-1.5061328594597008	1.0	46.89
GOBP_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.23766382970942793	-1.5053991612886413	1.0	25.5
GOBP_NADH_OXIDATION	1	0.23766365708788958	-1.505596561249109	1.0	5.94
GOBP_CELLULAR_RESPONSE_TO_FLUID_SHEAR_STRESS	1	0.23762740881805677	-1.5050438639564967	1.0	35.02
GOBP_VESICLE_LOCALIZATION	1	0.237597187543159	-1.5052643233294505	1.0	37.93
GOBP_LEUKOCYTE_HOMEOSTASIS	1	0.2373869002915334	1.6652484146502398	1.0	21.82
GOBP_DEFENSE_RESPONSE_TO_GRAM_POSITIVE_BACTERIUM	1	0.2372960214500077	1.67018338656294	1.0	69.83
GOBP_MDA_5_SIGNALING_PATHWAY	1	0.23693888715212916	1.6715097430707986	1.0	37.42
GOBP_NON_CANONICAL_WNT_SIGNALING_PATHWAY_VIA_MAPK_CASCADE	1	0.23673053875619604	1.6701592354245633	1.0	49.54
GOBP_CELLULAR_AMINO_ACID_BIOSYNTHETIC_PROCESS	1	0.23644687731766034	-1.5078744798580752	1.0	12.57
GOBP_REGULATION_OF_GENERATION_OF_PRECURSOR_METABOLITES_AND_ENERGY	1	0.23638614382952666	-1.5081145230376127	1.0	10.01
GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS	1	0.23628038323087683	-1.5084132239922556	1.0	16.3
GOBP_GLUCOSAMINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	0.23626489873654735	1.677109749470519	1.0	65.77
GOBP_REGULATION_OF_UBIQUITIN_PROTEIN_LIGASE_ACTIVITY	1	0.23618677845341654	1.6701195314686974	1.0	18.55
GOBP_POSITIVE_REGULATION_OF_T_CELL_MEDIATED_CYTOTOXICITY	1	0.23616101967077197	1.678206816784673	1.0	26.43
GOBP_GANGLIOSIDE_METABOLIC_PROCESS	1	0.236130928235809	-1.508936662542402	1.0	7.24
GOBP_T_CELL_MIGRATION	1	0.23605397250283938	1.669294928924964	1.0	30.95
GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN	1	0.23603662422316232	-1.5088122965189092	1.0	9.45
GOBP_RESPONSE_TO_NICOTINE	1	0.23572967109071027	1.6700182253594051	1.0	19.48
GOBP_NEGATIVE_REGULATION_OF_LYMPHOCYTE_MEDIATED_IMMUNITY	1	0.23571154522812346	1.6780526579373842	1.0	26.96
GOBP_ACTIVATION_OF_PHOSPHOLIPASE_D_ACTIVITY	1	0.2357016116477245	1.6760873476670777	1.0	45.0
GOBP_MEMBRANE_LIPID_BIOSYNTHETIC_PROCESS	1	0.23569133316534618	1.6770792883942283	1.0	28.18
GOBP_POSITIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	1	0.2356349393943461	1.6691797215055546	1.0	42.1
GOBP_GLYCOLIPID_BIOSYNTHETIC_PROCESS	1	0.23559104582233184	1.6687197971670604	1.0	20.38
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION	1	0.23557626864299258	1.673124877475003	1.0	54.02
GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	1	0.23555442968494003	1.6767312548562536	1.0	52.91
GOBP_TRANSEPITHELIAL_TRANSPORT	1	0.23544374263519768	1.6678543049375818	1.0	15.11
GOBP_REGULATION_OF_LYMPHOCYTE_CHEMOTAXIS	1	0.23542752928814017	1.6673258683159142	1.0	16.13
GOBP_POSITIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	1	0.23538461562277127	1.675318162980822	1.0	50.54
GOBP_CD4_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	1	0.23529784921709188	1.668501425849483	1.0	58.59
GOBP_MAGNESIUM_ION_TRANSPORT	1	0.23518127219043217	1.676030528422762	1.0	28.42
GOBP_METANEPHRIC_GLOMERULAR_MESANGIUM_DEVELOPMENT	1	0.23515192951800729	-1.5102455234307337	1.0	25.94
GOBP_SYNAPSE_ASSEMBLY	1	0.23502870742603071	1.6751124550996266	1.0	10.3
GOBP_N_TERMINAL_PROTEIN_LIPIDATION	1	0.23497116198730403	-1.5102212938719766	1.0	33.18
GOBP_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	1	0.23454607797423263	1.6750031890735328	1.0	48.5
GOBP_POSITIVE_REGULATION_OF_ADAPTIVE_IMMUNE_RESPONSE	1	0.23434144339400326	1.6746839912407423	1.0	30.22
GOBP_NEGATIVE_REGULATION_OF_CHEMOKINE_C_C_MOTIF_LIGAND_5_PRODUCTION	1	0.23429730021684572	-1.5111974374573167	1.0	6.66
GOBP_CORTICOSTEROID_HORMONE_SECRETION	1	0.23374648909089532	-1.5119028307765874	1.0	8.97
GOBP_REGULATION_OF_HEART_RATE	1	0.23361228055604097	-1.5122292225728944	1.0	31.74
GOBP_ALPHA_BETA_T_CELL_PROLIFERATION	1	0.2333442660420266	1.6810794697502192	1.0	32.5
GOBP_REGULATION_OF_NEUROTRANSMITTER_UPTAKE	1	0.23282492138504757	-1.5131908098003883	1.0	14.02
GOBP_VENOUS_BLOOD_VESSEL_MORPHOGENESIS	1	0.23244119874098731	-1.5141250176076406	1.0	13.63
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	1	0.23236017682715623	-1.5140065732881103	1.0	58.04
GOBP_REGULATION_OF_TRANSCRIPTION_REGULATORY_REGION_DNA_BINDING	1	0.2322497695887896	-1.5139262188961655	1.0	42.94
GOBP_INTESTINAL_EPITHELIAL_CELL_DEVELOPMENT	1	0.23192246499901834	1.6828146980377774	1.0	45.58
GOBP_DIET_INDUCED_THERMOGENESIS	1	0.23189690376847122	-1.515598073376817	1.0	50.37
GOBP_REGULATION_OF_RECEPTOR_LOCALIZATION_TO_SYNAPSE	1	0.23189668498027508	-1.5157760525156818	1.0	19.18
GOBP_POSITIVE_REGULATION_OF_CAMP_MEDIATED_SIGNALING	1	0.23185480847751733	-1.515993488657714	1.0	56.06
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_MITOCHONDRION	1	0.231767528158162	-1.5155409054709763	1.0	5.85
GOBP_RESPONSE_TO_LEUKEMIA_INHIBITORY_FACTOR	1	0.23157709462501982	-1.51552271634402	1.0	28.7
GOBP_REGULATION_OF_PEROXISOME_PROLIFERATOR_ACTIVATED_RECEPTOR_SIGNALING_PATHWAY	1	0.23152524821747647	-1.5153830443529666	1.0	30.71
GOBP_PYRIDINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	1	0.23145860008382024	1.6842661967456853	1.0	51.66
GOBP_NEGATIVE_REGULATION_OF_ATP_METABOLIC_PROCESS	1	0.23141626229052126	-1.5152966048448613	1.0	57.35
GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	1	0.23136279222703665	-1.517064765540107	1.0	26.14
GOBP_PIGMENT_GRANULE_ORGANIZATION	1	0.2313582016263873	-1.5166896631911948	1.0	40.25
GOBP_RESPONSE_TO_ZINC_ION	1	0.2312482221153886	-1.5169872808190847	1.0	68.31
GOBP_REGIONALIZATION	1	0.23112732397913877	-1.5176703915713412	1.0	74.89
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_PROLIFERATION_INVOLVED_IN_SPROUTING_ANGIOGENESIS	1	0.23108740643961373	-1.517530030451686	1.0	56.83
GOBP_POSITIVE_REGULATION_OF_PROTEOLYSIS_INVOLVED_IN_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1	0.23099582201883936	-1.5179665895872918	1.0	50.35
GOBP_PARAXIAL_MESODERM_DEVELOPMENT	1	0.23096362150315572	1.684171357595685	1.0	58.53
GOBP_NEGATIVE_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	1	0.23056472065775455	-1.5186017393357958	1.0	23.73
GOBP_LIGAND_GATED_ION_CHANNEL_SIGNALING_PATHWAY	1	0.2305115145608649	1.6861037615596726	1.0	33.2
GOBP_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION_INITIATION	1	0.23020950901145823	1.6858353955502559	1.0	30.27
GOBP_POSITIVE_REGULATION_OF_NEURON_DIFFERENTIATION	1	0.22965645241576527	-1.5196808069546177	1.0	54.99
GOBP_REGULATION_OF_PROTEIN_STABILITY	1	0.228593650720745	-1.5208465438831118	1.0	32.23
GOBP_SKELETAL_SYSTEM_MORPHOGENESIS	1	0.22836742414104402	-1.5212797869864072	1.0	54.31
GOBP_REGULATION_OF_BODY_FLUID_LEVELS	1	0.22781877910472248	-1.5223997340796684	1.0	8.97
GOBP_ACTIVATION_OF_PROTEIN_KINASE_ACTIVITY	1	0.22763815639524773	-1.522381981163377	1.0	16.28
GOBP_ADENYLATE_CYCLASE_MODULATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1	0.22750892115513677	-1.5223135843294726	1.0	12.38
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM	1	0.22743444867005036	-1.5229759842338773	1.0	25.16
GOBP_REGULATION_OF_NATURAL_KILLER_CELL_CHEMOTAXIS	1	0.2270604604215121	1.6895433588301645	1.0	51.52
GOBP_ENDOCARDIAL_CUSHION_MORPHOGENESIS	1	0.2268779947778842	-1.5238647113536794	1.0	22.13
GOBP_INOSITOL_LIPID_MEDIATED_SIGNALING	1	0.22684845982841662	-1.5236939932599376	1.0	17.97
GOBP_REGULATION_OF_EXTENT_OF_CELL_GROWTH	1	0.2258274097866401	-1.5250505518875357	1.0	29.47
GOBP_RESOLUTION_OF_MEIOTIC_RECOMBINATION_INTERMEDIATES	1	0.22582029375578005	-1.5254241010373628	1.0	49.52
