pathway	freq	padj	stability	overlap
GOBP_CELL_CYCLE	8	3.78215825745606e-34	0.4444444444444444	0.13632686084142395
GOBP_CHROMOSOME_ORGANIZATION	8	7.415691172325294e-33	0.4444444444444444	0.17545871559633028
GOBP_CELL_CYCLE_PROCESS	8	3.1085104985999155e-29	0.4444444444444444	0.15094111969111967
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	8	9.741142579634966e-27	0.4444444444444444	0.1256006006006006
GOBP_INTRACELLULAR_TRANSPORT	8	1.7171477839323042e-26	0.4444444444444444	0.13236337828246983
GOBP_ORGANELLE_ASSEMBLY	8	9.58237809488664e-26	0.4444444444444444	0.1622173366834171
GOBP_IMMUNOGLOBULIN_PRODUCTION	6	1.087486456649417e-25	0.3333333333333333	0.3257191201353638
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	8	1.7659851547565944e-25	0.4444444444444444	0.15340199750312108
GOBP_MRNA_METABOLIC_PROCESS	8	5.346735946854866e-25	0.4444444444444444	0.18417968750000002
GOBP_MICROTUBULE_BASED_PROCESS	8	5.951981810755217e-25	0.4444444444444444	0.1595285524568393
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	8	4.451085589863888e-23	0.4444444444444444	0.12450298210735586
GOBP_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	6	2.5959753626304297e-22	0.3333333333333333	0.24999999999999997
GOBP_CELLULAR_RESPONSE_TO_STRESS	8	7.165351508124201e-22	0.4444444444444444	0.11256660746003552
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	8	7.316622754928561e-22	0.4444444444444444	0.13774220724515585
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	8	2.0625925160080208e-21	0.4444444444444444	0.17468239564428312
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	8	4.950556723061948e-21	0.4444444444444444	0.14088863892013498
GOBP_MITOTIC_CELL_CYCLE	8	9.619561774404694e-21	0.4444444444444444	0.14257334963325186
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	8	2.574202791961039e-20	0.4444444444444444	0.11525649566955362
GOBP_REGULATION_OF_CELL_CYCLE	8	3.227711594980738e-20	0.4444444444444444	0.1373276776246023
GOBP_CHROMATIN_ORGANIZATION	8	6.077869793148884e-20	0.4444444444444444	0.1871019108280255
GOBP_MEMBRANE_INVAGINATION	6	9.390477455366983e-20	0.3333333333333333	0.3358778625954198
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	8	1.2090861583541601e-19	0.4444444444444444	0.1122569239835003
GOBP_DNA_REPAIR	8	1.7203585852138343e-19	0.4444444444444444	0.17639462809917356
GOBP_NITROGEN_COMPOUND_TRANSPORT	8	2.1948964001075853e-19	0.4444444444444444	0.10713268792710706
GOBP_MRNA_PROCESSING	8	3.284102781408731e-19	0.4444444444444444	0.1987327188940092
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	8	4.2907353618551294e-19	0.4444444444444444	0.14641434262948205
GOBP_DNA_METABOLIC_PROCESS	8	6.283365595131593e-19	0.4444444444444444	0.14226263871763256
GOBP_MITOTIC_CELL_CYCLE_PROCESS	8	1.0772444928596864e-18	0.4444444444444444	0.1488805970149254
GOBP_POSITIVE_REGULATION_OF_B_CELL_ACTIVATION	6	2.4605299143479767e-18	0.3333333333333333	0.3111111111111111
GOBP_RNA_SPLICING	8	5.356310421007433e-18	0.4444444444444444	0.19549608355091386
GOBP_DEFENSE_RESPONSE_TO_BACTERIUM	6	1.1622000938107106e-17	0.3333333333333333	0.23039215686274508
GOBP_REGULATION_OF_CELL_CYCLE_PROCESS	8	3.232367255493149e-17	0.4444444444444444	0.15430016863406407
GOBP_CELL_RECOGNITION	6	2.1639921034471145e-16	0.3333333333333333	0.2482078853046595
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	8	4.177418175447625e-16	0.4444444444444444	0.11565315315315315
GOBP_HISTONE_MODIFICATION	8	6.641977799927773e-16	0.4444444444444444	0.17350332594235035
GOBP_REGULATION_OF_B_CELL_ACTIVATION	6	2.265493609744563e-15	0.3333333333333333	0.24814814814814815
GOBP_CELL_DIVISION	8	2.970380707746876e-15	0.4444444444444444	0.14511754068716096
GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	8	1.5906295628498332e-14	0.4444444444444444	0.23134328358208955
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	8	1.6644424876021987e-14	0.4444444444444444	0.12022994129158512
GOBP_RNA_PROCESSING	8	1.7103545052634646e-14	0.4444444444444444	0.12511825922421949
GOBP_CELL_PROJECTION_ORGANIZATION	8	1.9910664314456678e-14	0.4444444444444444	0.11910741885625967
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	8	2.0672853841862607e-14	0.4444444444444444	0.10912854889589906
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	8	3.149659973847099e-14	0.4444444444444444	0.10458452722063039
GOBP_B_CELL_MEDIATED_IMMUNITY	6	3.7424023838266886e-14	0.3333333333333333	0.23247863247863246
GOBP_CILIUM_ORGANIZATION	8	3.824853252959472e-14	0.4444444444444444	0.18463302752293576
GOBP_REGULATION_OF_MRNA_METABOLIC_PROCESS	8	4.0154204963978413e-14	0.4444444444444444	0.2
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	8	6.28490544753563e-14	0.4444444444444444	0.1531456953642384
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	8	7.163458231134804e-14	0.4444444444444444	0.14237516869095818
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	8	9.6615901508127e-14	0.4444444444444444	0.12711038961038962
GOBP_HUMORAL_IMMUNE_RESPONSE	6	1.7925990532183702e-13	0.3333333333333333	0.21771771771771775
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	8	2.1438855778952785e-13	0.4444444444444444	0.19528469750889677
GOBP_PROTEIN_CATABOLIC_PROCESS	8	3.279317667914919e-13	0.4444444444444444	0.13510820045558086
GOBP_NUCLEAR_TRANSPORT	8	6.174881993360507e-13	0.4444444444444444	0.18036332179930795
GOBP_CELL_PROJECTION_ASSEMBLY	8	1.2147784873260165e-12	0.4444444444444444	0.14367529880478086
GOBP_CELL_CYCLE_PHASE_TRANSITION	8	1.479898277260383e-12	0.4444444444444444	0.14719873150105708
GOBP_CHROMOSOME_SEGREGATION	8	1.7872855751482398e-12	0.4444444444444444	0.17647058823529413
GOBP_NON_MEMBRANE_BOUNDED_ORGANELLE_ASSEMBLY	8	2.0922704133294297e-12	0.4444444444444444	0.16467696629213485
GOBP_POSITIVE_REGULATION_OF_ORGANELLE_ORGANIZATION	8	2.5074182262344657e-12	0.4444444444444444	0.15427927927927929
GOBP_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	6	2.7276639131443603e-12	0.3333333333333333	0.21818181818181817
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_REMOVAL	8	3.074634305798366e-12	0.4444444444444444	0.24640287769784172
GOBP_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	8	3.520085187559551e-12	0.4444444444444444	0.10077951002227171
GOBP_SISTER_CHROMATID_SEGREGATION	8	3.669379753514527e-12	0.4444444444444444	0.21308290155440415
GOBP_MICROTUBULE_ORGANIZING_CENTER_ORGANIZATION	8	4.00375762682772e-12	0.4444444444444444	0.24556737588652483
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	8	4.846255631698986e-12	0.4444444444444444	0.12636505460218408
GOBP_NUCLEAR_CHROMOSOME_SEGREGATION	8	1.3448126688515407e-11	0.4444444444444444	0.1855
GOBP_MITOTIC_CELL_CYCLE_PHASE_TRANSITION	8	3.1366729194891245e-11	0.4444444444444444	0.1512820512820513
GOBP_DNA_CONFORMATION_CHANGE	8	3.167190837996273e-11	0.4444444444444444	0.18850806451612903
GOBP_PHAGOCYTOSIS	6	3.2674054910912626e-11	0.3333333333333333	0.17809867629362217
GOBP_REGULATION_OF_MRNA_PROCESSING	8	4.660474043456522e-11	0.4444444444444444	0.2470238095238095
GOBP_PROTEOLYSIS	8	7.8616354079184e-11	0.4444444444444444	0.10585885486018642
GOBP_LYMPHOCYTE_MEDIATED_IMMUNITY	6	8.444903091407677e-11	0.3333333333333333	0.1661409043112513
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	8	1.1708491450733495e-10	0.4444444444444444	0.1193538268506901
GOBP_REGULATION_OF_ORGANELLE_ASSEMBLY	8	1.9965101509369534e-10	0.4444444444444444	0.18838862559241706
GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS	8	5.332733985636981e-10	0.4444444444444444	0.15400552486187846
GOBP_ORGANELLE_FISSION	8	7.083289448511992e-10	0.4444444444444444	0.1409952606635071
GOBP_ORGANELLE_LOCALIZATION	8	7.298356012954453e-10	0.4444444444444444	0.13400205761316872
GOBP_DOUBLE_STRAND_BREAK_REPAIR	8	7.940323486584612e-10	0.4444444444444444	0.1760204081632653
GOBP_DNA_REPLICATION	8	8.897167639986725e-10	0.4444444444444444	0.16728624535315986
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ORGANELLE	8	9.821569405330479e-10	0.4444444444444444	0.13847117794486213
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION	8	1.1453878007089137e-09	0.4444444444444444	0.1054897739504844
GOBP_CENTROSOME_DUPLICATION	8	1.285000710366232e-09	0.4444444444444444	0.3045774647887324
GOBP_RNA_CATABOLIC_PROCESS	8	1.563235108967066e-09	0.4444444444444444	0.1663306451612903
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	8	1.5756880179122135e-09	0.4444444444444444	0.14565217391304347
GOBP_NON_MOTILE_CILIUM_ASSEMBLY	8	1.7643167053744403e-09	0.4444444444444444	0.3386363636363636
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	8	2.026545735552218e-09	0.4444444444444444	0.15224358974358976
GOBP_VESICLE_MEDIATED_TRANSPORT	8	2.3999830707619244e-09	0.4444444444444444	0.1063791874554526
GOBP_IMMUNE_RESPONSE_REGULATING_CELL_SURFACE_RECEPTOR_SIGNALING_PATHWAY	6	2.4435395836980046e-09	0.3333333333333333	0.17009132420091322
GOBP_REGULATION_OF_RNA_SPLICING	8	2.8652572699980273e-09	0.4444444444444444	0.21648550724637683
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	8	3.042366376182035e-09	0.4444444444444444	0.1490921787709497
GOBP_ESTABLISHMENT_OF_ORGANELLE_LOCALIZATION	8	3.1193984060287534e-09	0.4444444444444444	0.14178082191780822
GOBP_SISTER_CHROMATID_COHESION	8	3.5924335529112966e-09	0.4444444444444444	0.328125
GOBP_HEAD_DEVELOPMENT	8	4.728091624287265e-09	0.4444444444444444	0.12461119751166408
GOBP_CENTRIOLE_ASSEMBLY	8	5.094377507628997e-09	0.4444444444444444	0.36944444444444446
GOBP_B_CELL_ACTIVATION	6	5.4936508222129524e-09	0.3333333333333333	0.15969802555168408
GOBP_MRNA_CATABOLIC_PROCESS	8	5.802823115848596e-09	0.4444444444444444	0.17427884615384615
GOBP_REGULATION_OF_MICROTUBULE_BASED_PROCESS	8	7.507028399211252e-09	0.4444444444444444	0.19061085972850678
GOBP_ESTABLISHMENT_OF_RNA_LOCALIZATION	8	8.789531092256857e-09	0.4444444444444444	0.2106164383561644
GOBP_MITOTIC_NUCLEAR_DIVISION	8	1.0216536111871515e-08	0.4444444444444444	0.1559090909090909
GOBP_SPINDLE_ORGANIZATION	8	1.5610659008686787e-08	0.4444444444444444	0.17713903743315507
GOBP_EMBRYO_DEVELOPMENT	8	2.0468956211658352e-08	0.4444444444444444	0.11016949152542373
GOBP_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	8	2.6015409438677056e-08	0.4444444444444444	0.25137362637362637
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	8	2.724629183467947e-08	0.4444444444444444	0.16056910569105692
GOBP_POSITIVE_REGULATION_OF_CELL_ACTIVATION	6	3.028590172555315e-08	0.3333333333333333	0.13667523564695802
GOBP_ADAPTIVE_IMMUNE_RESPONSE_BASED_ON_SOMATIC_RECOMBINATION_OF_IMMUNE_RECEPTORS_BUILT_FROM_IMMUNOGLOBULIN_SUPERFAMILY_DOMAINS	6	3.697399344357995e-08	0.3333333333333333	0.1474747474747475
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	8	4.562408523845659e-08	0.4444444444444444	0.09863387978142077
GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION	8	5.917408143037374e-08	0.4444444444444444	0.18941717791411045
GOBP_DNA_GEOMETRIC_CHANGE	8	6.32573070752124e-08	0.4444444444444444	0.24320652173913043
GOBP_RNA_LOCALIZATION	8	6.71755144139202e-08	0.4444444444444444	0.1875
