pathway	freq	padj	stability	overlap
KEGG_PROPANOATE_METABOLISM	1	0.00019229994780592678	1.0	0.3333333333333333
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	0.0026997172280452193	1.0	0.23809523809523808
KEGG_FATTY_ACID_METABOLISM	1	0.0026997172280452193	1.0	0.25
KEGG_CITRATE_CYCLE_TCA_CYCLE	1	0.0026997172280452193	1.0	0.27586206896551724
KEGG_OLFACTORY_TRANSDUCTION	1	0.015302156044026334	1.0	0.2413793103448276
KEGG_ALZHEIMERS_DISEASE	1	0.01695273203510194	1.0	0.12056737588652482
KEGG_VIBRIO_CHOLERAE_INFECTION	1	0.01695273203510194	1.0	0.1836734693877551
KEGG_DILATED_CARDIOMYOPATHY	1	0.01810959006282029	1.0	0.1527777777777778
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	0.029078864008544387	1.0	0.15151515151515152
KEGG_ERBB_SIGNALING_PATHWAY	1	0.03968746641371537	1.0	0.13095238095238096
KEGG_PEROXISOME	1	0.03968746641371537	1.0	0.14084507042253522
KEGG_OXIDATIVE_PHOSPHORYLATION	1	0.03968746641371537	1.0	0.12037037037037036
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1	0.03968746641371537	1.0	0.1794871794871795
KEGG_PRION_DISEASES	1	0.041764809274588234	1.0	0.1935483870967742
KEGG_GLIOMA	1	0.041764809274588234	1.0	0.14285714285714285
KEGG_INSULIN_SIGNALING_PATHWAY	1	0.041764809274588234	1.0	0.112
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.04533205291726998	1.0	0.11023622047244094
KEGG_LYSINE_DEGRADATION	1	0.046028881859021514	1.0	0.16279069767441862
KEGG_HUNTINGTONS_DISEASE	1	0.046028881859021514	1.0	0.10256410256410256
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1	0.04975384683072385	1.0	0.20833333333333334
KEGG_AXON_GUIDANCE	1	0.05073781564794715	1.0	0.1092436974789916
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	0.05073781564794715	1.0	0.1092436974789916
KEGG_LONG_TERM_POTENTIATION	1	0.05799992504899807	1.0	0.13793103448275862
KEGG_MELANOGENESIS	1	0.07457284964605801	1.0	0.11627906976744186
KEGG_CHEMOKINE_SIGNALING_PATHWAY	1	0.07855403772651821	1.0	0.0935672514619883
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.07855403772651821	1.0	0.12903225806451613
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.08621835416706349	1.0	0.1346153846153846
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.08621835416706349	1.0	0.1346153846153846
KEGG_PARKINSONS_DISEASE	1	0.09346007836599342	1.0	0.10377358490566038
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	1	0.09346007836599342	1.0	0.12121212121212122
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.09346007836599342	1.0	0.10752688172043011
KEGG_TRYPTOPHAN_METABOLISM	1	0.09346007836599342	1.0	0.16129032258064516
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1	0.09416145034957103	1.0	0.19047619047619047
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	1	0.09416145034957103	1.0	0.10638297872340426
