pathway	freq	padj	NES	stability	overlap
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.2098709726344983	1.4712302848913457	1.0	36.02
KEGG_TIGHT_JUNCTION	1	0.1875209378838612	1.5034313046860517	1.0	57.29
KEGG_SMALL_CELL_LUNG_CANCER	1	0.1858666312391166	1.5102546349437829	1.0	35.83
KEGG_N_GLYCAN_BIOSYNTHESIS	1	0.182431114840709	1.519749488452472	1.0	72.05
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.16179453188965032	1.5710007812653435	1.0	63.09
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.16054752670465627	1.57912909498199	1.0	41.25
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.15778593195777219	1.5701118480348804	1.0	37.79
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.15546365969090387	1.5676081697478332	1.0	67.34
KEGG_RENAL_CELL_CARCINOMA	1	0.15320600322117017	1.6031975776782217	1.0	35.63
KEGG_REGULATION_OF_AUTOPHAGY	1	0.15166041932990995	1.567047758863523	1.0	36.29
KEGG_BETA_ALANINE_METABOLISM	1	0.14987177990736283	1.6014941047141427	1.0	43.63
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1	0.13890269022748178	1.6305030928771669	1.0	40.7
KEGG_P53_SIGNALING_PATHWAY	1	0.12295671849221998	1.6649641313910575	1.0	35.66
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	0.12081314083350789	1.6772691630041077	1.0	47.16
KEGG_VIBRIO_CHOLERAE_INFECTION	1	0.10401482360509944	1.7167944919939733	1.0	61.05
KEGG_DNA_REPLICATION	1	0.09273503347561372	1.748345864470985	1.0	32.64
KEGG_MISMATCH_REPAIR	1	0.09243263662732368	1.766698328352965	1.0	32.03
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.09225203850959489	1.7586748328086612	1.0	45.35
KEGG_PANCREATIC_CANCER	1	0.07792904233547313	1.8087445719643587	1.0	48.14
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	0.0723577300671565	1.8531388498984878	1.0	39.65
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	0.07117413819253353	1.8461609511295811	1.0	27.34
KEGG_APOPTOSIS	1	0.06949607568202243	1.8410697429181575	1.0	63.88
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	0.06646010732418983	1.8745410885022609	1.0	57.83
KEGG_CITRATE_CYCLE_TCA_CYCLE	1	0.057754833348415316	1.9128813007417926	1.0	17.46
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.05527877386085412	1.9311918070412877	1.0	28.83
KEGG_HUNTINGTONS_DISEASE	1	0.05061787243877249	1.954461976230965	1.0	68.16
KEGG_PROPANOATE_METABOLISM	1	0.031049676386924237	2.043040408113624	1.0	43.63
KEGG_PROTEASOME	1	0.015745635892213578	2.171548102543538	1.0	10.29
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.014712769734111793	2.1707127846853407	1.0	48.04
KEGG_RIBOSOME	1	0.007271269670246985	2.308718360590735	1.0	57.34
KEGG_CELL_CYCLE	1	0.006723289926981994	2.3299692260346623	1.0	38.55
KEGG_PARKINSONS_DISEASE	1	0.006439932880250953	2.3776224361625973	1.0	11.13
KEGG_ALZHEIMERS_DISEASE	1	0.005630341318162263	2.4171463515745986	1.0	51.91
KEGG_SPLICEOSOME	1	0.00492654865339198	2.4168074550390344	1.0	45.61
KEGG_OXIDATIVE_PHOSPHORYLATION	1	0.0001931979864075286	2.829757427234555	1.0	51.91
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	0.0	3.549326177763215	1.0	39.23
KEGG_PROTEIN_EXPORT	1	0.0	3.441456909585448	1.0	32.54
KEGG_RNA_DEGRADATION	1	0.0	3.076911745895194	1.0	52.37
KEGG_OOCYTE_MEIOSIS	1	0.0	3.019531003701769	1.0	41.25
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	0.0	2.889915366853374	1.0	34.64
