pathway	freq	padj	NES	stability	overlap
KEGG_PARKINSONS_DISEASE	1	0.2157928147964838	-1.699718182775405	1.0	49.06
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1	0.2094477696944949	1.3606773414366695	1.0	45.8
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	1	0.20900595383005688	1.3640840949625974	1.0	67.26
KEGG_AUTOIMMUNE_THYROID_DISEASE	1	0.1975168541487933	1.3821453518233577	1.0	33.59
KEGG_PRION_DISEASES	1	0.19659204186085616	1.3857622547392743	1.0	42.25
KEGG_PRIMARY_IMMUNODEFICIENCY	1	0.1799375613729948	1.4100049682433302	1.0	30.6
KEGG_VEGF_SIGNALING_PATHWAY	1	0.15224185731632622	1.4591970923653326	1.0	35.41
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	0.15184832561421605	1.4749976557105675	1.0	54.89
KEGG_HEMATOPOIETIC_CELL_LINEAGE	1	0.15114984750036628	1.454923260988858	1.0	28.87
KEGG_MELANOMA	1	0.1506916029244158	1.458553270473217	1.0	56.66
KEGG_LYSINE_DEGRADATION	1	0.15055741939593445	1.4529137178036218	1.0	69.66
KEGG_BLADDER_CANCER	1	0.1504696228368986	1.474010356783739	1.0	53.62
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	1	0.15045112422045337	1.4710196019608373	1.0	16.05
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.14955724599477088	-1.9447684662435263	1.0	65.99
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.14936705442728504	1.4697394112689668	1.0	74.74
KEGG_PHENYLALANINE_METABOLISM	1	0.1487473375064492	1.4674765972974981	1.0	31.03
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.14124372709786265	1.496993260587352	1.0	48.97
KEGG_OLFACTORY_TRANSDUCTION	1	0.14111593836284622	1.4943236546092988	1.0	60.96
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1	0.13298582380831275	1.5133385045290362	1.0	53.3
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1	0.13287012071245427	1.5165886212250217	1.0	69.29
KEGG_ERBB_SIGNALING_PATHWAY	1	0.1294460834193692	1.5430344752031675	1.0	59.1
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	0.12846223540097257	1.5381997386827675	1.0	16.05
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1	0.1283357869738553	1.5274011401574048	1.0	70.84
KEGG_TYROSINE_METABOLISM	1	0.12798397367326758	1.5420687127046566	1.0	31.03
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.12780827372879072	1.531915623439854	1.0	71.52
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1	0.12721910135442221	1.5368546052742305	1.0	48.84
KEGG_RIBOSOME	1	0.12577871983301234	-1.8471986577720652	1.0	81.16
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1	0.1246537814719694	1.5540657539411424	1.0	28.65
KEGG_ALZHEIMERS_DISEASE	1	0.11806773472776637	-1.9157750639432243	1.0	75.94
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	1	0.10902590044854629	1.586455280533879	1.0	37.52
KEGG_PEROXISOME	1	0.10590055771069967	1.595726624709328	1.0	70.6
KEGG_STARCH_AND_SUCROSE_METABOLISM	1	0.0966286327429505	1.618693723816099	1.0	55.14
KEGG_SMALL_CELL_LUNG_CANCER	1	0.09635643337380945	1.6226124870889596	1.0	83.27
KEGG_TRYPTOPHAN_METABOLISM	1	0.08740618535971621	1.647255966770518	1.0	75.35
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1	0.08099061520516401	1.6845406033810206	1.0	39.22
KEGG_INSULIN_SIGNALING_PATHWAY	1	0.07985145500944711	1.6683085746038273	1.0	70.94
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	1	0.07960700360145873	1.6841997295592412	1.0	41.09
KEGG_CELL_ADHESION_MOLECULES_CAMS	1	0.07870158618823445	1.6828745435938948	1.0	66.35
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.07833279348124769	1.6792948727980799	1.0	44.44
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.07712368101504365	1.6785320611688157	1.0	75.66
KEGG_LEISHMANIA_INFECTION	1	0.07666062158752754	1.7019684590143511	1.0	55.22
KEGG_COLORECTAL_CANCER	1	0.07566911644969652	1.7006077497209309	1.0	70.94
