pathway	freq	padj	stability	overlap
GOBP_REGULATION_OF_CELL_POPULATION_PROLIFERATION	7	2.3657580330664028e-08	0.21875	0.9842198766851291
GOBP_NEGATIVE_REGULATION_OF_SIGNALING	7	3.044357731975214e-08	0.21875	0.9863520408163265
GOBP_PROGRAMMED_CELL_DEATH	7	1.7040336568060087e-07	0.21875	0.980451127819549
GOBP_REGULATION_OF_CELL_DIFFERENTIATION	7	2.0189777912815793e-07	0.21875	0.9844897959183674
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	7	2.5702534571028103e-07	0.21875	0.9823947396330469
GOBP_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	7	3.3076492061769294e-07	0.21875	0.9839208410636981
GOBP_POSITIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	7	3.4106065245284075e-07	0.21875	0.985121917619507
GOBP_REGULATION_OF_TRANSPORT	7	1.4644405655881543e-06	0.21875	0.9802329308686826
GOBP_REGULATION_OF_PROTEIN_PHOSPHORYLATION	7	1.7599431502693593e-06	0.21875	0.9858088930936615
GOBP_REGULATION_OF_INTRACELLULAR_SIGNAL_TRANSDUCTION	7	1.8429995295307312e-06	0.21875	0.9823017502688961
GOBP_REGULATION_OF_CELL_DEATH	7	4.478571277390296e-06	0.21875	0.9797583721916067
GOBP_REGULATION_OF_MULTICELLULAR_ORGANISMAL_DEVELOPMENT	7	4.722522363403301e-06	0.21875	0.9841709537000397
GOBP_INTRACELLULAR_PROTEIN_TRANSPORT	9	5.7031966534345155e-06	0.28125	0.9888038548752834
GOBP_CELL_MIGRATION	7	1.8507787227544858e-05	0.21875	0.9788106630211895
GOBP_DEVELOPMENTAL_PROCESS_INVOLVED_IN_REPRODUCTION	7	1.989112685329166e-05	0.21875	0.9911358482787053
GOBP_CHROMOSOME_ORGANIZATION	10	2.495774280233647e-05	0.3125	0.9930394431554523
GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	7	2.6600848971233188e-05	0.21875	0.9795564366249535
GOBP_CELLULAR_RESPONSE_TO_STRESS	10	3.0076743898074157e-05	0.3125	0.9860895522388061
GOBP_POSITIVE_REGULATION_OF_SIGNALING	7	3.083653320808156e-05	0.21875	0.9783982066435705
GOBP_POSITIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	7	3.301948470532566e-05	0.21875	0.9841652323580036
GOBP_CYTOSKELETON_ORGANIZATION	10	3.5014701557794904e-05	0.3125	0.9864661654135338
GOBP_ION_TRANSPORT	7	3.5691435563692184e-05	0.21875	0.9817307692307692
GOBP_POSITIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	9	4.033931891199986e-05	0.28125	0.9836395450568679
GOBP_CELL_CELL_SIGNALING	7	5.156820096344249e-05	0.21875	0.9799031476997577
GOBP_REGULATION_OF_GROWTH	6	5.2833590593982675e-05	0.1875	0.9900124843945068
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	9	5.579071030807487e-05	0.28125	0.9946157611355849
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	8	8.698931120395744e-05	0.25	0.996984649122807
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	9	9.318500421326309e-05	0.28125	0.9869198312236287
GOBP_REGULATION_OF_RESPONSE_TO_STRESS	7	0.00010230982860642139	0.21875	0.9776591783542263
GOBP_EMBRYO_DEVELOPMENT_ENDING_IN_BIRTH_OR_EGG_HATCHING	7	0.00011327883718812316	0.21875	0.9918154761904762
GOBP_ANIMAL_ORGAN_MORPHOGENESIS	7	0.00012823553320282267	0.21875	0.9889570552147239
GOBP_REGULATION_OF_PROTEIN_LOCALIZATION	7	0.00014109301042134037	0.21875	0.984561266367012
GOBP_EPITHELIAL_TUBE_MORPHOGENESIS	6	0.00014314426249927438	0.1875	0.997716894977169
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	10	0.00014820144010859037	0.3125	0.9924629878869448
GOBP_SENSORY_SYSTEM_DEVELOPMENT	6	0.00017010971989891112	0.1875	0.9971558589306029
GOBP_REGULATION_OF_CELLULAR_RESPONSE_TO_STRESS	7	0.00017603801287849482	0.21875	0.9853244668653979
GOBP_IMMUNE_SYSTEM_DEVELOPMENT	7	0.00017951968289365542	0.21875	0.9862472064638129
GOBP_ENZYME_LINKED_RECEPTOR_PROTEIN_SIGNALING_PATHWAY	7	0.0001960278300113426	0.21875	0.9865903808331843
GOBP_EMBRYO_DEVELOPMENT	7	0.00020122118856337606	0.21875	0.9874686716791979
GOBP_MICROTUBULE_BASED_PROCESS	10	0.00021049191262373636	0.3125	0.9897694524495678
GOBP_CELL_JUNCTION_ORGANIZATION	8	0.0002490703583946957	0.25	0.9946161048689139
GOBP_METAL_ION_TRANSPORT	7	0.00026685344582683194	0.21875	0.9873015873015873
GOBP_BIOLOGICAL_ADHESION	8	0.0002713881880780776	0.25	0.9816949838187703
GOBP_REGULATION_OF_CELL_CYCLE_PROCESS	10	0.0002756659584770212	0.3125	0.9938671209540034
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	6	0.00028532955957794	0.1875	0.9925137903861309
GOBP_REGULATION_OF_CELLULAR_LOCALIZATION	7	0.00029034646094487377	0.21875	0.9849195027511718
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	8	0.0003047732149937322	0.25	0.9990706319702602
GOBP_HOMEOSTATIC_PROCESS	7	0.00031109037830182767	0.21875	0.9778601482668804
GOBP_POSITIVE_REGULATION_OF_CELL_DIFFERENTIATION	7	0.0003165132021833035	0.21875	0.9827586206896551
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	10	0.00036087624180593085	0.3125	0.991448118586089
GOBP_MULTICELLULAR_ORGANISM_REPRODUCTION	7	0.00036697993954531386	0.21875	0.9931852599697122
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	10	0.00044162690105767257	0.3125	0.9835458409228901
GOBP_CARBOHYDRATE_METABOLIC_PROCESS	7	0.00045654599617513564	0.21875	0.9869371873262924
GOBP_GAMETE_GENERATION	7	0.0004637306952101607	0.21875	0.9925948781240359
GOBP_TRANSMEMBRANE_TRANSPORT	7	0.0004799986967979401	0.21875	0.9803571428571427
GOBP_ORGANIC_ACID_METABOLIC_PROCESS	10	0.0004886341230372898	0.3125	0.9858247422680414
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	9	0.0005027635769084987	0.28125	0.9953703703703702
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	8	0.0005091854222425028	0.25	0.9890745501285347
GOBP_NEUROGENESIS	8	0.0005111664112151523	0.25	0.9886637239165329
GOBP_MUSCLE_STRUCTURE_DEVELOPMENT	7	0.0005140289066741906	0.21875	0.9915795586527294
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	10	0.0005264400483911864	0.3125	0.984206989247312
GOBP_ORGANELLE_ASSEMBLY	9	0.0005342636274874838	0.28125	0.9882806705236611
GOBP_ORGANELLE_FISSION	9	0.0005344287420234312	0.28125	0.9938122141511972
GOBP_SMALL_MOLECULE_METABOLIC_PROCESS	10	0.0005491859761009032	0.3125	0.9808569454042848
GOBP_RESPONSE_TO_RADIATION	7	0.0005538384224042335	0.21875	0.9933554817275747
GOBP_NITROGEN_COMPOUND_TRANSPORT	10	0.0006044497157565652	0.3125	0.984168105929764
GOBP_NEGATIVE_REGULATION_OF_CELL_DEATH	7	0.0006108562505480867	0.21875	0.9800824175824175
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_METABOLIC_PROCESS	6	0.0006154413459740018	0.1875	0.9793064876957494
GOBP_POSITIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	7	0.000617824981131327	0.21875	0.9816162389888933
GOBP_DNA_METABOLIC_PROCESS	10	0.0006409356948311705	0.3125	0.9880653266331658
GOBP_CELL_GROWTH	6	0.0006658537969402062	0.1875	0.9916457811194653
GOBP_REGULATION_OF_CELLULAR_MACROMOLECULE_BIOSYNTHETIC_PROCESS	8	0.000666247250324458	0.25	0.984105180533752
GOBP_REGULATION_OF_CELL_CYCLE_PHASE_TRANSITION	10	0.0006895908431736483	0.3125	0.9954674220963172
GOBP_VESICLE_ORGANIZATION	7	0.0007143416048749297	0.21875	0.9984301412872841
GOBP_CATION_TRANSPORT	7	0.0007346789485743377	0.21875	0.98003663003663
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE	9	0.000779024333239104	0.28125	0.9959473150962513
GOBP_LIPID_METABOLIC_PROCESS	10	0.0008143855828177728	0.3125	0.9821052631578947
GOBP_CELLULAR_RESPONSE_TO_ABIOTIC_STIMULUS	7	0.0008308032118870507	0.21875	0.9973835688121403
GOBP_DNA_REPAIR	10	0.0008427136088860693	0.3125	0.993723849372385
GOBP_RESPONSE_TO_HORMONE	7	0.0008539773468738125	0.21875	0.9841501564129301
GOBP_NEGATIVE_REGULATION_OF_MOLECULAR_FUNCTION	7	0.0008576090883991065	0.21875	0.9799968498976217
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	7	0.0009731867308198147	0.21875	0.9822742977317109
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	8	0.0009785670055312806	0.25	0.9745419309372798
GOBP_HEART_DEVELOPMENT	8	0.000984879833749569	0.25	0.99296875
GOBP_CELL_CYCLE_PHASE_TRANSITION	10	0.0009954285058034083	0.3125	0.9927194860813703
GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	7	0.0010043786038142928	0.21875	0.9916855631141346
GOBP_RESPONSE_TO_OXYGEN_CONTAINING_COMPOUND	7	0.0010066911893654505	0.21875	0.9775525770949111
GOBP_PEPTIDYL_LYSINE_MODIFICATION	7	0.0010483750425406	0.21875	0.9919743178170144
GOBP_RESPONSE_TO_CYTOKINE	7	0.0010854560820173346	0.21875	0.980588013569544
GOBP_ANION_TRANSPORT	6	0.0010963607543309402	0.1875	0.9903314917127072
GOBP_MULTI_ORGANISM_REPRODUCTIVE_PROCESS	7	0.0011116164097488145	0.21875	0.9912710240579093
GOBP_NEGATIVE_REGULATION_OF_CELL_POPULATION_PROLIFERATION	7	0.0011361159479845678	0.21875	0.9828941285251965
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	10	0.0011415612716044192	0.3125	0.9824019024970273
GOBP_CELL_CELL_ADHESION	8	0.0011662247720363274	0.25	0.9813161375661374
GOBP_CELL_CYCLE_PROCESS	11	0.0011719419123753369	0.34375	0.9911330049261085
GOBP_CAMERA_TYPE_EYE_DEVELOPMENT	6	0.001190505647023488	0.1875	0.9966261808367071
GOBP_REGULATION_OF_CELL_CYCLE	10	0.0011939362475272867	0.3125	0.9919093851132686
GOBP_SYNAPSE_ORGANIZATION	7	0.0012544323918266035	0.21875	0.9966666666666667
GOBP_NEURON_DIFFERENTIATION	8	0.001293352094733112	0.25	0.9888370951913641
GOBP_POSITIVE_REGULATION_OF_CATABOLIC_PROCESS	9	0.0012938795960112887	0.28125	0.9922536916000969
GOBP_REGULATION_OF_NEURON_PROJECTION_DEVELOPMENT	6	0.0013190702336883346	0.1875	0.9907945736434108
GOBP_POSITIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS	7	0.001344392640080173	0.21875	0.9801259346713891
GOBP_GLAND_DEVELOPMENT	6	0.0013624436273581332	0.1875	0.9913479052823315
GOBP_AXON_DEVELOPMENT	6	0.001469248989706281	0.1875	0.9917355371900828
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	11	0.0014836475030060815	0.34375	0.9887238509993
GOBP_REPRODUCTION	8	0.0015250660602341769	0.25	0.9882623426911907
GOBP_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	10	0.001534103855793696	0.3125	0.9884615384615385
GOBP_ION_TRANSMEMBRANE_TRANSPORT	7	0.001562680213413839	0.21875	0.9809915735841661
GOBP_NEGATIVE_REGULATION_OF_DEVELOPMENTAL_PROCESS	7	0.0015718773797401464	0.21875	0.9809253246753248
GOBP_ANATOMICAL_STRUCTURE_FORMATION_INVOLVED_IN_MORPHOGENESIS	8	0.0016586413683792565	0.25	0.9856276371308017
GOBP_CELLULAR_COMPONENT_MORPHOGENESIS	7	0.0017287118962330827	0.21875	0.9937122736418511
GOBP_TUBE_DEVELOPMENT	8	0.001732548856530462	0.25	0.9852383531960998
GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION	7	0.0017723158326541076	0.21875	0.9934065934065934
GOBP_PEPTIDYL_AMINO_ACID_MODIFICATION	9	0.001782032034757318	0.28125	0.9846707818930042
GOBP_MICROTUBULE_CYTOSKELETON_ORGANIZATION	10	0.0018210823022128998	0.3125	0.9907156673114119
GOBP_TISSUE_DEVELOPMENT	8	0.0018936755996008428	0.25	0.9816567065073041
GOBP_CELL_PART_MORPHOGENESIS	7	0.0019503965857316124	0.21875	0.9934807256235827
GOBP_REGULATION_OF_CYTOSKELETON_ORGANIZATION	7	0.001978883379199906	0.21875	0.9872670807453415
GOBP_POSITIVE_REGULATION_OF_PROTEIN_PHOSPHORYLATION	7	0.0019794941027292804	0.21875	0.9826254826254825
GOBP_ENDOSOMAL_TRANSPORT	7	0.0019868588298210354	0.21875	0.9993197278911564
GOBP_SYNAPTIC_SIGNALING	7	0.0020158375516703994	0.21875	0.9877551020408164
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	7	0.0020355269124970776	0.21875	0.9905780494015788
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	10	0.0020726029665812306	0.3125	0.9903820816864297
GOBP_NEGATIVE_REGULATION_OF_GENE_EXPRESSION	7	0.0020780373039099363	0.21875	0.976733364355514
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_ORGANIZATION	10	0.0020993394755611985	0.3125	0.9856156501726122
GOBP_PHOSPHOLIPID_METABOLIC_PROCESS	7	0.0021125788383999982	0.21875	0.9942196531791908
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	11	0.0021292852062484244	0.34375	0.9892181197641949
GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	7	0.0021361129154488538	0.21875	0.9934506753990995
GOBP_MALE_GAMETE_GENERATION	7	0.0021479483458490046	0.21875	0.9922226770364306
GOBP_PHOSPHORYLATION	10	0.0022077166702490275	0.3125	0.9823303457106274
GOBP_METHYLATION	6	0.0022734410001467678	0.1875	0.9909478168264109
GOBP_REGULATION_OF_HYDROLASE_ACTIVITY	7	0.002322994890218928	0.21875	0.9781651997291807
GOBP_REGULATION_OF_CELLULAR_COMPONENT_MOVEMENT	7	0.0023394210307826732	0.21875	0.9786036036036038
GOBP_PROTEIN_CONTAINING_COMPLEX_ORGANIZATION	9	0.002385985610864976	0.28125	0.9761026586752727
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	8	0.002614012076138334	0.25	0.9852631578947368
GOBP_VASCULATURE_DEVELOPMENT	7	0.0026307943795921677	0.21875	0.9838396897220427
GOBP_MITOTIC_CELL_CYCLE	11	0.002679466360049789	0.34375	0.992622857791397
GOBP_MITOTIC_NUCLEAR_DIVISION	9	0.002752678517485915	0.28125	0.9967558799675589
GOBP_LOCALIZATION_WITHIN_MEMBRANE	9	0.002815560472631881	0.28125	0.9891646966115051
GOBP_TUBE_MORPHOGENESIS	8	0.0028322668846434613	0.25	0.9854575163398693
GOBP_PROTEIN_POLYUBIQUITINATION	8	0.002895700209262734	0.25	0.9994343891402715
GOBP_LOCOMOTION	8	0.0029395282749155867	0.25	0.9791242362525459
GOBP_CELLULAR_LIPID_METABOLIC_PROCESS	10	0.0029411093609698494	0.3125	0.9839285714285715
GOBP_CELL_DIVISION	10	0.0029873838337942963	0.3125	0.9902394106813996
GOBP_EXPORT_FROM_CELL	7	0.0029883737002787394	0.21875	0.9797743240366191
GOBP_CELLULAR_COMPONENT_DISASSEMBLY	9	0.003043745285641216	0.28125	0.9908969210174029
GOBP_NEURON_DEVELOPMENT	8	0.0030776383786722075	0.25	0.9885552913198574
GOBP_MUSCLE_CELL_DIFFERENTIATION	6	0.0030813335513426555	0.1875	0.9929824561403509
GOBP_MACROAUTOPHAGY	9	0.0031117920325715214	0.28125	0.9938485198000768
GOBP_POSITIVE_REGULATION_OF_CELLULAR_COMPONENT_BIOGENESIS	9	0.0031723993539163856	0.28125	0.9910266561097915
GOBP_CELLULAR_RESPONSE_TO_HORMONE_STIMULUS	8	0.0031805161625583613	0.25	0.9883720930232558
GOBP_REGULATION_OF_CATABOLIC_PROCESS	10	0.003200188847996252	0.3125	0.9870561282932417
GOBP_TISSUE_MORPHOGENESIS	8	0.0032218953161441116	0.25	0.9899155722326454
GOBP_REGULATION_OF_NEUROGENESIS	6	0.0033211740046828766	0.1875	0.9922619047619047
GOBP_RESPIRATORY_SYSTEM_DEVELOPMENT	6	0.0033283716393138593	0.1875	1.0
GOBP_CELLULAR_RESPONSE_TO_NITROGEN_COMPOUND	7	0.0033582500039753623	0.21875	0.9888888888888888
GOBP_RESPONSE_TO_GROWTH_FACTOR	8	0.003457104860553049	0.25	0.9869109947643979
GOBP_MORPHOGENESIS_OF_AN_EPITHELIUM	7	0.0035458131473881972	0.21875	0.9907936507936509
GOBP_CHROMOSOME_SEGREGATION	9	0.003545816640445864	0.28125	0.9936826458565589
GOBP_SMALL_MOLECULE_CATABOLIC_PROCESS	7	0.003569774203775314	0.21875	0.9899825783972126
GOBP_SUPRAMOLECULAR_FIBER_ORGANIZATION	10	0.0035797962293680216	0.3125	0.9854687500000001
GOBP_CHROMATIN_REMODELING	6	0.0036050208641805865	0.1875	1.0
GOBP_NUCLEAR_TRANSPORT	9	0.0036276745502179203	0.28125	0.994579945799458
GOBP_PROTEIN_CATABOLIC_PROCESS	10	0.0036504686095558078	0.3125	0.9909930715935336
GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	1	0.0036560721450042822	0.03125	0.9721082854799016
GOBP_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	8	0.0037003434921928594	0.25	0.9897354014598541
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	7	0.003793037431059319	0.21875	0.9885967690845741
GOBP_DEPHOSPHORYLATION	7	0.003838832348537878	0.21875	0.9885714285714285
GOBP_RESPONSE_TO_WOUNDING	6	0.0038461448910036937	0.1875	0.9835087719298247
GOBP_POSITIVE_REGULATION_OF_GENE_EXPRESSION	7	0.003960914968967754	0.21875	0.9772831224271992
GOBP_DEVELOPMENTAL_GROWTH	7	0.0040264406473813855	0.21875	0.9917637034933258
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	10	0.004058155759909113	0.3125	0.9821847507331378
GOBP_CELL_MATRIX_ADHESION	7	0.0041367821855344605	0.21875	0.9979296066252588
GOBP_VESICLE_MEDIATED_TRANSPORT	8	0.004196714680771862	0.25	0.9723142016188373
GOBP_SKELETAL_SYSTEM_DEVELOPMENT	7	0.004213398291542565	0.21875	0.9865861837692824
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	9	0.004258433215272556	0.28125	0.9875803947660233
GOBP_ORGANELLE_LOCALIZATION	10	0.004322997834547441	0.3125	0.9898947368421054
GOBP_CELLULAR_NITROGEN_COMPOUND_CATABOLIC_PROCESS	9	0.004328459115143545	0.28125	0.9900744416873449
GOBP_NEGATIVE_REGULATION_OF_CELL_CYCLE_PROCESS	9	0.0043431155392744366	0.28125	0.9973856209150327
GOBP_POSITIVE_REGULATION_OF_TRANSFERASE_ACTIVITY	7	0.004351032185281246	0.21875	0.9844782983615981
GOBP_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	7	0.0044308375723687	0.21875	0.9847233691164327
GOBP_REGULATION_OF_DNA_METABOLIC_PROCESS	7	0.004451775404433913	0.21875	0.9907183212267958
GOBP_REGULATION_OF_CELL_DEVELOPMENT	6	0.0044730492132970265	0.1875	0.9862155388471178
GOBP_MITOTIC_CELL_CYCLE_PROCESS	11	0.004489195489408986	0.34375	0.9924698795180724
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS	6	0.004526894764976462	0.1875	1.0
GOBP_RAS_PROTEIN_SIGNAL_TRANSDUCTION	8	0.004553643279049324	0.25	0.9956624605678234
GOBP_PROTEIN_ACYLATION	7	0.00464244575613057	0.21875	0.9963680387409201
GOBP_CELL_PROJECTION_ORGANIZATION	10	0.0047324076556781655	0.3125	0.9861180382377389
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_MORPHOGENESIS	8	0.004749907492247727	0.25	0.9853316326530612
