pathway	freq	padj	stability	overlap
GOBP_AMIDE_BIOSYNTHETIC_PROCESS	1	0.00029555616631375415	1.0	0.09537166900420757
GOBP_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	1	0.00029555616631375415	1.0	0.20454545454545456
GOBP_OXIDATIVE_PHOSPHORYLATION	1	0.00029555616631375415	1.0	0.1794871794871795
GOBP_CELLULAR_AMIDE_METABOLIC_PROCESS	1	0.00029555616631375415	1.0	0.08793456032719836
GOBP_RESPIRATORY_ELECTRON_TRANSPORT_CHAIN	1	0.00029555616631375415	1.0	0.18518518518518517
GOBP_AEROBIC_RESPIRATION	1	0.0003502160345450224	1.0	0.15432098765432098
GOBP_ELECTRON_TRANSPORT_CHAIN	1	0.0003720457276240362	1.0	0.1568627450980392
GOBP_CELLULAR_RESPIRATION	1	0.0005279565657926167	1.0	0.13861386138613863
GOBP_PEPTIDE_METABOLIC_PROCESS	1	0.000717772563305463	1.0	0.09078771695594126
GOBP_PEPTIDE_BIOSYNTHETIC_PROCESS	1	0.0011562246373311076	1.0	0.0946843853820598
GOBP_ORGANONITROGEN_COMPOUND_BIOSYNTHETIC_PROCESS	1	0.0011562246373311076	1.0	0.07751937984496124
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	1	0.0018981830128123075	1.0	0.20588235294117646
GOBP_MITOCHONDRIAL_ELECTRON_TRANSPORT_NADH_TO_UBIQUINONE	1	0.0018981830128123075	1.0	0.23529411764705882
GOBP_CYTOPLASMIC_TRANSLATION	1	0.00890371302145441	1.0	0.13986013986013987
GOBP_ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	1	0.013853151307154981	1.0	0.10948905109489052
GOBP_NADH_DEHYDROGENASE_COMPLEX_ASSEMBLY	1	0.018895710561187627	1.0	0.2
GOBP_PROTEIN_PROCESSING_INVOLVED_IN_PROTEIN_TARGETING_TO_MITOCHONDRION	1	0.044681702162785046	1.0	0.5714285714285714
GOBP_ORGANIC_ACID_METABOLIC_PROCESS	1	0.044681702162785046	1.0	0.07989690721649484
GOBP_ATP_METABOLIC_PROCESS	1	0.046812632544480336	1.0	0.1091703056768559
GOBP_BRANCHED_CHAIN_AMINO_ACID_CATABOLIC_PROCESS	1	0.06719843647152808	1.0	0.3
GOBP_RIBOSOME_DISASSEMBLY	1	0.06928437669677057	1.0	0.5
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	1	0.06928437669677057	1.0	0.25
GOBP_MITOCHONDRION_ORGANIZATION	1	0.08963024266220573	1.0	0.0863157894736842
GOBP_MITOCHONDRIAL_RESPIRATORY_CHAIN_COMPLEX_ASSEMBLY	1	0.08963024266220573	1.0	0.14444444444444443
