pathway	freq	padj	NES	stability	overlap
KEGG_LONG_TERM_DEPRESSION	1	0.24954695898482832	1.3217664072095534	1.0	66.11
KEGG_PYRIMIDINE_METABOLISM	1	0.24774233925377684	1.3206848552552148	1.0	76.34
KEGG_DRUG_METABOLISM_CYTOCHROME_P450	1	0.24647782089310255	1.3190733667294356	1.0	62.54
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES	1	0.2382365896648198	1.3366138206031368	1.0	33.31
KEGG_STARCH_AND_SUCROSE_METABOLISM	1	0.2265075391666782	1.3521822485059296	1.0	28.01
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.22593146681850904	1.3653849215590304	1.0	34.95
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	0.22459101749130492	1.3602924969855692	1.0	44.67
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1	0.22390722118806444	1.357850668878698	1.0	55.97
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.22345202847070436	1.3649350016229773	1.0	60.22
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	0.21738896481957792	-1.69745000374232	1.0	68.81
KEGG_RETINOL_METABOLISM	1	0.20413121234568535	1.3935879296389888	1.0	61.8
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1	0.20399324422788362	1.3967533739698283	1.0	74.66
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1	0.19246435404752535	1.4136199631620088	1.0	71.74
KEGG_RNA_DEGRADATION	1	0.19012566230095101	-1.6888024834984041	1.0	66.35
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	1	0.17902223408411985	1.4342007481595254	1.0	38.58
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1	0.17818842058896206	1.438754557348071	1.0	42.5
KEGG_DORSO_VENTRAL_AXIS_FORMATION	1	0.16900174597399534	1.4545102845769142	1.0	58.87
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	1	0.16643926127268235	1.461772432631155	1.0	11.47
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	1	0.16160586895063697	1.474315856630111	1.0	11.47
KEGG_TRYPTOPHAN_METABOLISM	1	0.16095168858950165	1.4718404042675808	1.0	78.12
KEGG_PPAR_SIGNALING_PATHWAY	1	0.1598362681163313	1.4802724740836555	1.0	77.96
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	1	0.15374378173720668	1.5130843353419792	1.0	64.56
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.15351128042402945	1.4947802589526822	1.0	45.85
