pathway	freq	padj	NES	stability	overlap
KEGG_SELENOAMINO_ACID_METABOLISM	1	0.24486569220104235	-1.2680300084585736	0.025	61.52
KEGG_PYRUVATE_METABOLISM	2	0.22945143076157165	1.3206987199574705	0.05	34.195
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	2	0.22904098243960486	1.3319320968237185	0.05	52.644999999999996
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	4	0.22823831388717963	0.6551410528373355	0.1	67.56
KEGG_RENIN_ANGIOTENSIN_SYSTEM	4	0.22198167292626333	1.301344669313691	0.1	60.269999999999996
KEGG_ETHER_LIPID_METABOLISM	2	0.2121423815113254	-1.3796987050814584	0.05	52.25
KEGG_HISTIDINE_METABOLISM	4	0.20822885921839057	1.3415996179420027	0.1	45.47749999999999
KEGG_RIBOFLAVIN_METABOLISM	6	0.2072886915614315	-0.44063564676847417	0.15	39.791666666666664
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	3	0.203665907596011	1.4567715246383675	0.075	57.22
KEGG_GLYCEROLIPID_METABOLISM	6	0.20157269906756192	1.313159157217825	0.15	53.38833333333333
KEGG_PRION_DISEASES	10	0.1976292780080107	0.043486435167924165	0.25	52.694
KEGG_LIMONENE_AND_PINENE_DEGRADATION	15	0.19198042963036643	-0.48349172218199393	0.375	25.31
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	15	0.1890207465995437	-1.172364221702692	0.375	32.690666666666665
KEGG_SULFUR_METABOLISM	8	0.1887076923958367	1.4747315129373595	0.2	47.980000000000004
KEGG_PRIMARY_IMMUNODEFICIENCY	7	0.18790357046108494	1.358155734830195	0.175	58.72571428571429
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	5	0.18468550692606506	1.371354441984328	0.125	63.55799999999999
KEGG_BUTANOATE_METABOLISM	5	0.1821091488658026	1.3919827751569782	0.125	34.934
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	1	0.18166334824030195	-1.516536465277176	0.025	51.72
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	2	0.17860714691446347	1.4236858422664618	0.05	33.185
KEGG_STEROID_BIOSYNTHESIS	9	0.17749550337666412	-1.414235324491803	0.225	58.4388888888889
KEGG_RNA_POLYMERASE	17	0.176874836686233	-1.4757443101632717	0.425	63.66117647058824
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	3	0.17431321073277736	0.4935920611142756	0.075	53.123333333333335
KEGG_BETA_ALANINE_METABOLISM	6	0.1715001340462873	1.3776633155570153	0.15	63.553333333333335
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	16	0.1697271263589359	0.1899591931892508	0.4	54.199375
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	14	0.1697256084002141	-0.23215682143285912	0.35	60.978571428571435
KEGG_GLUTATHIONE_METABOLISM	17	0.16937390486960613	-1.1709346916609344	0.425	68.01529411764706
