pathway	freq	padj	NES	stability	overlap
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	2	0.22063925790046263	1.2890218761658305	0.05	80.36500000000001
KEGG_PRION_DISEASES	6	0.2156343140038536	1.3023260421718417	0.15	50.51
KEGG_PEROXISOME	2	0.2146978612126585	1.3729895094891744	0.05	73.59
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	4	0.21106834450253126	1.492019142408113	0.1	13.79
KEGG_ALLOGRAFT_REJECTION	5	0.20779433718594637	1.495215572852887	0.125	61.04599999999999
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	6	0.20727122467207046	1.4871984206910491	0.15	40.546666666666674
KEGG_PROTEASOME	7	0.20636856617370408	1.3396450543192577	0.175	21.004285714285714
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	3	0.20431409019574853	1.321350862133753	0.075	69.91666666666667
KEGG_TYPE_I_DIABETES_MELLITUS	5	0.20259371267106943	1.547061804639764	0.125	58.193999999999996
KEGG_AUTOIMMUNE_THYROID_DISEASE	2	0.20070789156661142	1.6025411078397611	0.05	64.285
KEGG_RNA_POLYMERASE	2	0.19951877345669936	1.3987463201082702	0.05	74.275
KEGG_SULFUR_METABOLISM	3	0.18653955572096534	1.5240416079600025	0.075	54.47333333333333
KEGG_LIMONENE_AND_PINENE_DEGRADATION	10	0.18374101998457368	1.3667209893266055	0.25	18.452
KEGG_PANTOTHENATE_AND_COA_BIOSYNTHESIS	1	0.17801883166104446	1.3505723749266925	0.025	56.28
KEGG_GRAFT_VERSUS_HOST_DISEASE	10	0.1756150372513193	1.6267770023673127	0.25	37.803
KEGG_ONE_CARBON_POOL_BY_FOLATE	7	0.17510661950801554	1.3905705829855177	0.175	51.49714285714286
KEGG_PYRUVATE_METABOLISM	2	0.17362336325060912	1.4490963930329142	0.05	65.765
KEGG_STEROID_HORMONE_BIOSYNTHESIS	6	0.16988979650698463	1.5404620209712923	0.15	35.42
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	2	0.1680313361716926	1.391701449329065	0.05	70.48
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	4	0.16722514020760143	1.3759953017360955	0.1	51.53
KEGG_PYRIMIDINE_METABOLISM	3	0.1652491950607823	1.389465481289432	0.075	73.13333333333334
KEGG_RETINOL_METABOLISM	10	0.1603631434552936	1.582733664311198	0.25	33.343
KEGG_ABC_TRANSPORTERS	7	0.15774734262591456	1.4020169513938257	0.175	40.271428571428565
KEGG_ARACHIDONIC_ACID_METABOLISM	9	0.15578845678492237	1.5754079013758098	0.225	69.90666666666667
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	7	0.15487622662675674	1.4063733691820293	0.175	74.69428571428571
KEGG_LINOLEIC_ACID_METABOLISM	10	0.14438685612582564	1.6305852546304322	0.25	62.44199999999999
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG	12	0.14187328251111966	1.7150738945230266	0.3	40.9025
KEGG_ALZHEIMERS_DISEASE	13	0.1415447226014314	1.5577724555963195	0.325	42.043076923076924
KEGG_CARDIAC_MUSCLE_CONTRACTION	7	0.14070707987818756	1.6713047869145168	0.175	24.58428571428571
KEGG_HUNTINGTONS_DISEASE	6	0.13875154450881624	1.6156636128346156	0.15	49.91666666666666
KEGG_BUTANOATE_METABOLISM	2	0.13783192495356955	1.5294646394687912	0.05	69.53
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	9	0.13676023927716363	1.7468535449196563	0.225	42.62888888888889
KEGG_FATTY_ACID_METABOLISM	8	0.13342444518494984	1.4869481639984956	0.2	60.97125
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	2	0.1287283026796271	1.5525606425352625	0.05	61.965
KEGG_TYPE_II_DIABETES_MELLITUS	6	0.12714465306802825	1.4650495625956823	0.15	56.699999999999996
KEGG_CITRATE_CYCLE_TCA_CYCLE	10	0.12249028882035651	1.4958814757721222	0.25	42.801
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	12	0.1211093946781785	1.6908485707384646	0.3	28.644166666666667
KEGG_BETA_ALANINE_METABOLISM	2	0.11999517091043566	1.5752157795484378	0.05	61.97
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	11	0.11499441899806505	1.7865943440081262	0.275	23.819999999999997
KEGG_RIBOFLAVIN_METABOLISM	8	0.11102993017325491	1.502157091771223	0.2	63.18375
KEGG_GLYCEROLIPID_METABOLISM	9	0.10790132443502508	1.5168806249210314	0.225	61.54333333333333
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	8	0.09675947555370773	1.5763038749846945	0.2	74.07124999999999
KEGG_P53_SIGNALING_PATHWAY	10	0.0927773381233305	1.5766495662691127	0.25	39.415
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	10	0.09147637783702658	1.5855429842030149	0.25	37.204
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	8	0.09040771856111919	1.6082773277887643	0.2	67.73625
KEGG_CHEMOKINE_SIGNALING_PATHWAY	8	0.08962124693201823	1.5842123320986576	0.2	42.43375
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	8	0.08932772229265705	1.5980935395046343	0.2	68.305
KEGG_PURINE_METABOLISM	10	0.08584626867218384	1.6342716776564274	0.25	74.898
