pathway	freq	padj	NES	stability	overlap
GOBP_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1	0.24970236991143874	1.6267357692713338	1.0	30.79
GOBP_REGULATION_OF_ICOSANOID_SECRETION	1	0.24952768440138953	-1.5431083019047784	1.0	70.52
GOBP_DENTINOGENESIS	1	0.24914489060928882	1.6279654609449643	1.0	40.38
GOBP_NEGATIVE_REGULATION_OF_HIGH_VOLTAGE_GATED_CALCIUM_CHANNEL_ACTIVITY	1	0.24875205517060414	1.6279002544617802	1.0	20.2
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_BINDING	1	0.2480565030116061	1.629191090518504	1.0	46.16
GOBP_METANEPHRIC_GLOMERULUS_VASCULATURE_DEVELOPMENT	1	0.24781082083947176	1.6301943302819533	1.0	26.95
GOBP_NEURAL_TUBE_DEVELOPMENT	1	0.2474787229129243	1.6300615372457716	1.0	15.78
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY	1	0.24698913204412462	-1.5459021313505965	1.0	48.71
GOBP_POSITIVE_REGULATION_OF_INTEGRIN_ACTIVATION	1	0.2469029433792555	-1.5457109948126306	1.0	30.59
GOBP_REGULATION_OF_HISTAMINE_SECRETION_BY_MAST_CELL	1	0.2460939398155244	-1.5469233421623183	1.0	23.72
GOBP_TETRAHYDROFOLATE_BIOSYNTHETIC_PROCESS	1	0.24543955795153627	-1.547776226042774	1.0	56.42
GOBP_POSITIVE_REGULATION_OF_INTERLEUKIN_10_PRODUCTION	1	0.24498761241912786	-1.548690657817846	1.0	61.19
GOBP_ORNITHINE_METABOLIC_PROCESS	1	0.24495106689706855	-1.548441053363799	1.0	55.21
GOBP_AXON_DEVELOPMENT	1	0.24452768186640797	1.6334175378117788	1.0	24.75
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_BETA_OXIDATION	1	0.24444810053126237	1.6342550128534703	1.0	23.45
GOBP_CELLULAR_MODIFIED_AMINO_ACID_CATABOLIC_PROCESS	1	0.2441278442297052	1.6341368589810679	1.0	52.03
GOBP_PROTEIN_LOCALIZATION_TO_CYTOPLASMIC_STRESS_GRANULE	1	0.24405633600420704	-1.5499926314192731	1.0	23.53
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_PERIPHERY	1	0.24395193524928635	-1.5503526020973852	1.0	26.9
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT	1	0.2438762435370428	-1.5498843610515796	1.0	53.42
GOBP_REGULATION_OF_PROTEIN_K63_LINKED_UBIQUITINATION	1	0.24362542992553235	-1.551206603523079	1.0	25.87
GOBP_ANTIGEN_PROCESSING_AND_PRESENTATION_OF_EXOGENOUS_PEPTIDE_ANTIGEN	1	0.2436132658688207	-1.5517591611682242	1.0	69.99
GOBP_CELLULAR_RESPONSE_TO_INCREASED_OXYGEN_LEVELS	1	0.24357559962820352	-1.5515325207462909	1.0	46.75
GOBP_IMMUNOGLOBULIN_PRODUCTION_INVOLVED_IN_IMMUNOGLOBULIN_MEDIATED_IMMUNE_RESPONSE	1	0.24339971127438884	-1.5511384852359353	1.0	45.46
GOBP_POTASSIUM_ION_TRANSPORT	1	0.24333840910879004	1.6355421301963966	1.0	53.97
GOBP_NEGATIVE_REGULATION_OF_TELOMERE_MAINTENANCE	1	0.2433087834082886	-1.5523104698544417	1.0	42.22
GOBP_OSSIFICATION	1	0.2425411031521482	1.6369787273427494	1.0	25.43
GOBP_REGULATION_OF_REPRODUCTIVE_PROCESS	1	0.24241160721618538	1.6367132493614682	1.0	40.29
GOBP_FAT_SOLUBLE_VITAMIN_METABOLIC_PROCESS	1	0.24230474542804492	1.6375783757312876	1.0	72.53
GOBP_CENTROMERIC_SISTER_CHROMATID_COHESION	1	0.24189891474022665	-1.5538998902322696	1.0	24.14
GOBP_REGULATION_OF_ION_TRANSMEMBRANE_TRANSPORT	1	0.24155138027177964	1.6386767483337616	1.0	54.34
GOBP_CELL_DIFFERENTIATION_IN_SPINAL_CORD	1	0.24133586178012398	1.6396337365510698	1.0	30.72
GOBP_LYMPHANGIOGENESIS	1	0.2412114159479424	1.6393234144710982	1.0	20.17
GOBP_POSITIVE_REGULATION_OF_GASTRULATION	1	0.2409346823930859	1.6406913381785293	1.0	40.95
GOBP_EMBRYONIC_FORELIMB_MORPHOGENESIS	1	0.2408015938441181	1.6412207998621657	1.0	41.07
GOBP_MUSCLE_CELL_DEVELOPMENT	1	0.24079928578799226	1.6404257385492003	1.0	23.81
GOBP_POSITIVE_REGULATION_OF_MUSCLE_CELL_DIFFERENTIATION	1	0.24072876920723746	1.6440020372901267	1.0	60.01
GOBP_RENAL_SODIUM_EXCRETION	1	0.24067929932327223	1.641732611152872	1.0	38.27
GOBP_CELL_MIGRATION_INVOLVED_IN_GASTRULATION	1	0.24052124009091452	1.6437917631541903	1.0	42.48
GOBP_REGULATION_OF_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER	1	0.2400942727344556	-1.5557529881860395	1.0	36.93
GOBP_CHONDROITIN_SULFATE_BIOSYNTHETIC_PROCESS	1	0.24007708139199796	1.6437700850976606	1.0	49.93
GOBP_REGULATION_OF_PROSTAGLANDIN_SECRETION	1	0.24005610396246832	-1.5563141837145418	1.0	65.09
GOBP_APOPTOTIC_SIGNALING_PATHWAY	1	0.23996423111472592	-1.5561216585836144	1.0	18.22
GOBP_CELLULAR_COMPONENT_DISASSEMBLY	1	0.2399555330540362	-1.556659210011931	1.0	30.17
GOBP_MATURE_RIBOSOME_ASSEMBLY	1	0.23990664589873067	-1.5582930470454792	1.0	4.89
GOBP_CIRCADIAN_SLEEP_WAKE_CYCLE	1	0.23989934474819222	1.6428150785970241	1.0	44.19
GOBP_REGULATION_OF_NUCLEASE_ACTIVITY	1	0.2398975615294962	-1.559364308753084	1.0	28.56
GOBP_LYSOSOMAL_LUMEN_ACIDIFICATION	1	0.23979249213927306	-1.5570615470081086	1.0	24.0
GOBP_RHOMBOMERE_DEVELOPMENT	1	0.23972944162506413	1.6436729944371706	1.0	22.46
GOBP_PROTEIN_LOCALIZATION_TO_CONDENSED_CHROMOSOME	1	0.23964755459181286	-1.5593080447065226	1.0	30.83
GOBP_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING	1	0.23963658741790778	-1.5582646222910825	1.0	66.48
GOBP_DIOL_METABOLIC_PROCESS	1	0.2396354413008413	-1.5598770268210647	1.0	65.94
GOBP_HISTONE_H4_DEACETYLATION	1	0.23945844849477738	-1.560315908231027	1.0	35.15
GOBP_REGULATION_OF_ALKALINE_PHOSPHATASE_ACTIVITY	1	0.23944648873764587	-1.55895568808293	1.0	46.08
GOBP_NEGATIVE_REGULATION_OF_ANTIGEN_RECEPTOR_MEDIATED_SIGNALING_PATHWAY	1	0.2394232632859965	-1.5592359913738922	1.0	12.94
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	1	0.23940840597923532	-1.5582099601497414	1.0	66.98
GOBP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS	1	0.23939844603050822	1.6471720915167427	1.0	31.71
GOBP_RIBOSOMAL_LARGE_SUBUNIT_ASSEMBLY	1	0.23939639684345768	1.643569918486986	1.0	12.77
GOBP_CELLULAR_SENESCENCE	1	0.23937789200530843	-1.557985662132525	1.0	32.23
GOBP_G_PROTEIN_COUPLED_PURINERGIC_RECEPTOR_SIGNALING_PATHWAY	1	0.23934861770808613	1.6460219875003366	1.0	39.6
GOBP_L_GLUTAMATE_TRANSMEMBRANE_TRANSPORT	1	0.23925150785776322	-1.5578342956336984	1.0	10.85
GOBP_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	1	0.23912422458291552	1.6469819023601275	1.0	40.85
GOBP_CELLULAR_RESPONSE_TO_HEPARIN	1	0.23895764469137584	1.6459599553997868	1.0	39.89
GOBP_LIPOXYGENASE_PATHWAY	1	0.2389115612902381	1.647948106992257	1.0	47.72
GOBP_BRANCHING_INVOLVED_IN_PROSTATE_GLAND_MORPHOGENESIS	1	0.23873982684215608	1.646893605384172	1.0	13.54
GOBP_CELLULAR_RESPONSE_TO_UNFOLDED_PROTEIN	1	0.23695473964380917	-1.5628161612584792	1.0	31.45
GOBP_REGULATION_OF_PROTEIN_DEUBIQUITINATION	1	0.23681826128054514	-1.5632102396276626	1.0	33.89
GOBP_FATTY_ACID_METABOLIC_PROCESS	1	0.23660295218327826	-1.5636501123266735	1.0	15.12
GOBP_REGULATION_OF_TRANSFERASE_ACTIVITY	1	0.23652020808347132	-1.5639895640722898	1.0	22.36
GOBP_CONNECTIVE_TISSUE_REPLACEMENT	1	0.23545723595087936	-1.5660214689969751	1.0	34.26
GOBP_LEUKOCYTE_HOMEOSTASIS	1	0.235406699655678	-1.5652327830789075	1.0	49.93
GOBP_INTERLEUKIN_23_PRODUCTION	1	0.23516637769643411	-1.5660163097999396	1.0	57.27
GOBP_REGULATION_OF_CELL_CELL_ADHESION	1	0.2351430945582072	-1.5657565857871873	1.0	70.15
GOBP_PROTEIN_DESUMOYLATION	1	0.2346914479602245	-1.5670000543592448	1.0	46.11
GOBP_NEGATIVE_REGULATION_OF_EXTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	1	0.23417788850599563	-1.5676920680615114	1.0	11.55
GOBP_ESTABLISHMENT_OF_GOLGI_LOCALIZATION	1	0.23394597038328657	-1.5686709201427682	1.0	8.91
GOBP_GLUTAMATE_BIOSYNTHETIC_PROCESS	1	0.23373071820063554	-1.5686265559788277	1.0	24.22
GOBP_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION	1	0.23350449489398617	-1.5685833487663101	1.0	70.03
GOBP_REGULATION_OF_PEPTIDYL_THREONINE_PHOSPHORYLATION	1	0.23331714862930888	1.654578959154185	1.0	60.05
GOBP_REPLICATION_FORK_PROCESSING	1	0.23329542728241748	-1.5695214225301173	1.0	41.68
GOBP_PARASYMPATHETIC_NERVOUS_SYSTEM_DEVELOPMENT	1	0.2331548126932986	1.6555083102793933	1.0	31.55
GOBP_NEUROTRANSMITTER_REUPTAKE	1	0.23301881009753397	1.653605646342785	1.0	57.26
GOBP_LEARNED_VOCALIZATION_BEHAVIOR_OR_VOCAL_LEARNING	1	0.23296884135389095	1.6544646540763408	1.0	35.55
GOBP_NEGATIVE_REGULATION_OF_NECROTIC_CELL_DEATH	1	0.23289703499829661	1.6553326122743672	1.0	31.59
GOBP_VENTRAL_MIDLINE_DEVELOPMENT	1	0.23256767535662756	1.6543938377561296	1.0	39.59
GOBP_GAS_TRANSPORT	1	0.2316927583852534	1.658016882079203	1.0	40.53
GOBP_POSITIVE_REGULATION_OF_COLLAGEN_METABOLIC_PROCESS	1	0.23145607207558444	1.6585950409714427	1.0	45.27
GOBP_PURINE_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	0.23143259973489047	-1.5757086326763545	1.0	11.71
GOBP_ODONTOGENESIS	1	0.23142068116316977	1.6578316409344378	1.0	41.25
GOBP_LONG_CHAIN_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS	1	0.23140316481586087	-1.571450332639199	1.0	40.4
GOBP_INTRACELLULAR_TRANSPORT_OF_VIRUS	1	0.23135361402936827	-1.5738924009728674	1.0	29.77
GOBP_NEGATIVE_REGULATION_OF_MYELINATION	1	0.23135049666912216	-1.574171560010766	1.0	16.01
GOBP_ALPHA_BETA_T_CELL_DIFFERENTIATION	1	0.23130001530163677	-1.5752853208999276	1.0	73.0
GOBP_MORPHOGENESIS_OF_A_POLARIZED_EPITHELIUM	1	0.2312397058989057	1.6575791019547683	1.0	23.34
GOBP_G_QUADRUPLEX_DNA_UNWINDING	1	0.23122901657178185	-1.5718739840748948	1.0	38.45
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_INTERFERON_GAMMA	1	0.23122897287326233	-1.5723795361330952	1.0	4.11
GOBP_REGULATION_OF_CELL_ACTIVATION	1	0.23121637896488295	-1.5748046549325563	1.0	74.0
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION	1	0.23119727356910885	-1.5756613363871836	1.0	70.03
GOBP_REGULATION_OF_ALTERNATIVE_MRNA_SPLICING_VIA_SPLICEOSOME	1	0.2311723961972396	-1.5737755282861225	1.0	26.78
GOBP_RESPONSE_TO_THYROXINE	1	0.2311660463557285	-1.5751376812096336	1.0	25.1
GOBP_TRANSCRIPTION_ELONGATION_FROM_RNA_POLYMERASE_II_PROMOTER	1	0.23103725077354734	-1.5747229234016902	1.0	41.93
GOBP_CHEMOKINE_C_X_C_MOTIF_LIGAND_2_PRODUCTION	1	0.23100814323869978	-1.573389991554182	1.0	61.91
GOBP_REGULATION_OF_PROTEIN_CONTAINING_COMPLEX_DISASSEMBLY	1	0.23099163656443367	-1.5736697218976687	1.0	32.21
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_DEPHOSPHORYLATION	1	0.23096811500026065	-1.572353057209012	1.0	60.92
GOBP_REGULATION_OF_BMP_SIGNALING_PATHWAY	1	0.2309146521492466	1.6594588254705855	1.0	43.49
GOBP_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE_TRANSLOCATION	1	0.23082416711613366	-1.573276613625509	1.0	43.06
GOBP_LOOP_OF_HENLE_DEVELOPMENT	1	0.23080559964512876	1.6602883239123591	1.0	27.32
GOBP_SULFUR_COMPOUND_CATABOLIC_PROCESS	1	0.23075768640773112	1.6607070075369579	1.0	52.51
GOBP_VITAMIN_TRANSMEMBRANE_TRANSPORT	1	0.23071693528151266	1.6599997730396991	1.0	39.84
GOBP_PROTEIN_METHYLATION	1	0.23055541276051628	-1.5732471869981857	1.0	40.83
GOBP_ENDOCARDIAL_CUSHION_DEVELOPMENT	1	0.2302470580808534	1.663633813337675	1.0	23.23
GOBP_NEPHRON_TUBULE_EPITHELIAL_CELL_DIFFERENTIATION	1	0.23004471086287165	-1.578392822002094	1.0	20.96
GOBP_REGULATION_OF_HELICASE_ACTIVITY	1	0.23003463194510637	-1.5778391608294342	1.0	28.26
GOBP_MITOCHONDRIAL_RNA_METABOLIC_PROCESS	1	0.2299164224481836	-1.5782138539055592	1.0	47.54
GOBP_CELLULAR_RESPONSE_TO_RETINOIC_ACID	1	0.22981941456684954	1.6635843647047057	1.0	41.38
GOBP_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1	0.22980808127483807	-1.5777760435104526	1.0	62.74
GOBP_CELL_GROWTH	1	0.22980371598704924	1.6631763115221272	1.0	34.79
GOBP_AXONOGENESIS_INVOLVED_IN_INNERVATION	1	0.2297570578773153	-1.5789292350707478	1.0	48.21
GOBP_POTASSIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	1	0.22965294724280522	1.6624454148471617	1.0	17.87
GOBP_GTP_BIOSYNTHETIC_PROCESS	1	0.22957841562141493	1.6629252020570722	1.0	26.0
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	1	0.22957029341574595	-1.5777263084649664	1.0	48.6
GOBP_REGULATION_OF_CHAPERONE_MEDIATED_AUTOPHAGY	1	0.22948057958037285	1.66219374443151	1.0	49.75
GOBP_CLATHRIN_DEPENDENT_ENDOCYTOSIS	1	0.22937736150612942	-1.5795605498091232	1.0	36.57
GOBP_BLOOD_COAGULATION_INTRINSIC_PATHWAY	1	0.22913483982101046	1.6657776223598937	1.0	41.26
GOBP_ORGANIC_ACID_TRANSPORT	1	0.22868730571361093	1.665361750737959	1.0	50.79
GOBP_TRANSDIFFERENTIATION	1	0.22866649304046693	1.6657707124559793	1.0	20.05
GOBP_POSITIVE_REGULATION_OF_RNA_EXPORT_FROM_NUCLEUS	1	0.22865618129796994	-1.5805165161079406	1.0	43.85
GOBP_RIG_I_SIGNALING_PATHWAY	1	0.22738125822628782	-1.5819732507304756	1.0	9.97
GOBP_NEUROTRANSMITTER_TRANSPORT	1	0.22717895622460108	1.6691110608532667	1.0	57.62
GOBP_POSITIVE_REGULATION_OF_HUMORAL_IMMUNE_RESPONSE	1	0.2267596058010973	1.6690614193632627	1.0	42.99
GOBP_PEPTIDYL_LYSINE_OXIDATION	1	0.22657036577175999	1.6683878593877497	1.0	21.08
GOBP_POSITIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT	1	0.22647240152074122	1.6700900810753867	1.0	24.61
GOBP_BLOOD_VESSEL_MATURATION	1	0.22642726689489695	1.6689089368125822	1.0	39.05
GOBP_EPIBOLY	1	0.2264244919006055	-1.5831807505964997	1.0	63.66
GOBP_POSITIVE_REGULATION_OF_ANTIGEN_PROCESSING_AND_PRESENTATION	1	0.2262480550758138	1.6707184114346738	1.0	54.73
GOBP_NECROPTOTIC_SIGNALING_PATHWAY	1	0.22509548462815998	-1.5847302800614687	1.0	29.08
GOBP_GASTRIC_ACID_SECRETION	1	0.22375178667108164	1.6733337621113324	1.0	40.86
GOBP_MRNA_3_END_PROCESSING	1	0.22363384118332402	-1.586376051863964	1.0	48.01
GOBP_VESICLE_CARGO_LOADING	1	0.22311120047032698	-1.5871362050917142	1.0	48.6
GOBP_REGULATION_OF_VASCULATURE_DEVELOPMENT	1	0.2231095943141193	1.6743263868205829	1.0	61.3
GOBP_NEURAL_CREST_CELL_DIFFERENTIATION	1	0.22303740668259348	1.6748662834903614	1.0	36.07
GOBP_RESPONSE_TO_CORTICOSTERONE	1	0.22295046160790488	1.6753903626250373	1.0	33.82
GOBP_REGULATION_OF_NOTCH_SIGNALING_PATHWAY	1	0.22292107632406497	1.6758568512783782	1.0	40.97
GOBP_RESPIRATORY_GASEOUS_EXCHANGE_BY_RESPIRATORY_SYSTEM	1	0.22257435198424647	1.6765941013153438	1.0	22.19
GOBP_LUNG_VASCULATURE_DEVELOPMENT	1	0.22199760044039732	1.6775470988436583	1.0	19.64
GOBP_NEGATIVE_REGULATION_OF_RESPONSE_TO_STIMULUS	1	0.2215349847943911	1.6783306506079738	1.0	48.83
GOBP_VACUOLAR_ACIDIFICATION	1	0.22140548994013828	-1.5890091676615432	1.0	24.01
GOBP_POSITIVE_REGULATION_OF_BLOOD_BRAIN_BARRIER_PERMEABILITY	1	0.22134385888215258	-1.5893100517231762	1.0	2.3
GOBP_RNA_POLYMERASE_II_PREINITIATION_COMPLEX_ASSEMBLY	1	0.22130616441621384	-1.5896436045055629	1.0	35.86
GOBP_REGULATION_OF_LAMELLIPODIUM_ASSEMBLY	1	0.22111019234588883	-1.5900892948539131	1.0	8.15
GOBP_TRNA_THIO_MODIFICATION	1	0.2195659399492437	1.6806150471722965	1.0	38.38
GOBP_CELL_MIGRATION_INVOLVED_IN_HEART_DEVELOPMENT	1	0.21939126576044768	1.6815901347294817	1.0	20.53
GOBP_COMPLEMENT_ACTIVATION_LECTIN_PATHWAY	1	0.21927595447422416	1.681262928899935	1.0	20.59
GOBP_POSTSYNAPTIC_MEMBRANE_ASSEMBLY	1	0.21848432341241825	1.6827621477287769	1.0	48.72
GOBP_NUCLEAR_TRANSCRIBED_MRNA_CATABOLIC_PROCESS_DEADENYLATION_DEPENDENT_DECAY	1	0.2182332238992152	-1.5930424988875864	1.0	52.97
