pathway	freq	padj	stability	overlap
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	15	1.0718534741714844e-08	0.25	0.23152454780361756
KEGG_SPLICEOSOME	15	6.859784234331429e-06	0.25	0.17989417989417986
KEGG_CELL_CYCLE	15	1.3004797290913833e-05	0.25	0.18095238095238092
KEGG_ERBB_SIGNALING_PATHWAY	15	2.6688111055917144e-05	0.25	0.21069958847736628
KEGG_WNT_SIGNALING_PATHWAY	15	4.188054988159536e-05	0.25	0.1696
KEGG_COLORECTAL_CANCER	15	5.410753387788444e-05	0.25	0.22888888888888895
KEGG_PATHWAYS_IN_CANCER	15	8.782694253696297e-05	0.25	0.11794871794871796
KEGG_ADHERENS_JUNCTION	15	0.00011160849668540172	0.25	0.20095238095238102
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	15	0.0001158920419142239	0.25	0.13518518518518519
KEGG_REGULATION_OF_AUTOPHAGY	15	0.00023904611453111056	0.25	0.37
KEGG_ENDOMETRIAL_CANCER	15	0.00035940897226543616	0.25	0.23129251700680267
KEGG_PROSTATE_CANCER	15	0.0004658636892982262	0.25	0.1749019607843137
KEGG_RENAL_CELL_CARCINOMA	15	0.0005606525884424037	0.25	0.20096618357487922
KEGG_ACUTE_MYELOID_LEUKEMIA	15	0.0008842890163327972	0.25	0.20238095238095244
KEGG_MAPK_SIGNALING_PATHWAY	15	0.0010580748375728177	0.25	0.11569506726457399
KEGG_CHRONIC_MYELOID_LEUKEMIA	15	0.0013791778586175725	0.25	0.18591549295774654
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	15	0.0014409477953042987	0.25	0.2053333333333334
KEGG_FOCAL_ADHESION	15	0.002294220619552484	0.25	0.11555555555555558
KEGG_RNA_DEGRADATION	15	0.002664850617162125	0.25	0.1842424242424242
KEGG_TGF_BETA_SIGNALING_PATHWAY	15	0.0027130263736451768	0.25	0.1561181434599156
