pathway	freq	padj	NES	stability	overlap
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.2348291541506516	1.3570513181387105	1.0	13.51
KEGG_OOCYTE_MEIOSIS	1	0.23314288502274386	1.355982817245833	1.0	75.52
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.21372140582828397	1.387092981083594	1.0	75.88
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.21290232750596008	1.3937175224446876	1.0	75.71
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.21232171631801267	1.391444749448043	1.0	26.0
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.21180558225809676	1.3862054025496406	1.0	66.98
KEGG_COLORECTAL_CANCER	1	0.2096814704571898	1.4002369586502734	1.0	67.81
KEGG_THYROID_CANCER	1	0.2081459669421685	1.4052162109933297	1.0	70.43
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	0.19429374342544323	1.4259352234296285	1.0	25.06
KEGG_ONE_CARBON_POOL_BY_FOLATE	1	0.1886895213076025	1.4355398494160803	1.0	57.44
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.17256957593704522	1.4607769098396424	1.0	68.87
KEGG_DNA_REPLICATION	1	0.1516057548653337	1.491929879828407	1.0	41.2
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.1484551917686789	1.503182133486122	1.0	36.18
KEGG_FOCAL_ADHESION	1	0.14646923434527923	1.5027775838443238	1.0	68.6
KEGG_SPHINGOLIPID_METABOLISM	1	0.14526760047803106	1.5115244795188245	1.0	67.13
KEGG_AXON_GUIDANCE	1	0.13993560981255587	1.52385114219115	1.0	70.46
KEGG_LEISHMANIA_INFECTION	1	0.13240598184774066	1.5559755947196288	1.0	18.23
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.1310898683747605	1.5457700229240339	1.0	34.15
KEGG_PURINE_METABOLISM	1	0.13053826498599214	1.5505562880622448	1.0	34.5
KEGG_PATHWAYS_IN_CANCER	1	0.13022487555761314	1.5559224218248362	1.0	78.35
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	1	0.13003547977331636	1.5436532981592948	1.0	37.9
KEGG_INSULIN_SIGNALING_PATHWAY	1	0.12502649849696443	1.572897340987866	1.0	60.37
KEGG_PANCREATIC_CANCER	1	0.11730705409317374	1.5905756308403085	1.0	27.89
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	0.11577275530748254	1.59773076984428	1.0	33.21
KEGG_RNA_POLYMERASE	1	0.08862523013318116	1.6578495791988992	1.0	59.26
KEGG_TGF_BETA_SIGNALING_PATHWAY	1	0.08572401325859645	1.670815666196422	1.0	64.08
KEGG_FATTY_ACID_METABOLISM	1	0.08467824420495043	1.669755889771849	1.0	59.18
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.08091805643780751	1.6868100783476845	1.0	25.19
KEGG_MAPK_SIGNALING_PATHWAY	1	0.07477647447260684	1.7079014608480123	1.0	49.85
KEGG_BASE_EXCISION_REPAIR	1	0.06423229724055513	1.7413671192974618	1.0	40.14
KEGG_NOTCH_SIGNALING_PATHWAY	1	0.06189838259137378	1.7549206309676593	1.0	44.6
KEGG_PPAR_SIGNALING_PATHWAY	1	0.05651631298830403	1.7760831985094796	1.0	59.7
KEGG_NON_SMALL_CELL_LUNG_CANCER	1	0.053918912944428785	1.7882626441374776	1.0	27.88
KEGG_OTHER_GLYCAN_DEGRADATION	1	0.05173070918702426	1.8031986768739632	1.0	45.4
KEGG_CELL_CYCLE	1	0.05147633975779199	1.799567909117057	1.0	76.27
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1	0.050562009452955935	1.814115933251529	1.0	58.71
KEGG_MTOR_SIGNALING_PATHWAY	1	0.0500908514345563	1.8192923932827512	1.0	36.46
KEGG_LYSINE_DEGRADATION	1	0.049963829805778105	1.8236469402429742	1.0	45.21
KEGG_MISMATCH_REPAIR	1	0.04930489341068732	1.8295939897129905	1.0	53.36
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	0.04891204875055178	1.8405224564630545	1.0	53.32
KEGG_RENAL_CELL_CARCINOMA	1	0.048574520084839735	1.8368999071145786	1.0	31.72
KEGG_BETA_ALANINE_METABOLISM	1	0.04693712995733861	1.8572654964834772	1.0	30.25
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.04683638770379076	1.851581952880459	1.0	38.4
KEGG_PROPANOATE_METABOLISM	1	0.04262504864134907	1.8837275967789997	1.0	34.51
KEGG_ACUTE_MYELOID_LEUKEMIA	1	0.042125288152462706	1.8809645799867931	1.0	13.58
KEGG_SELENOAMINO_ACID_METABOLISM	1	0.03704673183966581	1.922359056319432	1.0	21.63
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS	1	0.036769376628031945	1.9129339572428041	1.0	68.11
KEGG_VIRAL_MYOCARDITIS	1	0.03620403168211654	1.9207859137719414	1.0	56.88
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	1	0.031921132057866154	1.964414096907421	1.0	41.78
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	0.031338400054735316	1.9611468981134	1.0	31.54
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY	1	0.03036737033556843	1.9782559527592505	1.0	20.87
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	1	0.027594448810843983	2.014350031028121	1.0	47.23
KEGG_N_GLYCAN_BIOSYNTHESIS	1	0.027199678441590137	2.010523230525917	1.0	15.9
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	1	0.026888091828714777	2.005946713241211	1.0	25.17
KEGG_BUTANOATE_METABOLISM	1	0.02407941344300772	2.042142571832775	1.0	55.22
KEGG_TIGHT_JUNCTION	1	0.022837465861335112	2.0563683104965893	1.0	50.27
KEGG_PYRIMIDINE_METABOLISM	1	0.021353644190813585	2.073675307344276	1.0	52.65
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.01862188227537438	2.1095606241920564	1.0	26.65
KEGG_TRYPTOPHAN_METABOLISM	1	0.01791539712104736	2.108252177225234	1.0	43.96
KEGG_ENDOMETRIAL_CANCER	1	0.01647376750896308	2.133900926255722	1.0	13.07
KEGG_ERBB_SIGNALING_PATHWAY	1	0.015315012588263762	2.1536050079131606	1.0	38.92
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.015139443660885073	2.1665274199743583	1.0	30.85
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	0.011864010685399471	2.2031990085779714	1.0	68.28
KEGG_JAK_STAT_SIGNALING_PATHWAY	1	0.011162132190652554	2.2230305729236894	1.0	52.89
KEGG_ADHERENS_JUNCTION	1	0.00800594308846804	2.2947505046475936	1.0	68.08
KEGG_REGULATION_OF_AUTOPHAGY	1	0.0075880504547293235	2.30229741922156	1.0	31.68
KEGG_LYSOSOME	1	0.006750573314240803	2.339407902106108	1.0	45.4
KEGG_RNA_DEGRADATION	1	0.006415018500375031	2.356194850654305	1.0	37.01
KEGG_BASAL_TRANSCRIPTION_FACTORS	1	0.006018453720351848	2.3741636312041963	1.0	55.18
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	1	0.0058162834403400285	2.4006953282717105	1.0	32.01
KEGG_PEROXISOME	1	0.005234655096306025	2.3998509277037146	1.0	63.76
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.0026393218972971563	2.492602868753814	1.0	30.08
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	0.0025018572151462625	2.488041801982626	1.0	37.26
KEGG_APOPTOSIS	1	0.00025660074001500127	2.7324732985569073	1.0	31.44
KEGG_SPLICEOSOME	1	0.0	4.453517390635373	1.0	36.97
KEGG_ENDOCYTOSIS	1	0.0	3.0963942902170967	1.0	55.56
KEGG_PROTEASOME	1	0.0	3.0433584398143085	1.0	20.27
