pathway	freq	padj	stability	overlap
GOBP_CELL_CYCLE	30	2.295767726248796e-08	0.5	0.988520684427117
GOBP_CHROMOSOME_ORGANIZATION	30	4.061355683364731e-07	0.5	0.9904275444570563
GOBP_CELLULAR_MACROMOLECULE_LOCALIZATION	30	1.6591834693880716e-05	0.5	0.9844473569244211
GOBP_POSITIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	30	1.7965498532549703e-05	0.5	0.980051556613127
GOBP_REGULATION_OF_CELL_CYCLE	30	2.2932212900939855e-05	0.5	0.9898473553425632
GOBP_POSITIVE_REGULATION_OF_CELLULAR_BIOSYNTHETIC_PROCESS	30	2.8707461825259483e-05	0.5	0.9780573434757168
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	30	3.570688502318519e-05	0.5	0.981348414282546
GOBP_CELLULAR_RESPONSE_TO_STRESS	30	3.686039795166159e-05	0.5	0.9813857897827365
GOBP_CELL_CYCLE_PROCESS	30	5.393994711737037e-05	0.5	0.9860090264345583
GOBP_INTRACELLULAR_TRANSPORT	30	6.717464265828937e-05	0.5	0.9818763326226014
GOBP_POSITIVE_REGULATION_OF_RNA_METABOLIC_PROCESS	30	8.521406064043378e-05	0.5	0.9807144422529038
GOBP_CHROMATIN_ORGANIZATION	30	0.00010685981231583211	0.5	0.9926624737945493
GOBP_CELLULAR_RESPONSE_TO_DNA_DAMAGE_STIMULUS	30	0.0001273550804383084	0.5	0.9892273730684329
GOBP_DNA_METABOLIC_PROCESS	30	0.0003186746274519026	0.5	0.987046204620462
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	30	0.0003959625834478158	0.5	0.9884657836644593
GOBP_NEGATIVE_REGULATION_OF_BIOSYNTHETIC_PROCESS	29	0.0004717949638718377	0.48333333333333334	0.9816726456304756
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	30	0.000498133409755597	0.5	0.9803576417993852
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_DIFFERENTIATION	23	0.0004988120544667847	0.38333333333333336	0.9900436931451904
GOBP_CYTOSKELETON_ORGANIZATION	30	0.0005680677898610593	0.5	0.981478578892372
GOBP_NITROGEN_COMPOUND_TRANSPORT	30	0.0005985718174261273	0.5	0.9782444192205827
GOBP_REGULATION_OF_ORGANELLE_ORGANIZATION	30	0.0006036701331084796	0.5	0.9830285530959256
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	30	0.0006789196970908277	0.5	0.9833519137866963
GOBP_NEGATIVE_REGULATION_OF_NUCLEOBASE_CONTAINING_COMPOUND_METABOLIC_PROCESS	30	0.0008061136121191475	0.5	0.9833593749999998
GOBP_MITOTIC_CELL_CYCLE	30	0.0011768845414915246	0.5	0.9858673259167697
GOBP_REGULATION_OF_CATABOLIC_PROCESS	30	0.0012432697088176068	0.5	0.9839352896914974
GOBP_MRNA_METABOLIC_PROCESS	30	0.0012605287647464247	0.5	0.9867283950617284
GOBP_CELL_PART_MORPHOGENESIS	23	0.0013716297559158914	0.38333333333333336	0.9881920550516109
GOBP_DNA_REPAIR	30	0.0016442871685630363	0.5	0.9911845730027548
GOBP_CELL_DIVISION	30	0.0016704134580121331	0.5	0.9897252090800477
GOBP_HISTONE_MODIFICATION	30	0.0016883597127770706	0.5	0.9928519328956965
GOBP_VESICLE_MEDIATED_TRANSPORT	21	0.0019025142506266907	0.35	0.9778254649499284
GOBP_PROTEIN_LOCALIZATION_TO_ORGANELLE	30	0.0020395212098878596	0.5	0.9822968490878938
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_BY_RNA_POLYMERASE_II	28	0.002504690576699084	0.4666666666666667	0.984416387073989
GOBP_PHOSPHORYLATION	26	0.0025358741189480155	0.43333333333333335	0.9781672816728167
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM	30	0.002568888805393511	0.5	0.989628180039139
GOBP_REGULATION_OF_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	26	0.0027040577685591037	0.43333333333333335	0.9973522853957637
GOBP_SMALL_GTPASE_MEDIATED_SIGNAL_TRANSDUCTION	27	0.0028503724684025115	0.45	0.9916291558082604
GOBP_CIRCULATORY_SYSTEM_DEVELOPMENT	23	0.0028961622866817047	0.38333333333333336	0.9801893408134643
GOBP_CELLULAR_RESPONSE_TO_ENDOGENOUS_STIMULUS	27	0.0030245774653853146	0.45	0.9835843169176501
GOBP_RESPONSE_TO_GROWTH_FACTOR	24	0.003042190639159869	0.4	0.986764705882353
