pathway	freq	padj	NES	stability	overlap
GOBP_POSITIVE_REGULATION_OF_BLOOD_PRESSURE	1	0.24985410425043664	1.6400227760738864	1.0	45.15
GOBP_CENTRAL_NERVOUS_SYSTEM_PROJECTION_NEURON_AXONOGENESIS	1	0.24978213338502883	1.6425876439299616	1.0	41.33
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT	1	0.24920761385204626	1.6425513781736445	1.0	18.09
GOBP_NADH_REGENERATION	1	0.24911909457391215	-1.372007486106137	1.0	44.88
GOBP_PYRIMIDINE_NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS	1	0.24910804431718406	-1.3721420928502333	1.0	30.36
GOBP_HEART_DEVELOPMENT	1	0.24904079778647903	1.6442066118072916	1.0	15.16
GOBP_NEGATIVE_REGULATION_OF_SYNAPSE_ASSEMBLY	1	0.24884839034804673	1.6438629402643918	1.0	20.67
GOBP_CARDIAC_NEURAL_CREST_CELL_DIFFERENTIATION_INVOLVED_IN_HEART_DEVELOPMENT	1	0.24881678143027	-1.3725455310408912	1.0	50.44
GOBP_GRANULOCYTE_CHEMOTAXIS	1	0.24870544444845402	1.642467120428288	1.0	42.57
GOBP_INSULIN_SECRETION_INVOLVED_IN_CELLULAR_RESPONSE_TO_GLUCOSE_STIMULUS	1	0.24865969166958743	-1.3728311350062234	1.0	57.68
GOBP_POSITIVE_REGULATION_OF_MYOBLAST_PROLIFERATION	1	0.24844059074676184	1.6452360130391164	1.0	15.62
GOBP_POSITIVE_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS	1	0.2483902690751645	-1.373220770676416	1.0	50.29
GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CHEMOTAXIS	1	0.24831930187908302	-1.3734194206165709	1.0	79.54
GOBP_MEIOTIC_CYTOKINESIS	1	0.24799675948830044	-1.3738607447004803	1.0	30.02
GOBP_RNA_5_END_PROCESSING	1	0.24788923694558887	-1.3742004919591366	1.0	65.75
GOBP_CHEMOKINE_PRODUCTION	1	0.2478665037115699	-1.3741043546596643	1.0	7.13
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	1	0.2478356868846409	-1.3743624245944754	1.0	70.62
