pathway	freq	padj	stability	overlap
KEGG_SPLICEOSOME	14	7.479691773292365e-11	0.21875	0.2448979591836735
KEGG_RENAL_CELL_CARCINOMA	14	1.4442924536616905e-05	0.21875	0.23084886128364393
KEGG_ACUTE_MYELOID_LEUKEMIA	14	1.7619314533137574e-05	0.21875	0.25187969924812026
KEGG_ERBB_SIGNALING_PATHWAY	14	5.4537987270694386e-05	0.21875	0.20282186948853614
KEGG_WNT_SIGNALING_PATHWAY	14	6.130627672420743e-05	0.21875	0.15661375661375665
KEGG_COLORECTAL_CANCER	14	6.287365886905577e-05	0.21875	0.22380952380952387
KEGG_ADHERENS_JUNCTION	14	7.213050446291385e-05	0.21875	0.2039337474120083
KEGG_PROSTATE_CANCER	14	9.61271073695114e-05	0.21875	0.19075630252100842
KEGG_PATHWAYS_IN_CANCER	14	0.00010527108507320936	0.21875	0.11568061568061569
KEGG_MAPK_SIGNALING_PATHWAY	14	0.0001227703905578357	0.21875	0.12623152709359606
KEGG_NUCLEOTIDE_EXCISION_REPAIR	14	0.0001654166916271915	0.21875	0.25249169435215946
KEGG_CELL_CYCLE	14	0.00028702567419183316	0.21875	0.15230224321133412
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	14	0.0003105580167530656	0.21875	0.1549636803874092
KEGG_CHRONIC_MYELOID_LEUKEMIA	14	0.0005164953172371629	0.21875	0.1845238095238095
KEGG_REGULATION_OF_AUTOPHAGY	14	0.0007018462602119273	0.21875	0.3428571428571428
KEGG_RNA_DEGRADATION	14	0.0010462060106131202	0.21875	0.1974025974025974
KEGG_TIGHT_JUNCTION	14	0.0013414981872569307	0.21875	0.16105121293800537
KEGG_ENDOCYTOSIS	14	0.0013986953765571832	0.21875	0.12285714285714287
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	14	0.0014345432512778036	0.21875	0.12777777777777777
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	14	0.001548177428136007	0.21875	0.16635338345864661
KEGG_INSULIN_SIGNALING_PATHWAY	14	0.0016598372465578312	0.21875	0.13749999999999998
KEGG_TGF_BETA_SIGNALING_PATHWAY	14	0.0019874146364689685	0.21875	0.15732368896925858
KEGG_ENDOMETRIAL_CANCER	15	0.0025339808532351465	0.234375	0.2829931972789116
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	14	0.0025814397127212037	0.21875	0.14147018030513173
KEGG_FOCAL_ADHESION	14	0.003955335823800224	0.21875	0.1153846153846154
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	15	0.004486750973861644	0.234375	0.23333333333333336
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	16	0.0049449745008319015	0.25	0.19362745098039214
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	12	0.005441594695249057	0.1875	0.15530303030303036
KEGG_CHEMOKINE_SIGNALING_PATHWAY	14	0.006122162893570866	0.21875	0.10960591133004928
KEGG_NOTCH_SIGNALING_PATHWAY	14	0.006458853958437631	0.21875	0.18095238095238095
KEGG_APOPTOSIS	14	0.007330225094865075	0.21875	0.15069686411149827
KEGG_JAK_STAT_SIGNALING_PATHWAY	14	0.007656924090295315	0.21875	0.12632275132275134
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	14	0.007720758747790446	0.21875	0.1875
KEGG_MTOR_SIGNALING_PATHWAY	14	0.01059232057790932	0.21875	0.1685714285714286
KEGG_RIBOSOME	16	0.011210143386954665	0.25	0.18823529411764706
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY	14	0.011876535374209612	0.21875	0.14880952380952375
KEGG_PANCREATIC_CANCER	14	0.01284229868311956	0.21875	0.14285714285714282
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	15	0.014144040042636991	0.234375	0.14324324324324325
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	14	0.014955331161145244	0.21875	0.12561576354679801
KEGG_SMALL_CELL_LUNG_CANCER	13	0.015372963685264251	0.203125	0.1472795497185741
KEGG_HOMOLOGOUS_RECOMBINATION	10	0.019870358913345494	0.15625	0.2
KEGG_LYSINE_DEGRADATION	2	0.019996456986609283	0.03125	0.1590909090909091
KEGG_GAP_JUNCTION	10	0.020452308357051124	0.15625	0.13561643835616438
KEGG_GLIOMA	14	0.020826437584806328	0.21875	0.14166666666666666
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	14	0.02158001009558712	0.21875	0.13095238095238096
KEGG_GNRH_SIGNALING_PATHWAY	14	0.024024901905350275	0.21875	0.12418831168831165
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	8	0.024471733832735598	0.125	0.13035714285714284
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	14	0.024507095014159035	0.21875	0.11598302687411602
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION	5	0.02689014114733057	0.078125	0.11489361702127661
KEGG_MISMATCH_REPAIR	14	0.02832755067345724	0.21875	0.22077922077922074
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY	14	0.028420133370915486	0.21875	0.13909774436090225
KEGG_STEROID_HORMONE_BIOSYNTHESIS	1	0.029270863852481142	0.015625	0.23529411764705882
KEGG_NON_SMALL_CELL_LUNG_CANCER	14	0.03226756432950247	0.21875	0.14016172506738542
KEGG_INOSITOL_PHOSPHATE_METABOLISM	11	0.032817876134129224	0.171875	0.1406518010291595
KEGG_LONG_TERM_POTENTIATION	11	0.033147288392405314	0.171875	0.13716108452950557
KEGG_THYROID_CANCER	1	0.03473631295812248	0.015625	0.17857142857142858
KEGG_NON_HOMOLOGOUS_END_JOINING	14	0.03757706348403711	0.21875	0.27976190476190477
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	7	0.042413624284281345	0.109375	0.13114754098360654
KEGG_PROTEASOME	2	0.04512348428467796	0.03125	0.19047619047619047
KEGG_PEROXISOME	2	0.04512348428467796	0.03125	0.1506849315068493
KEGG_OOCYTE_MEIOSIS	9	0.05120431033895031	0.140625	0.10538373424971363
KEGG_BASAL_TRANSCRIPTION_FACTORS	13	0.053603580873428244	0.203125	0.15625
KEGG_VEGF_SIGNALING_PATHWAY	1	0.06527700898630748	0.015625	0.11267605633802817
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	1	0.06576699218432999	0.015625	0.18181818181818182
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	4	0.06881583157713649	0.0625	0.14583333333333331
KEGG_HEDGEHOG_SIGNALING_PATHWAY	3	0.07436683696736661	0.046875	0.1276595744680851
KEGG_DNA_REPLICATION	2	0.08013636475762424	0.03125	0.14285714285714285
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	4	0.08333876793110669	0.0625	0.16
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	1	0.09229836912956228	0.015625	0.11538461538461539
KEGG_GLUTATHIONE_METABOLISM	1	0.09229836912956228	0.015625	0.17391304347826086
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450	1	0.09229836912956228	0.015625	0.16981132075471697
