pathway	freq	padj	NES	stability	overlap
GOBP_FOLATE_TRANSMEMBRANE_TRANSPORT	1	0.24948595180265012	1.3393522774012405	0.025	59.12
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_CATABOLIC_PROCESS	1	0.24934758124692605	1.7656226173606386	0.025	36.72
GOBP_PARANODAL_JUNCTION_ASSEMBLY	1	0.24900561063791826	1.3181825808397645	0.025	24.39
GOBP_CELLULAR_RESPONSE_TO_ATP	1	0.2487504661534937	1.3352612974545257	0.025	71.29
GOBP_CELLULAR_POLYSACCHARIDE_CATABOLIC_PROCESS	1	0.24811424442902433	1.3365543169975607	0.025	69.73
GOBP_MONOCARBOXYLIC_ACID_TRANSPORT	1	0.248078755163458	1.687210507506479	0.025	29.63
GOBP_LATERAL_VENTRICLE_DEVELOPMENT	1	0.2479642233420334	1.326312116629605	0.025	35.17
GOBP_FLAVIN_CONTAINING_COMPOUND_METABOLIC_PROCESS	1	0.24794845307114102	1.5160131940542831	0.025	33.1
GOBP_POST_EMBRYONIC_ANIMAL_MORPHOGENESIS	1	0.24784212850045256	1.3176324567076756	0.025	45.58
GOBP_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	1	0.24780731009950943	1.31783098384464	0.025	10.76
GOBP_NEGATIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_IN_ABSENCE_OF_LIGAND	1	0.24779567712716563	1.3177471548073494	0.025	26.6
GOBP_REGULATION_OF_T_CELL_EXTRAVASATION	1	0.24772150244401547	1.7019340266175857	0.025	38.86
GOBP_CELLULAR_RESPONSE_TO_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_STIMULUS	1	0.2476632870872693	1.3181894988946443	0.025	33.62
GOBP_CELLULAR_ION_HOMEOSTASIS	1	0.24751066615088424	1.3184363530917962	0.025	23.29
GOBP_POSITIVE_REGULATION_OF_MYELOID_LEUKOCYTE_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	1	0.24746673005735823	1.3200697730523272	0.025	47.23
GOBP_MODULATION_OF_PROCESS_OF_ANOTHER_ORGANISM	1	0.24728489929410544	1.701026589750904	0.025	41.12
GOBP_DIENCEPHALON_DEVELOPMENT	1	0.2472242082803794	1.7716528729736805	0.025	49.58
GOBP_CILIARY_BASAL_BODY_ORGANIZATION	1	0.24708960281408085	1.3209360238540897	0.025	13.18
GOBP_POSITIVE_REGULATION_OF_CHOLESTEROL_BIOSYNTHETIC_PROCESS	1	0.24703898798994678	1.3192420321318397	0.025	23.75
GOBP_INTERMEDIATE_FILAMENT_BUNDLE_ASSEMBLY	1	0.2470272523495962	1.7235170710310215	0.025	38.93
GOBP_TROPHOBLAST_CELL_MIGRATION	1	0.2470246324930605	1.3383120379837006	0.025	61.18
GOBP_PROSTATE_GLAND_GROWTH	1	0.24680789062686084	1.342762562919662	0.025	55.73
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	1	0.2464203180617656	1.335306498062968	0.025	49.95
GOBP_KERATINOCYTE_MIGRATION	1	0.24637383296149426	1.3221486553818915	0.025	56.0
GOBP_NEGATIVE_REGULATION_OF_SECONDARY_METABOLITE_BIOSYNTHETIC_PROCESS	1	0.2460035799927725	1.338729617435984	0.025	52.35
GOBP_RESPONSE_TO_HUMAN_CHORIONIC_GONADOTROPIN	2	0.2454048806249814	1.7493731003963986	0.05	24.95
GOBP_STRAND_INVASION	1	0.24511810596469727	1.3460624622047104	0.025	52.73
