pathway	freq	padj	NES	stability	overlap
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT	1	0.24961041903901598	-1.3242950759421728	0.016666666666666666	53.27
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS	1	0.24961041903901598	-1.3242950759421728	0.016666666666666666	53.27
GOBP_MYELOID_DENDRITIC_CELL_DIFFERENTIATION	1	0.2495772305685022	-1.32423446040834	0.016666666666666666	11.57
GOBP_CATECHOLAMINE_UPTAKE	1	0.24944267642517495	1.4641244233354722	0.016666666666666666	35.73
GOBP_RESPONSE_TO_LEPTIN	1	0.24920759303425344	1.2930489826608167	0.016666666666666666	39.34
GOBP_NEGATIVE_REGULATION_OF_ACTIN_NUCLEATION	1	0.24917551707115046	1.3917765606316295	0.016666666666666666	43.1
GOBP_NEGATIVE_REGULATION_OF_T_HELPER_17_TYPE_IMMUNE_RESPONSE	1	0.24896748859077744	-1.3102905003067362	0.016666666666666666	20.26
GOBP_NEGATIVE_REGULATION_OF_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	1	0.24868686604607346	-1.415476662917337	0.016666666666666666	49.24
GOBP_POSITIVE_REGULATION_OF_ASPARTIC_TYPE_PEPTIDASE_ACTIVITY	1	0.24818494526609017	-1.3158019072685794	0.016666666666666666	24.79
GOBP_POSITIVE_REGULATION_OF_STRIATED_MUSCLE_CELL_APOPTOTIC_PROCESS	1	0.24817738168244738	1.2944689422843838	0.016666666666666666	50.29
GOBP_REGULATION_OF_VITAMIN_D_RECEPTOR_SIGNALING_PATHWAY	2	0.24800997099519578	-1.3107869230465146	0.03333333333333333	20.145
GOBP_NEGATIVE_REGULATION_OF_MYOSIN_LIGHT_CHAIN_PHOSPHATASE_ACTIVITY	1	0.24795898079970347	-1.378493619213957	0.016666666666666666	50.15
GOBP_FIBROBLAST_PROLIFERATION	1	0.24780070443943175	1.290816750007441	0.016666666666666666	79.67
GOBP_PRIMARY_AMINO_COMPOUND_METABOLIC_PROCESS	2	0.24774797635376133	1.297316520999589	0.03333333333333333	51.885000000000005
GOBP_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_RECEPTOR_2_SIGNALING_PATHWAY	1	0.24743577004415263	1.361583371246876	0.016666666666666666	52.41
GOBP_OUTER_DYNEIN_ARM_ASSEMBLY	1	0.2469711715415795	1.322575492459487	0.016666666666666666	51.95
GOBP_POSTSYNAPTIC_DENSITY_PROTEIN_95_CLUSTERING	1	0.2469565050072462	1.3464516834998417	0.016666666666666666	12.83
GOBP_POSITIVE_REGULATION_OF_NITRIC_OXIDE_SYNTHASE_BIOSYNTHETIC_PROCESS	2	0.24683143271232594	1.3993133190654958	0.03333333333333333	48.365
GOBP_B_CELL_PROLIFERATION_INVOLVED_IN_IMMUNE_RESPONSE	2	0.24671393385473586	1.3807250445440915	0.03333333333333333	46.315
GOBP_AMINO_SUGAR_CATABOLIC_PROCESS	1	0.24667054158919632	1.2925737409784621	0.016666666666666666	71.89
GOBP_NEGATIVE_REGULATION_OF_MAST_CELL_DEGRANULATION	1	0.24656122659162139	1.3056635151256737	0.016666666666666666	46.01
GOBP_TELOMERIC_LOOP_DISASSEMBLY	1	0.24648213383730644	1.2936498106377095	0.016666666666666666	50.0
GOBP_NEGATIVE_REGULATION_OF_SPHINGOLIPID_BIOSYNTHETIC_PROCESS	1	0.24643953795391207	-1.3138987920568326	0.016666666666666666	24.53
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_DNA_FRAGMENTATION	1	0.24633061826678507	1.3959102291102028	0.016666666666666666	51.03
GOBP_NEGATIVE_REGULATION_OF_CATION_CHANNEL_ACTIVITY	1	0.24626740069793546	1.406357549286846	0.016666666666666666	62.49
GOBP_POSITIVE_REGULATION_OF_PLATELET_DERIVED_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	5	0.24588730310003246	-1.3145664342940802	0.08333333333333333	12.964000000000002
GOBP_GLUTAMATE_REUPTAKE	2	0.24560938200878518	1.3260062677877045	0.03333333333333333	42.894999999999996
GOBP_POSITIVE_REGULATION_OF_T_HELPER_2_CELL_CYTOKINE_PRODUCTION	1	0.24554647793198137	1.3818406892882515	0.016666666666666666	60.57
GOBP_NEGATIVE_REGULATION_OF_KERATINOCYTE_DIFFERENTIATION	1	0.24540277014673637	-1.3834671979364566	0.016666666666666666	29.65
GOBP_SEQUESTERING_OF_EXTRACELLULAR_LIGAND_FROM_RECEPTOR	1	0.24536626269949335	1.4418624563369091	0.016666666666666666	41.0
GOBP_GLOMERULAR_MESANGIAL_CELL_PROLIFERATION	2	0.24529744119862834	-1.315353869233753	0.03333333333333333	58.230000000000004
GOBP_POSITIVE_REGULATION_OF_MITOTIC_NUCLEAR_DIVISION	1	0.24505232003842567	-1.4028022824523865	0.016666666666666666	56.06
GOBP_XENOBIOTIC_EXPORT	2	0.24484404003483068	1.317637888994322	0.03333333333333333	58.065
GOBP_REGULATION_OF_SUPEROXIDE_ANION_GENERATION	4	0.24467246801739193	-1.4054909883680482	0.06666666666666667	60.272499999999994
GOBP_IMMUNE_RESPONSE_INHIBITING_SIGNAL_TRANSDUCTION	2	0.244430446999008	-0.07856359947423364	0.03333333333333333	38.15
GOBP_REGULATION_OF_INTRACELLULAR_LIPID_TRANSPORT	1	0.24426334560216803	1.306313946983778	0.016666666666666666	64.41
GOBP_REGULATION_OF_IMMATURE_T_CELL_PROLIFERATION	1	0.24413234955323176	1.4102828073148772	0.016666666666666666	60.11
GOBP_POSITIVE_REGULATION_OF_ACTIVIN_RECEPTOR_SIGNALING_PATHWAY	1	0.24405308099920675	-1.3160937151010759	0.016666666666666666	45.72
GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	2	0.24379799214266973	1.2966196207551566	0.03333333333333333	45.455
GOBP_AMP_BIOSYNTHETIC_PROCESS	2	0.2437028013136513	1.3325006131860238	0.03333333333333333	43.29
GOBP_REGULATION_OF_MALE_GONAD_DEVELOPMENT	1	0.24343951821899526	1.323560709108955	0.016666666666666666	31.61
GOBP_NEGATIVE_REGULATION_OF_VITAMIN_D_BIOSYNTHETIC_PROCESS	2	0.24336119159904168	1.4339652744766265	0.03333333333333333	49.05
GOBP_NEGATIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY	3	0.24321915033165212	-0.443066174981273	0.05	33.986666666666665
GOBP_PERICYTE_CELL_DIFFERENTIATION	1	0.24320244467681273	1.4474069536900562	0.016666666666666666	48.56
GOBP_RESPONSE_TO_CAMPTOTHECIN	1	0.24289456773586052	1.3281107312671676	0.016666666666666666	53.59
GOBP_PANTOTHENATE_METABOLIC_PROCESS	2	0.24279045832700816	-1.5876809814885986	0.03333333333333333	22.96
GOBP_ENTRY_OF_BACTERIUM_INTO_HOST_CELL	2	0.24263448515608488	-1.4240348896492456	0.03333333333333333	28.255
GOBP_NEGATIVE_REGULATION_OF_EPIDERMIS_DEVELOPMENT	2	0.24222336965062807	-1.3190042667839663	0.03333333333333333	53.625
GOBP_CELLULAR_RESPONSE_TO_EPINEPHRINE_STIMULUS	1	0.2422017461550535	1.319514037558244	0.016666666666666666	49.7
GOBP_POSITIVE_REGULATION_OF_BICELLULAR_TIGHT_JUNCTION_ASSEMBLY	1	0.24214885640868444	1.3872055677708048	0.016666666666666666	54.67
GOBP_POSITIVE_REGULATION_OF_CHEMOKINE_PRODUCTION	1	0.24208664041420808	1.3870305704819221	0.016666666666666666	62.78
GOBP_OTOLITH_DEVELOPMENT	2	0.2418133973009223	1.325875775957304	0.03333333333333333	48.635
GOBP_RESPONSE_TO_INTERLEUKIN_3	2	0.24149255589822827	-1.3337701745374635	0.03333333333333333	23.215000000000003
GOBP_POSITIVE_REGULATION_OF_FATTY_ACID_OXIDATION	4	0.24122277201918643	1.3189090023431123	0.06666666666666667	31.592499999999998
