pathway	freq	padj	NES	stability	overlap
GOBP_TRANSLOCATION_OF_MOLECULES_INTO_HOST	1	0.24991235125554753	1.422640208794105	1.0	50.31
GOBP_PLASMA_MEMBRANE_RAFT_ORGANIZATION	1	0.24985127058018855	1.4225854605846031	1.0	22.21
GOBP_PEPTIDYL_GLUTAMIC_ACID_MODIFICATION	1	0.2498454890159967	1.4228330065502022	1.0	54.77
GOBP_NEGATIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_IMMUNE_RESPONSE	1	0.24977663482408924	1.4237415784973848	1.0	15.91
GOBP_POSITIVE_REGULATION_OF_DOUBLE_STRAND_BREAK_REPAIR_VIA_NONHOMOLOGOUS_END_JOINING	1	0.24974267648860896	1.422567232751516	1.0	59.88
GOBP_CD8_POSITIVE_ALPHA_BETA_T_CELL_PROLIFERATION	1	0.24968327942769666	1.423716720077735	1.0	21.01
GOBP_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	1	0.24963161006767615	1.4240001274380338	1.0	68.68
GOBP_POSITIVE_REGULATION_OF_ACTIN_FILAMENT_BUNDLE_ASSEMBLY	1	0.2495828885736915	1.4236912599057148	1.0	64.39
GOBP_MYELOID_CELL_DEVELOPMENT	1	0.24954001590390112	1.4242218901640185	1.0	42.71
GOBP_ACIDIC_AMINO_ACID_TRANSPORT	1	0.24951608883397933	1.4236242709505786	1.0	34.23
GOBP_SMALL_RNA_LOADING_ONTO_RISC	1	0.24940804827872495	1.423611679486015	1.0	43.38
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	1	0.2493522604210657	1.4246186364377669	1.0	59.45
GOBP_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS	1	0.24933540493208992	1.4245171099729093	1.0	61.05
GOBP_SPLICEOSOMAL_TRI_SNRNP_COMPLEX_ASSEMBLY	1	0.24933499652480381	1.4235576182620209	1.0	36.59
GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_POTENTIAL	1	0.24928336267197418	1.4234804815199513	1.0	53.11
GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_DIFFERENTIATION	1	0.24883445908696564	1.4256089607845328	1.0	34.68
GOBP_POSITIVE_REGULATION_OF_EXTRACELLULAR_MATRIX_ASSEMBLY	1	0.2487698483713567	1.4255485017562792	1.0	52.98
GOBP_ORGANOPHOSPHATE_CATABOLIC_PROCESS	1	0.24867158585017843	1.4254099916210539	1.0	38.1
GOBP_MICROTUBULE_ANCHORING_AT_CENTROSOME	1	0.2486709447011699	1.4255279528467049	1.0	65.38
GOBP_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	1	0.24753943863545436	1.4270916192711949	1.0	54.98
GOBP_POSITIVE_REGULATION_OF_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	1	0.24742666874316332	1.427083797189179	1.0	19.57
GOBP_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OSMOTIC_STRESS	1	0.24681129302271554	1.4278909901701524	1.0	35.76
GOBP_CELL_CYCLE_DNA_REPLICATION_INITIATION	1	0.246621115072214	1.4284146607439798	1.0	47.43
GOBP_BASE_CONVERSION_OR_SUBSTITUTION_EDITING	1	0.24659426585263922	1.4285573961209486	1.0	35.85
GOBP_REGULATION_OF_ANATOMICAL_STRUCTURE_SIZE	1	0.2465401879469259	1.428376188868457	1.0	45.61
GOBP_SOMATIC_STEM_CELL_POPULATION_MAINTENANCE	1	0.24650672832103446	1.4283002852815816	1.0	41.05
GOBP_PRE_MIRNA_PROCESSING	1	0.24610696090394268	1.429132965917745	1.0	43.38
GOBP_REGULATION_OF_TRANSLATIONAL_ELONGATION	1	0.24550255694050693	1.4298246286176193	1.0	35.42
GOBP_CELLULAR_RESPONSE_TO_CORTICOSTEROID_STIMULUS	1	0.24544701383605247	1.4299895470679163	1.0	33.76
GOBP_POSITIVE_REGULATION_OF_DENDRITE_MORPHOGENESIS	1	0.24526532431990036	1.430299528031264	1.0	61.05
GOBP_OXIDATIVE_RNA_DEMETHYLATION	1	0.2451411207732018	1.4305335227835347	1.0	29.76
GOBP_MEIOTIC_CYTOKINESIS	1	0.24475425736419362	1.4310500483233128	1.0	48.51
GOBP_REGULATION_OF_REGULATED_SECRETORY_PATHWAY	1	0.24467007822966477	1.4312617618778631	1.0	73.14
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_IN_RESPONSE_TO_OSMOTIC_STRESS	1	0.24314056127552913	1.4329314009482668	1.0	27.84
GOBP_REGULATION_OF_COAGULATION	1	0.24302994706859832	1.43292115903289	1.0	35.72
