pathway	freq	padj	NES	stability	overlap
GOBP_TELOMERIC_D_LOOP_DISASSEMBLY	1	0.24996509955385676	-1.35402655525396	1.0	39.94
GOBP_MESENCHYMAL_CELL_PROLIFERATION	1	0.2498969795327543	1.6523821787087742	1.0	46.32
GOBP_EMBRYONIC_SKELETAL_JOINT_DEVELOPMENT	1	0.2494793594895559	1.6533111213608414	1.0	28.99
GOBP_NEGATIVE_REGULATION_OF_INSULIN_LIKE_GROWTH_FACTOR_RECEPTOR_SIGNALING_PATHWAY	1	0.24924423784433677	1.6523775795510596	1.0	30.13
GOBP_NEGATIVE_REGULATION_OF_B_CELL_PROLIFERATION	1	0.24901960463261522	-1.3550897759176443	1.0	73.1
GOBP_UBIQUITIN_DEPENDENT_ENDOCYTOSIS	1	0.2488329047926713	-1.3555117797979395	1.0	50.05
GOBP_NECROPTOTIC_SIGNALING_PATHWAY	1	0.24879217192641684	-1.355439630405167	1.0	11.03
GOBP_HAIR_CELL_DIFFERENTIATION	1	0.2487904073385536	-1.3556566554785319	1.0	64.14
GOBP_REGULATION_OF_ATP_METABOLIC_PROCESS	1	0.24878418406139968	-1.355781449479873	1.0	23.01
GOBP_REGULATION_OF_T_CELL_DIFFERENTIATION	1	0.24862356732628418	-1.356051161534051	1.0	74.49
GOBP_CELLULAR_RESPONSE_TO_BIOTIC_STIMULUS	1	0.24850396398061386	-1.3562796309946523	1.0	64.44
GOBP_TRANSITION_METAL_ION_TRANSPORT	1	0.24816869799466493	-1.3568598352509407	1.0	50.65
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_NUCLEATION	1	0.2481367016194844	-1.3567732052074728	1.0	58.79
GOBP_POSITIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY	1	0.24812526730955886	-1.3570077013622206	1.0	24.76
GOBP_LIPID_HOMEOSTASIS	1	0.2476470768363751	-1.3576150552070212	1.0	28.21
GOBP_FOLIC_ACID_METABOLIC_PROCESS	1	0.2475032244158397	-1.3578611065869906	1.0	46.64
GOBP_MYELOID_LEUKOCYTE_MEDIATED_IMMUNITY	1	0.24707525391878676	-1.3584113468183807	1.0	11.04
GOBP_REGULATION_OF_SODIUM_ION_TRANSPORT	1	0.2463860736214391	1.6564753641604322	1.0	24.49
GOBP_NEGATIVE_REGULATION_OF_HISTONE_H4_ACETYLATION	1	0.2461521204800524	-1.3594633853923626	1.0	37.94
GOBP_RELEASE_OF_CYTOCHROME_C_FROM_MITOCHONDRIA	1	0.24603408034629656	-1.3603864900556175	1.0	61.33
GOBP_MEIOTIC_CYTOKINESIS	1	0.24599173193336904	-1.3607501546091245	1.0	11.32
GOBP_FATTY_ACYL_COA_METABOLIC_PROCESS	1	0.24599080655025873	-1.3597378548510877	1.0	39.32
GOBP_HEMATOPOIETIC_STEM_CELL_HOMEOSTASIS	1	0.24598080927304677	-1.3603285951633735	1.0	6.99
GOBP_GLUTAMATE_SECRETION_NEUROTRANSMISSION	1	0.24591197883491386	-1.3599428981800983	1.0	30.15
GOBP_TUMOR_NECROSIS_FACTOR_SUPERFAMILY_CYTOKINE_PRODUCTION	1	0.2459060951515224	-1.3602983631933028	1.0	75.73
GOBP_SPERM_EGG_RECOGNITION	1	0.24590179307471813	-1.3601933366465988	1.0	46.3
GOBP_NEGATIVE_REGULATION_BY_HOST_OF_VIRAL_TRANSCRIPTION	1	0.24589535608173818	-1.3607372582193857	1.0	41.06
GOBP_METAPHASE_ANAPHASE_TRANSITION_OF_CELL_CYCLE	1	0.24589158842098685	-1.3609494926390975	1.0	20.8
GOBP_DNA_TOPOLOGICAL_CHANGE	1	0.2458845959573976	-1.3606387560220723	1.0	29.98
GOBP_NEGATIVE_REGULATION_OF_CHOLESTEROL_METABOLIC_PROCESS	1	0.24581483253762637	-1.360167643321765	1.0	50.22
GOBP_NEGATIVE_REGULATION_OF_TRANSMEMBRANE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY	1	0.24532910132877847	1.659582139318875	1.0	16.39
GOBP_G2_MI_TRANSITION_OF_MEIOTIC_CELL_CYCLE	1	0.24530079237372737	1.6607440825326858	1.0	20.67
GOBP_CEREBELLAR_PURKINJE_CELL_LAYER_DEVELOPMENT	1	0.2452503277381766	-1.3617030869057074	1.0	18.35
GOBP_CATION_TRANSPORT	1	0.24520132466398809	1.6619700942138378	1.0	26.47
GOBP_CELL_AGING	1	0.2451853545885884	-1.3618669733500426	1.0	35.37
GOBP_REGULATION_OF_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_DEPOLARIZATION	1	0.24515893702249172	1.660300180136561	1.0	41.3
GOBP_REGULATION_OF_T_CELL_MEDIATED_IMMUNE_RESPONSE_TO_TUMOR_CELL	1	0.24494030745553858	-1.3623443186687798	1.0	29.81
GOBP_REGULATION_OF_GLYCOLYTIC_PROCESS	1	0.24488355237203052	-1.362291877997181	1.0	22.79
GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	1	0.24477473441197145	1.6595028375023169	1.0	21.52
GOBP_REGULATION_OF_MORPHOGENESIS_OF_AN_EPITHELIUM	1	0.24474614772850087	1.658997553570983	1.0	57.7
GOBP_WATER_TRANSPORT	1	0.2446474981471734	1.6618341754044117	1.0	48.12
GOBP_REGULATION_OF_OSTEOBLAST_PROLIFERATION	1	0.24451733385623514	1.6586221679693334	1.0	18.38
GOBP_PROTECTION_FROM_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	0.24378484440633735	-1.3637280892652244	1.0	4.82
GOBP_FRUCTOSE_6_PHOSPHATE_METABOLIC_PROCESS	1	0.24375715477099144	-1.3636561918326062	1.0	54.93
GOBP_REGULATION_OF_HISTONE_H3_K14_ACETYLATION	1	0.24321770108499197	-1.364410930894232	1.0	30.1
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_POLYUBIQUITINATION	1	0.24307113010026002	-1.3646502715541993	1.0	18.08
