pathway	freq	padj	stability	overlap
GOBP_PROTEOLYSIS	1	7.756490249061688e-10	1.0	0.09441489361702128
GOBP_RESPONSE_TO_VIRUS	1	9.593096198762617e-10	1.0	0.15522388059701492
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	1	1.1950033988012448e-09	1.0	0.17479674796747968
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1	2.8382231927046816e-08	1.0	0.09555741827326068
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1	4.5235495036530304e-08	1.0	0.10887096774193548
GOBP_PROTEIN_CATABOLIC_PROCESS	1	9.219340552299189e-08	1.0	0.1021566401816118
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	1	1.663233894018047e-07	1.0	0.10044642857142858
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1	1.663233894018047e-07	1.0	0.09265442404006678
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1	1.7053127436305886e-07	1.0	0.12391304347826088
GOBP_REGULATION_OF_VIRAL_PROCESS	1	2.077400023128799e-07	1.0	0.19718309859154928
GOBP_VIRAL_PROCESS	1	3.4355062957820675e-07	1.0	0.12987012987012986
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1	4.2762859908102317e-07	1.0	0.11092715231788079
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1	4.7494658829362065e-07	1.0	0.08582834331337326
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	1	9.895216235515667e-07	1.0	0.08714918759231906
GOBP_INNATE_IMMUNE_RESPONSE	1	9.983248847958759e-07	1.0	0.1034965034965035
GOBP_NITROGEN_COMPOUND_TRANSPORT	1	1.0012724090272461e-06	1.0	0.08172531214528944
