pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_THYROID_CANCER	1	0.24933752367870862	1.291088753274648	1.0	54.57	['CTNNB1', 'MYC', 'CDH1', 'MAPK3', 'TPR', 'NRAS', 'TP53', 'TFG', 'TCF7L1', 'RXRG', 'CCDC6', 'NCOA4', 'MAP2K1', 'TPM3', 'PAX8', 'RXRA', 'MAP2K2', 'BRAF', 'MAPK1', 'RXRB', 'TCF7L2']
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1	0.23615646541618193	1.307989092711539	1.0	67.38	['DYNC2LI1', 'AQP4', 'NSF', 'ARHGDIA', 'PRKACA', 'CREB3L2', 'DYNLL2', 'GNAS', 'ADCY6', 'RAB5A', 'STX4', 'RAB5B', 'DYNC1H1', 'DCTN6', 'CREB3L4', 'DYNC1LI2', 'DCTN5', 'DYNC1LI1', 'CREB1', 'ARHGDIB', 'PRKACB', 'DCTN1', 'CREB3L1', 'VAMP2', 'ADCY3', 'DCTN4', 'DYNLL1', 'RAB11A', 'DYNC1I1', 'PRKX', 'CREB3', 'DYNC1I2', 'RAB11B', 'RAB5C']
KEGG_VIRAL_MYOCARDITIS	1	0.23447014878927086	1.3132623576835412	1.0	61.89	['CASP8', 'CD80', 'HLA-F', 'CD40', 'CAV1', 'HLA-C', 'CD86', 'FYN', 'LAMA2', 'HLA-DQB1', 'HLA-DQA1', 'MYH9', 'BID', 'ACTB', 'SGCB', 'HLA-DMB', 'EIF4G1', 'SGCD', 'DMD', 'HLA-B', 'MYH10', 'EIF4G2', 'MYH11', 'ABL1', 'HLA-G', 'CXADR', 'SGCA', 'HLA-DOB', 'HLA-DPA1', 'EIF4G3', 'CD40LG', 'MYH14', 'RAC1', 'ACTG1', 'CASP9', 'ITGB2', 'HLA-A', 'MYH3', 'DAG1', 'HLA-E', 'ICAM1', 'HLA-DQA2', 'CASP3', 'SGCG', 'ABL2']
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.23361266060363686	1.317873637625399	1.0	68.75	['PDE3A', 'CDC23', 'ANAPC1', 'HSP90AA1', 'CDC25A', 'MAPK14', 'PIK3R3', 'PIK3CG', 'GNAI1', 'MAPK10', 'MAPK3', 'AKT1', 'IGF1R', 'RPS6KA1', 'ANAPC13', 'CDK2', 'PRKACA', 'PIK3CB', 'RPS6KA2', 'CDK1', 'PIK3CD', 'PIK3CA', 'MAP2K1', 'IGF1', 'ADCY6', 'FZR1', 'CCNA1', 'RPS6KA3', 'CCNB2', 'GNAI2', 'CCNA2', 'ADCY1', 'MAPK8', 'CDC26', 'PIK3R2', 'CDC16', 'AKT3', 'RAF1', 'PRKACB', 'CDC25B', 'PDE3B', 'ANAPC11', 'ANAPC5', 'ANAPC4', 'GNAI3', 'BRAF', 'MAD2L2', 'ADCY3', 'MAPK12', 'AKT2', 'SPDYA', 'KRAS', 'PKMYT1', 'RPS6KA6', 'ANAPC7', 'MAPK1', 'CDC27', 'PGR', 'PRKX', 'MAPK9', 'ANAPC10', 'MAPK13', 'ARAF']
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	1	0.22545214515539658	1.3299461041084135	1.0	62.8	['ACOT1', 'YOD1', 'FADS2', 'ELOVL5', 'ACAA1', 'SCD', 'ELOVL6', 'ACOT2', 'HACD2', 'HACD1', 'SCD5', 'ACOT4', 'PECR', 'ACOX1', 'ACOT7', 'HADHA', 'HSD17B12', 'ACOX3', 'TECR']
KEGG_LEISHMANIA_INFECTION	1	0.2215971971352061	1.337602476290321	1.0	26.08	['TAB1', 'IRAK4', 'JAK1', 'TGFB3', 'FCGR2C', 'MAPK3', 'TRAF6', 'JAK2', 'PTGS2', 'ELK1', 'RELA', 'IL1B', 'C3', 'STAT1', 'NFKB1', 'CR1', 'IFNGR2', 'FCGR2A', 'MYD88', 'TAB2', 'IFNGR1', 'JUN', 'NCF2', 'IL10', 'TGFB1', 'NOS2', 'MAP3K7']
KEGG_PHOSPHATIDYLINOSITOL_SIGNALING_SYSTEM	1	0.2206881420192484	1.3419763961553135	1.0	77.58	['PIK3C2B', 'INPP5E', 'PRKCA', 'CALM2', 'DGKA', 'PIK3CG', 'CALM1', 'PIK3CB', 'PLCB3', 'INPP4A', 'PLCD1', 'SYNJ1', 'DGKE', 'PLCD3', 'ITPR2', 'INPPL1', 'PLCD4', 'PIP5K1A', 'DGKZ', 'PIP4K2A', 'SYNJ2', 'PIK3CD', 'PLCB1', 'PIK3C2A', 'PIK3CA', 'DGKH', 'INPP5K', 'CDS1', 'PLCB4', 'PLCE1', 'PIP5K1B', 'INPP4B', 'INPP1', 'DGKG', 'IMPA2', 'PLCG1', 'PI4KB', 'CALM3', 'PIK3R2', 'PRKCB', 'PLCG2', 'PIP5K1C', 'INPP5B', 'IMPA1', 'IPPK', 'PI4KA', 'PIP4K2C', 'PLCB2', 'CALML5', 'ITPK1', 'PIK3C3', 'CDS2', 'ITPR3', 'OCRL', 'DGKQ', 'CDIPT', 'ITPR1', 'PIKFYVE', 'PIP4K2B', 'INPP5A', 'INPP5D', 'DGKD', 'PIK3C2G', 'PIK3R3']
KEGG_HOMOLOGOUS_RECOMBINATION	1	0.19455460618580833	1.3753286920883674	1.0	33.1	['POLD1', 'RAD50', 'MUS81', 'SEM1', 'MRE11', 'RAD51D', 'POLD4', 'POLD3', 'RAD51C', 'NBN', 'RPA2', 'POLD2', 'SSBP1', 'RPA1', 'XRCC3']
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	0.154997769057113	1.4328815425465908	1.0	29.25	['EXTL3', 'HS2ST1', 'B3GAT3', 'B3GAT2', 'B3GALT6', 'GLCE', 'NDST2', 'EXT1', 'XYLT2', 'EXTL2', 'HS3ST5', 'EXT2']
KEGG_AXON_GUIDANCE	1	0.13304747942192718	1.4713684736928812	1.0	69.72	['ABLIM2', 'ROBO3', 'EFNA3', 'NTN4', 'ARHGEF12', 'SEMA4C', 'GNAI1', 'SEMA6C', 'LIMK2', 'EFNB2', 'NRAS', 'SEMA3C', 'SEMA3G', 'SEMA5A', 'EPHB2', 'RAC1', 'ROCK2', 'NCK2', 'SEMA6A', 'PAK3', 'RHOA', 'ITGB1', 'RND1', 'MAPK3', 'NTNG1', 'MET', 'SEMA4D', 'ABL1', 'GNAI2', 'SEMA4G', 'EPHB4', 'SEMA3D', 'RHOD', 'SEMA3B', 'PLXNC1', 'SEMA3F', 'CDK5', 'PLXNB1', 'NRP1', 'EPHB1', 'NFATC1', 'EFNA5', 'NGEF', 'SEMA7A', 'SRGAP3', 'RGS3', 'SEMA4A', 'PLXNA3', 'SEMA3E', 'PAK1', 'ROBO2', 'SEMA6B', 'LIMK1', 'SEMA4F', 'PLXNB2', 'ROCK1', 'CHP1', 'ABLIM3', 'PPP3CB', 'PAK6', 'GNAI3', 'CFL2', 'EPHA7', 'EPHA2', 'NFATC3', 'FES', 'SEMA6D', 'CXCL12', 'PLXNA1', 'FYN', 'UNC5C', 'SRGAP1', 'NFAT5', 'EFNB1', 'SRGAP2', 'ROBO1', 'EFNA1', 'SEMA4B', 'CXCR4', 'CFL1', 'GSK3B', 'NCK1', 'EPHA4', 'SEMA3A', 'PAK4', 'CDC42', 'RASA1', 'PPP3CA', 'EPHA1', 'PAK2', 'NFATC2', 'UNC5B', 'KRAS', 'PPP3R1', 'EFNA4', 'MAPK1']
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	0.10970033558821173	1.518325097285872	1.0	32.01	['APIP', 'MAT2B', 'TRDMT1', 'CBS', 'GOT1', 'AHCY', 'SRM', 'LDHC', 'DNMT1', 'MTAP', 'SMS', 'DNMT3A', 'IL4I1', 'MAT1A', 'AHCYL1', 'LDHA']
KEGG_PANCREATIC_CANCER	1	0.10893672791165744	1.5220652477040717	1.0	23.23	['TGFA', 'JAK1', 'TGFB3', 'MAPK3', 'ERBB2', 'RALGDS', 'IKBKB', 'RELA', 'TP53', 'SMAD3', 'PIK3CD', 'STAT1', 'VEGFD', 'NFKB1', 'MAPK8', 'STAT3', 'PIK3R2', 'VEGFB', 'CASP9', 'BRAF', 'CDC42', 'AKT2', 'TGFB1', 'RALB', 'BAD', 'CDKN2A', 'ARAF']
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	1	0.10209089505150165	1.539188339007277	1.0	27.57	['STX6', 'STX8', 'STX2', 'VAMP3', 'GOSR1', 'BET1', 'SNAP47', 'STX3', 'BET1L', 'STX16', 'SEC22B', 'SNAP23', 'GOSR2', 'VAMP4', 'STX12', 'STX4', 'STX10', 'STX5']
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	0.09910949927449349	1.551391266983338	1.0	40.48	['MAPK14', 'CCS', 'BAX', 'BID', 'TP53', 'TOMM40', 'TOMM40L', 'CAT', 'ALS2', 'TNFRSF1A', 'RAB5A', 'CASP1', 'MAP3K5', 'GRIA1', 'SLC1A2', 'CHP1', 'BCL2L1', 'PPP3CB', 'CASP9', 'PPP3CA', 'PPP3R1', 'BAD', 'MAP2K3', 'DAXX', 'APAF1', 'CASP3', 'SOD1']
