pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_DENDRITIC_SPINE_MAINTENANCE	1	0.24976546054369833	-1.3255235161294194	1.0	35.14	['TANC1', 'VPS35', 'HOMER1', 'PRNP', 'CTTN', 'FYN', 'ITGA3', 'ABHD17B', 'INSR', 'MTMR2']
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	1	0.2497574476549619	-1.325433745820872	1.0	56.33	['DKK3', 'PCBD2', 'CYP2R1', 'SPHK2', 'PPIP5K1', 'DHCR24', 'REST', 'PTS', 'MBTPS1', 'FGF2', 'PLCG2', 'FDPS', 'CLCN2', 'ARV1', 'POR', 'MVD', 'SPTLC1', 'IP6K2', 'SOD1', 'MSMO1', 'NSDHL', 'IP6K1', 'PTAFR', 'DHFR', 'ASAH1', 'MVK', 'ACER3', 'PCK2', 'PARK7', 'IPPK', 'SCAP', 'H6PD', 'DGKQ', 'DHDDS', 'INSIG1', 'CYP27A1', 'HMGCS1', 'ITPKC', 'DHFRP1', 'ITPKB', 'PCBD1', 'CFTR', 'ERLIN2', 'SPTLC2', 'LPCAT3', 'NUS1', 'HSD17B7', 'LBR', 'PRKAA1', 'SPR', 'PLPP6', 'SPTLC3', 'ABCA2', 'GBA', 'FGF1', 'SREBF1', 'ACAA2', 'ABCG1', 'IPMK', 'ERLIN1', 'ASAH2', 'ASAH2B', 'INSIG2', 'SRD5A3', 'CYB5R3', 'MBTPS2', 'NFKB1', 'PLEK', 'PPIP5K2', 'HMGCR', 'PTK2B', 'IMPA1', 'HRH1', 'ACLY', 'FDFT1', 'DHCR7', 'CYP51A1', 'MOXD1', 'DAB2', 'PMVK']
GOBP_REGULATION_OF_MITOCHONDRIAL_ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	1	0.24961038823674478	1.5211232755417974	1.0	38.35	['CHCHD2', 'DNAJC15', 'CDK1', 'CCNB1', 'MIR210', 'SNCA']
GOBP_DEFINITIVE_HEMOPOIESIS	1	0.2490974360620806	-1.3263506143324424	1.0	2.88	['CBFB', 'HIPK1', 'ADAR', 'SP3', 'RBFOX2']
GOBP_DETERMINATION_OF_LIVER_LEFT_RIGHT_ASYMMETRY	1	0.2480201378079736	-1.3275372183718477	1.0	52.24	['CCDC39', 'CCDC40', 'NPHP3', 'DNAAF1', 'PKD2']
GOBP_NEGATIVE_REGULATION_OF_FIBROBLAST_APOPTOTIC_PROCESS	1	0.24793650576786372	-1.327715990983964	1.0	12.12	['CHD8', 'API5', 'CFDP1', 'PIK3CA']
GOBP_DETECTION_OF_EXTERNAL_BIOTIC_STIMULUS	1	0.24759511837917353	1.523245813111437	1.0	69.49	['SSC5D', 'TLR2', 'HLA-DRB1', 'TLR6', 'LY96', 'NOD1', 'HLA-B', 'CLEC7A', 'LBP', 'TLR1', 'PGLYRP3', 'CD1D', 'DMBT1', 'TLR4', 'HLA-A', 'NOD2', 'CLEC6A', 'TREM2', 'SCARB1', 'NLRC4', 'PGLYRP4', 'C4B']
GOBP_POSITIVE_REGULATION_OF_TOLL_LIKE_RECEPTOR_9_SIGNALING_PATHWAY	1	0.24715202186632107	-1.3285762862216088	1.0	52.5	['RTN4', 'RSAD2', 'HMGB1', 'PTPN22', 'SLC15A4']
GOBP_NEGATIVE_REGULATION_OF_FILOPODIUM_ASSEMBLY	1	0.2471492690308085	-1.3287945332745965	1.0	31.79	['PRKCD', 'CAPZB', 'SRGAP2C', 'ARHGAP44']
GOBP_ENERGY_RESERVE_METABOLIC_PROCESS	1	0.24709769507720725	-1.3287395677276674	1.0	49.5	['EPM2AIP1', 'PHKG2', 'UGP2', 'ENPP1', 'GYG1', 'PRKAG2', 'STK40', 'MYC', 'PFKM', 'PYGB', 'PPP1R2P1', 'AKT1', 'PHKB', 'PPP1R3E', 'PPP1CB', 'PPP1R2', 'GSK3A', 'INPP5K', 'GBE1', 'PHKA1', 'NHLRC1', 'INSR', 'IL6ST', 'PCDH12', 'GFPT1', 'SORBS1', 'PHKA2', 'MTOR', 'RB1CC1', 'PPP1CC', 'RUBCNL', 'GSK3B', 'PYGL', 'PID1', 'GYG2', 'PASK', 'DYRK2', 'PTGES3', 'AKT2', 'PER2', 'PPP1CA', 'ACADM', 'GYS1', 'PPP1R3B']
GOBP_REGULATION_OF_POTASSIUM_ION_TRANSPORT	1	0.24678002697554063	1.5243344902190794	1.0	50.14	['KCNQ1', 'FHL1', 'CASQ2', 'CAV1', 'KCNAB3', 'CACNA1D', 'ADRA2A', 'KCNAB1', 'KCNE1B', 'FXYD2', 'KCNE2', 'ACTN2', 'DRD1', 'NETO1', 'KCNS1', 'KCNN4', 'DPP10', 'AMIGO1', 'ATF4', 'NOS1', 'KCNE4', 'NEDD4L', 'ANK2', 'WNK4', 'ATP1B2', 'KCNA5', 'WNK3', 'LRRC26', 'WNK2', 'RNF207', 'KCNIP2', 'GAL', 'KCNE3', 'KCNE1', 'ADORA1', 'RGS7', 'KCNIP3', 'KCNAB2', 'KCNMB1', 'MIR21', 'ANK3', 'AKAP6', 'TREM2', 'CD63', 'LRRC52', 'NPPA', 'OPRK1', 'KCNN2', 'KCNH2', 'NOS3', 'RGS4']
GOBP_REGULATION_OF_RENAL_SYSTEM_PROCESS	1	0.2467323680137019	1.5246542490116313	1.0	53.41	['GAS6', 'AGT', 'F2RL1', 'ADORA2A', 'AGTR1', 'SPX', 'OXT', 'EDN1', 'CORIN', 'TACR1', 'GJA5', 'ACE', 'EDNRB', 'CORO2B', 'NPR1', 'CYBA', 'STC1', 'ADORA1', 'AVPR1A', 'AVPR2', 'F2R']
GOBP_REGULATION_OF_T_CELL_APOPTOTIC_PROCESS	1	0.24672314311541496	1.5252837221392765	1.0	74.48	['HIF1A', 'ST3GAL1', 'PTCRA', 'LGALS9', 'ADAM8', 'FADD', 'PRKCQ', 'IL7R', 'TP53', 'LGALS3', 'PRELID1', 'GIMAP8', 'PIP', 'WNT5A', 'EFNA1', 'ARG2', 'CD274', 'IDO1', 'BMP4', 'SLC46A2', 'DOCK8', 'JAK3', 'GPAM', 'TSC22D3', 'RAG1', 'RIPK3', 'ADA', 'PDCD1', 'CCL5', 'CD27']
GOBP_PUTRESCINE_METABOLIC_PROCESS	1	0.24661569334944639	1.5250593423119179	1.0	44.49	['AOC1', 'AGMAT', 'AZIN2', 'ODC1', 'SAT2', 'SAT1', 'PAOX']
GOBP_INTESTINAL_EPITHELIAL_CELL_DIFFERENTIATION	1	0.24658463755165483	-1.329536171855356	1.0	26.43	['SAV1', 'YIPF6', 'SRC', 'KLF5', 'CBFA2T2', 'C1GALT1', 'TIGAR', 'YAP1', 'IL6ST']
GOBP_NEGATIVE_REGULATION_OF_DIGESTIVE_SYSTEM_PROCESS	1	0.2457937424961059	1.5266326773056762	1.0	42.36	['OXT', 'PTGER3', 'WNK4', 'TIFAB', 'TFF2', 'UCN', 'SCT', 'HAMP', 'DCANP1', 'OXTR']
GOBP_ORGANIC_HYDROXY_COMPOUND_TRANSPORT	1	0.24560726275925548	1.5264874406065894	1.0	58.29	['KCNQ1', 'SYT3', 'BMP6', 'SLC51B', 'SYT8', 'AGTR1', 'FURIN', 'MFSD10', 'MIR130B', 'AQP1', 'PLA2G10', 'NPC2', 'DRD1', 'MAOB', 'SLC27A5', 'SLC10A3', 'SLC16A8', 'ABCA8', 'ABCA3', 'STX1A', 'REN', 'SLCO1A2', 'GPM6B', 'ASIC3', 'SYT12', 'OPRK1', 'TPCN2', 'ABCA13', 'POMC', 'CAV1', 'ADORA2A', 'APOC2', 'CD36', 'OSBPL6', 'NPC1', 'LAMTOR1', 'LIPG', 'ADRA2C', 'ABCA1', 'ITGB3', 'OXT', 'SLC22A3', 'YJEFN3', 'TSPO', 'SLC6A3', 'MIR27A', 'MIR27B', 'ABCC4', 'SYT7', 'SLC2A13', 'AQP11', 'RXRA', 'SLC5A8', 'SLC6A4', 'SELENOM', 'ATP8B1', 'ABCA4', 'SLCO1B3', 'GRK2', 'NFKBIA', 'TREM2', 'GRAMD1B', 'CHGA', 'ABCB4', 'SYK', 'SLC16A7', 'ABCC3', 'NPC1L1', 'CFTR', 'ABCA7', 'STARD5', 'OXTR', 'NOS1', 'DRD4', 'CLU', 'PLTP', 'SLC26A6', 'MAPK15', 'AKR1C1', 'TSKU', 'C1QTNF1', 'GAL', 'ABCA12', 'OSBPL5', 'NR0B2', 'SLC16A3', 'FGF19', 'LY6E', 'AKR1C4', 'APOC1', 'ADORA3', 'ABCA2', 'SNCA', 'CXCL12', 'NR1H3', 'AGT', 'CETP', 'OSBPL1A', 'ADRA2A', 'LILRB1', 'CES1', 'LCAT', 'MYC', 'SYT11', 'SNCG', 'ABCC2', 'SLC5A1', 'AQP7', 'CNR1', 'SLC16A1', 'P2RX1', 'GPS2', 'RAB3B', 'RAB3A', 'STRA6', 'SLC10A4', 'PON1', 'SLC5A3', 'NAXE', 'OSBPL7', 'SYT1', 'SYT2', 'RBP4', 'SHH', 'AQP9', 'APOA1', 'AQP3', 'SYT13', 'SPP1', 'APOE', 'PCSK9', 'GHRL', 'SLC29A4', 'SCARB1', 'CEL', 'P2RY1', 'SYT15', 'ZDHHC8', 'SLC18A2']
