pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	3	0.2410996122510399	1.2501565819200031	0.3	38.46333333333334	['MAPK14', 'BAX', 'BID', 'TP53', 'CAT', 'TOMM40L', 'ALS2', 'DERL1', 'TNFRSF1A', 'RAB5A', 'CASP1', 'MAP3K5', 'SLC1A2', 'CHP1', 'BCL2L1', 'PPP3CB', 'RAC1', 'CASP9', 'PPP3CA', 'MAPK12', 'PPP3CC', 'PPP3R1', 'BAD', 'MAP2K3', 'APAF1', 'DAXX', 'MAPK13']
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.20391846343159808	1.2853946002444234	0.1	65.0	['ALDH1B1', 'ALDH9A1', 'ALDH7A1', 'ALDH2', 'EHHADH', 'HADHA', 'YOD1', 'ECHS1', 'ALDH3A2']
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	6	0.20230845336154682	1.3295754179373132	0.6	71.845	['FADS1', 'BAAT', 'ACOT1', 'YOD1', 'FADS2', 'ELOVL5', 'ACAA1', 'SCD', 'ELOVL6', 'ACOT2', 'ELOVL2', 'HACD2', 'HACD1', 'SCD5', 'ACOT4', 'PECR', 'ACOX1', 'ACOT7', 'HADHA', 'HSD17B12', 'ACOX3', 'TECR']
KEGG_ONE_CARBON_POOL_BY_FOLATE	5	0.20195868000175876	1.3003164141570869	0.5	37.767999999999994	['MTFMT', 'DHFR', 'ATIC', 'SHMT1', 'MTHFD1', 'MTHFR', 'MTHFD2L', 'TYMS', 'MTHFD2', 'MTHFD1L', 'MTR', 'GART']
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	4	0.19749507958334278	1.3084127555580696	0.4	63.112500000000004	['HS6ST1', 'B3GAT2', 'HS3ST1', 'B4GALT7', 'XYLT2', 'B3GAT1', 'B3GALT6', 'NDST2', 'EXT1', 'EXTL2', 'XYLT1', 'B3GAT3', 'HS6ST2', 'NDST1', 'EXTL3', 'HS2ST1', 'GLCE', 'HS3ST5', 'EXT2']
KEGG_PYRUVATE_METABOLISM	3	0.19173722490580158	1.3181780949319688	0.3	63.67666666666667	['PC', 'ME2', 'GRHPR', 'ALDH2', 'MDH1', 'HAGHL', 'ACAT2', 'DLD', 'HAGH', 'GLO1', 'ALDH9A1', 'PDHB', 'LDHC', 'PDHA1', 'ALDH3A2', 'LDHB', 'LDHA', 'PKM', 'PCK2', 'ACSS2', 'DLAT', 'ACYP1', 'ACAT1', 'ACACA', 'ALDH1B1', 'ACACB', 'ALDH7A1', 'ACSS1', 'ACYP2']
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	3	0.18699846511735654	1.3226618778045427	0.3	72.27	['GLS2', 'ASL', 'GOT1', 'DDO', 'GLUD1', 'CAD', 'ALDH5A1', 'PPAT', 'CPS1', 'GOT2', 'IL4I1', 'ASS1', 'GAD1', 'GFPT1', 'GPT', 'GFPT2', 'ADSL', 'ASPA', 'GPT2', 'ALDH4A1', 'GLS', 'NIT2', 'ABAT', 'ASNS', 'GLUL', 'GLUD2']
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	4	0.18142120919878627	1.3354376919542785	0.4	71.50999999999999	['CHST14', 'B3GAT2', 'B4GALT7', 'XYLT2', 'CHST12', 'CHPF2', 'B3GAT1', 'CHST3', 'B3GALT6', 'DSE', 'UST', 'XYLT1', 'B3GAT3', 'CSGALNACT2', 'CHSY1', 'CHST15', 'CHPF', 'CHST7', 'CSGALNACT1', 'CHST11', 'CHSY3']
KEGG_OLFACTORY_TRANSDUCTION	5	0.15956962775274014	1.3694846088569121	0.5	34.264	['ARRB2', 'ADCY3', 'PRKG2', 'PRKG1', 'CALM3', 'OR2A7', 'GNAL', 'CALM2', 'PRKX', 'CAMK2D', 'OR2A4', 'PRKACB', 'CALM1', 'PRKACA', 'CAMK2G']
KEGG_PPAR_SIGNALING_PATHWAY	1	0.15554211844465554	1.3645735752852932	0.1	72.93	['OLR1', 'NR1H3', 'PPARA', 'CYP27A1', 'CD36', 'FADS2', 'ME1', 'PDPK1', 'PPARD', 'DBI', 'FABP4', 'SLC27A5', 'CPT1C', 'EHHADH', 'RXRG', 'LPL', 'ACAA1', 'SCD', 'ILK', 'CPT2', 'PLTP', 'GK', 'SLC27A6', 'SCP2', 'PPARG', 'PCK2', 'SORBS1', 'SCD5', 'UBC', 'RXRA', 'FABP5', 'ACSL4', 'SLC27A2', 'ACOX1', 'ACOX2', 'SLC27A1', 'ACADM', 'ACSL1', 'RXRB', 'CPT1A', 'ACADL', 'ACSL3', 'ACOX3', 'CPT1B', 'MMP1', 'ACSL5', 'HMGCS2']
KEGG_RNA_POLYMERASE	3	0.15202126430958138	1.577128373543516	0.3	46.43666666666667	['POLR3F', 'POLR2K', 'POLR3G', 'POLR2J3', 'POLR2B', 'POLR3B', 'POLR3K', 'POLR2C', 'POLR1B', 'POLR2D', 'POLR2E', 'POLR2J2', 'POLR3H', 'POLR2H', 'POLR3GL', 'POLR1A', 'POLR3A', 'POLR1D', 'POLR1C', 'POLR3D', 'POLR2L', 'POLR2A', 'POLR2G', 'POLR3C', 'POLR1E']
KEGG_BETA_ALANINE_METABOLISM	5	0.12463934584654612	1.4348294109273052	0.5	61.57000000000001	['MLYCD', 'ALDH1B1', 'ALDH9A1', 'DPYD', 'GAD1', 'ALDH7A1', 'ALDH2', 'ACADM', 'HADHA', 'EHHADH', 'AOC3', 'SRM', 'ECHS1', 'SMS', 'ALDH3A2', 'HIBCH', 'ABAT']
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	6	0.09618801680105553	1.5430446518155696	0.6	69.73666666666666	['APIP', 'AMD1', 'TRDMT1', 'GOT1', 'AHCY', 'CDO1', 'MAT2A', 'DNMT1', 'MTAP', 'MTR', 'CBS', 'LDHC', 'GOT2', 'IL4I1', 'DNMT3B', 'MAT1A', 'LDHB', 'LDHA', 'ENOPH1', 'ADI1', 'SMS', 'AHCYL2', 'MAT2B', 'CTH', 'SRM', 'MPST', 'DNMT3A', 'SDS', 'AHCYL1']
KEGG_OTHER_GLYCAN_DEGRADATION	8	0.09336895513052793	1.6495129485260178	0.8	43.715	['MAN2C1', 'NEU3', 'NEU1', 'MANBA', 'HEXB', 'HEXA', 'FUCA2', 'AGA', 'MAN2B2', 'FUCA1', 'ENGASE', 'MAN2B1', 'GLB1', 'GBA']
