pathway	freq	padj	stability	overlap	genes
KEGG_SPLICEOSOME	1	8.547739989291582e-11	1.0	0.23809523809523808	['TCERG1', 'PRPF40A', 'RBMX', 'SRSF10', 'AQR', 'TRA2B', 'SRSF4', 'SF3A3', 'SNRNP27', 'HNRNPK', 'DHX15', 'EFTUD2', 'DDX46', 'SF3B2', 'DDX42', 'DDX5', 'SF3B3', 'SLU7', 'PRPF8', 'PRPF38B', 'SNRNP200', 'HNRNPM', 'CDC40', 'U2SURP', 'SF3A1', 'DHX8', 'RBM25', 'HNRNPU', 'SF3B1', 'THOC2']
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	1	5.893885405183213e-10	1.0	0.2230769230769231	['HUWE1', 'CDC23', 'ANAPC1', 'UBE2D3', 'UBE2Z', 'HERC1', 'CUL2', 'HERC4', 'UBE2H', 'HERC2', 'XIAP', 'VHL', 'UBE2G1', 'PIAS1', 'UBR5', 'UBE4B', 'CUL5', 'UBE3C', 'ITCH', 'UBE3A', 'CUL3', 'WWP1', 'FBXW11', 'TRIP12', 'ANAPC4', 'CUL4B', 'DDB1', 'CDC27', 'BIRC6']
KEGG_ERBB_SIGNALING_PATHWAY	1	2.7356001118462408e-06	1.0	0.2222222222222222	['MAP2K4', 'SOS2', 'GRB2', 'STAT5B', 'GAB1', 'PAK1', 'MAPK8', 'SOS1', 'PAK2', 'RAF1', 'MTOR', 'PIK3CA', 'RPS6KB1', 'ABL2', 'BRAF', 'GSK3B', 'PIK3CB', 'PTK2']
KEGG_ENDOMETRIAL_CANCER	1	2.7356001118462408e-06	1.0	0.2857142857142857	['SOS2', 'GRB2', 'SOS1', 'APC', 'CTNNB1', 'CTNNA1', 'RAF1', 'PIK3CA', 'TCF7L2', 'GSK3B', 'PTEN', 'PIK3CB', 'MLH1', 'BRAF']
KEGG_RENAL_CELL_CARCINOMA	1	6.109361709958691e-06	1.0	0.2318840579710145	['CREBBP', 'SOS2', 'GRB2', 'GAB1', 'PAK1', 'VHL', 'PAK2', 'SOS1', 'EP300', 'ARNT', 'RAF1', 'CUL2', 'PIK3CA', 'PTPN11', 'PIK3CB', 'BRAF']
KEGG_ACUTE_MYELOID_LEUKEMIA	1	1.3580732390979754e-05	1.0	0.24561403508771928	['SOS2', 'GRB2', 'STAT5B', 'SOS1', 'STAT3', 'NFKB1', 'RAF1', 'MTOR', 'PIK3CA', 'RPS6KB1', 'TCF7L2', 'RUNX1', 'PIK3CB', 'BRAF']
KEGG_WNT_SIGNALING_PATHWAY	1	1.9388165587669964e-05	1.0	0.16296296296296298	['PPP2CB', 'CSNK1A1', 'SENP2', 'CTNNB1', 'CSNK2A1', 'NFAT5', 'APC', 'DAAM1', 'TBL1XR1', 'MAPK8', 'ROCK1', 'FBXW11', 'GSK3B', 'PSEN1', 'CHD8', 'CREBBP', 'EP300', 'LRP6', 'ROCK2', 'TCF7L2', 'SMAD4', 'NLK']
KEGG_PROSTATE_CANCER	1	7.367184119826158e-05	1.0	0.18823529411764706	['CREBBP', 'SOS2', 'GRB2', 'EP300', 'SOS1', 'CTNNB1', 'CREB1', 'RAF1', 'MTOR', 'PIK3CA', 'TCF7L2', 'GSK3B', 'PIK3CB', 'PTEN', 'NFKB1', 'BRAF']
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON	1	7.952764297941897e-05	1.0	0.1366120218579235	['RDX', 'CYFIP1', 'SOS1', 'PTK2', 'ARHGEF12', 'PPP1R12A', 'PIK3CB', 'ENAH', 'APC', 'PIK3CA', 'NCKAP1', 'MYH10', 'ABI2', 'SOS2', 'PAK1', 'DIAPH1', 'RAF1', 'ROCK1', 'ARHGEF7', 'IQGAP1', 'BRAF', 'PAK2', 'PIKFYVE', 'ROCK2', 'TIAM2']
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	1	8.25123072445175e-05	1.0	0.15966386554621848	['KIDINS220', 'SOS1', 'MAPK14', 'CALM1', 'PIK3CB', 'GRB2', 'GAB1', 'PRDM4', 'PIK3CA', 'PTPN11', 'MAP2K5', 'RPS6KA3', 'NFKB1', 'SOS2', 'MAPK8', 'RAF1', 'GSK3B', 'PSEN1', 'BRAF']
KEGG_COLORECTAL_CANCER	1	8.25123072445175e-05	1.0	0.21666666666666667	['MAPK8', 'APPL1', 'CTNNB1', 'APC', 'RAF1', 'PIK3CA', 'SMAD4', 'TCF7L2', 'GSK3B', 'MSH6', 'PIK3CB', 'MLH1', 'BRAF']
KEGG_NUCLEOTIDE_EXCISION_REPAIR	1	8.25123072445175e-05	1.0	0.2558139534883721	['ERCC4', 'CUL4B', 'ERCC5', 'GTF2H3', 'POLD3', 'ERCC6', 'DDB1', 'ERCC3', 'GTF2H1', 'RPA1', 'RFC1']
KEGG_ADHERENS_JUNCTION	1	8.55161146277716e-05	1.0	0.2	['FER', 'CREBBP', 'EP300', 'CSNK2A1', 'TJP1', 'CTNNB1', 'AFDN', 'CTNNA1', 'CTNND1', 'SMAD4', 'TCF7L2', 'NLK', 'IQGAP1', 'FARP2']
KEGG_PATHWAYS_IN_CANCER	1	0.00017891964195729918	1.0	0.11073825503355705	['SOS1', 'CTNNB1', 'CUL2', 'RUNX1', 'PIK3CB', 'TPR', 'XIAP', 'GRB2', 'STAT5B', 'VHL', 'APC', 'PIAS1', 'PIK3CA', 'PTEN', 'NFKB1', 'SOS2', 'MAPK8', 'SUFU', 'STAT3', 'APPL1', 'CTNNA1', 'RAF1', 'MTOR', 'GSK3B', 'BRAF', 'CREBBP', 'EP300', 'ARNT', 'TCF7L2', 'SMAD4', 'MSH6', 'MLH1', 'PTK2']
KEGG_MAPK_SIGNALING_PATHWAY	1	0.00045821616202554907	1.0	0.11538461538461539	['TAOK3', 'SOS1', 'MAPK14', 'STK3', 'GRB2', 'MAP3K2', 'ATF2', 'MAP4K3', 'NF1', 'TAOK1', 'MAP2K5', 'RPS6KA3', 'NFKB1', 'PPM1B', 'SOS2', 'PAK1', 'MAP3K4', 'MAPK8', 'RAF1', 'TAB2', 'BRAF', 'MAP2K4', 'RASA1', 'PAK2', 'RAPGEF2', 'ELK4', 'NLK']
KEGG_RNA_DEGRADATION	1	0.0006392076918686353	1.0	0.2	['CNOT4', 'TTC37', 'DDX6', 'EXOSC10', 'PAPOLA', 'CNOT1', 'PAPOLG', 'XRN1', 'CNOT2', 'CNOT6', 'CNOT10']
KEGG_TIGHT_JUNCTION	1	0.0007590750335524158	1.0	0.14814814814814814	['TJP2', 'ASH1L', 'PPP2CB', 'EXOC4', 'TJP1', 'CTNNB1', 'CTNNA1', 'AFDN', 'SPTAN1', 'MYH10', 'EPB41', 'MPDZ', 'CASK', 'PTEN', 'CSNK2A1', 'PATJ']
KEGG_CELL_CYCLE	1	0.0008615557251115337	1.0	0.14049586776859505	['ANAPC4', 'CREBBP', 'SMC3', 'ATR', 'CDC23', 'ANAPC1', 'EP300', 'RBL2', 'STAG1', 'CDC27', 'SMAD4', 'WEE1', 'GSK3B', 'TFDP2', 'ORC2', 'ATM', 'STAG2']
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION	1	0.0009279604540714617	1.0	0.225	['DYNC1H1', 'DYNC2LI1', 'DYNC1LI2', 'DCTN4', 'CREB1', 'NSF', 'DYNC1I2', 'RAB5A', 'RAB5B']
KEGG_TGF_BETA_SIGNALING_PATHWAY	1	0.0009739494994232162	1.0	0.16455696202531644	['CREBBP', 'PPP2CB', 'EP300', 'RBL2', 'ROCK1', 'ACVR1', 'RPS6KB1', 'ROCK2', 'SP1', 'BMPR2', 'ZFYVE16', 'SMAD4', 'SMAD5']
KEGG_CHRONIC_MYELOID_LEUKEMIA	1	0.0014619777060508505	1.0	0.16666666666666666	['SOS2', 'GRB2', 'STAT5B', 'SOS1', 'NFKB1', 'RAF1', 'PIK3CA', 'SMAD4', 'RUNX1', 'PTPN11', 'PIK3CB', 'BRAF']
KEGG_INOSITOL_PHOSPHATE_METABOLISM	1	0.0016222906236800466	1.0	0.18867924528301888	['SYNJ1', 'OCRL', 'PTEN', 'PI4KB', 'PIKFYVE', 'PIK3CA', 'PIK3C2A', 'PI4KA', 'PIK3C3', 'PIK3CB']
KEGG_REGULATION_OF_AUTOPHAGY	1	0.0019518431006598264	1.0	0.3	['PIK3R4', 'BECN1', 'ULK2', 'ATG12', 'ATG7', 'PIK3C3']
