pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_DOUBLE_STRAND_BREAK_REPAIR_VIA_SINGLE_STRAND_ANNEALING	1	0.24995721127698706	1.3162589421356847	0.1	31.13	['RAD52', 'OGG1', 'SLX4', 'RNF138', 'RBBP8']
GOBP_STRIATED_MUSCLE_CELL_DEVELOPMENT	1	0.24970836177080383	1.3149773482117748	0.1	76.9	['MYOZ1', 'ANKRD1', 'SIX4', 'FHOD3', 'LMOD1', 'OBSCN', 'MYOM2', 'OBSL1', 'MYH11', 'PLEC', 'PGM5', 'WDR1', 'TNNT1', 'CAPN3', 'PROX1', 'TNNT2', 'CFLAR', 'KRT19', 'TPM1', 'CSRP2', 'MEF2A', 'SMAD4', 'ITGB1', 'PDGFRA', 'MYH3', 'CFL2', 'FLII', 'TMOD2', 'EDN1', 'TMOD1', 'NEBL', 'CSRP1', 'TCAP', 'SDC1', 'PRKAR1A', 'MYL9', 'AKAP13', 'PDGFRB', 'TMOD3', 'KLHL41', 'ACTG1', 'SRF']
GOBP_PARANODAL_JUNCTION_ASSEMBLY	1	0.24914144616024608	1.3181825808397645	0.1	24.39	['GNPAT', 'ANK2', 'EPB41L3', 'CNTNAP1']
GOBP_CONNECTIVE_TISSUE_REPLACEMENT	2	0.24898232433157247	1.317026484644598	0.2	16.14	['ROCK1', 'ROCK2', 'TGFB1', 'HIF1A', 'PPP3CA', 'RUNX1']
GOBP_ENTEROENDOCRINE_CELL_DIFFERENTIATION	1	0.24881180819649393	1.3160679802258644	0.1	23.76	['ZBED6', 'PDPK1', 'SIDT2', 'MEN1', 'CLOCK', 'RFX3', 'ARNTL', 'GSK3A', 'BAD', 'GSK3B', 'AKT1']
GOBP_REGULATION_OF_EPIDERMAL_GROWTH_FACTOR_ACTIVATED_RECEPTOR_ACTIVITY	1	0.24860924185026317	1.3163622606789114	0.1	10.76	['TSG101', 'CBLB', 'SOCS5', 'PSEN1', 'APP', 'FBXW7', 'ADAM17', 'CBL', 'NCK2']
GOBP_SPHINGOMYELIN_CATABOLIC_PROCESS	2	0.24817955661110636	1.652769646145396	0.2	21.015	['PRKCD', 'SMPD4', 'SMPDL3B', 'SMPD2', 'SMPDL3A']
GOBP_POSITIVE_REGULATION_OF_PROTEIN_K63_LINKED_UBIQUITINATION	1	0.2481378380978219	1.3356431992925564	0.1	60.07	['UBE2N', 'PTPN22', 'BIRC2', 'UBE2V2', 'NOD2', 'UBE2V1', 'DDX3X']
GOBP_REGULATION_OF_KETONE_BIOSYNTHETIC_PROCESS	1	0.2480796480405036	1.5980667549546368	0.1	68.02	['REST', 'DKK3', 'BMP5', 'CLCN2', 'SIRT5', 'BMP6', 'BMP2', 'EGR1', 'DGKQ', 'DKKL1', 'PPTC7', 'ADM', 'DAB2', 'H6PD', 'WNT4', 'COQ3', 'AKR1C3']
GOBP_IMP_METABOLIC_PROCESS	1	0.24804916005345085	1.3359034648881374	0.1	47.66	['AMPD2', 'ADSL', 'HPRT1', 'PNP', 'XDH', 'GART', 'AMPD3', 'PAICS', 'PPAT', 'NT5C2', 'ATIC', 'PFAS']
