pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS	1	0.24964520727889228	1.3820006583885998	1.0	82.32	['AKT2', 'ISYNA1', 'B4GALT5', 'PASK', 'PPP1R3B', 'PGK1', 'PPP1R3G', 'SLC39A14', 'PGAM2', 'FAM3C', 'B4GAT1', 'B3GALT2', 'PPP1R3E', 'HRH1', 'SLC35B4', 'PER2', 'IGF1', 'LEPR', 'CHST11', 'GYG2', 'FOXO1', 'FUT4', 'ENO2', 'PTAFR', 'MGAT2', 'NANS', 'EXT2', 'INPP5K', 'B3GNT8', 'PPARA', 'TGFB1', 'NR1D1', 'PDGFB', 'PHKG2', 'CSGALNACT1', 'DGKQ', 'DGAT2', 'PPP1R3C', 'PDK2', 'GPI', 'IMPA2', 'HAS1', 'ST6GALNAC6', 'PPP1CB', 'SLC37A4', 'PPARGC1A', 'CHST14', 'STK11', 'SDHAF3', 'ZNF692', 'CLTC', 'CRTC2', 'SDS', 'ST8SIA6', 'SORBS1', 'FUT6', 'PGM1', 'ARPP19', 'FUT5', 'GOT1', 'GNMT', 'ST3GAL2', 'SORD', 'HAS2', 'CHST12', 'CRY1', 'GYG1', 'PPP1R3F', 'AKT1', 'WDR5', 'SNCA', 'GPD1', 'EPM2AIP1', 'PGP', 'CSGALNACT2', 'EP300', 'AKR1A1', 'SIRT7', 'PLEK', 'PPP4R3B', 'B3GNT3', 'SLC25A12', 'PTGES3', 'NLN', 'HS2ST1', 'SIRT1', 'PGD', 'IRS2', 'B3GNT7', 'IGF2', 'CLK2', 'MPDU1', 'UGP2', 'SOGA1', 'G6PC3', 'FUT3', 'FUT1', 'DDB1', 'CHST9', 'PPP1R3D', 'GSK3B', 'B3GNT2', 'B4GALT1', 'PTPN2', 'SLC25A13', 'B3GALNT1', 'P2RY1', 'EGF', 'PHKG1', 'NDST1', 'RANBP2', 'FUT8', 'NDST2', 'NHLRC1', 'GYS1', 'SIK1', 'ACADM', 'GPT', 'ST6GALNAC1', 'B3GAT2', 'KAT2A', 'ENPP1', 'PC', 'HAS3', 'RGN', 'ST3GAL4', 'DYRK2', 'GPER1', 'GSK3A', 'B3GNT6', 'USP7', 'IRS1', 'EXT1', 'CHST15', 'AP2A1', 'AGL', 'FBP1', 'PPP1CA', 'ATF3', 'C1QTNF3', 'ST3GAL6', 'KAT2B', 'B3GALT4', 'PTK2B', 'NFKB1', 'G6PD', 'INSR', 'GBE1', 'SESN2', 'B3GNT9', 'CHST10', 'ST3GAL3', 'PTH1R', 'B3GNT4', 'FAM3A', 'SLC25A10', 'ST6GALNAC5', 'PCK2', 'IMPA1', 'SLC25A1', 'OGT']
GOBP_CERAMIDE_1_PHOSPHATE_TRANSPORT	1	0.24964511445542042	1.3821223591284133	1.0	20.35	['PLEKHA8P1', 'PLEKHA8', 'GLTP', 'PLEKHA3']
GOBP_POSITIVE_REGULATION_OF_EPITHELIAL_CELL_MIGRATION	1	0.24892206599317301	1.3829863290874898	1.0	74.86	['VIL1', 'HDAC9', 'PLCG2', 'ITGB3', 'HBEGF', 'EMC10', 'AAMP', 'RRAS', 'PRKD2', 'PLK2', 'PRKCA', 'RREB1', 'HDAC7', 'AKT3', 'PRKCE', 'PLPP3', 'PIK3CG', 'RAC1', 'EDN1', 'ANGPT1', 'PFN1', 'TGFB1', 'MTOR', 'PDGFB', 'ITGB1BP1', 'RAB11A', 'HDAC6', 'MIR27A', 'PDCD6', 'GPI', 'NFE2L2', 'PDPK1', 'SASH1', 'ANXA1', 'GRN', 'CALR', 'AGT', 'DOCK5', 'TEK', 'STAT5A', 'SOX9', 'SRPX2', 'ATOH8', 'SCARB1', 'MAP3K3', 'RHOJ', 'GATA3', 'FGFR1', 'MIR126', 'BMPR2', 'HAS2', 'NOS3', 'DOCK1', 'ZNF580', 'PRKD1', 'AKT1', 'GPLD1', 'THBS1', 'ADAM9', 'ABL1', 'FLT4', 'PPM1F', 'CAPN7', 'KDR', 'MIR221', 'MAPRE2', 'JUN', 'ADGRA2', 'SIRT1', 'CD40', 'FGF7', 'NRP1', 'ADAM17', 'FUT1', 'RAB25', 'NRP2', 'ZC3H12A', 'PIK3CB', 'SRC', 'ITGA3', 'RTN4', 'MIR21', 'HMOX1', 'EGF', 'BCAR1', 'ARF6', 'GATA2', 'RIN2', 'FOXP1', 'VEGFA', 'PIK3C2A', 'PIK3CD', 'ENPP2', 'ETS1', 'MIR27B', 'IQSEC1', 'SPARC', 'TGFBR2', 'HSPB1', 'MAP2K3', 'MIR200A', 'PROX1', 'MAP4K4', 'TGFB2', 'ROCK2', 'CLASP1', 'HIF1A', 'PTK2B', 'CCBE1', 'SP1', 'ANXA3', 'P2RX4', 'LGMN', 'CLASP2', 'EPB41L4B', 'NUS1', 'SEMA5A', 'EPB41L5', 'WNT5A', 'PLCG1', 'BCAS3', 'INSL3', 'MET', 'FGF18', 'HMGB1', 'MAPK14']
GOBP_REGULATION_OF_MITOPHAGY	1	0.24881035158274892	1.383249340215469	1.0	25.71	['USP30', 'RNF41', 'VPS13C', 'VDAC1', 'CERS1', 'TIGAR', 'AMBRA1']
GOBP_POSITIVE_REGULATION_OF_ER_ASSOCIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1	0.24874363827960866	1.3834392436012157	1.0	28.81	['NFE2L2', 'BCAP31', 'UBQLN1', 'UBQLN2', 'SGTA']
GOBP_MALE_SEX_DETERMINATION	1	0.24842043577516987	1.3838839767930982	1.0	47.54	['SOX9', 'AR', 'SIX4', 'SF1', 'FGF9', 'INSR', 'MAP3K4']
GOBP_RIBONUCLEOTIDE_CATABOLIC_PROCESS	1	0.24801969055628567	1.3846950195470074	1.0	70.15	['PDE2A', 'PNP', 'GDA', 'ENTPD4', 'PDE7A', 'NUDT16', 'NT5E', 'HINT1', 'PDE8B', 'XDH', 'AMPD3', 'NUDT11', 'PDE9A', 'PDE8A', 'NT5C1A', 'FITM2', 'PDE4D', 'PDE7B', 'ADA', 'NT5C', 'HPRT1', 'NUDT4', 'ACOT7', 'PDE4A', 'NUDT3', 'PDE4B', 'NUDT7', 'PDE5A', 'MLYCD', 'DPYD', 'ACAT1', 'ABCD1', 'ENTPD7', 'NUDT9', 'NT5C2', 'NUDT19', 'PRTFDC1', 'ITPA']
GOBP_STEROL_BIOSYNTHETIC_PROCESS	1	0.24797282719498234	1.3844838004694402	1.0	63.81	['ACAA2', 'LPCAT3', 'CES1', 'SQLE', 'HMGCS2', 'IDI1', 'INSIG2', 'ABCA2', 'MBTPS1', 'HSD17B7', 'ERLIN2', 'CYP51A1', 'CYB5R3', 'SREBF1', 'MBTPS2', 'ERLIN1', 'FAXDC2', 'CYB5R2', 'MVK', 'MSMO1', 'CYB5R1', 'HMGCR', 'MVD', 'PMVK', 'PLPP6', 'FDPS', 'ACLY', 'LBR', 'HMGCS1', 'PRKAA1', 'FDFT1', 'PRKAG2', 'DHCR24', 'POR', 'SC5D', 'ARV1', 'IDI2', 'SCAP', 'NSDHL', 'INSIG1', 'LSS', 'ABCG1', 'PRKAA2']
GOBP_REGULATION_OF_TRANSCRIPTION_OF_NUCLEOLAR_LARGE_RRNA_BY_RNA_POLYMERASE_I	1	0.24792845813160877	1.3846545947557374	1.0	56.48	['NOL11', 'IPPK', 'PIH1D1', 'SIRT7', 'MTOR', 'SMARCB1', 'DEDD', 'PWP1', 'SMARCA4', 'NCL']
GOBP_POSITIVE_REGULATION_OF_MICROTUBULE_BINDING	1	0.24762245784415793	1.385376810564436	1.0	36.23	['MAPRE1', 'PPP2CA', 'MAPRE3', 'ABL1', 'PPP2CB']
GOBP_NEGATIVE_REGULATION_OF_ANDROGEN_RECEPTOR_SIGNALING_PATHWAY	1	0.24761880479659765	1.3852443628816242	1.0	62.36	['SIRT1', 'NCOR1', 'PIAS2', 'SFRP1', 'NCOR2', 'PHB', 'SMARCA4', 'FOXP1', 'HEYL', 'TCF21', 'ZBTB7A', 'DAB2', 'HDAC1']
GOBP_RIBONUCLEOPROTEIN_COMPLEX_DISASSEMBLY	1	0.24756391826699034	1.3855809305979698	1.0	14.6	['DHX8', 'KIF5B', 'TFIP11', 'VCP']
GOBP_NEGATIVE_REGULATION_OF_CERAMIDE_BIOSYNTHETIC_PROCESS	1	0.24720081316209955	1.3860623345328358	1.0	31.12	['ORMDL2', 'ORMDL3', 'PRKAA1', 'ORMDL1']
GOBP_RIBOSE_PHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.246913486156457	1.386451562364889	1.0	51.96	['SLC26A2', 'PDHX', 'ATP6V1A', 'ENO1', 'NME4', 'ADCY9', 'DHODH', 'ADCY7', 'ADA', 'DLD', 'PARP1', 'ACACA', 'PRPSAP2', 'PDHB', 'GART', 'PPT1', 'CTPS1', 'PYGL', 'ACLY', 'PPARA', 'GCDH', 'TGFB1', 'ADCY1', 'TECR', 'PPAT', 'HSD17B12', 'PDK2', 'SLC35B3', 'MIR675', 'SPHK2', 'COASY', 'PPARGC1A', 'PRPS1', 'ELOVL1', 'PINK1', 'PRPS2', 'PAPSS1', 'PAICS', 'ACACB', 'ATIC', 'DCAKD', 'SLC25A16', 'UMPS', 'ELOVL7', 'HACD1', 'ACSF3', 'PAPSS2', 'VPS9D1', 'ELOVL4', 'CTPS2', 'HACD2', 'UCK1', 'ACSBG1', 'SLC35B2', 'PDK3', 'SLC25A12', 'DIP2A', 'ACSS2', 'VCP', 'MPC2', 'LDHC', 'PANK4', 'PANK3', 'AK3', 'ADK', 'UPRT', 'PFAS', 'ELOVL5', 'ADSL', 'SLC25A13', 'ACSL4', 'ACSL3', 'MLYCD', 'PANK2', 'AMPD2', 'PRKAG2', 'ADCY6', 'NME6', 'ADCY3', 'CAD', 'CMPK1', 'AK2', 'DLAT', 'PRPSAP1', 'UCKL1', 'DGUOK', 'PPT2', 'GMPS', 'ACSL1', 'PDHA1', 'AK9', 'FLCN', 'GUCY2C']
GOBP_NEGATIVE_REGULATION_OF_RIG_I_SIGNALING_PATHWAY	1	0.24602163746043781	1.3874727013543389	1.0	29.16	['NLRX1', 'RNF125', 'GPATCH3', 'NPLOC4', 'DHX58']
GOBP_RESPONSE_TO_INTERFERON_ALPHA	1	0.2453975173074047	1.3882308489745494	1.0	52.15	['IFITM1', 'AXL', 'IFIT3', 'IFITM3', 'PDE12', 'KLHL20', 'ADAR', 'IFITM2', 'EIF2AK2', 'IFNAR1', 'MX2', 'TPR', 'LAMP3', 'IFIT2', 'IFNAR2']
GOBP_MITOCHONDRIAL_TRNA_PROCESSING	1	0.24519159742587998	1.3888548125195992	1.0	47.27	['RPUSD4', 'TRMT61B', 'TRMT10C', 'TRNT1', 'TRIT1', 'MTO1', 'ELAC2', 'PUS1', 'CDK5RAP1']
GOBP_ENDOSOME_TO_PLASMA_MEMBRANE_PROTEIN_TRANSPORT	1	0.24517899689576927	1.3885888652523726	1.0	14.56	['RAB7A', 'ATP6AP1', 'RAB8A', 'RAB11A', 'VPS35', 'GRIPAP1']
GOBP_RAC_PROTEIN_SIGNAL_TRANSDUCTION	1	0.24513471020080055	1.3887687174646852	1.0	60.55	['ARHGAP24', 'DNM2', 'EPS8', 'SSX2IP', 'CRK', 'ARHGAP17', 'NF1', 'WASF2', 'ALS2', 'AUTS2', 'TIAM1', 'FARP2', 'ABI2', 'HACD3', 'PIK3CB', 'KBTBD6', 'GABARAP', 'KBTBD7', 'RHOG', 'SH3BP1', 'PIK3CG', 'RHOU', 'OGT', 'DBNL', 'RAC1', 'HACE1', 'CYFIP1', 'ARHGAP44', 'ARF6', 'KRAS', 'NCKAP1', 'NISCH', 'BRK1']
GOBP_STEM_CELL_PROLIFERATION	1	0.24492288665047407	1.3892603876251286	1.0	83.75	['OVOL1', 'ATXN1L', 'SOX11', 'FGF2', 'ACE', 'SFRP2', 'MIR221', 'SART3', 'ARIH2', 'FBLN1', 'SIRT6', 'WNT7B', 'PDCD2', 'GJA1', 'YTHDF2', 'MIR320E', 'CTC1', 'YAP1', 'KAT7', 'LTBP3', 'NKAP', 'YJEFN3', 'SOX18', 'AGO3', 'ABCB1', 'EPCAM', 'NF2', 'HMGB2', 'CD34', 'RNF43', 'WNT2B', 'TBX3', 'OVOL2', 'VEGFC', 'FERMT2', 'N4BP2L2', 'ZFP36L1', 'RUNX1', 'KDM1A', 'HMGA2', 'PTPRC', 'GBA', 'CITED1', 'WNT10B', 'WNT5A', 'SNAI2', 'KDF1', 'HNRNPU', 'PIM1', 'KITLG', 'NES', 'SOX17', 'WNT3', 'EIF2AK2', 'SIX2', 'CCNE1', 'ZNRF3', 'MECOM', 'ETV6', 'FERMT1']
GOBP_INTRACELLULAR_LIPID_TRANSPORT	1	0.24491823379225022	1.3895469822438589	1.0	47.56	['GRAMD1A', 'MIR27B', 'LRP6', 'CES1', 'VPS4A', 'ABCD4', 'ABCD3', 'TMEM41B', 'ARL8B', 'SERAC1', 'OSBPL2', 'STARD4', 'TPCN2', 'CPT2', 'LDLRAP1', 'SCP2', 'NPC1', 'OSBP', 'NUS1', 'GRAMD1C', 'LDLR', 'PLEKHA8', 'ARV1', 'PIP4K2A', 'ABCD1', 'ABCA1', 'PLEKHA8P1']
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_OF_NUCLEOLAR_LARGE_RRNA_BY_RNA_POLYMERASE_I	1	0.24490387537951916	1.389416394015527	1.0	51.65	['NOL11', 'IPPK', 'PIH1D1', 'MTOR', 'SMARCB1', 'PWP1', 'SMARCA4', 'NCL']
GOBP_POSITIVE_REGULATION_OF_JUN_KINASE_ACTIVITY	1	0.2448603247727224	1.3897450393422681	1.0	63.26	['SASH1', 'DVL2', 'DAB2IP', 'MAP3K12', 'MAP2K7', 'TAOK3', 'MAP3K4', 'PAK1', 'TNF', 'AXIN1', 'MAP4K2', 'SYK', 'MAP3K13', 'TRAF2', 'DVL3', 'TLR6', 'PTK2B', 'PTPN1', 'ERN1', 'MAP3K5', 'MAP3K7', 'DUSP19', 'ARHGEF5', 'FZD10', 'MAP3K11', 'FZD8', 'EDN1', 'AGER', 'EPHA4', 'MAP3K10', 'WNT5A', 'FZD5', 'TNFRSF11A', 'TRAF6']
GOBP_RESPONSE_TO_GLYCOPROTEIN	1	0.24381537465190384	1.3909391734553274	1.0	20.83	['MAN1B1', 'EDEM1', 'EDEM2', 'EDEM3']
GOBP_POSITIVE_REGULATION_OF_ACTIN_NUCLEATION	1	0.24342541056036363	1.3914617661376827	1.0	36.67	['WASL', 'FMN1', 'FCHSD2', 'ABI2', 'TRIM27', 'NCKAP1', 'WHAMM', 'WASF2', 'BRK1', 'CYFIP1']
GOBP_ORGANOPHOSPHATE_ESTER_TRANSPORT	1	0.24308187348432841	1.3919500244321048	1.0	79.78	['SLC25A42', 'TMEM30B', 'ATP8B2', 'ABCA7', 'ABCA3', 'PLSCR4', 'SLC44A4', 'OSBPL2', 'PLSCR1', 'SLC37A2', 'PLSCR3', 'SLC25A17', 'CETP', 'PITPNA', 'ATP11B', 'OSBPL10', 'VMP1', 'ATP11C', 'CR1', 'ANO7', 'LRRC8D', 'PITPNM2', 'PITPNM3', 'XKR8', 'SLC35B3', 'PLEKHA8P1', 'CPTP', 'LRRC8A', 'ABCC11', 'SLC37A4', 'SLC37A3', 'SCARB1', 'VAPA', 'PRKCD', 'ABCC1', 'SCP2', 'SLC25A51', 'C2CD2L', 'ABCD1', 'ATP8B1', 'ABCA1', 'SLC25A5', 'ATP8A2', 'ABCB4', 'ABCG1', 'SLC19A1', 'SLC35B2', 'ATG9A', 'SLC25A32', 'TNFAIP8L3', 'SLC29A1', 'ANO9', 'G6PC3', 'SLC25A23', 'PLEKHA3', 'SLC33A1', 'OSBPL5', 'SCARB2', 'P2RX7', 'PITPNM1', 'ABCB1', 'ABCC4', 'ABCA4', 'SLC25A36', 'ABCC5', 'PRELID3A', 'LRRC8C', 'OSBP', 'ATP9A', 'LDLR', 'SLC37A1', 'PLTP', 'ANO6', 'PITPNB', 'PCTP', 'ATP8A1', 'CD47', 'SLC25A24', 'OSBPL8', 'DBI', 'ABCC6', 'ATP10B', 'ATP10D', 'ATP8B3', 'TMEM41B', 'ATP10A', 'ATP9B', 'TMEM30A', 'TRIAP1', 'NPC2', 'GLTP', 'PRELID2', 'ATP11A', 'ANO3', 'SLC25A4', 'XKR9', 'MFSD2A', 'PRELID3B', 'SLC25A25', 'ATP8B4', 'PLEKHA8', 'ABCA12', 'ATG9B', 'SLC25A19', 'LRRC8E', 'EPG5', 'PRELID1', 'APOE']
GOBP_RESPONSE_TO_ACID_CHEMICAL	1	0.24307034929107307	1.392220426999238	1.0	79.51	['PIK3C3', 'NTRK2', 'CASP3', 'CRLS1', 'TMBIM6', 'CDO1', 'HMGCS2', 'ASS1', 'SH3BP4', 'PDX1', 'KLHL22', 'PIK3CA', 'NEURL1', 'MYC', 'IPO5', 'ALAD', 'ATF2', 'COL1A2', 'COL1A1', 'BCL11A', 'HSF1', 'COL6A1', 'EDN1', 'PPP1R9B', 'MTOR', 'EGFR', 'PKD2L1', 'AMIGO1', 'COL4A6', 'HNRNPAB', 'CPEB4', 'UFL1', 'PDGFC', 'LYN', 'XBP1', 'LAMTOR5', 'PLEC', 'CAPN2', 'CPS1', 'PNPLA3', 'ATP2B4', 'COL16A1', 'TOMM70', 'UBR1', 'TOMM20', 'AIFM1', 'LAMTOR3', 'UBR2', 'DNMT1', 'RHOA', 'BAD', 'FYN', 'PKD2', 'ZEB1', 'GRIN1', 'PDGFD', 'CDKN1B', 'LAMTOR2', 'PDGFRA', 'ATP7A', 'RPS6KB1', 'IGF1R', 'TAF9', 'SIX1', 'COL5A2', 'GLRB', 'VEGFA', 'SLC38A9', 'SIPA1', 'CPEB3', 'SESN3', 'RRAGA', 'TNF', 'BAIAP2', 'RRAGD', 'LRP11', 'NSMF', 'COL4A1', 'MMP2', 'RPTOR', 'BCL2L2', 'MTHFR', 'RRAGB', 'SESN1', 'DNMT3A', 'BCL2L1', 'NQO1', 'GCLM', 'RRAGC', 'SESN2', 'COL3A1', 'SPAAR', 'HPCA', 'CYBB', 'LAMTOR1', 'GCLC', 'HNRNPD']
GOBP_RHYTHMIC_PROCESS	1	0.24298815338050578	1.392158852095893	1.0	80.0	['ZFHX3', 'FBXL3', 'TOP1', 'EGR3', 'ATF5', 'NTRK2', 'STAT5B', 'CASP3', 'ESR1', 'CIPC', 'DDX5', 'ASS1', 'PER2', 'ARNTL2', 'NUDT12', 'PML', 'NOS2', 'PTEN', 'ZP3', 'CDK1', 'NKX2-1', 'DYRK1A', 'SLIT2', 'KMT2A', 'RELB', 'BTBD9', 'OGT', 'EZH2', 'NAGLU', 'TIMELESS', 'MAGED1', 'AHR', 'FBXL12', 'GNA11', 'RBM4', 'PPARA', 'ADCY1', 'TYRO3', 'MTOR', 'NR1D1', 'CRY2', 'FBXW7', 'TNFRSF11A', 'ARNTL', 'CLOCK', 'MAPK10', 'RBM4B', 'CRTC1', 'PPP1CC', 'NCOR1', 'PPP1CB', 'THRAP3', 'CLDN4', 'ANXA1', 'LGR4', 'HDAC3', 'RACK1', 'TP53', 'KCND2', 'CYP1B1', 'PPARGC1A', 'PHLPP1', 'ADNP', 'KDM5A', 'PER3', 'PAM', 'PER1', 'CUL4A', 'EREG', 'ADAMTS1', 'ENOX2', 'A2M', 'NR1H3', 'ID1', 'FBXL8', 'HDAC2', 'MTA1', 'PTX3', 'EGR2', 'GFPT1', 'BTRC', 'ADORA1', 'MYCBP2', 'AXL', 'CBX3', 'PDE6B', 'ID3', 'UBE3A', 'HLF', 'RORB', 'HAS2', 'SUV39H1', 'NOS3', 'CRY1', 'GNAQ', 'NR2F6', 'BLOC1S6', 'HUWE1', 'CREBBP', 'PPARG', 'PRKAA1', 'CSNK1D', 'FOXO3', 'NR1D2', 'CREB1', 'EGR1', 'KDM2A', 'HEBP1', 'CSNK2A1', 'EP300', 'DBP', 'ID4', 'GPR157', 'FBXW11', 'KDM8', 'RORA', 'IMPDH2', 'TEF', 'SIRT1', 'TYMS', 'SIAH2', 'BHLHE40', 'PRMT5', 'NDUFA9', 'NPAS2', 'INHBA', 'DDB1', 'JUND', 'FBXL6', 'GSK3B', 'OPRL1', 'SGPL1', 'SRC', 'NCOA2', 'FBXL22', 'PDGFRA', 'KLF10', 'NONO', 'SERPINF1', 'GAS2', 'ZNF830', 'NFKB2', 'IGF1R', 'ROBO2', 'ENOX1', 'OPN3', 'SETX', 'SFPQ', 'PRKDC', 'NGFR', 'SIK1', 'ADORA2A', 'OXTR', 'TRPM2', 'TARDBP', 'NOCT', 'NRIP1', 'ID2', 'HDAC1', 'ARRB2', 'SIN3A', 'PLEKHA1', 'ADRB1', 'DTL', 'METTL3', 'KDM5C', 'DHX9', 'DNM1L', 'USP2', 'TOP2A', 'BMPR1B', 'NFYA', 'CREM', 'KDM5B', 'HOMER1', 'SLC6A4', 'TNF', 'SLIT3', 'USP7', 'MAPK8', 'CASP2', 'PTN', 'ATG7', 'SRD5A1', 'PROX1', 'CSNK1E', 'CDK5R1', 'TGFB2', 'TGFB3', 'PSPC1', 'PPP1CA', 'SREBF1', 'SUV39H2', 'MMP2', 'ROCK2', 'KAT2B', 'FBXL17', 'SP1', 'DDC', 'MDK', 'C3orf70', 'MYBBP1A', 'RAI1', 'FZD4', 'NAMPT', 'HSPA5', 'SRRD', 'HNRNPU', 'NCOR2', 'KLF9', 'CCAR2', 'USP9X', 'GDF10', 'HNRNPD', 'MAPK9', 'PRKAA2']
GOBP_N_TERMINAL_PEPTIDYL_METHIONINE_ACETYLATION	1	0.2429515371964813	1.3924670327891855	1.0	57.31	['NAA35', 'NAA30', 'NAA25', 'NAA60', 'NAA20', 'NAA16', 'NAA15']
GOBP_COLUMNAR_CUBOIDAL_EPITHELIAL_CELL_DEVELOPMENT	1	0.24279100355777183	1.3928646746346836	1.0	61.25	['PDPK1', 'RHEB', 'RFX3', 'C1GALT1', 'GSK3A', 'TIGAR', 'BAD', 'CDK6', 'RARG', 'FASN', 'ROS1', 'TYMS', 'YIPF6', 'YAP1', 'IL6ST', 'GSK3B', 'SRC', 'HIF1A', 'AKT1', 'GPAT4', 'BMP5', 'WNT5A', 'SIDT2', 'RARA', 'SMO', 'ARNTL', 'KLF5', 'BMP6', 'CLOCK', 'RARB']
GOBP_DETECTION_OF_CALCIUM_ION	1	0.24268565624477845	1.3928429319723197	1.0	32.98	['KCNMB4', 'KCNMB3', 'KCNMB1', 'CALM3', 'CALM2', 'CALM1', 'STIM1']
GOBP_TROPHECTODERMAL_CELL_DIFFERENTIATION	1	0.24236263614840203	1.393528483991432	1.0	52.01	['CTR9', 'ADA', 'BYSL', 'TEAD4', 'CNOT3', 'YAP1', 'CNOT2', 'EOMES', 'JUNB', 'CUL3', 'SP3', 'CNOT1', 'SRF']
GOBP_RESPONSE_TO_COBALT_ION	1	0.24227999009031728	1.3934820511574204	1.0	33.9	['ATP7A', 'CASP3', 'CASP8', 'CASP9', 'ATF1', 'ALAD', 'TIGAR']
GOBP_ENUCLEATE_ERYTHROCYTE_DIFFERENTIATION	1	0.24144389223885054	1.3945803151574612	1.0	42.75	['MB', 'MED1', 'RB1', 'SP3', 'CEBPG', 'MAEA']
GOBP_ENDONUCLEOLYTIC_CLEAVAGE_INVOLVED_IN_RRNA_PROCESSING	1	0.24077358991034584	1.3953908359073757	1.0	16.7	['KRI1', 'NOP9', 'RCL1', 'TSR1', 'UTP20', 'BMS1', 'NOL9']
GOBP_REGULATION_OF_RAC_PROTEIN_SIGNAL_TRANSDUCTION	1	0.24010036111504762	1.396342836506626	1.0	60.55	['PIK3CB', 'ARHGAP24', 'ARHGAP44', 'ARF6', 'KBTBD6', 'DNM2', 'KRAS', 'ALS2', 'KBTBD7', 'GABARAP', 'SSX2IP', 'CRK', 'ARHGAP17', 'SH3BP1', 'PIK3CG', 'AUTS2', 'NF1', 'OGT']
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM	1	0.24003833448777892	1.3962627024310281	1.0	22.84	['RAB3GAP1', 'SPCS2', 'SEC61A1', 'CHMP4B', 'HSPA5', 'SRP68', 'SRP14', 'EDEM1', 'RAB10', 'ZFAND2B', 'RAB3GAP2', 'SRPRA', 'SEC62', 'SRP19', 'SGTA', 'SRP72', 'SEC63']
