pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.23738084918313648	1.3554019296622757	1.0	64.62	['PDSS2', 'HMGCS1', 'HMGCR', 'MVK', 'GGPS1', 'PMVK', 'IDI2', 'IDI1', 'HMGCS2', 'MVD', 'FDPS', 'ACAT2', 'DHDDS', 'PDSS1']
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.23705459692639522	1.3526114444633606	1.0	13.51	['JUN', 'NRAS', 'SOS2', 'DAPP1', 'NFKBIE', 'MAP2K2', 'CD22', 'PIK3R2', 'PIK3CD', 'MAPK3', 'IFITM1', 'LYN', 'IKBKB', 'BCL10', 'RELA', 'GRB2', 'NFATC2', 'VAV1', 'AKT2', 'CD81']
KEGG_OOCYTE_MEIOSIS	1	0.23114657092988605	1.3716165202336301	1.0	75.52	['YWHAZ', 'PPP3CB', 'SMC1A', 'PPP2R5C', 'ADCY7', 'YWHAG', 'SKP1', 'ANAPC7', 'ANAPC10', 'PPP2R5D', 'CCNB2', 'IGF1R', 'YWHAQ', 'ANAPC4', 'CALM2', 'PPP2CB', 'CDK2', 'CDC23', 'PPP2R1A', 'ADCY3', 'ANAPC2', 'RPS6KA1', 'SPDYA', 'BTRC', 'YWHAH', 'YWHAE', 'RBX1', 'CUL1', 'PKMYT1', 'CHP1', 'PRKACB', 'CCNE1', 'CALML5', 'PLK1', 'RPS6KA6', 'MAPK1', 'ITPR2', 'PPP1CC', 'ANAPC13', 'CDC26', 'SGO1', 'REC8', 'ADCY1', 'SLK', 'CCNE2', 'CDC27', 'RPS6KA3', 'PPP2R5E', 'MAP2K1', 'CDC25C', 'PPP2CA', 'ESPL1', 'RPS6KA2', 'PPP3R1', 'IGF1', 'MAPK3', 'PPP2R5A', 'PPP1CA', 'PPP2R5B', 'MAPK12', 'CDC16', 'CDK1', 'ANAPC11', 'PRKACA', 'CALM3', 'PPP3CA', 'SMC1B', 'FBXW11', 'ITPR3', 'CAMK2B', 'ANAPC1', 'AR', 'CCNB1', 'FBXO5', 'ANAPC5', 'CAMK2G', 'MAD2L2', 'SMC3', 'BUB1', 'YWHAB', 'CALM1', 'MAD2L1', 'PTTG1', 'PPP1CB', 'PPP2R1B']
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.23022198256493218	1.3666631126831341	1.0	26.0	['NHEJ1', 'POLL', 'XRCC6', 'XRCC5', 'XRCC4', 'RAD50', 'MRE11']
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.22976697608134652	1.369922775924295	1.0	75.88	['AKT1', 'RPS6KA3', 'PRKACA', 'PIK3R3', 'CDC25B', 'CDC25A', 'MAP2K1', 'PDE3B', 'ADCY7', 'PIK3CA', 'PKMYT1', 'CDC25C', 'MAPK14', 'PRKACB', 'HSP90AB1', 'MAPK8', 'CCNA1', 'PIK3CB', 'ARAF', 'GNAI1', 'PLK1', 'ANAPC7', 'ANAPC10', 'RPS6KA6', 'MAPK1', 'CCNB2', 'RPS6KA2', 'ANAPC1', 'MAPK13', 'IGF1R', 'HSP90AA1', 'RAF1', 'CCNB1', 'CCNA2', 'IGF1', 'ANAPC4', 'AKT3', 'PIK3R2', 'PIK3CD', 'ANAPC5', 'FZR1', 'MAPK3', 'CDK2', 'ANAPC13', 'CDC26', 'CDC23', 'MAPK11', 'ADCY3', 'GNAI3', 'BRAF', 'MAD2L2', 'BUB1', 'MAPK12', 'ANAPC2', 'PDE3A', 'CDC16', 'ADCY1', 'RPS6KA1', 'SPDYA', 'MAD2L1', 'AKT2', 'GNAI2', 'CDK1', 'ANAPC11', 'PIK3R1', 'MAPK9', 'PIK3CG', 'CDC27']
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.21839532668284353	1.3891715838298468	1.0	75.71	['PIK3R3', 'NCF4', 'PIK3CA', 'PLCG2', 'CDH5', 'THY1', 'MSN', 'VCL', 'JAM3', 'PRKCB', 'PIK3R2', 'ITGB2', 'TXK', 'NOX1', 'CLDN23', 'PTPN11', 'VCAM1', 'ITGAM', 'ITK', 'PECAM1', 'MYL12B', 'GNAI2', 'ROCK1', 'VAV2', 'MAPK14', 'ITGB1', 'CLDN3', 'CLDN2', 'MYL12A', 'ARHGAP35', 'CYBB', 'CLDN7', 'RASSF5', 'NCF1', 'CLDN4', 'ACTG1', 'CD99', 'PIK3CG', 'F11R', 'ITGAL', 'CLDN22', 'CLDN6', 'PIK3CB', 'PRKCA', 'RAPGEF4', 'NCF2', 'OCLN', 'CXCR4', 'RAP1A', 'MAPK13', 'ESAM', 'ACTN1', 'PXN', 'ACTB', 'SIPA1', 'ROCK2', 'CLDN1', 'GNAI3', 'MAPK12', 'VAV1', 'RHOA', 'ITGA4', 'VAV3', 'BCAR1', 'VASP', 'CLDN16', 'PTK2B', 'ARHGAP5', 'RAC1', 'GNAI1', 'CXCL12', 'CTNNB1', 'EZR', 'CLDN5', 'RAP1B', 'CLDN8', 'PIK3CD', 'ICAM1', 'JAM2', 'MAPK11', 'CDC42', 'MYL9', 'ACTN4', 'CTNNA1', 'RHOH', 'CTNND1', 'PIK3R1', 'AFDN', 'MMP2']
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.21311462986307958	1.3990976489585776	1.0	66.99	['DMD', 'LMNA', 'SGCB', 'CACNB1', 'DSG2', 'CACNA2D4', 'ITGB1', 'TCF7', 'SGCG', 'EMD', 'ITGA9', 'ITGA7', 'ITGB6', 'CACNA1F', 'CTNNB1', 'ITGB3', 'DSC2', 'LAMA2', 'ACTN1', 'SGCA', 'ITGB8', 'ITGA3', 'CDH2', 'GJA1', 'TCF7L1', 'ITGA5', 'ITGA11', 'CACNA1C', 'CACNA2D2', 'ITGB7', 'ATP2A2', 'ITGA2B', 'DAG1', 'ACTB', 'JUP', 'ITGB4', 'ITGA1', 'PKP2', 'TCF7L2', 'ITGB5', 'CACNA1D', 'CACNA2D1', 'CACNB2', 'ACTN4', 'CTNNA1', 'ACTG1', 'DSP', 'SGCD', 'SLC8A1', 'LEF1']
KEGG_THYROID_CANCER	1	0.2111327869639566	1.4047713263262604	1.0	70.43	['CCND1', 'MYC', 'MAP2K1', 'PAX8', 'NRAS', 'TPR', 'RXRG', 'TCF7', 'CTNNB1', 'MAPK1', 'CDH1', 'CCDC6', 'RXRB', 'PPARG', 'MAP2K2', 'RXRA', 'TCF7L1', 'TP53', 'HRAS', 'MAPK3', 'NCOA4', 'BRAF', 'TCF7L2', 'TFG', 'TPM3', 'LEF1']
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	0.2092458284652946	1.4107319108479017	1.0	25.06	['B3GAT3', 'B3GAT2', 'EXT1', 'GLCE', 'NDST2', 'HS2ST1', 'EXT2', 'EXTL2', 'B3GALT6', 'HS3ST5', 'XYLT2']
KEGG_COLORECTAL_CANCER	1	0.2084786529910116	1.4148678550805065	1.0	67.8	['AKT1', 'JUN', 'TGFB3', 'PIK3R3', 'CCND1', 'MYC', 'MAP2K1', 'PIK3CA', 'CASP9', 'SMAD3', 'RAC1', 'TGFB1', 'MAPK8', 'TCF7', 'PIK3CB', 'ARAF', 'LEF1', 'BAD', 'CASP3', 'BAX', 'SMAD2', 'CTNNB1', 'APPL1', 'MAPK1', 'APC', 'RALGDS', 'GSK3B', 'MSH2', 'RAF1', 'TCF7L1', 'TP53', 'PIK3R2', 'MSH6', 'PIK3CD', 'TGFBR1', 'MAPK3', 'MSH3', 'TCF7L2', 'BRAF', 'BCL2', 'SMAD4', 'MLH1', 'TGFBR2', 'AKT2', 'PIK3R1', 'AXIN1', 'RHOA', 'MAPK9', 'PIK3CG', 'BIRC5']
