pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_REGULATION_OF_LEUKOCYTE_MEDIATED_CYTOTOXICITY	1	0.24989376175691116	1.5204035082555865	1.0	75.89	['IL23A', 'HLA-A', 'F2RL1', 'AZGP1', 'PVR', 'KLRC4-KLRK1', 'NOS2', 'HLA-G', 'RIPK3', 'CD1D', 'STAP1', 'CD1E', 'LILRB1', 'NCKAP1L', 'CADM1', 'CEACAM1', 'B2M', 'AGER', 'KLRC1', 'SERPINB4', 'PTPRC', 'KLRD1', 'XCL1', 'MR1', 'NCR3', 'HLA-B', 'FADD', 'ARRB2', 'RAET1E', 'FCGR2B', 'CRTAM', 'KLRC3', 'CD1B', 'HAVCR2', 'DNASE1', 'ICAM1', 'MICA', 'CXCL6', 'KLRC2', 'SLAMF6', 'SERPINB9', 'KLRC4', 'GFER', 'CD1A', 'RASGRP1', 'LGALS9', 'LAG3', 'HLA-DRB1', 'TYROBP', 'PIK3R6', 'P2RX7', 'IL12RB1', 'CX3CR1', 'HLA-H', 'ITGAM', 'HLA-DRA', 'SPI1', 'VAV1', 'CD226', 'IL12A', 'KIR2DL4', 'SH2D1A', 'HLA-E', 'KLRK1', 'IL7R', 'HLA-F', 'CD1C', 'DNASE1L3']
GOBP_CYCLIC_NUCLEOTIDE_MEDIATED_SIGNALING	1	0.24974802094993268	1.5208493045055034	1.0	23.8	['FFAR4', 'ADGRG6', 'PDE3B', 'ADM', 'CD36', 'AKAP6', 'EDNRB', 'GPR3', 'PDE7B', 'APLNR', 'NPPA', 'PDE4D', 'RASD2', 'HTR2B', 'PDE2A', 'KSR1', 'PDE3A', 'ADCY1', 'SCTR', 'NPR1', 'ADCYAP1', 'SCT', 'AQP1']
GOBP_MYELOID_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	1	0.24951848117708203	-1.3105446495859716	1.0	66.5	['STXBP3', 'HMOX1', 'STXBP2', 'C12orf4', 'LAT2', 'F2RL1', 'SPHK2', 'BTK', 'PLCG2', 'PDPK1', 'PRAM1', 'SYK', 'CBL', 'SUCNR1', 'GRN', 'PTAFR', 'DOCK2', 'SNX4', 'IFI35', 'CCR2', 'FCER1G', 'VAMP8', 'SBNO2', 'SNAP23', 'TICAM1', 'IL4R', 'ITGB2', 'MYD88', 'PTGDS', 'RAC2', 'DNASE1', 'HAVCR2', 'PIK3CD', 'PLA2G3', 'SCNN1B', 'LYN', 'NMI', 'STXBP1', 'FES', 'LGALS9', 'RASGRP1', 'PYCARD', 'ADGRE2', 'TYROBP', 'TREX1', 'BLK', 'FGR', 'CX3CR1', 'DYSF', 'ITGAM', 'FER', 'LAT', 'SPI1', 'ADORA2B', 'PIK3CG', 'PRKCE', 'BCR', 'VAMP2', 'RABGEF1', 'PTPN6', 'SNX6', 'MILR1', 'LBP', 'UNC13D', 'STX4', 'S100A13', 'VAMP3']
GOBP_BRANCHING_INVOLVED_IN_LABYRINTHINE_LAYER_MORPHOGENESIS	1	0.24949748655952478	-1.3104820161519124	1.0	52.52	['GRB2', 'SOCS3', 'ST14', 'FZD5', 'SPINT2', 'FGFR2', 'IL10', 'SPINT1', 'TMED2', 'GRHL2']
GOBP_NEGATIVE_REGULATION_OF_ADENYLATE_CYCLASE_ACTIVATING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	1	0.24893372022562724	-1.3112511028577796	1.0	42.12	['MRAP', 'ARRDC3', 'PDE4B', 'OPRL1', 'GNAI2', 'CRTC3', 'ATP2B4']
GOBP_MACROPHAGE_CHEMOTAXIS	1	0.24891892773875748	1.522289621444839	1.0	60.96	['CKLF', 'LGALS3', 'SLAMF8', 'DDT', 'STAP1', 'EDNRB', 'PTK2', 'C5', 'CSF1R', 'EDN2', 'THBS1', 'MIF', 'AZU1', 'SFTPD', 'C5AR1', 'C3AR1', 'SLAMF1', 'CSF1', 'TRPV4', 'CMKLR1', 'CCL2', 'CCL3', 'IL34', 'CXCL17', 'SAA1', 'MMP28', 'MDK', 'RARRES2', 'CCL5']
GOBP_POSITIVE_REGULATION_OF_DNA_DEPENDENT_DNA_REPLICATION	1	0.24878622756914542	-1.3114886444862117	1.0	49.54	['CDT1', 'WIZ', 'E2F7', 'CIZ1', 'DBF4B', 'CDK2', 'CDC7', 'INO80', 'ATRX', 'DBF4', 'SSBP1']
GOBP_AMINE_TRANSPORT	1	0.24857769366102112	1.522254566524061	1.0	53.9	['P2RY1', 'OXTR', 'SYT8', 'ADORA2A', 'ARL6IP1', 'ACE2', 'CNR1', 'SYT13', 'SV2A', 'SLC6A1', 'SYT1', 'ADRA2A', 'TACR2', 'SLC43A1', 'SYT12', 'RGS2', 'OPRK1', 'SYT3', 'CXCL12', 'SNCA', 'SYT11', 'ATP1A2', 'RAB3A', 'RGS4', 'TNF', 'AGT', 'AQP9', 'SYT7', 'RHCG', 'SLC38A3', 'OXT', 'DDC', 'P2RX7', 'SYT2', 'DRD1', 'ADRA2C', 'DRD4', 'SNCG', 'SYT15', 'RAB3B', 'ADORA3', 'KMO', 'AVPR1A']
GOBP_NEGATIVE_REGULATION_OF_LEUKOCYTE_ADHESION_TO_VASCULAR_ENDOTHELIAL_CELL	1	0.24780164150418416	1.5235285425346492	1.0	49.54	['CXCL12', 'KLF4', 'CCL21', 'MIR221', 'MIR141', 'CCL28']
GOBP_CELLULAR_RESPONSE_TO_COPPER_ION	1	0.24776334845151965	1.5239052926652783	1.0	38.52	['MT1M', 'MT1H', 'MT1X', 'MT3', 'MT1B', 'MAP1LC3A', 'SNCA', 'MT1F', 'MT1DP', 'AOC1', 'MT1G', 'MT1E', 'MT1A', 'AQP1', 'MT2A']
