pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_PHENOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	1	0.24988639111280234	1.5302619579861474	1.0	22.92	['WNT5A', 'GPR37', 'NR4A2', 'HDC', 'DBH', 'SNCA', 'TGFB2', 'GCH1', 'KL', 'MOXD1', 'OPN3', 'CITED1', 'SLC7A11', 'PAH', 'GATA3', 'DDC']
GOBP_ODONTOGENESIS	1	0.24978792764843008	1.5314622226618804	1.0	68.99	['TGFB3', 'DMRT3', 'LRP4', 'LAMB1', 'TCIRG1', 'RSPO2', 'TNFRSF11B', 'ENAM', 'SOSTDC1', 'COL1A1', 'PERP', 'ROGDI', 'GLI3', 'SHH', 'KLK5', 'OSR2', 'PAX9', 'PHEX', 'SNX10', 'WNT10A', 'BMP2', 'ID3', 'MSX2', 'ODAM', 'SMO', 'ACVR2A', 'EDAR', 'COL1A2', 'RUNX2', 'APCDD1', 'BMP4', 'TWIST1', 'EDN1', 'JAG2', 'CFTR', 'HDAC1', 'DLX3', 'TFAP2A', 'TNFSF11', 'OSR1', 'SMPD3', 'ADM', 'FAM20C', 'AQP5', 'BMP7', 'CD34', 'NGFR', 'GLI2', 'STIM1', 'AQP3', 'GATA6', 'FST', 'ASPN', 'CSF1', 'INHBA', 'AXIN2', 'CCDC154', 'PITX2', 'SLC4A2', 'RHOA', 'ADAMTS5', 'LEF1', 'BCL11B', 'FGFR2', 'AQP1', 'NF2', 'SERPINE1', 'RELT', 'HTRA1', 'CEMP1', 'TGFB2', 'TBX1', 'EDA', 'MSX1', 'FOXC1', 'ITGB6', 'PDGFRA', 'BGLAP', 'SP6', 'ALPL', 'ANKRD11', 'LAMA5', 'PAM', 'CTNNA1', 'WDR72']
GOBP_REGULATION_OF_ATRIAL_CARDIAC_MUSCLE_CELL_MEMBRANE_DEPOLARIZATION	1	0.24960000276485747	1.5313507032979603	1.0	45.42	['TBX5', 'SCN1B', 'SCN2B', 'GJA5', 'GJA1']
GOBP_PENILE_ERECTION	1	0.24947669308536977	1.5309088184346586	1.0	57.31	['P2RY1', 'OXTR', 'ACVR2A', 'CNR1', 'ADA', 'VGF', 'EDNRB', 'AVPR1A', 'OXT']
GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS	1	0.2493106134312067	1.5313264344083841	1.0	22.78	['LHB', 'AKR1C3', 'ADM', 'BMP5', 'AKR1C2', 'DHRS2', 'BMP2', 'BMP6', 'AKR1C4', 'AKR1C1', 'EDNRB', 'DHRS9', 'WNT4']
GOBP_POSITIVE_REGULATION_OF_ANIMAL_ORGAN_MORPHOGENESIS	1	0.24922824438248647	1.5322421518597886	1.0	38.34	['WNT5A', 'HOXA11', 'GATA5', 'BMP2', 'WNT11', 'SIX1', 'NGFR', 'DKK1', 'AR', 'ROBO2', 'BMP4', 'GATA3', 'WNT4', 'MESP1', 'WNT3A', 'HOXC11', 'WNT2', 'FGF2', 'FGF1']
GOBP_PLASMA_MEMBRANE_RAFT_ASSEMBLY	1	0.2487805739579845	-1.3598711527969718	1.0	51.66	['PACSIN2', 'FLOT1', 'EMP2', 'CAV1', 'CAV2']
GOBP_POSITIVE_REGULATION_OF_CELL_KILLING	1	0.24876276975317457	1.532906986835528	1.0	60.09	['STX7', 'FCER2', 'F2RL1', 'AZGP1', 'KLRC4-KLRK1', 'NOS2', 'HLA-G', 'CD1D', 'STAP1', 'CD1E', 'SYK', 'CADM1', 'B2M', 'PTPRC', 'KLRD1', 'XCL1', 'NCR3', 'HLA-B', 'CLEC7A', 'RAET1E', 'CRTAM', 'PRF1', 'KLRC3', 'CD1B', 'KLRC2', 'SLAMF6', 'KLRC4', 'RASGRP1', 'LAG3', 'HLA-DRB1', 'TYROBP', 'P2RX7', 'IL12RB1', 'HLA-H', 'ITGAM', 'HLA-DRA', 'SPI1', 'VAV1', 'CD226', 'IL12A', 'IFNG', 'SH2D1A', 'KLRK1', 'CD1C']
GOBP_PEPTIDYL_DIPHTHAMIDE_BIOSYNTHETIC_PROCESS_FROM_PEPTIDYL_HISTIDINE	1	0.248746345377325	-1.3597705262428863	1.0	36.39	['DPH6', 'DNAJC24', 'DPH3', 'DPH2', 'DPH7', 'DPH1']
GOBP_CALCIUM_ION_TRANSPORT_INTO_CYTOSOL	1	0.24839300038434917	1.5335140066573096	1.0	62.95	['TMEM38B', 'PLA2G1B', 'LCK', 'PRKD1', 'UBASH3B', 'JPH3', 'TRPC1', 'CCR5', 'PLCG2', 'SRI', 'THY1', 'P2RX2', 'SNCA', 'CD19', 'PRNP', 'CXCL9', 'CACNA1C', 'PLN', 'PDE4D', 'CCR7', 'F2R', 'BCL2', 'TPCN1', 'CACNA2D1', 'DRD1', 'CCL3', 'CHD7', 'XCR1', 'P2RX1', 'GP1BA', 'CX3CL1', 'CAPN3', 'FYN', 'CEMIP', 'ATP1A2', 'CLIC2', 'CCL19', 'ERO1A', 'TRPV1', 'DDIT3', 'P2RY6', 'FKBP1A', 'CCL21', 'F2RL3', 'FGF2', 'GP1BB', 'DMD', 'JPH1', 'BDKRB1', 'MIR93', 'JPH2', 'CAV1', 'TPCN2', 'GPER1', 'GRIN2D', 'MCOLN3', 'PTPRC', 'RAMP3', 'TRPV2', 'HRC', 'TRPM2', 'GRIN1', 'LIME1', 'TRPA1', 'ITPR1', 'P2RX7', 'BAK1', 'PTPN6', 'SLC8A1', 'CXCL11', 'P2RX5', 'CXCL10', 'MCOLN2', 'JPH4', 'NOL3', 'PTK2B', 'AKAP6', 'MS4A1', 'CYBA', 'APLNR', 'CASQ2', 'ANK2', 'XCL1', 'GSTO1', 'CORO1A', 'HTR2B', 'TMEM38A', 'FKBP1B', 'LETM1', 'TRPV4', 'FASLG', 'RYR1']
