pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_UBIQUITIN_DEPENDENT_SMAD_PROTEIN_CATABOLIC_PROCESS	1	0.24961999632774665	-1.371594537030066	1.0	50.83	['STUB1', 'RNF111', 'SMURF1', 'SMURF2', 'TGFB1I1']
GOBP_PYRIMIDINE_NUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS	1	0.24917854980673862	-1.3721420928502333	1.0	30.36	['UPP1', 'NT5C', 'TYMP', 'DPYD']
GOBP_DETOXIFICATION_OF_COPPER_ION	1	0.2486598566141913	1.6411494638577562	1.0	46.9	['MT1G', 'MT1DP', 'MT3', 'MT1E', 'MT1F', 'MT1B', 'MT1M', 'MT1X', 'MT1A', 'MT2A', 'MT1H']
GOBP_POSITIVE_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS	1	0.24831330927708478	-1.373220770676416	1.0	50.29	['SMAD4', 'RBPJ', 'PIM1', 'BMP4', 'SOX9']
GOBP_PLASMA_MEMBRANE_REPAIR	1	0.24829972558380878	-1.3734633746322196	1.0	27.16	['CHMP2B', 'CHMP5', 'CHMP6', 'ANXA6', 'CHMP4B', 'CHMP1A', 'CHMP7', 'CHMP3', 'ARL8B', 'SYT11', 'MYOF']
GOBP_POSITIVE_REGULATION_OF_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT	1	0.2482903345587781	-1.3731209915531988	1.0	18.82	['OCIAD1', 'TYK2', 'IL23A', 'IL10', 'ADIPOR1', 'JAK2', 'CRLF3', 'TGFB1', 'PIBF1', 'PTK2B', 'IL10RB', 'OCIAD2', 'IL6R']
GOBP_REGULATION_OF_CELL_DIFFERENTIATION	1	0.24824294127677035	-1.3734155818446605	1.0	44.77	['MED1', 'CDC42', 'BCL9L', 'DDX17', 'VHL', 'NEPRO', 'SMAP1', 'METRNL', 'GPR137', 'SEMA4G', 'CLASP1', 'TEAD2', 'NR1D2', 'PLXND1', 'GPS2', 'MAP6', 'KAT2A', 'PRELID1', 'PIEZO1', 'MAPK12', 'HDAC6', 'CLASP2', 'REST', 'FAIM', 'TRIP4', 'EIF4ENIF1', 'HDAC5', 'VEZF1', 'CARM1', 'AXL', 'FEZF1', 'STK11', 'FAM210B', 'SEMA4C', 'RAPGEF2', 'STAT3', 'GRHL2', 'TESK1', 'OLFM1', 'PTBP1', 'MTOR', 'PIK3R6', 'ARRB2', 'TRIOBP', 'INPP5D', 'SEMA3F', 'BMPR1B', 'CCR2', 'NBR1', 'EID2B', 'CLIC1', 'MORF4L2', 'GLG1', 'DOCK1', 'ESRP1', 'TGFBR1', 'TRPV2', 'FBXO5', 'CSF1', 'ACIN1', 'PTPN6', 'CCR1', 'PTPN2', 'SMAD3', 'IL4I1', 'YWHAH', 'NF1', 'JUNB', 'SLAMF8', 'SPRY4', 'TGFBR2', 'N4BP2L2', 'RARG', 'LIMK1', 'DNMT1', 'CNOT4', 'CREB1', 'TRPV1', 'HMG20A', 'EIF4G2', 'DIP2B', 'UBASH3B', 'PRKCA', 'YBX1', 'TRIM11', 'CUL4A', 'CPNE1', 'LDB1', 'ANXA1', 'RNF41', 'DMPK', 'PARP2', 'NOTCH3', 'HDAC1', 'ROBO1', 'LOXL2', 'TGIF2', 'ACVR1B', 'KLF7', 'AKT1', 'MBOAT2', 'SMAD7', 'SYAP1', 'TAF8', 'DLK2', 'IL6R', 'RPS6KA1', 'FOXO4', 'RAP1A', 'RAF1', 'DDX5', 'ATP11A', 'LEO1', 'PTGS2', 'TP63', 'SPRY1', 'PRUNE1', 'MTCH2', 'CARD11', 'ADD1', 'COL1A1', 'PWP1', 'FOXP1', 'IST1', 'MEN1', 'ZMIZ1', 'STAT5B', 'PCID2', 'XKR8', 'PPP3CA', 'HAX1', 'ACTN4', 'SOS1', 'SH3RF1', 'DAB2', 'RIPK1', 'NFE2L2', 'SYNGAP1', 'RARB', 'PUS7', 'APC', 'BTG1', 'ZBTB1', 'AP3B1', 'RBFOX2', 'EIF2AK4', 'VDR', 'AP1AR', 'DAB2IP', 'YTHDF2', 'ZBTB7B', 'ADAM8', 'RBPJ', 'KEAP1', 'NTRK2', 'GDI1', 'SEMA4D', 'PRPF19', 'NDFIP1', 'KAT7', 'CYFIP1', 'GPR37L1', 'EIF6', 'CD80', 'TWF2', 'NUMB', 'GDF11', 'CCDC71L', 'INSIG1', 'MEX3C', 'NFATC2', 'SPRED3', 'HOXA2', 'CDK12', 'IL7', 'BMP7', 'LIMS1', 'RAB7B', 'SUPT6H', 'ATAT1', 'MAPK14', 'RCOR1', 'EIF4E', 'RHEB', 'GNA11', 'POFUT2', 'EPHB2', 'FN1', 'DISC1', 'TGFB1', 'MMD', 'CLCF1', 'JUND', 'CYB5D2', 'PRKDC', 'BTK', 'EFNA1', 'XRCC5', 'TGFB3', 'MYADM', 'SMAD1', 'PRMT6', 'AP3D1', 'NPHP3', 'BLOC1S5', 'DYNLT1', 'SMAD6', 'FBXO31', 'SOD1', 'CD46', 'ARPC2', 'CDKL3', 'RAG1', 'S1PR2', 'LBH', 'RFLNA', 'IL18', 'HDAC3', 'LTBP3', 'ARHGEF2', 'S1PR5', 'LRRC8A', 'MIR573', 'MIR590', 'POR', 'CALR', 'TACSTD2', 'FUZ', 'DAB1', 'TCTA', 'RBM4', 'RHOA', 'HIF1AN', 'WWTR1', 'GDPD5', 'KLF5', 'SIRT2', 'CREBL2', 'MBNL3', 'FNIP1', 'ACVR1', 'JAK2', 'CRK', 'HLA-G', 'SLC9B2', 'CAMK1', 'SIN3A', 'GCNT2', 'SEMA4B', 'ARMCX5-GPRASP2', 'GORASP1', 'METTL14', 'RCC2', 'GDF5', 'BLOC1S6', 'BAD', 'RTN4', 'AXIN1', 'BHLHE41', 'NFKBIZ', 'SOD2', 'LRP8', 'ROCK2', 'LGALS12', 'RASGRP1', 'NKAP', 'RAC1', 'TLR2', 'TCFL5', 'IRF7', 'GPR137B', 'ZNF335', 'PPP1CC', 'ZFHX2', 'ANKRD17', 'NAPEPLD', 'CDK5RAP3', 'BMPR1A', 'BMPR2', 'DAG1', 'HEY2', 'RIN2', 'CUL7', 'PPARA', 'CD83', 'UQCC2', 'RB1', 'NPTN', 'ZFP36', 'JAK3', 'TGM2', 'MELTF', 'IL15RA', 'EPHB1', 'ZFHX3', 'CLPTM1', 'BRD1', 'DMTN', 'ZFP36L1', 'FZD7', 'FBXW8', 'HEYL', 'YY1', 'TOMM70', 'XDH', 'SART1', 'TNFRSF21', 'NFKBID', 'PTPRS', 'TCIRG1', 'SPRY2', 'RBM15', 'PLXNC1', 'HES1', 'EID1', 'KDM3A', 'CX3CL1', 'SPEN', 'ABCB10', 'PLEKHB1', 'SS18L2', 'SRF', 'BCL6', 'PSEN1', 'LDLR', 'TARBP2', 'EIF2AK2', 'DROSHA', 'KLF10', 'TMEM98', 'XRCC6', 'ACTR2', 'CTDSP1', 'RIPK2', 'GBP1', 'CCND1', 'PARP6', 'NELFB', 'LRP5', 'SOS2', 'C1QBP', 'SIX4', 'NBL1', 'CTNNA1', 'CD86', 'APPL2', 'CSNK1D', 'P4HB', 'THY1', 'CORO1C', 'DPF2', 'HCLS1', 'NAP1L1', 'BTN2A2', 'SYNJ1', 'ZNF385A', 'NTF4', 'TCF3', 'IL1RL2', 'SOX6', 'TP73', 'CDS1', 'P4HTM', 'ARHGAP4', 'ZBED2', 'TOB2', 'EFEMP2', 'ZFP36L2', 'SRRT', 'TP53', 'FGF2', 'COL5A1', 'CDC73', 'DAAM2', 'GSK3A', 'SEMA3B', 'NDEL1', 'TRIB2', 'NLRP3', 'ATRAID', 'IQCB1', 'NME2', 'CDK9', 'RAB11A', 'TGFB1I1', 'NLN', 'ARHGEF7', 'SRSF6', 'TBX19', 'NOTCH1', 'BOC', 'IL1B', 'EREG', 'IL7R', 'LGALS9', 'TRAF6', 'XRCC2', 'SGPP1', 'PLXNB2', 'SUFU', 'RIOX1', 'TNFRSF1B', 'STK3', 'ZBTB46', 'ENG', 'PHLDB1', 'IFITM1', 'BIRC2', 'TRPV4', 'TMEM176B', 'TUG1', 'RUNX1', 'RNF10', 'SUZ12', 'PTPN11', 'ADGRA2', 'MALT1', 'IKBKB', 'GFAP', 'RREB1', 'SKI', 'CLEC7A', 'TNFSF4', 'TLR3', 'EGR2', 'SUCO', 'MAML1', 'NFKB1', 'ULK1', 'SEMA6C', 'PRKACA', 'STK25', 'EMP2', 'HOXD3', 'MCRIP1', 'EFNB2', 'HDAC7', 'PPP2R1A', 'FBXO7', 'SNW1', 'CDK5RAP1', 'PPP2CA', 'BIN1', 'RTN4R', 'FANCA', 'S100A10', 'FBLN1', 'PRKCZ', 'HOOK3', 'EGFR', 'ABL1', 'SMYD5', 'FOXJ2', 'ST7', 'CTNNBIP1', 'MYC', 'FLNA', 'USF3', 'NIN', 'ZC3H8', 'FLOT2', 'OLFM2', 'CUX1', 'KCTD11', 'NAP1L2', 'WDR1', 'HPN', 'ADIPOR1', 'ZBED6', 'SOX13', 'IRF1', 'KDM1A', 'MMP14', 'PDCD2', 'BAIAP2', 'TCF7L2', 'HLA-B', 'GABPA', 'JDP2', 'PER2', 'SPRED1', 'ITCH', 'SPINK5', 'PRMT1', 'HMGB1', 'UNC13D', 'GRN', 'NR1H3', 'HSF1', 'CTNNB1', 'NKX2-1', 'TIAM2', 'FLCN', 'SEMA4A', 'EIF4G1', 'TBX3', 'EEF2K', 'IL23A', 'LGALS3', 'MED28', 'NRP1', 'PREX1', 'ERBB2', 'B2M', 'DOCK7', 'DDX6', 'UFL1', 'NR1H2', 'PLXNA1', 'ARNT', 'ZFYVE27', 'IL4R', 'TYROBP', 'HMG20B', 'F11R', 'NCOA1', 'RPS6KA3', 'DUSP10', 'NUMA1', 'SAV1', 'FADD', 'RYK', 'TRIB1', 'SETD1A', 'PIM1', 'RARA', 'KDF1', 'YAP1', 'PA2G4', 'SEMA4F', 'ROCK1', 'ALOX5', 'PAFAH1B1', 'ADNP', 'AHI1', 'ILK', 'RFLNB', 'KDM4A', 'IL10', 'SOCS5', 'AKIRIN1', 'HNRNPU', 'IL15', 'NUMBL', 'ITGB1BP1', 'PIAS3', 'PDCD4', 'LOXL3', 'PLEKHB2', 'MAP3K13', 'SIRT1', 'CASP8', 'TFE3', 'CAV1', 'STAT1', 'FBXW7', 'TCF12', 'HOXA7', 'NOTCH2', 'HLA-DOA', 'ASXL1', 'PITHD1', 'TNFRSF1A', 'LYN', 'PPP1R13L', 'SRA1', 'RC3H1', 'PRDM6', 'LRRC17', 'BHLHE40', 'PTK2B', 'CTR9', 'WDR61', 'SETD3', 'RUNX3', 'SHTN1', 'LRP4', 'RRAS', 'PAF1', 'CERS2', 'ADA', 'SYK', 'OCIAD1', 'TENM4', 'MAP3K5', 'BHLHB9', 'LMO3', 'FES', 'RC3H2', 'IL12RB1', 'CASZ1', 'CBFB', 'ASXL2', 'SOX9', 'CAPRIN1', 'VCL', 'EDN1', 'SPINT1', 'PCM1', 'SDHAF2', 'BBS12', 'DNM2', 'AMBRA1', 'PPARD', 'FAM20C', 'BRINP1', 'RORC', 'RGS14', 'ULK2', 'ZNF268', 'SMARCD3', 'CEACAM1']
GOBP_NEUROTRANSMITTER_TRANSPORT	1	0.24814923921392304	1.6429646385831314	1.0	19.59	['WNT7A', 'NR4A1', 'TACR2', 'SLC28A2', 'CPLX2', 'LIN7A', 'PCLO', 'SLC1A1', 'GRIK5', 'SLC1A3', 'SNAP29', 'SNCG', 'GPM6B', 'PFN2', 'KCNMB4', 'CSPG5', 'ADCY1', 'CACNB2', 'SLC29A4', 'DOC2B', 'P2RY1', 'CLN8', 'PTPRN2', 'DNAJC5', 'RIMS2', 'PRKCB', 'SYT1', 'KMO', 'SYN1', 'SNAP25', 'LRRK2', 'ADRA2A', 'ICA1', 'ASIC1', 'SLC22A3', 'RAB3A', 'RIMS4', 'SLC38A1', 'ATP1A2', 'SLC6A4', 'DDC', 'SLC38A2', 'SLC6A8', 'CHRNA5', 'SNCA']
GOBP_VITAMIN_TRANSMEMBRANE_TRANSPORT	1	0.2480555319358769	-1.3739518111579665	1.0	43.3	['FOLR2', 'SCARB1', 'ABCC5', 'SLC23A2', 'SLC27A1', 'SLC46A1', 'SLC19A1', 'SLC5A6', 'FOLR1', 'SLC25A32', 'SLC25A19', 'SLC44A4']
GOBP_MEIOTIC_CYTOKINESIS	1	0.24802174186311682	-1.3738607447004803	1.0	30.02	['WASHC5', 'ACTR2', 'SPIRE2', 'ACTR3']
