pathway	freq	padj	stability	overlap	genes
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	1	8.475287007157234e-11	1.0	0.18292682926829268	{'OAS2;IFI44L;MAP3K14;RNF135;TICAM1;TRIM13;IFITM3;DHX58;TRIM34;APOBEC3F;PLSCR1;TTC4;MX2;RSAD2;IFIT3;MYD88;PML;RELA;NLRP1;FADD;IRF9;MOV10;MICA;PYCARD;IFITM1;OAS1;DDX58;IFNAR2;IFITM2;IL10RB;DDX60;IRF1;IFIH1;BIRC2;MX1;SLFN13;TRIM8;IFI27;IFIT5;TRIM21;IRF2;IL1B;PARP9;OAS3;PQBP1'}
GOBP_RESPONSE_TO_VIRUS	1	8.475287007157234e-11	1.0	0.16119402985074627	{'OAS2;IFI44L;MAP3K14;RNF135;TICAM1;TRIM13;IFITM3;BANF1;DHX58;EXT1;TRIM34;GTF2F1;IKBKB;APOBEC3F;PLSCR1;TTC4;MX2;IFI44;RSAD2;IFIT3;MYD88;PML;RELA;NLRP1;IRF9;FADD;MOV10;MICA;PYCARD;IFITM1;OAS1;SMAD3;IFNAR2;DDX58;IFITM2;DDX60;IL10RB;LGALS9;IRF1;IFIH1;BIRC2;MX1;SLFN13;IFI27;AUP1;TRIM8;TRIM21;IFIT5;IRF2;IL1B;PARP9;NMI;OAS3;PQBP1'}
GOBP_INNATE_IMMUNE_RESPONSE	1	2.7620806372529654e-09	1.0	0.11468531468531469	{'RNF135;ALPK1;IFITM3;CD47;IKBKB;COCH;TIFA;MX2;RSAD2;NR1H3;NLRP2;ELF4;NLRP1;RELB;PYCARD;CDC42EP4;ADAM8;IFITM1;FBXO9;PAK1;ARID5A;CASP4;APPL2;DHX58;PLSCR1;NUB1;RNASET2;CHID1;FADD;HLA-E;OAS1;ECSIT;DDX58;NR1H2;SERPINB9;HLA-A;NOD2;BIRC2;PARP9;OAS2;IL1RL2;BANF1;TTC4;IFIT3;ASS1;RELA;SP100;LYN;CALCOCO2;CXCL16;IFI35;IFNAR2;PARP14;IFITM2;TRIM8;MR1;GSDMD;TICAM1;TRIM13;CASP1;TRIM34;CD58;APOBEC3F;BCL10;MYD88;PML;MICA;SLC15A4;DDX60;LGALS9;CLDN1;IRF1;IFIH1;MX1;IFI27;TRIM21;IFIT5;C1RL;TRAFD1;NMI;OAS3;PQBP1'}
GOBP_PROTEOLYSIS	1	2.7620806372529654e-09	1.0	0.09175531914893617	{'TNFAIP8;CUL4A;CTSO;RNF149;SPINK2;CDC16;GBA;NR1H3;ARL6IP5;UBXN6;NLRP2;IMMP2L;PSMC2;NLRP1;HTRA2;PYCARD;ADAM8;DNAJB12;CLPP;FBXO9;UBA3;RHBDL2;PSMB4;EDEM2;FBXO8;AUP1;CASP4;PSMD4;FAS;FOLH1;SERPINB1;RNF167;CPS1;VPS28;UBE2L6;CAMLG;EPHA7;NUB1;FBXL20;UBXN2A;FBXO17;DNAJB2;SUPT20H;TRIAP1;FADD;BAD;PMPCB;PSMA3;TNFSF10;BFAR;NR1H2;SERPINB9;PSMC5;PLAT;TAF12;ANAPC5;BIRC2;ZFAND2B;AGBL3;NEMF;FBXL2;APH1A;FBXO4;NCLN;KCTD13;RNFT1;RPL11;FBXL12;TNIP1;SPCS1;TGFB1;OTUB1;TANK;SPCS2;CRYAB;CARD16;LYN;RNF7;PSMD13;QPCTL;AMZ2;PCID2;FBXO6;KEAP1;METAP1D;PSMD9;RAD23A;UBAC2;SMAD3;HFE;AMN1;COPS6;FBXO44;TIMP2;BID;TMUB2;PSMB1;MAN1B1;MVB12A;CTSB;CASP1;TRIM13;LTA4H;SERPINB6;RFFL;SIRT4;UBE2A;PRCP;KLHDC2;MINDY1;BCL10;PSMD3;UBE2D3;DERL2;PML;FIS1;PSMA5;KAT5;NTAN1;RNF114;LGALS9;UBE2B;FHIT;XDH;CHMP6;IFI27;TRIM21;PSMC3;UBE2Z;OTUD5;C1RL;IL1B;UBA7;DNPEP;FAM8A1;SCPEP1;ERLEC1;ATXN3'}
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1	3.2111793558665823e-09	1.0	0.0972338642078793	{'CUL4A;CTSO;RNF149;CDC16;GBA;UBXN6;PSMC2;HTRA2;ADAM8;DNAJB12;CLPP;FBXO9;SLFN13;PSMB4;EDEM2;AUP1;FBXO8;PSMD4;NT5C3B;GFAP;RNF167;VPS28;UBE2L6;CNOT8;CAMLG;NUB1;FBXL20;UBXN2A;FBXO17;RNASET2;DNAJB2;MOV10;PSMA3;BFAR;TMEM9;PSMC5;OAZ2;CEMIP;ANAPC5;RNASEH2B;BIRC2;ZFAND2B;NEMF;YBX3;FBXL2;OAS2;UVRAG;FBXO4;KCTD13;RNFT1;RPL11;FBXL12;FASTKD3;TGFB1;PNRC2;UPF3A;RELA;RNF7;PSMD13;PCID2;KEAP1;FBXO6;PPP1CA;RAD23A;UBAC2;PSMD9;SMAD3;DNASE2;HFE;AMN1;FBXO44;TIMP2;TMUB2;TRDMT1;ZDHHC2;PSMB1;MAN1B1;MVB12A;TRIM13;CTSB;NBDY;SEC22B;EXT1;RFFL;UBE2A;DCPS;KLHDC2;DIS3L;PSMD3;EXOSC10;DERL2;UBE2D3;MYD88;PML;PARN;CDH1;LRP2;ZFP36L1;PSMA5;KAT5;NTAN1;RNF114;RNASEH2C;STX5;RBM7;UBE2B;FHIT;CHMP6;IFI27;UBE2Z;PSMC3;FAM8A1;IL1B;UBA7;ERLEC1;ATXN3'}
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	1	3.2111793558665823e-09	1.0	0.10602678571428571	{'RNF135;ALPK1;IFITM3;CD47;IKBKB;COCH;TIFA;MX2;RSAD2;NR1H3;NLRP2;ELF4;NLRP1;RELB;PYCARD;CDC42EP4;ADAM8;IFITM1;IL4R;FBXO9;SLFN13;PAK1;ARID5A;CASP4;IRF2;IFI44L;MAP3K14;APPL2;BATF2;DHX58;PLSCR1;NUB1;RNASET2;CHID1;FADD;HLA-E;MOV10;OAS1;ECSIT;DDX58;NR1H2;SERPINB9;HLA-A;NOD2;BIRC2;COTL1;RBPJ;PARP9;OAS2;IL1RL2;BANF1;TTC4;IFIT3;ASS1;RELA;IL27RA;SP100;LYN;CALCOCO2;CXCL16;IRF9;IFI35;IFNAR2;PARP14;IFITM2;IL10RB;TRIM8;MR1;GSDMD;TICAM1;TRIM13;CASP1;TRIM34;CD58;APOBEC3F;BCL10;MYD88;PML;MICA;SLC15A4;DDX60;LGALS9;CLDN1;IRF1;IFIH1;MX1;IFI27;IFIT5;TRIM21;C1RL;IL1B;TRAFD1;NMI;OAS3;PQBP1'}
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1	7.783615506268195e-09	1.0	0.09599332220367279	{'CUL4A;CTSO;RNF149;CDC16;GBA;UBXN6;PIPOX;PSMC2;HTRA2;OGG1;ADAM8;DNAJB12;CLPP;FBXO9;PSMB4;EDEM2;AUP1;FBXO8;PSMD4;HYKK;PDE4A;SLC25A21;GFAP;RNF167;VPS28;UBE2L6;CAMLG;ATP2B4;NUB1;FBXL20;UBXN2A;SMPDL3A;FBXO17;DNAJB2;ACER3;PSMA3;BFAR;TMEM9;PSMC5;OAZ2;CEMIP;ANAPC5;BIRC2;ZFAND2B;BCKDK;DUT;NEMF;FBXL2;FBXO4;KCTD13;GLUL;RNFT1;RPL11;FBXL12;TGFB1;GGACT;COMT;RELA;RNF7;PSMD13;FBXO6;KEAP1;RAD23A;UBAC2;PSMD9;SMAD3;HFE;AMN1;FBXO44;TIMP2;GLDC;TMUB2;NAGK;ZDHHC2;PSMB1;NT5C2;MAN1B1;HMGCL;MVB12A;TRIM13;CTSB;LTA4H;SEC22B;EXT1;RFFL;APOBEC3F;UBE2A;KLHDC2;PSMD3;UBE2D3;DERL2;HNMT;PML;NUDT4;CDH1;LRP2;PSMA5;KAT5;NTAN1;RNF114;STX5;UBE2B;FHIT;XDH;CHMP6;IFI27;UBE2Z;PSMC3;FAM8A1;BCKDHA;IL1B;UBA7;SDSL;ERLEC1;ATXN3'}
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERSPECIES_INTERACTION_BETWEEN_ORGANISMS	1	4.641261366380116e-08	1.0	0.09084194977843427	{'CMPK2;ALPK1;RNF135;IFITM3;CD47;IKBKB;COCH;TIFA;MX2;RSAD2;NR1H3;NLRP2;ELF4;NLRP1;RELB;PYCARD;CDC42EP4;ADAM8;IFITM1;IL4R;FBXO9;SLFN13;PAK1;ARID5A;AUP1;CASP4;IRF2;IFI44L;MAP3K14;APPL2;BATF2;NECTIN1;DHX58;CPS1;GTF2F1;PLSCR1;NUB1;THOC7;RNASET2;CHID1;SLC52A1;FADD;MOV10;HLA-E;OAS1;ECSIT;DDX58;NR1H2;SERPINB9;NOD2;HLA-A;BIRC2;IRAK2;COTL1;RBPJ;PARP9;FBXL2;OAS2;UVRAG;IL1RL2;BANF1;TNIP1;TGFB1;OCIAD2;TTC4;IFI44;IFIT3;ASS1;CARD16;RELA;SP100;LYN;CALCOCO2;IL27RA;CXCL16;IRF9;FAM20A;IFI35;WDR83;SMAD3;IFNAR2;PARP14;IFITM2;IL10RB;TRIM8;MR1;GSDMD;MAPKAPK3;B2M;TICAM1;CTSB;CASP1;TRIM13;EXT1;TRIM34;CD58;APOBEC3F;BCL10;MYD88;PML;HERC6;MICA;SLC15A4;DDX60;EXOC7;LGALS9;CLDN1;IRF1;IFIH1;MX1;CHMP6;IFI27;IFIT5;PSMC3;TRIM21;OTUD5;C1RL;IL1B;TRAFD1;NMI;OAS3;PQBP1;LDOC1'}
GOBP_PROTEIN_CATABOLIC_PROCESS	1	1.1488350364715849e-07	1.0	0.10102156640181612	{'CUL4A;CTSO;RNF149;CDC16;GBA;UBXN6;PSMC2;HTRA2;ADAM8;DNAJB12;CLPP;FBXO9;PSMB4;EDEM2;AUP1;FBXO8;PSMD4;GFAP;RNF167;VPS28;UBE2L6;CAMLG;NUB1;FBXL20;UBXN2A;FBXO17;DNAJB2;PSMA3;BFAR;TMEM9;PSMC5;OAZ2;ANAPC5;BIRC2;ZFAND2B;NEMF;FBXL2;FBXO4;KCTD13;RNFT1;RPL11;FBXL12;RELA;RNF7;PSMD13;KEAP1;FBXO6;RAD23A;UBAC2;PSMD9;SMAD3;HFE;AMN1;FBXO44;TIMP2;TMUB2;ZDHHC2;PSMB1;MAN1B1;MVB12A;TRIM13;CTSB;SEC22B;EXT1;RFFL;UBE2A;KLHDC2;PSMD3;UBE2D3;DERL2;PML;CDH1;LRP2;PSMA5;KAT5;NTAN1;RNF114;STX5;UBE2B;FHIT;CHMP6;IFI27;UBE2Z;PSMC3;FAM8A1;IL1B;UBA7;ERLEC1;ATXN3'}
GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	1	3.730538787394197e-07	1.0	0.12173913043478261	{'MAN1B1;TRIM13;FBXO4;CUL4A;KCTD13;RNFT1;RPL11;FBXL12;RFFL;ERLEC1;CAMLG;UBE2A;NUB1;KLHDC2;FBXL20;CDC16;ATXN3;UBXN2A;GBA;UBXN6;FBXO17;UBE2D3;DNAJB2;DERL2;PML;PSMC2;PSMA3;BFAR;KEAP1;FBXO6;DNAJB12;RAD23A;UBAC2;PSMA5;KAT5;HFE;FBXO9;PSMC5;AMN1;ANAPC5;FBXO44;BIRC2;UBE2B;ZFAND2B;FHIT;PSMB4;EDEM2;IFI27;AUP1;PSMC3;TMUB2;PSMD4;FAM8A1;NEMF;FBXL2;PSMB1'}
