pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_PYRIMIDINE_NUCLEOTIDE_CATABOLIC_PROCESS	1	0.24986360968304616	-1.3467468383189158	1.0	43.69	['DUT', 'TDG', 'UNG', 'DCTPP1', 'MBD4', 'NEIL2', 'SMUG1', 'UPP1', 'TYMP', 'NT5C', 'OGG1', 'DPYD']
GOBP_POSITIVE_REGULATION_OF_CAMP_DEPENDENT_PROTEIN_KINASE_ACTIVITY	1	0.24941455399113774	-1.347591128315633	1.0	52.17	['SIRT1', 'ADRB2', 'SPATC1L', 'ATP2B4', 'RAPGEF2']
GOBP_POSITIVE_REGULATION_OF_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	1	0.24935105165004276	-1.3475472725366238	1.0	14.21	['PINK1', 'PPARA', 'ADORA2B', 'VCP', 'MYC', 'ENO1', 'SLC25A12']
GOBP_GLUTAMINE_METABOLIC_PROCESS	1	0.24929908590594424	-1.3473883748110456	1.0	26.68	['SIRT4', 'GFPT1', 'PFAS', 'GMPS', 'CAD', 'CTPS2', 'GLUD1', 'ASNSD1', 'GLUL', 'BLOC1S6', 'NIT2']
GOBP_PEPTIDYL_TYROSINE_MODIFICATION	1	0.24925586903947003	-1.3475351266283806	1.0	26.04	['TNK1', 'SEMA4D', 'PTPN4', 'CSK', 'PRNP', 'ARL2BP', 'CD80', 'MAP2K3', 'IL23A', 'IL7', 'NRP1', 'ERBB2', 'SCYL1', 'CD81', 'CHMP6', 'EPHB2', 'CBLB', 'TGFB1', 'TP53', 'CLCF1', 'ABL2', 'PARP14', 'ABI2', 'CBL', 'ERBB3', 'EPHA1', 'JAK1', 'MAP2K2', 'DVL2', 'DDR1', 'MTOR', 'ARRB2', 'TSG101', 'ARHGEF2', 'IL18', 'CNOT7', 'CSF1R', 'NOD2', 'SOCS5', 'MAP2K7', 'PTPN2', 'HIPK1', 'PAK2', 'BAZ1B', 'ACVR1', 'ADAM17', 'JAK2', 'PTPN11', 'SH3BP5L', 'LRP8', 'MAP2K4', 'TNFRSF1A', 'LYN', 'DUSP22', 'ADORA1', 'UNC119', 'PPP2R1A', 'TYK2', 'BTC', 'VPS25', 'LRRK1', 'CD44', 'TEC', 'PARP9', 'PTK2B', 'MVP', 'OSBP', 'PPP2CA', 'IL6R', 'IBTK', 'DYRK3', 'MAPK3', 'JAK3', 'PIBF1', 'MST1R', 'EHD4', 'SH2B3', 'DMTN', 'EPHA10', 'NEK1', 'INPP5F', 'MERTK', 'GGNBP2', 'FES', 'ERCC6', 'CLK2', 'NCK2', 'PPP2R5B', 'STK16', 'CLK1', 'FYN', 'DYRK1A', 'TGFA', 'RAP2B', 'MLST8', 'TESK2', 'PSEN1', 'RAP2C', 'SRCIN1', 'EIF2AK2', 'DYRK1B', 'PRKCE', 'CAMKK2', 'ABI1', 'NTRK2']
GOBP_DORSAL_SPINAL_CORD_DEVELOPMENT	1	0.24909718776920026	1.6269633890345572	1.0	32.56	['LMO4', 'ASCL1', 'TAL1', 'HOXB8', 'PROX1', 'GDF7', 'DRGX', 'WNT3A']
GOBP_MAINTENANCE_OF_SISTER_CHROMATID_COHESION	1	0.24893015500044122	-1.348180399171639	1.0	30.43	['MAU2', 'RB1', 'NIPBL', 'ATRX', 'SLF2', 'TNKS', 'SMC5']
GOBP_NEGATIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS	1	0.24874681798806664	1.627777677306272	1.0	46.54	['DDT', 'MIF', 'C5', 'STAP1', 'MMP28', 'SLAMF8']
GOBP_REGULATION_OF_VASCULAR_PERMEABILITY	1	0.24868911993606593	1.6268076447481459	1.0	28.56	['PDE2A', 'AKAP12', 'ADM', 'SLIT2', 'BMP6', 'TACR2', 'YES1', 'PDE3A', 'BDKRB2', 'NPR1', 'AZU1', 'CLDN5', 'SH3GL2', 'GPR4', 'C2CD4B', 'CDH5', 'MIR23A', 'TEK', 'ANGPT1', 'C2CD4A', 'UCN', 'RAMP2']
GOBP_POSITIVE_REGULATION_OF_CELL_CYCLE_G1_S_PHASE_TRANSITION	1	0.24861105678112275	-1.3486010368151227	1.0	56.99	['CUL4A', 'ANXA1', 'STXBP4', 'MTBP', 'MDM2', 'RRM1', 'EIF4G1', 'CUL4B', 'KMT2E', 'LSM10', 'CCND3', 'STIL', 'RPTOR', 'LSM11', 'PAGR1', 'AIF1', 'ANKRD17', 'MEPCE', 'AKT1', 'CENPJ', 'DDX3X', 'CDC6', 'CCND2', 'PLRG1', 'CPSF3', 'CDC73', 'APEX1', 'TFDP1', 'MIR221', 'DDRGK1', 'ADAM17', 'RDX', 'EGFR', 'CCND1', 'PAF1', 'CDK10', 'SASS6', 'PLCG2']
GOBP_REGULATION_OF_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY_BY_P53_CLASS_MEDIATOR	1	0.248451732298561	-1.3488632284341702	1.0	45.84	['HNRNPK', 'SIRT1', 'ING2', 'ATAD5', 'MYC', 'TAF9', 'TRIAP1', 'MDM2', 'RPL26', 'ZNF385A', 'PTTG1IP', 'EIF5A', 'TAF9B', 'CD44', 'MIR186', 'ARMC10', 'TP53', 'UBB', 'KDM1A', 'RRN3']
GOBP_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	1	0.24836893838606242	-1.3490594917255665	1.0	19.73	['FADD', 'IRF3', 'TBK1', 'IKBKE', 'RNF185', 'LSM14A', 'IRF7', 'TRIM56']
GOBP_GLUTAMINE_TRANSPORT	1	0.2481031523714967	1.6287593624200782	1.0	41.11	['SLC38A1', 'SLC38A7', 'SLC1A4', 'SLC38A3', 'SLC1A5', 'SLC38A2', 'SLC38A5']
GOBP_POSITIVE_REGULATION_OF_CELLULAR_CARBOHYDRATE_METABOLIC_PROCESS	1	0.247679290484891	-1.349850275558369	1.0	37.61	['P2RY6', 'SIRT1', 'DGAT2', 'ARPP19', 'SLC25A12', 'AKT2', 'KAT2A', 'DDB1', 'HRH1', 'EPM2AIP1', 'AKT1', 'KAT2B', 'PTAFR', 'PHKG2', 'SORBS1', 'PPP4R3B', 'PTPN2', 'SRC', 'PPARA', 'PRKCE', 'RGN', 'STK11', 'GPER1', 'GPLD1']
GOBP_NUCLEOLAR_CHROMATIN_ORGANIZATION	1	0.247233342195508	-1.3504049373672027	1.0	52.21	['PHF8', 'PHF2', 'BAZ2A', 'SIRT1', 'SUV39H1', 'DDX11', 'RRP8', 'SIRT2']
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_CALCIUM_ION_CONCENTRATION	1	0.2471958857123166	-1.3505532116901178	1.0	48.23	['RAP1GDS1', 'THADA', 'BAK1', 'BAX', 'TGM2', 'BCAP31', 'FIS1']
