pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_LEUKOCYTE_ADHESION_TO_ARTERIAL_ENDOTHELIAL_CELL	1	0.24981544445740686	1.5216519908656505	1.0	46.75	{'KLF4;ZDHHC21;SLC39A8;ALOX5;TNF'}
GOBP_L_ASPARTATE_TRANSMEMBRANE_TRANSPORT	1	0.24968258595949358	1.5226520414661164	1.0	14.83	{'SLC38A7;SLC25A18;SLC1A1;SLC1A3;SLC1A5'}
GOBP_SPERM_EJACULATION	1	0.24965227392989692	1.5220872180609737	1.0	32.83	{'SLC6A4;OXTR;OXT;TACR1;AVPR1A'}
GOBP_RESPONSE_TO_CGMP	1	0.24962709195953722	1.5223998036470243	1.0	39.63	{'SLC6A4;PDE3A;PDE2A;REN;HCN4;HCN2'}
GOBP_MESENCHYME_MORPHOGENESIS	1	0.24959605545479463	1.5215639603823303	1.0	24.21	{'BMP5;BMP2;FOXC1;NOG;TGFB2;APLNR;LEF1;ROBO2;WNT5A;ISL1;TMEM100;NOS3;FOXF1;TBX2;GATA5;MSX2;ACTG2;OSR1;SNAI1;WNT11;WNT3A;TWIST1'}
GOBP_UREA_TRANSPORT	1	0.24945273051075675	1.5234198369783694	1.0	39.27	{'SLC14A1;AQP3;UPK3A;SLC14A2;AQP7;AQP9'}
GOBP_L_KYNURENINE_METABOLIC_PROCESS	1	0.24916797690072756	1.5234032800628432	1.0	17.4	{'GOT2;KMO;AADAT;KYNU'}
GOBP_AUDITORY_RECEPTOR_CELL_MORPHOGENESIS	1	0.24903583077867805	-1.3530592375936035	1.0	56.19	{'SEC24B;TRIOBP;PLS1;SLC9A3R1;WDPCP;LHFPL5;SLITRK6;WHRN;PDZD7;SCRIB;MYO7A;SOD1'}
GOBP_GLUCOSE_6_PHOSPHATE_METABOLIC_PROCESS	1	0.2487441663135068	-1.353473946966948	1.0	51.71	{'H6PD;PGLS;HK1;RPIA;HKDC1;HK2;RPE;TP53;G6PC3;RPEL1;PGAM1;RBKS;SHPK;PGD;TALDO1;TKT'}
GOBP_LYSINE_METABOLIC_PROCESS	1	0.24859487092860325	1.5244648407854002	1.0	14.11	{'SLC25A21;HYKK;DLST;AASS;AADAT'}
GOBP_MITOCHONDRIAL_TRANSCRIPTION	1	0.24852223532234974	-1.3538141268126107	1.0	47.45	{'MTERF4;PRKAA1;MTERF1;FOXO3;MTERF2;TFAM;METTL4;TEFM;TFB2M;TWNK;POLRMT;TFB1M'}
GOBP_POSITIVE_REGULATION_OF_SKELETAL_MUSCLE_CELL_DIFFERENTIATION	1	0.24830176353897257	1.5249850581690074	1.0	51.01	{'ARNTL;RBM24;CYP26B1;GPC1;TBX1;MEF2C'}
GOBP_DORSAL_AORTA_MORPHOGENESIS	1	0.2482835172910558	-1.3541750180144807	1.0	35.23	{'BMPR1A;SRF;RBPJ;HEY2;HEY1;ENG'}
GOBP_TRIPARTITE_REGIONAL_SUBDIVISION	1	0.24772544212922434	1.5260336181174057	1.0	24.26	{'BASP1;HOXD8;WNT5A;TDRD6;PCSK6;TDRD5;WT1;PLD6;TIFAB'}
GOBP_EYE_MORPHOGENESIS	1	0.24772467361963812	1.525763068275365	1.0	53.46	{'SOX11;STAU2;HIPK2;GNGT1;AGTPBP1;SLC1A1;RPGRIP1;TSPAN12;HIF1A;PROM1;PTPRM;THRB;RORB;FBN1;MEIS1;WNT9A;CNTF;EFEMP1;WNT5A;GLI3;SDK1;TENM3;ATP8A2;BCL2;AQP5;RP1;COL8A1;TFAP2A;TBX2;PROX1;CRB2;PRDM1;TSKU;FOXF2;NRL;FSCN2;DIO3;CABP4;FJX1;VAX2;TWIST1;ATF4;FASLG;C12orf57;WNT2;USH1C;IHH;RBP4;SIX3;MFAP2;DLL1;ALDH1A3;SOX8;MEGF11;STRA6;THY1;EPHA2;EPHB1;FGF2;BMP4;COL5A1;PITX2;MFRP;NTRK2;OBSL1;MYO7A;ROM1;VEGFA;SDK2;MFSD2A;COL5A2;BMP7;RARG;RDH13;EPHB2;NECTIN3;BCAR3;BAK1;MFAP5;JAG1;CITED2;KDR'}
GOBP_POSITIVE_REGULATION_OF_RUFFLE_ASSEMBLY	1	0.24749518024727088	-1.3550743265276668	1.0	69.95	{'NDEL1;FAM98A;CYFIP1;PLEKHM1;EPS8;EPS8L2;COBL;DEF8;PFN1;P2RY12;EPS8L1;HRAS;CARMIL2;EPS8L3'}
GOBP_RESPONSE_TO_MAGNESIUM_ION	1	0.24749068010726943	1.5265309584452778	1.0	49.52	{'ANK3;SNCA;BMP6;CNGA3;TNFRSF11B;SMPD3;FBP1;THBS1;CD14;D2HGDH;CCND1'}
GOBP_REGULATION_OF_GLUCAGON_SECRETION	1	0.24747508501341986	1.52712984650508	1.0	33.41	{'PASK;FFAR4;FAM3D;IL6;SYT7'}
GOBP_G_QUADRUPLEX_DNA_UNWINDING	1	0.24739703800867152	-1.3552870126111205	1.0	15.95	{'HNRNPA2B1;DHX9;WRN;DHX36'}
GOBP_CELLULAR_RESPONSE_TO_FATTY_ACID	1	0.24734348956302896	1.5269441489584943	1.0	20.86	{'AKR1C1;FFAR2;AKR1C2;HMGCS2;CPS1;PLCB1;PDK4;AKR1C3;LPL;AKR1C4;IRS1;ID3;E2F1'}
GOBP_LEUKOCYTE_AGGREGATION	1	0.24728353254553934	1.5278401014442637	1.0	65.57	{'JAM2;NR4A3;S100A9;ZAP70;S100A8;RAC2;HAS2;BMP7;CD44;STK10;SEMA4D;MSN;IL1B'}
GOBP_GLAND_DEVELOPMENT	1	0.24723580938995257	1.527591790745776	1.0	80.28	{'TNFRSF11A;CEBPG;PCSK1;CRKL;ONECUT2;SOCS2;SERPINB5;FGL1;CDKN2B;PTPN3;IGF2R;SRP54;ALOX15B;FOXA1;PTEN;NEURL1;BMP2;HMGCS2;NFIB;SOSTDC1;FKBP4;BRCA2;PTCH1;CPS1;HIF1A;ID4;FRZB;TCF21;E2F8;SOX2;FOXC1;NOG;AR;ATP7B;PLAG1;XBP1;TGFB2;HGF;ZDHHC21;SFRP1;NOTCH4;PRLR;LEF1;WNT5A;HOXD9;GLI3;HOXB3;ALDH1A2;ISL1;SALL1;HOXA10;HOXA5;FA2H;PAX8;CADM1;IGFBP5;NTN1;GLI1;HOXA11;CDO1;OXTR;BCL2;NRG1;ONECUT1;SMO;ERBB4;FOXF1;RXFP1;MTCO2P12;FASN;GATA3;GATA2;IGF2;GATA6;PDGFRA;SERPINE2;LMO4;FGF7;ASCL1;CCNB2;TBX2;PROX1;BAAT;MSX2;IRS2;LAMA5;ZNF703;SEMA3A;WNT4;SERPINF1;INHBB;IQGAP3;MT-CO2;APLN;TNFSF11;WT1;PITX1;MPST;WNT11;WNT3A;PHB2;HNF1B;WNT10A;PRDX2;EAF2;PCSK9;MGMT;NME1;AURKA;MESP1;HAMP;WNT2;EDAR;IHH;TFCP2L1;GPX1;CRIP1;HNF1A;UGT1A1;HOXB9;HNF4A;APRT;SIX3;IL6;SLC46A2;CCL11;CGA;CEBPA;CEBPB;MAFB;FOXB1;PCNA;TSPO;GDF7;NKX2-8;RAP1GAP;SLC6A3;ALDH1A3;MSX1;STRA6;NR0B1;SHH;CPB2;AREG;EPHA2;HOXB13;UCP2;SNAI2;FOXE1;MDK;FGF2;TBX1;ITGA2;BMP4;WNT3;GFER;PITX2;RPS15;POU3F2;NKX2-1;LRP5L;CDKN1C;PDX1;LIMS2;HMOX1;FGF1;SOD1;PTN;SIX1;SULF1;RAG1;SCRIB;VDR;TGM2;GLI2;ATP2C2;HOXD3;CIT;DNAAF1;LY6E;VEGFA;PDGFA;EGF;TNFAIP3;TNF;CYP1B1;CSF1;DKK3;GJA1;ARMC5;PKD1;MMP2;CLCN2;BMP7;TNC;HPN;RARG;EZH2;CCND1;LBH;PCK2;ACAT1;MYC;FGFR2;ESR1;MAD1L1;TGFB3;WNT7B;SOD2;ID2;TWSG1;CDK5RAP3;MTX1;EPHB3;PLXND1;CITED2;MET;PBX1;BCL11B;SRD5A1;AKT1;IGSF3;THRA;TGFBR3;CCDC40;CPT1A;ROBO1;HOXA3;CAV1;POLB;CSF1R;SEMA3C;EDNRA;CDC42;PLXNA1;PAM;ADA;LRP5;E2F7;LSR;ORAI1;IL10;FPGS;HES1;RHBDD3;EDA;TGFBR1;DEAF1;WLS;FBXW7;RARA;CEACAM1;NTN4;NKX3-1;HESX1;TBX19;UMPS;SIX4;ELF3;HLX;RIPK3;COBL;ANXA1;INSR;TAF10;STK11;EDN1;ZBTB7B;MSN;CTC1;TYMS;MAN2A1;NOTCH1;ATM;XDH;TBX3;USF2;CLDN1;SLC29A2;SOX9;NRP1;JARID2;PRKCSH;BCL2L11;SRC;EGFR;RGN;MAPK3;BAX;RPS6KA1;PRMT5;FADD;ESRP2;IRF6;CFLAR;CYP7B1;ABL1;SMAD2;GPAT4;SLC29A1;TGFA;ELK1;STAT5A;AKT2;CTNNB1;JAK2;NF1;ARID5B;DDR1;PSAP;SMAD4;SMAD3;UPF2;KDM5B;EZR;PHF2;CCDC39;ACO2;CSNK2A2;NCOR2;HNRNPD;SLC9A3R1;HK2;BTBD7;CAPN1;CUL3;PML;JUN;CDKN1B;MAP2K1'}
GOBP_LEUKOTRIENE_BIOSYNTHETIC_PROCESS	1	0.24722741427518802	1.528410114552855	1.0	28.32	{'PLA2G4A;MGST3;GGT2;GGTLC1;GGT5;GGT3P;LTC4S;GGTLC2;GGTLC3;GGT6;PLA2G5'}
GOBP_POSITIVE_REGULATION_OF_CALCIUM_ION_DEPENDENT_EXOCYTOSIS	1	0.24717964158806371	1.528185366937883	1.0	43.65	{'SYT1;DOC2B;SCAMP5;CDK5R2;SYT7;CDK5;CACNA1H;HYAL3;STX1A'}
GOBP_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	1	0.24667820574910754	-1.3561480796620995	1.0	69.31	{'CBFB;HLA-A;SH3RF1;HFE;HLA-E;RUNX1;ZBTB7B;MAPK8IP1;IRF1;RUNX3;NCKAP1L;CD274;PTPN22;LILRB1;XCL1;VSIR;SOCS1;CRTAM'}
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION	1	0.2465104724985653	-1.356450974563937	1.0	19.95	{'RAD18;BECN1;SMC5;HNRNPU;SMC6;NUMA1;RCC2'}
GOBP_ISOTYPE_SWITCHING_TO_IGA_ISOTYPES	1	0.24617857211613378	-1.3569177683410447	1.0	15.35	{'TGFB1;MSH2;MLH1;TNFSF13'}
GOBP_REGULATION_OF_CELL_AGING	1	0.24603832344592136	-1.3571718834149011	1.0	62.23	{'NEK4;PNPT1;FZR1;TERF2;ZMPSTE24;SIRT1;NEK6;BMPR1A;ZNF277;ZKSCAN3;MAP3K3;RSL1D1;PAWR;ABL1;FBXO5;LMNA;B2M;ING2;BCL6;YBX1;TP53;MIR590;AKT3;RBL1;HLA-G;VASH1;NUAK1;PLK2;YPEL3;MIR34A;MIR21;ABI3;KIR2DL4;HMGA2;MIR22'}
GOBP_DOLICHYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS	1	0.24587433538971584	-1.3574481151548443	1.0	50.17	{'NUS1;DHDDS;DOLPP1;SRD5A3;DOLK'}
GOBP_POSITIVE_REGULATION_OF_ALPHA_BETA_T_CELL_PROLIFERATION	1	0.24546543722315267	-1.3579661422705886	1.0	71.65	{'HLA-A;TGFBR2;HLA-E;LGALS9;IL23A;JAK2;TYK2;SYK;RIPK2;CD81;IL18;PTPRC;CCR2;PTPN22;TNFSF4;CD55;EBI3;XCL1;RASAL3;ZAP70;CD3E'}
GOBP_PYRIMIDINE_RIBONUCLEOSIDE_DIPHOSPHATE_METABOLIC_PROCESS	1	0.2451114582057555	-1.3584499810254036	1.0	37.57	{'CMPK1;DHODH;CAD;ENTPD7;UMPS'}
GOBP_GASTRIC_ACID_SECRETION	1	0.24491471063875198	1.5307764895546696	1.0	65.73	{'PTGER3;OXTR;SCT;UCN;OXT;GHRL;TFF2;KCNQ1;HRH2;OPRL1;SGK1;SNX10;TRPV1;HIP1R'}
