pathway	freq	padj	stability	overlap	genes
GOBP_MRNA_METABOLIC_PROCESS	1	6.965211286883542e-27	1.0	0.1712962962962963	['MED1', 'PUS3', 'IK', 'WBP4', 'UPF3B', 'AGO3', 'CDK12', 'EXOSC10', 'ZCRB1', 'MAPK14', 'COIL', 'SNRNP27', 'TFCP2', 'REST', 'GRSF1', 'SRSF10', 'GEMIN5', 'AGO1', 'RBMXL1', 'SLU7', 'CPSF7', 'THRAP3', 'PRPF38B', 'HNRNPLL', 'WTAP', 'AFF2', 'STAT3', 'RBM22', 'CWC22', 'SNRNP200', 'ADAR', 'RBM7', 'RBM4B', 'METTL16', 'CDC40', 'PRMT9', 'CLP1', 'PPP4R2', 'CNOT11', 'USP4', 'LUC7L2', 'HNRNPA1L2', 'AQR', 'HNRNPH3', 'SRSF4', 'TBP', 'SNRNP40', 'DDX23', 'PUM2', 'PPP1R8', 'ECD', 'RNF20', 'CWF19L2', 'IWS1', 'SUGP1', 'FASTKD5', 'DHX16', 'SRSF1', 'SCAF8', 'SMG7', 'CWC15', 'UPF3A', 'PRPF4B', 'SMG8', 'PNPT1', 'SMU1', 'RBMX', 'AGO4', 'GPATCH1', 'RC3H1', 'PAPOLG', 'CASC3', 'DCP1A', 'PNRC2', 'SRSF8', 'PCF11', 'CPSF6', 'SNRNP35', 'RPRD1B', 'ZNF830', 'RRP1B', 'SNW1', 'SCNM1', 'CTR9', 'LEO1', 'RBM41', 'DBR1', 'CWC25', 'HNRNPK', 'SRSF2', 'NCBP3', 'SERBP1', 'GPKOW', 'SF3A3', 'DDX1', 'SF3A1', 'ZRSR2', 'SFSWAP', 'NSRP1', 'SF1', 'PTCD2', 'SYNCRIP', 'ANGEL2', 'NONO', 'SNRNP48', 'ZBTB1', 'DHX8', 'CMTR2', 'YTHDF2', 'CNOT6', 'ATF2']
GOBP_MRNA_PROCESSING	1	1.4708977177325563e-24	1.0	0.19501133786848074	['IK', 'WBP4', 'CDK12', 'ZCRB1', 'COIL', 'SNRNP27', 'REST', 'GRSF1', 'SRSF10', 'GEMIN5', 'SLU7', 'RBMXL1', 'CPSF7', 'THRAP3', 'PRPF38B', 'HNRNPLL', 'WTAP', 'AFF2', 'RBM22', 'CWC22', 'SNRNP200', 'ADAR', 'RBM7', 'RBM4B', 'METTL16', 'CDC40', 'PRMT9', 'CLP1', 'PPP4R2', 'USP4', 'LUC7L2', 'HNRNPA1L2', 'AQR', 'HNRNPH3', 'SRSF4', 'SNRNP40', 'DDX23', 'PPP1R8', 'ECD', 'RNF20', 'CWF19L2', 'IWS1', 'SUGP1', 'FASTKD5', 'DHX16', 'SRSF1', 'SCAF8', 'CWC15', 'PRPF4B', 'PNPT1', 'SMU1', 'RBMX', 'GPATCH1', 'PAPOLG', 'CASC3', 'SRSF8', 'PCF11', 'CPSF6', 'SNRNP35', 'RPRD1B', 'ZNF830', 'RRP1B', 'SNW1', 'SCNM1', 'CTR9', 'LEO1', 'RBM41', 'DBR1', 'CWC25', 'HNRNPK', 'SRSF2', 'NCBP3', 'GPKOW', 'SF3A3', 'DDX1', 'SF3A1', 'ZRSR2', 'SFSWAP', 'NSRP1', 'SF1', 'PTCD2', 'SYNCRIP', 'NONO', 'SNRNP48', 'DHX8', 'CMTR2']
GOBP_RNA_PROCESSING	1	2.9003435691023756e-23	1.0	0.13202247191011235	['RPL7L1', 'NOL6', 'SNORA31', 'PUS3', 'IK', 'WBP4', 'RIOK2', 'AGO3', 'TRNT1', 'CDK12', 'EXOSC10', 'ZCRB1', 'METTL6', 'COIL', 'SNRNP27', 'REST', 'GRSF1', 'SRSF10', 'GEMIN5', 'TGFB1', 'TYW1', 'AGO1', 'RBMXL1', 'SLU7', 'THUMPD1', 'CPSF7', 'THRAP3', 'PRPF38B', 'HNRNPH2', 'HNRNPLL', 'MTO1', 'MPHOSPH10', 'HEATR1', 'WTAP', 'AFF2', 'MTERF4', 'STAT3', 'RBM22', 'CWC22', 'SNRNP200', 'ADAR', 'RBM7', 'DDX54', 'RBM4B', 'SNORA79', 'METTL16', 'PRMT9', 'CDC40', 'CLP1', 'PPP4R2', 'RBM12B', 'ZCCHC4', 'USP4', 'LUC7L2', 'HNRNPA1L2', 'AQR', 'PPIG', 'HNRNPH3', 'SNORA7B', 'SRSF4', 'TRMT1L', 'SNRNP40', 'DDX23', 'SNORA71C', 'WDR74', 'PUM2', 'RPUSD4', 'PPP1R8', 'RNF20', 'ECD', 'RRAGC', 'CWF19L2', 'IWS1', 'SUGP1', 'FASTKD5', 'DHX16', 'SRSF1', 'SCAF8', 'OSGEPL1', 'ELP5', 'CWC15', 'PRPF4B', 'METTL15', 'NSUN4', 'RBM12', 'PNPT1', 'SMU1', 'SNORA22', 'METTL15P1', 'RBMX', 'PDCD7', 'AGO4', 'GPATCH1', 'PAPOLG', 'CASC3', 'SRSF8', 'PCF11', 'CPSF6', 'SNRNP35', 'RPRD1B', 'ZNF830', 'RRP1B', 'SNW1', 'C9orf64', 'INTS14', 'SCNM1', 'CTR9', 'UTP18', 'LEO1', 'SNORA53', 'INTS12', 'SNORD94', 'RBM41', 'DBR1', 'NAT10', 'RCL1', 'CWC25', 'HNRNPK', 'SRSF2', 'NCBP3', 'GPKOW', 'SF3A3', 'THUMPD2', 'NOL9', 'DDX1', 'SF3A1', 'ZRSR2', 'SFSWAP', 'NSRP1', 'SF1', 'PTCD2', 'THUMPD3', 'SYNCRIP', 'NONO', 'SNRNP48', 'INTS4', 'DHX8', 'CMTR2', 'YTHDF2', 'SCARNA22', 'DUS3L']
GOBP_RNA_SPLICING	1	1.2525675308089938e-22	1.0	0.19896640826873385	['IK', 'WBP4', 'CDK12', 'ZCRB1', 'COIL', 'SNRNP27', 'REST', 'GRSF1', 'SRSF10', 'GEMIN5', 'SLU7', 'RBMXL1', 'THRAP3', 'PRPF38B', 'HNRNPH2', 'HNRNPLL', 'MPHOSPH10', 'WTAP', 'AFF2', 'RBM22', 'CWC22', 'SNRNP200', 'RBM7', 'RBM4B', 'METTL16', 'CDC40', 'CLP1', 'PPP4R2', 'RBM12B', 'USP4', 'LUC7L2', 'HNRNPA1L2', 'AQR', 'PPIG', 'HNRNPH3', 'SRSF4', 'SNRNP40', 'DDX23', 'PPP1R8', 'ECD', 'RRAGC', 'CWF19L2', 'IWS1', 'SUGP1', 'DHX16', 'SRSF1', 'CWC15', 'PRPF4B', 'RBM12', 'SMU1', 'RBMX', 'PDCD7', 'GPATCH1', 'CASC3', 'SRSF8', 'SNRNP35', 'ZNF830', 'RRP1B', 'SNW1', 'SCNM1', 'RBM41', 'DBR1', 'CWC25', 'HNRNPK', 'SRSF2', 'GPKOW', 'SF3A3', 'DDX1', 'SF3A1', 'ZRSR2', 'SFSWAP', 'NSRP1', 'SF1', 'SYNCRIP', 'NONO', 'SNRNP48', 'DHX8']
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1	1.9382186028583087e-14	1.0	0.18947368421052632	['CWC15', 'CWC22', 'SNRNP200', 'HNRNPK', 'SRSF2', 'RBM7', 'PRPF4B', 'RBM4B', 'GPKOW', 'METTL16', 'SMU1', 'IK', 'SF3A3', 'WBP4', 'RBMX', 'CDC40', 'DDX1', 'SF3A1', 'ZRSR2', 'USP4', 'LUC7L2', 'SRSF1', 'ZCRB1', 'AQR', 'SFSWAP', 'GPATCH1', 'COIL', 'HNRNPH3', 'NSRP1', 'SF1', 'CASC3', 'SRSF4', 'SRSF8', 'REST', 'SNRNP35', 'SRSF10', 'GEMIN5', 'SNW1', 'SNRNP40', 'DDX23', 'SLU7', 'RBMXL1', 'SCNM1', 'SYNCRIP', 'THRAP3', 'DHX8', 'CWF19L2', 'MPHOSPH10', 'DHX16', 'WTAP', 'RBM41', 'DBR1', 'RBM22', 'CWC25']
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1	4.59634439315838e-13	1.0	0.13410596026490065	['FBXO6', 'SMARCC1', 'DERL2', 'WDR26', 'TMUB2', 'LATS1', 'ZFAND2B', 'PSMD11', 'UBXN4', 'EXOSC10', 'KLHDC2', 'UBE2A', 'PCYOX1', 'UFL1', 'RNF144A', 'FBXO21', 'ZYG11B', 'UBA1', 'UBXN2B', 'UBQLN2', 'DNAJB12', 'RFFL', 'USP42', 'SPOP', 'LTN1', 'TRIM39', 'GID4', 'RNF185', 'STT3B', 'PSMD6', 'USP4', 'RNF26', 'UBR2', 'DCAF12', 'CDC23', 'SOCS5', 'TRIM13', 'BIRC2', 'CCDC47', 'APPBP2', 'FBXL3', 'CHMP2B', 'RLIM', 'NSFL1C', 'RNF20', 'RNF114', 'RNF121', 'FAF1', 'MKRN2', 'ATXN3', 'EDEM2', 'PNPT1', 'UBXN2A', 'CUL5', 'RNF115', 'KLHL15', 'UBXN7', 'FBXL12', 'RC3H1', 'TOPORS', 'OTUD7B', 'CUL7', 'RNF103', 'FBXL4', 'FBXO8', 'UBE2L6', 'UBE2D2', 'STYX', 'KLHL20', 'FBXW8', 'RYBP', 'USP9X', 'RNF8', 'UBE2Z', 'BTRC', 'USP38', 'USP16', 'ERLEC1', 'ITCH', 'VPS28', 'NEMF']
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1	1.956057669301137e-12	1.0	0.10477787091366303	['FBXO6', 'RB1CC1', 'SMARCC1', 'DERL2', 'WDR26', 'TMUB2', 'LATS1', 'ZFAND2B', 'UPF3B', 'PSMD11', 'AGO3', 'VPS11', 'UBXN4', 'RAB12', 'RHBDD1', 'EXOSC10', 'RNASEH2C', 'KLHDC2', 'MAPK14', 'PHAX', 'UBE2A', 'PCYOX1', 'GRSF1', 'UFL1', 'TGFB1', 'RNF144A', 'AGO1', 'FBXO21', 'ZYG11B', 'THRAP3', 'UBA1', 'UBXN2B', 'UBQLN2', 'DNAJB12', 'RFFL', 'USP42', 'RBM7', 'SPOP', 'LTN1', 'TRIM39', 'GID4', 'METTL16', 'RNF185', 'STT3B', 'PSMD6', 'CNOT11', 'USP4', 'DFFA', 'RNF26', 'UBR2', 'DCAF12', 'CDC23', 'SOCS5', 'TRIM13', 'BIRC2', 'PUM2', 'CCDC47', 'APPBP2', 'UVRAG', 'FBXL3', 'CHMP2B', 'SNX12', 'RLIM', 'NSFL1C', 'PPP1R8', 'RNF20', 'FASTKD5', 'RNF114', 'SMG7', 'RNF121', 'FAF1', 'UPF3A', 'MKRN2', 'ATXN3', 'EDEM2', 'SMG8', 'PNPT1', 'UBXN2A', 'CUL5', 'RNF115', 'KLHL15', 'UBXN7', 'AGO4', 'NGLY1', 'FBXL12', 'OAZ2', 'SH3GLB1', 'RC3H1', 'PNRC2', 'CASC3', 'DCP1A', 'TOPORS', 'SEC22B', 'OTUD7B', 'CUL7', 'PSME3', 'RNF103', 'FBXL4', 'CLPX', 'FBXO8', 'PSMB4', 'LONP2', 'UBE2L6', 'SERBP1', 'UBE2D2', 'STYX', 'KLHL20', 'FBXW8', 'RYBP', 'USP9X', 'RNF8', 'RAB7A', 'UBE2Z', 'BTRC', 'USP38', 'USP16', 'SYNCRIP', 'ANGEL2', 'RELA', 'ERLEC1', 'ITCH', 'YTHDF2', 'VPS28', 'CNOT6', 'NEMF']
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1	3.4794208623152103e-11	1.0	0.11827956989247312	['FBXO6', 'SMARCC1', 'DERL2', 'WDR26', 'TMUB2', 'LATS1', 'ZFAND2B', 'PSMD11', 'VPS11', 'UBXN4', 'RAB12', 'RHBDD1', 'KLHDC2', 'UBE2A', 'PCYOX1', 'UFL1', 'RNF144A', 'FBXO21', 'ZYG11B', 'UBA1', 'UBXN2B', 'UBQLN2', 'DNAJB12', 'RFFL', 'USP42', 'SPOP', 'LTN1', 'TRIM39', 'GID4', 'RNF185', 'STT3B', 'PSMD6', 'USP4', 'RNF26', 'UBR2', 'DCAF12', 'CDC23', 'SOCS5', 'TRIM13', 'BIRC2', 'CCDC47', 'APPBP2', 'RLIM', 'FBXL3', 'CHMP2B', 'NSFL1C', 'RNF20', 'RNF114', 'RNF121', 'FAF1', 'MKRN2', 'ATXN3', 'EDEM2', 'UBXN2A', 'CUL5', 'RNF115', 'KLHL15', 'UBXN7', 'NGLY1', 'FBXL12', 'RC3H1', 'TOPORS', 'OTUD7B', 'CUL7', 'PSME3', 'RNF103', 'FBXL4', 'CLPX', 'FBXO8', 'PSMB4', 'LONP2', 'UBE2L6', 'UBE2D2', 'STYX', 'KLHL20', 'FBXW8', 'RYBP', 'USP9X', 'RNF8', 'RAB7A', 'UBE2Z', 'BTRC', 'USP38', 'USP16', 'ERLEC1', 'ITCH', 'VPS28', 'NEMF']
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1	1.376899116331427e-09	1.0	0.09181636726546906	['MED1', 'RBSN', 'PPID', 'RABEP1', 'COG1', 'SEC24B', 'WASHC5', 'SYNJ2BP', 'AFTPH', 'GOSR1', 'DNAJC14', 'RAB35', 'SNX13', 'DERL2', 'KDELR2', 'SEC23IP', 'MCFD2', 'RANBP6', 'ZFAND2B', 'VPS11', 'TMEM30B', 'RAB12', 'RHBDD1', 'COPB2', 'PHAX', 'MAPK14', 'VPS54', 'UEVLD', 'LINC00869', 'REST', 'ARFGAP2', 'IPO9', 'TGFB1', 'RALA', 'VAMP4', 'AGK', 'SLU7', 'NR1H2', 'SLC8B1', 'SIRT4', 'STAM2', 'RGPD4', 'RGPD3', 'NDEL1', 'MTERF4', 'STAT3', 'RBM22', 'NUP133', 'YWHAE', 'RAB11A', 'SNX4', 'COG2', 'ARL8B', 'BLZF1', 'NUP153', 'BBS1', 'CHM', 'PRKAA1', 'ZDHHC6', 'RAB13', 'RAB1A', 'ERP29', 'TVP23C', 'SLC10A7', 'CCDC47', 'APPBP2', 'RILPL1', 'STX3', 'CHMP2B', 'SRP68', 'KPNA6', 'SNX12', 'HEATR5B', 'PLEKHA8', 'PTPN11', 'YWHAB', 'ZW10', 'ARFGAP3', 'TCAF1', 'SAR1A', 'EDEM2', 'RAB6A', 'LMAN2L', 'RAB5A', 'BAD', 'NUP43', 'HSPA9', 'WASHC2C', 'SEC24C', 'OAZ2', 'ERGIC3', 'SH3GLB1', 'RTN2', 'EPS15', 'CNST', 'DNAJA1', 'SEC22B', 'OSBP', 'PEX12', 'GLE1', 'SFT2D2', 'HOOK3', 'RAB9A', 'MYO6', 'RP2', 'PPP3CB', 'VIPAS39', 'LONP2', 'ARRDC4', 'TERF1', 'GOLPH3L', 'STX6', 'STYX', 'KLHL20', 'POM121B', 'AP3M1', 'TVP23B', 'TRAK2', 'RAB7A', 'TVP23A', 'TGFBRAP1', 'ATG16L1', 'SFT2D1', 'C17orf75', 'ATG3', 'ARF6', 'SLC15A4', 'SSR2', 'ERLEC1', 'SEC22C', 'GOLGA7', 'ZDHHC4', 'CMTM6', 'RAB5B', 'WASHC2A', 'ARCN1', 'VPS28', 'ATF2']
GOBP_NITROGEN_COMPOUND_TRANSPORT	1	1.440260994920751e-09	1.0	0.08796821793416572	['MED1', 'RBSN', 'NOL6', 'PPID', 'RABEP1', 'COG1', 'SEC24B', 'DDX19A', 'WASHC5', 'SYNJ2BP', 'AFTPH', 'GOSR1', 'DNAJC14', 'RAB35', 'SNX13', 'DERL2', 'KDELR2', 'SEC23IP', 'MCFD2', 'RANBP6', 'ZFAND2B', 'UPF3B', 'VPS11', 'TMEM30B', 'RAB12', 'RHBDD1', 'ABCB7', 'COPB2', 'PHAX', 'MAPK14', 'VPS54', 'UEVLD', 'LINC00869', 'REST', 'ARFGAP2', 'IPO9', 'TGFB1', 'SLC25A38', 'VAMP4', 'AGK', 'SLU7', 'NR1H2', 'SLC8B1', 'SIRT4', 'STAM2', 'RGPD4', 'RGPD3', 'NDEL1', 'MTERF4', 'STAT3', 'RBM22', 'SFXN3', 'NUP133', 'YWHAE', 'RAB11A', 'SNX4', 'COG2', 'ARL8B', 'BLZF1', 'NUP153', 'BBS1', 'CHM', 'PRKAA1', 'ZDHHC6', 'GABBR1', 'RAB13', 'HNRNPA1L2', 'RAB1A', 'ERP29', 'TVP23C', 'SLC10A7', 'APPBP2', 'RILPL1', 'STX3', 'CHMP2B', 'SRP68', 'KPNA6', 'SNX12', 'HEATR5B', 'IWS1', 'PLEKHA8', 'PTPN11', 'YWHAB', 'ZW10', 'SRSF1', 'ARFGAP3', 'SMG7', 'SLC3A1', 'TCAF1', 'UPF3A', 'SAR1A', 'EDEM2', 'RAB6A', 'PNPT1', 'LMAN2L', 'PLEKHA8P1', 'RAB5A', 'BAD', 'NUP43', 'HSPA9', 'ZC3H11B', 'WASHC2C', 'SEC24C', 'OAZ2', 'ERGIC3', 'SH3GLB1', 'RTN2', 'EPS15', 'CNST', 'DNAJA1', 'SEC22B', 'CPSF6', 'OSBP', 'PEX12', 'GLE1', 'SFT2D2', 'HOOK3', 'RAB9A', 'MYO6', 'RP2', 'NCBP3', 'VIPAS39', 'PPP3CB', 'LONP2', 'ARRDC4', 'SLC43A3', 'GOLPH3L', 'STX6', 'STYX', 'KLHL20', 'POM121B', 'AP3M1', 'TVP23B', 'TRAK2', 'RAB7A', 'TVP23A', 'TGFBRAP1', 'ATG16L1', 'SFT2D1', 'C17orf75', 'ATG3', 'SLC13A3', 'ARF6', 'SLC15A4', 'SSR2', 'ERLEC1', 'SEC22C', 'GOLGA7', 'ZDHHC4', 'CMTM6', 'RAB5B', 'WASHC2A', 'ARCN1', 'VPS28', 'ATF2']
