pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	1	0.24887982291042862	1.3586527310156593	0.1111111111111111	61.93	{'CHST11;CSGALNACT1;CHST12;CHST7;XYLT1;CHST13;CHPF;B3GAT1;CHST3;B4GALT7;CHSY1;B3GALT6;B3GAT3;DSE;XYLT2;UST;CHPF2;CHST14;CHSY3'}
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	0.23733782978238885	-1.2862029563573152	0.1111111111111111	54.21	{'HS3ST2;XYLT2;B3GALT6;B3GAT2;HS6ST1;B4GALT7;NDST2;HS2ST1;EXTL2;HS3ST1;GLCE;EXT1;EXT2;HS3ST3B1;B3GAT3;EXTL3;B3GAT1'}
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	2	0.21698700918196967	1.3496017407740712	0.2222222222222222	76.2	{'HACD1;SCD;FADS1;FADS2;BAAT;ACOX3;SCD5;ELOVL6;ACOT4;ELOVL2;YOD1;ACOT7;HSD17B12;PECR;ELOVL5;ACOT1;TECR;ACOT2;ACOX1;ACAA1;HADHA;HACD2', 'HACD1;SCD;FADS1;BAAT;FADS2;ACOX3;ACOT4;SCD5;HSD17B12;ELOVL2;ACOT7;YOD1;ACOT1;ELOVL6;TECR;ACOT2;PECR;ACOX1;ELOVL5;ACAA1;HACD2;HADHA'}
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1	0.2159928597401739	-1.3272565867378436	0.1111111111111111	50.92	{'RBKS;PGLS;PRPS1;H6PD;RPIA;PGM1;PRPS2;PFKM;PFKL;PGM2;TALDO1;ALDOA;RPE;TKT;PGD;RPEL1;FBP1'}
KEGG_O_GLYCAN_BIOSYNTHESIS	3	0.2098852786872533	1.3525463681441516	0.3333333333333333	26.86	{'B4GALT5;GALNT1;GCNT1;GALNT16;GALNT13;GALNT18;GCNT3;GALNT15;ST6GALNAC1', 'B4GALT5;GALNT18;ST6GALNAC1;GCNT1;B3GNT6;GALNT1;GALNT16;GCNT3;GALNT13;GALNT15;GALNT14;ST3GAL1;GALNT10;GALNT7;GALNT11;C1GALT1;GALNT3;GALNT6;GALNT5', 'GALNT1;B4GALT5;GCNT1;GALNT13;GALNT16;GCNT3;ST6GALNAC1;GALNT15;GALNT18'}
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	4	0.2013874308554536	1.381698410017246	0.4444444444444444	71.9775	{'UGT2B4;UGT2B15;UGT2B7;CES1;UCK2;GUSB;CYP3A5;UGT1A4;UGT1A1;UGT1A9;UGT1A10;CDA;UGT1A8;UGT1A7;UGT1A6;TK2;CYP2A6;UMPS;NAT1;IMPDH1;UPP1;XDH;IMPDH2;DPYD;TYMP;HPRT1;TPMT;ITPA;UCKL1;GMPS;TK1;CES2', 'GUSB;CES1;UCK2;UGT2B15;UGT2B4;UGT2B7;CYP3A5;CDA;UGT1A7;UGT1A6;CYP2A6;UGT1A10;UGT1A9;UGT1A8;UGT1A1;UGT1A4;IMPDH1;UPP1;TK1;TYMP;IMPDH2;TPMT;HPRT1;UCKL1;CES2;NAT1;UCK1;DPYD;ITPA;UMPS;XDH', 'UGT2B4;UGT2B15;UGT2B7;CES1;GUSB;UCK2;CYP3A5;UGT1A1;UGT1A9;UGT1A6;UGT1A4;UGT1A10;UGT1A7;CDA;UGT1A8;CYP2A6;TK2;IMPDH1;UPP1;XDH;NAT1;UMPS;DPYD;TYMP;IMPDH2;HPRT1;ITPA;TK1;UCKL1', 'GUSB;CES1;UCK2;UGT2B15;UGT2B4;UGT2B7;CYP3A5;CDA;UGT1A7;UGT1A10;UGT1A6;UGT1A9;UGT1A8;UGT1A4;UGT1A1;CYP2A6;IMPDH1;TK1;UPP1;TYMP;IMPDH2;TPMT;HPRT1;CES2;UCKL1;UCK1;NAT1;ITPA;XDH;DPYD'}
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	1	0.19379720858269495	-1.3107652005304316	0.1111111111111111	65.15	{'HK1;PFKL;DLD;ALDH9A1;ALDH7A1;PFKM;ACSS2;ADH5;PDHA1;LDHB;PKM;DLAT;GALM;HK2;PGM2;ENO2;PGM1;AKR1A1;ENO1;PDHB;LDHA;ALDH3A2;ALDH2;PCK2;ALDH1B1;PGK1;PGAM1;PGAM4;BPGM;ALDOA;ADH7;ACSS1;ENO3;ALDH3B1;FBP1;HK3;TPI1;ALDH1A3;ADH1C;ALDOC;ADH6'}
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.18874526311677148	-1.3698531346541793	0.1111111111111111	17.57	{'GGPS1;FDPS;PMVK;MVK;HMGCS1;HMGCR;ACAT2'}
KEGG_PRIMARY_IMMUNODEFICIENCY	2	0.18784225259295717	0.10311925003612654	0.2222222222222222	59.975	{'DCLRE1C;RFXAP;RFX5;PTPRC;IL7R;RFXANK;TAP2;UNG;CIITA;JAK3;CD4;RAG1;BLNK;TAP1;ADA;CD40;ICOS;BTK;ZAP70;CD79A;CD19;TNFRSF13B;CD8B;IL2RG;CD8A;CD3D;LCK;CD3E', 'TNFRSF13C;IKBKG;CD40LG;CD3D;CD8B;CD79A;CD8A;CD19;TNFRSF13B;ZAP70;LCK;CD3E;IL2RG;BTK;PTPRC;CD4;RAG1;CIITA;BLNK;IL7R;ICOS;TAP2'}
KEGG_STARCH_AND_SUCROSE_METABOLISM	3	0.18515049352882126	1.3584639156952631	0.3333333333333333	40.973333333333336	{'AGL;ENPP1;GUSB;GPI;PYGL;UGT2B15;ENPP3;PYGM;UGT2B4;AMY2A;UGT2B7;UGT1A7;UGT1A10;AMY1C;UGT1A6;UGT1A9;UGT1A8;UGT1A4;AMY1B;UGT1A1;AMY1A;HK3', 'AGL;ENPP1;GUSB;GPI;PYGL;ENPP3;PYGM;UGT2B15;AMY2A;UGT2B4;UGT2B7;UGT1A7;UGT1A10;UGT1A6;UGT1A9;UGT1A8;UGT1A4;AMY1C;UGT1A1;AMY1B;HK3;AMY1A', 'UGT2B4;UGT2B15;UGT2B7;PYGL;ENPP3;GPI;PYGM;AGL;GUSB;AMY2A;ENPP1;UGT1A1;UGT1A9;UGT1A6;UGT1A4;UGT1A10;UGT1A7;UGT1A8;HK3;AMY2B;AMY1A;GAA'}
