pathway	freq	padj	stability	overlap	genes
KEGG_SPLICEOSOME	4	2.231748122406695e-11	0.4444444444444444	0.251984126984127	{'U2AF2;DDX46;SF3A1;PRPF8;SLU7;CDC40;RBM25;SRSF10;HNRNPU;DHX15;THOC2;U2SURP;AQR;PLRG1;CHERP;SNRNP27;SF3B3;SF3B1;SF3B2;TRA2B;HNRNPM;DHX8;PRPF40A;HNRNPK;SNRNP200;SRSF4;PRPF38B;TCERG1;RBMX;EFTUD2;DDX5;DDX42', 'DDX46;SF3A1;PRPF8;SLU7;CDC40;RBM25;SRSF10;HNRNPU;DHX15;THOC2;U2SURP;AQR;SNRNP27;SF3B3;SF3B1;SF3B2;TRA2B;HNRNPM;SF3A3;DHX8;PRPF40A;HNRNPK;SNRNP200;SRSF4;PRPF38B;TCERG1;RBMX;EFTUD2;DDX5;DDX42', 'DDX46;SF3A1;PRPF8;SLU7;CDC40;RBM25;SRSF10;HNRNPU;SNRNP40;DHX15;THOC2;U2SURP;AQR;SNRNP27;SF3B3;SF3B1;SF3B2;TRA2B;HNRNPM;SF3A3;DHX8;PRPF40A;DDX23;HNRNPK;SNRNP200;SRSF4;PRPF38B;TCERG1;RBM22;RBMX;EFTUD2;DDX5;DDX42'}
KEGG_RIBOSOME	1	3.0449099861041444e-10	0.1111111111111111	0.2823529411764706	{'RPL36A;RPL26;RPL11;RPS24;RPL37A;RPS27L;RPSA;RPS27A;FAU;RPL19;UBA52;RPS13;RPL15;RPL23;RPL14;RPL30;RPS27;RPS15;RPL35A;RPLP0;RPS12;RPL3;RPL29;RPS25'}
KEGG_RENAL_CELL_CARCINOMA	4	1.1899826616677611e-05	0.4444444444444444	0.23550724637681159	{'ARNT;AKT2;BRAF;CUL2;PAK1;PIK3CA;EP300;SOS2;CREBBP;SOS1;GAB1;PTPN11;RAF1;VHL;PIK3CB', 'ARNT;AKT2;BRAF;PAK1;PIK3CA;PAK2;RAP1A;EP300;SOS2;CREBBP;PIK3CB;GAB1;SOS1;PTPN11;RAF1;VHL;TGFB1;GRB2', 'ARNT;AKT2;BRAF;CUL2;PAK1;PIK3CA;EP300;SOS2;CREBBP;PIK3CB;GAB1;SOS1;PTPN11;RAF1;VHL;GRB2', 'ARNT;BRAF;CUL2;PAK1;PIK3CA;PAK2;EP300;SOS2;CREBBP;PIK3CB;GAB1;SOS1;PTPN11;RAF1;VHL;GRB2'}
KEGG_ACUTE_MYELOID_LEUKEMIA	4	2.0139577087346834e-05	0.4444444444444444	0.25	{'AKT2;BRAF;RPS6KB1;STAT5B;MTOR;TCF7L2;PIK3CA;SOS1;SOS2;STAT3;PIK3CB;RELA;RAF1;RUNX1;GRB2', 'AKT2;BRAF;RPS6KB1;STAT5B;TCF7L2;PIK3CA;SOS1;SOS2;STAT3;NFKB1;RELA;RAF1;PIK3CB', 'AKT2;BRAF;RPS6KB1;STAT5B;MTOR;TCF7L2;PIK3CA;SOS1;SOS2;STAT3;NFKB1;PIK3CB;RELA;RAF1;GRB2', 'BRAF;RPS6KB1;STAT5B;MTOR;TCF7L2;PIK3CA;SOS1;SOS2;STAT3;NFKB1;PIK3CB;RAF1;RUNX1;GRB2'}
KEGG_WNT_SIGNALING_PATHWAY	4	2.8217273816580806e-05	0.4444444444444444	0.16111111111111112	{'NFAT5;NLK;CTNNB1;ROCK1;GSK3B;SENP2;FBXW11;CSNK2A1;MAPK8;PSEN1;TCF7L2;EP300;LRP6;PPP2CB;ROCK2;SMAD4;TBL1XR1;CHD8;CREBBP;DAAM1;APC;CSNK1A1', 'NLK;CTNNB1;ROCK1;PPP3CB;GSK3B;SENP2;CSNK2A1;MAPK8;PSEN1;TCF7L2;SMAD3;EP300;LRP6;PPP2CB;ROCK2;SMAD4;TBL1XR1;CHD8;PRKACA;CREBBP;DAAM1;APC', 'NLK;CTNNB1;ROCK1;GSK3B;SENP2;CSNK2A1;MAPK8;PSEN1;TCF7L2;EP300;LRP6;PPP2CB;ROCK2;SMAD4;TBL1XR1;CHD8;PRKACA;CREBBP;DAAM1;APC;CSNK1A1', 'NFAT5;NLK;CTNNB1;ROCK1;GSK3B;SENP2;CSNK2A1;MAPK8;PSEN1;TCF7L2;EP300;LRP6;PPP2CB;ROCK2;SMAD4;TBL1XR1;CHD8;PRKACA;CREBBP;DAAM1;APC;CSNK1A1'}
KEGG_ERBB_SIGNALING_PATHWAY	4	3.2671767745169894e-05	0.4444444444444444	0.21296296296296297	{'AKT2;RPS6KB1;BRAF;MAPK8;MAP2K4;PAK1;PTK2;STAT5B;GSK3B;PIK3CA;SOS2;PIK3CB;GAB1;RAF1;SOS1', 'ABL2;RPS6KB1;BRAF;MAPK8;MAP2K4;PTK2;PAK1;MTOR;STAT5B;GSK3B;PIK3CA;PAK2;SOS1;SOS2;PIK3CB;GAB1;RAF1;GRB2', 'AKT2;RPS6KB1;BRAF;MAPK8;MAP2K4;PAK1;MTOR;PTK2;STAT5B;GSK3B;PIK3CA;SOS1;SOS2;PIK3CB;GAB1;RAF1;GRB2', 'BRAF;AKT2;MTOR;GSK3B;SOS2;GRB2;RPS6KB1;MAPK8;GAB1;PIK3CB;NCK2;ABL2;MAP2K4;STAT5B;PAK1;PIK3CA;PAK2;RAF1;SOS1'}
KEGG_COLORECTAL_CANCER	4	5.882273835413035e-05	0.4444444444444444	0.22916666666666666	{'MSH6;APPL1;AKT2;BRAF;MAPK8;SMAD4;CTNNB1;TCF7L2;GSK3B;SMAD3;PIK3CA;MLH1;RAF1;APC;TGFB1;PIK3CB', 'MSH6;APPL1;BRAF;MAPK8;SMAD4;CTNNB1;TCF7L2;GSK3B;PIK3CA;MLH1;RAF1;APC;PIK3CB', 'APPL1;AKT2;BRAF;MAPK8;SMAD4;CTNNB1;TCF7L2;GSK3B;PIK3CA;MLH1;RAF1;APC;PIK3CB'}
KEGG_ADHERENS_JUNCTION	4	6.270113696803953e-05	0.4444444444444444	0.20652173913043478	{'NLK;FER;TJP1;SMAD4;CTNNB1;TCF7L2;CTNNA1;IQGAP1;EP300;CREBBP;AFDN;FARP2;CTNND1;CSNK2A1', 'NLK;TJP1;SMAD4;CDH1;CTNNB1;TCF7L2;CTNNA1;SMAD3;IQGAP1;EP300;CREBBP;AFDN;FARP2;CTNND1;CSNK2A1'}
KEGG_PROSTATE_CANCER	4	6.348150360249851e-05	0.4444444444444444	0.1970588235294118	{'BRAF;MTOR;TCF7L2;CTNNB1;GSK3B;PIK3CA;EP300;SOS2;CREBBP;SOS1;CREB1;NFKB1;PIK3CB;RAF1;GRB2', 'AKT2;BRAF;MTOR;TCF7L2;CTNNB1;GSK3B;PIK3CA;EP300;SOS2;CREBBP;SOS1;CREB1;RELA;PIK3CB;RAF1;GRB2', 'BRAF;CTNNB1;CREB1;AKT2;MTOR;GSK3B;SOS2;RELA;GRB2;TCF7L2;EP300;PTEN;NFKB1;PDPK1;PIK3CB;PIK3CA;CREBBP;RAF1;SOS1', 'AKT2;BRAF;TCF7L2;CTNNB1;GSK3B;PIK3CA;EP300;SOS2;PTEN;CREBBP;CREB1;RELA;PDPK1;NFKB1;PIK3CB;RAF1;SOS1'}
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY	4	7.799627612158198e-05	0.4444444444444444	0.163135593220339	{'AKT2;BRAF;MAP2K5;MAPK8;PSEN1;GSK3B;PIK3CA;SOS2;NFKB1;GAB1;RELA;PTPN11;PDPK1;KIDINS220;MAPK14;PIK3CB;RAF1;SOS1', 'BRAF;GSK3B;RPS6KA3;SOS2;PTPN11;MAPK14;GRB2;MAPK8;TRAF6;MAP2K5;PSEN1;NFKB1;GAB1;KIDINS220;PIK3CB;PRDM4;PIK3CA;CALM1;RAF1;SOS1', 'BRAF;AKT2;GSK3B;SOS2;RELA;PTPN11;MAPK14;GRB2;MAPK8;MAP2K5;PSEN1;NFKB1;GAB1;PDPK1;KIDINS220;PIK3CB;PIK3CA;RAF1;SOS1', 'BRAF;AKT2;GSK3B;RPS6KA3;RAP1A;SOS2;RELA;PTPN11;MAPK14;GRB2;MAPK8;TRAF6;PSEN1;KIDINS220;GAB1;PIK3CB;PRDM4;PIK3CA;RAF1;SOS1'}
