pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_PENTOSE_PHOSPHATE_PATHWAY	1	0.22932218255379774	1.2927551771786758	0.1111111111111111	64.33	{'RBKS;PGLS;PRPS1;H6PD;RPIA;PFKP;PGM1;PRPS2;PFKM;PFKL;PGM2;TALDO1;ALDOA;RPE;DERA;TKT;PGD;ALDOB;RPEL1;FBP1'}
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	1	0.2290306501522752	1.2907445095600745	0.1111111111111111	71.14	{'ST6GALNAC3;GLB1;HEXB;SLC33A1;ST3GAL2;HEXA;B4GALNT1;ST6GALNAC6;B3GALT4;ST8SIA1;ST3GAL5;ST6GALNAC5;ST6GALNAC4;ST3GAL1'}
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	0.2277276571127095	1.2650739898381462	0.1111111111111111	63.75	{'EXT2;NDST2;NDST1;EXT1;EXTL3;XYLT2;HS2ST1;EXTL2;GLCE;B4GALT7;B3GAT2;HS6ST1;B3GALT6;B3GAT3;HS6ST2;B3GAT1;HS3ST5;XYLT1;HS3ST1'}
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	1	0.20978365538935612	1.2788272962906502	0.1111111111111111	28.7	{'GRHPR;CS;ACO2;MTHFD1L;MTHFD1;AFMID;ACO1;MDH1'}
KEGG_BASAL_CELL_CARCINOMA	2	0.19747264355034394	1.308460139272289	0.2222222222222222	63.364999999999995	{'GSK3B;APC;CTNNB1;TCF7L2;SUFU;DVL3;DVL2;PTCH1;STK36;AXIN1;FZD5;WNT2B;FZD1;TP53;LEF1;FZD6;TCF7L1;DVL1;HHIP;WNT7B;WNT9A;GLI3;WNT5A;GLI2;PTCH2;FZD2;SMO;TCF7;GLI1;FZD7;AXIN2;WNT5B;BMP2;WNT10B;FZD3;FZD4;FZD8;BMP4', 'GSK3B;APC;CTNNB1;TCF7L2;SUFU;DVL3;DVL2;PTCH1;STK36;AXIN1;FZD5;WNT2B;FZD1;TP53;LEF1;FZD6;TCF7L1;WNT7B;HHIP;DVL1;WNT9A;GLI3;WNT5A;GLI2;PTCH2;FZD2;SMO;TCF7;GLI1;AXIN2;FZD7;WNT5B;BMP2;FZD3;WNT10B;FZD4;BMP4;FZD8'}
KEGG_OLFACTORY_TRANSDUCTION	3	0.17357604400969576	1.3426267206047136	0.3333333333333333	45.830000000000005	{'PRKACA;CALM1;CALM3;CAMK2G;PRKACB;CAMK2D;ADCY3;PRKG1;OR2A7;ARRB2;GNAL;OR2A4;CALM2;PRKG2;PRKX;OR7A5;GRK3;GUCA1B', 'PRKACA;CALM1;CALM3;CAMK2G;PRKACB;CAMK2D;ADCY3;PRKG1;OR2A7;ARRB2;OR2A4;GNAL;CALM2;PRKG2;PRKX;OR7A5;GUCA1B;GRK3', 'CALM1;PRKACA;CAMK2D;CALM3;CAMK2G;OR2A7;GNAL;CALM2;OR2A4;PRKACB;PRKG1;ADCY3;PRKG2;PRKX;ARRB2;OR7A5;GUCA1B'}
KEGG_VIRAL_MYOCARDITIS	1	0.1694614937970199	1.3774130975030836	0.1111111111111111	58.06	{'HLA-A;BID;HLA-E;ICAM1;CASP3;CASP8;DAG1;CASP9;CXADR;EIF4G2;RAC1;FYN;HLA-DQA2;ABL2;HLA-F;CD80;ACTG1;EIF4G3;HLA-C;HLA-DMB;LAMA2;SGCB;MYH14;MYH10;DMD;CD40;HLA-G;ITGB2;SGCA;MYH3;SGCG;CAV1;CD86;CD28;ACTB;HLA-DQB1;ABL1;MYH9;HLA-B;CD40LG;SGCD;EIF4G1;HLA-DPA1'}
KEGG_CALCIUM_SIGNALING_PATHWAY	3	0.16078277294228546	1.369443134275673	0.3333333333333333	57.35666666666666	{'CALM1;PPID;PHKB;PLCE1;ATP2A2;PPP3CB;PRKACA;PPP3CA;PPP3R1;ITPR2;P2RX4;CAMK2D;ERBB2;SLC8A1;ADCY9;ATP2B1;PLCD4;CALM3;ATP2B4;ITPR1;PLCB1;GNAS;PHKA2;CAMK2G;GNA11;GNA15;MYLK;ITPR3;VDAC1;PLCG1;ADCY7;GNAL;CHP1;CALM2;PRKACB;CACNA1C;PLCB4;ADCY3;ERBB3;EGFR;HRH1;GNAQ;PPP3CC;PRKX;ITPKB;CYSLTR2;EDNRA;PRKCB;PTK2B;LTB4R2;PLCD1;CACNA1D;ERBB4;TRPC1;PLCG2;SPHK2;PHKA1;VDAC3;ADORA2B;CAMK4;CHRM3;BST1;PDGFRB;RYR1;PRKCA;VDAC2;PDE1C;EDNRB;SLC25A5;PHKG2;ADCY4;PLCB2;TBXA2R;GNA14;PDGFRA;PDE1A;PTGFR;PLCB3;NOS3;PDE1B;PTAFR;ADCY1;HTR2B;F2R;HRH2;PLCD3;ADORA2A;ADRA1B;CACNA1F;NOS2;CAMK2B;ATP2A3;PTGER3;ATP2A1;CALML5;TACR2;P2RX7;CYSLTR1;AGTR1;PTGER1;PLN;OXTR;SLC25A4;BDKRB1;CD38;GRIN1;BDKRB2', 'PRKACA;GNA11;PPID;PHKB;ITPR2;CALM1;PLCE1;PPP3CB;ATP2A2;PPP3R1;PHKA2;PPP3CA;P2RX4;ITPR1;PLCG1;ERBB2;CALM3;CAMK2G;PLCB1;ATP2B1;PRKACB;SLC8A1;CAMK2D;ITPR3;ADCY9;PLCD4;ATP2B4;GNA15;PLCD1;PLCB3;ADCY7;ADCY3;MYLK;GNAS;SPHK2;ERBB3;GNAQ;VDAC1;PLCB4;PTK2B;TBXA2R;GNAL;ADCY4;CHP1;HRH1;CALM2;LTB4R2;CACNA1C;EGFR;PPP3CC;ITPKB;PRKCA;PLCB2;PRKX;PHKG2;NOS3;ERBB4;VDAC3;CYSLTR2;RYR1;EDNRA;CACNA1D;PRKCB;CAMK4;TRPC1;PHKA1;CHRM3;PLCG2;CACNA1H;PDGFRB;PDE1A;ADORA2B;PLCD3;BST1', 'PRKACA;GNA11;PPID;ITPR2;PHKB;PLCE1;CALM1;PPP3CB;ATP2A2;ITPR1;PHKA2;PPP3R1;PPP3CA;P2RX4;PLCG1;ERBB2;CALM3;PLCB1;CAMK2G;PRKACB;ATP2B1;SLC8A1;CAMK2D;ITPR3;ADCY9;PLCD4;ATP2B4;GNA15;MYLK;PLCD1;PLCB3;GNAS;ADCY7;ADCY3;SPHK2;ERBB3;GNAQ;VDAC1;PLCB4;PTK2B;TBXA2R;HRH1;ADCY4;GNAL;CACNA1C;CHP1;LTB4R2;CALM2;EGFR;PPP3CC;ITPKB;PRKCA;PLCB2;PRKX;PHKG2;NOS3;ERBB4;VDAC3;CYSLTR2;CACNA1D;RYR1;EDNRA;PRKCB;PLCG2;CAMK4;PDE1A;CHRM3;PHKA1;TRPC1;CACNA1H'}
KEGG_ANTIGEN_PROCESSING_AND_PRESENTATION	2	0.1543444772618762	1.4310010853112836	0.2222222222222222	22.645000000000003	{'RFX5;B2M;CTSB;RFXAP;HSPA1L;RFXANK;CREB1;HLA-A;HLA-E;CALR;PSME1;TAPBP;HSPA4;HSPA5;NFYB;LGMN;PSME3;TAP2;PSME2;HSP90AA1;PDIA3;HLA-DQA2;TAP1;HLA-F;CTSS;NFYC', 'HLA-A;HLA-DQA2;PSME1;TAP1;HSPA5;HSPA1L;HLA-G;PSME2;RFXANK;B2M;HSPA6;PDIA3;TAPBP;HLA-C;HLA-DMB;NFYB;HSP90AA1;HLA-E;HSPA4;LGMN;CTSS'}
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	4	0.15361048485253814	1.4663763825446061	0.4444444444444444	63.3425	{'GLUD1;CAD;GLUL;ALDH5A1;GLUD2;GLS;PPAT;GOT2;ADSL;ABAT;CPS1;GFPT1;ASL;NIT2;ASS1;GAD1;ASNS;GLS2;ASPA;GOT1;ALDH4A1;DDO;GPT2;IL4I1', 'CPS1;ASS1;GLUL;GLUD1;GOT1;ASL;GFPT1;NIT2;CAD;ALDH4A1;IL4I1;GLUD2;DDO;GOT2;PPAT;ASNS;ABAT;GAD1;ADSL;GFPT2;GPT2', 'GLUD1;GLS;CAD;GLUL;GLUD2;ALDH5A1;CPS1;PPAT;GOT2;ADSL;ASL;ABAT;GFPT1;ALDH4A1;ASS1;NIT2;ASNS;GAD1;GLS2;ASPA;GOT1;IL4I1;DDO;GPT;GPT2', 'GLUD1;GLUL;CAD;GLUD2;ALDH5A1;GOT2;CPS1;GFPT1;ASL;PPAT;NIT2;ASS1;ADSL;ABAT;GLS;GOT1;ALDH4A1;ASNS;GLS2;DDO;GAD1;IL4I1;ASPA;GFPT2'}
