pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_CHORION_DEVELOPMENT	1	0.24962706185406366	1.375026866129958	1.0	47.82	{'PAXIP1;FZD5;MAP3K4;DNAJB6;TMED2;E2F7;E2F8'}
GOBP_REGULATION_OF_RAB_PROTEIN_SIGNAL_TRANSDUCTION	1	0.24950772827083784	1.3750193257339034	1.0	57.76	{'DENND4C;MADD;DENND4A;DENND4B;DENND1A;DENND3;SGSM3'}
GOBP_NUCLEOTIDE_SUGAR_METABOLIC_PROCESS	1	0.2494290484088314	1.3755668909190137	1.0	28.33	{'TGDS;GFPT1;UGP2;PARG;GMPPB;DPAGT1;GSK3A;UGGT2;MPI;UXS1;GNE;SLC35A3;EXTL2;GALT;PGM3'}
GOBP_AMYLOID_BETA_METABOLIC_PROCESS	1	0.24941237181771034	1.3757142511256144	1.0	40.81	{'SP1;RELA;RTN2;ROCK2;BECN1;APH1A;GGA3;RTN4;CASP3;RTN3;PSEN2;DYRK1A;PSEN1;GSK3A;TMED10;ROCK1;PICALM;IDE;BACE1;NCSTN;BIN1;PRNP;PIN1;SLC2A13;APEH;MIR186;APH1B;SORL1;IFNGR1'}
GOBP_POSITIVE_REGULATION_OF_CENTRIOLE_REPLICATION	1	0.2494017012586909	1.3754726049762414	1.0	51.53	{'NUP62;VPS4B;CEP120;CEP295;CENPJ;SASS6;STIL;PLK4'}
GOBP_PYRUVATE_METABOLIC_PROCESS	1	0.24929856587302776	1.3754495400916351	1.0	62.0	{'ENTPD5;SRR;PRKAA1;OGDH;PRKAG1;PDHB;STAT3;LDHC;DLAT;ARNT;PDHA1;PPARA;VDAC1;PFKFB2;FOXK2;HK1;PSEN1;ADPGK;ME2;SIRT6;DLD;DHTKD1;PFKM;EP300;HKDC1;HK2;PDHX;PGM1;TIGAR;NCOR1;ENO4;FOXK1;PDK2;PC;ENO1;PDK3;LDHB;PRKAA2;ZBTB7A;APP;GIT1;MPC2;PFKL;PRKAG2;EIF6;INSR;ZBTB20;SDS;HIF1A;PGAM1;OGT;ENO2;BPGM;IGF1;ME3;PDK4;PKM;HDAC4;GPD1;LDHA;ME1;GPI;PGK1;GAPDHS;MLXIPL;ARL2;MYC;PCK2;SLC4A4'}
GOBP_ACTIN_FILAMENT_POLYMERIZATION	1	0.2490644949002198	1.37630578973891	1.0	57.09	{'ARF6;LATS1;NCK2;CDC42EP4;WASHC5;RAC1;GRB2;WASHC2C;PYCARD;FLII;CAPZB;DIAPH1;RASA1;SNX9;ARFGEF1;VASP;SPTBN1;MTOR;PRKCE;TMOD1;TTC17;COTL1;SSH1;WASHC3;TRIOBP;RDX;SSH3;FER;CYFIP1;FCHSD2;CAPZA1;CARMIL1;FCHSD1;ADD1;WASL;GBA2;DLG1;TMOD2;SVIL;TMOD3;TWF2;JAK2;ARHGAP18;ARPC2;ABL1;EPS8;PRKCD;RICTOR;PSTPIP2;NCK1;BIN1;NCKAP1;BAIAP2L1;CTTN;SSH2;DMTN;MLST8;SPTAN1;RHOA;FMN1;SPIRE1;MTPN;ARPC4;CDC42EP1;BAG4;KANK1;ARPC3;HIP1R;ARPC1B;MKKS;MYADM;TMSB15A;COBL;BBS4;SPTBN2;VIL1;WASF3;ARPC1A;CORO7;PTK2B;ESAM;ADD3;CAPZA2;BAIAP2;DBN1;ARHGAP28;PREX1;KANK3;TWF1;CDC42EP3;CYFIP2;DBNL;GSN;EVL;SLIT2;CAPG;DIAPH3;ARHGAP6;CDC42EP5;SCIN'}
GOBP_LIPID_DROPLET_FORMATION	1	0.2490065548968911	1.376226526988423	1.0	11.18	{'CDS1;SQLE;AUP1;ZFYVE1;CDS2'}
GOBP_CELLULAR_RESPONSE_TO_OXYGEN_LEVELS	1	0.24899071950214405	1.3764977870629627	1.0	44.29	{'VHL;ATF2;HIF1AN;PRKAA1;BAD;SIRT4;EGLN1;ROCK2;CBL;ATP6V1A;HP1BP3;USP19;TBL2;ATP7A;ZFP36L1;CARD16;BNIP3L;SIRT1;TMBIM6;ATG7;PINK1;MTOR;TMEM199;EGR1;PRKCE;NFE2L2;FOXO3;ATP6AP1;NPEPPS;AIFM1;RBPJ;HIPK2;UBQLN1;NDUFS2;MIEF1;BACH1;PIK3CB;TIGAR;EEF2K;PLK3;ADAM8;SLC9A1;SLC29A1;GNGT1;KCNMB1;KCND2;CFLAR;PPARD;ENO1;P4HB;RWDD3;PDK3;DDAH1;EGLN2;SRC;MT3;ATP6V0A2;CPEB4;ERO1A;LMNA;TSC1;DNMT3A;NDNF;PTEN;NOTCH1;STC2;FAS;MDM2;EDN1;AJUBA;SLC8A1;CPEB2;TP53;IRAK1;HYOU1;NKX3-1;MDM4;EPAS1'}
GOBP_RESPONSE_TO_CYTOKINE	1	0.24875482745109995	1.376843278388375	1.0	18.27	{'IFITM3;RELB;MED1;CD58;XIAP;SOCS5;UBXN2A;RFFL;CDC42EP4;RNF185;SMARCA5;IRAK4;RELA;TRAF6;LSM14A;KLHL20;MAPK14;EIF2AK2;VRK2;MAPK1;PARP9;PPP3CB;YTHDF2;PARP16;NR1H2;CTR9;OXSR1;OTUD4;STIP1;CXCL16;ACTR2;BAD;RPS6KB1;CALCOCO2;ADIPOR2;MST1R;NKIRAS1;SYNCRIP;RRAGA;BIRC2;ADAR;IFITM2;YAP1;DDX58;RBMX;STAT3;PTPN11;PNPT1;RC3H1;CBL;PYCARD;TRIM44;ACTR3;STXBP4;CREB1;DDOST;VAMP3;TNFRSF11A;OAS2;YY1;ABCD4;PARP14;SRSF7;BCLAF1;IL13RA1;SP100;APPL2;IL17RA;DOK1;IL10RB;KEAP1;TRIM21;KDM3A;DHX9;ACTN4;MCL1;IFI27;CD47;ZFP36L1;LIMS1;NUB1;FGG;RNMT;CNOT7;TIMP2;IFITM1;OSMR;HIPK1;SPPL2A;NMI;USP10;CARD16;REL;RIPK1;SIRT1;APPL1;PAFAH1B1;CNOT9;STAT5B;HSPA5;CASP3;ERBIN;TRIM56;SRSF3;OAS3;XAF1;STXBP3;CDK9;CASP8;LDLRAP1;ETV3;HNRNPU;RABGEF1;PIAS3;NFYB;NCL;XRCC5;MYD88;AGPAT1;EGR1;PCSK1;ILK;TRIM25;PRKACA;STAT6;TANK;IFNLR1;ADIPOR1;PDE12;IL1RL2;SPRY2;SETD2;ADAM10;IFIH1;PRPF8;SRF;IKBKE;IFNGR2;MAP4K3;PTPN2;ILDR1;IGBP1;ASS1;CRKL;MAT2A;RPS6KA5;INPP5K;NFE2L2;PRKCI;PLSCR1;IL27RA;CTBP2;SYNJ1;MAP3K5;WBP1L;CDC37;GBA;UPF1;FOXO3;KIF5B;ALAD;STAT2;SOS1;TNFRSF1A;MAPKAPK2;GREM2;CYLD;IFNAR2;PELI3;MTF2;HSP90AB1;CACTIN;FER;PLP2;EXT1;RAD23B;CLCF1;CAPN2'}
GOBP_POSITIVE_REGULATION_OF_TRANSCRIPTION_OF_NOTCH_RECEPTOR_TARGET	1	0.24860004919994233	1.3771126306553476	1.0	57.4	{'MAML1;RBPJ;MAML3;MAML2;NOTCH1;RBM15;NOTCH4'}
GOBP_REGULATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY_INVOLVED_IN_EXECUTION_PHASE_OF_APOPTOSIS	1	0.24757478248958387	1.3782510896042546	1.0	21.59	{'RFFL;PAK2;RNF34;RFPL1'}
