pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_LONG_TERM_DEPRESSION	1	0.24534288789833178	1.27789447093085	1.0	62.75	{'GNA13;MAPK1;ARAF;MAP2K2;LYN;RAF1;GNA11;PPP2R1B;ITPR3;GNA12;NRAS;PPP2R1A;PPP2CB;MAP2K1;BRAF;PLA2G12A;PPP2CA;GNAI3;KRAS;MAPK3;ITPR2;GNAQ;PRKG2;GNAI2;PRKCA;PLCB3;IGF1R;ITPR1;GNAS;IGF1;PLCB1;GNAI1;GNAO1;PLA2G4E;PLA2G1B;PLCB2;PLA2G4A;RYR1;PRKG1;GNAZ;PRKCB;PLCB4'}
KEGG_PPAR_SIGNALING_PATHWAY	1	0.21921686618155076	1.3107011862234361	1.0	78.84	{'RXRB;ACADM;PPARA;ACOX1;ILK;ACAA1;PDPK1;SCP2;CPT2;ACSL3;SLC27A1;ACSL1;PPARD;SCD;ACSL4;EHHADH;DBI;UBC;CPT1C;HMGCS2;SORBS1;ACSL5;RXRA;NR1H3;ACADL;CPT1A;OLR1;PLTP;CD36;ME1;SLC27A2;PPARG;FABP4;RXRG;LPL;ACOX2;PCK2;CYP27A1;FADS2;SCD5;ACOX3;GK;FABP3;SLC27A4;CPT1B;FABP5;MMP1;SLC27A5'}
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	1	0.21919739984841835	1.313801849231161	1.0	32.87	{'IRAK4;RELA;TRAF6;MAPK14;MAPK1;RAC1;TAB2;MAP2K4;TAB1;MAP2K3;TICAM1;MAP2K2;RIPK1;CASP8;MYD88;IKBKE;PIK3CA;IFNAR2;PIK3R2;MAP3K7;MAPK9;MAP2K1;JUN;TIRAP;PIK3CB;CHUK;TBK1;MAP2K7;MAPK8;AKT2;PIK3CD;NFKB1;TOLLIP;IKBKB;FADD;MAPK3;TRAF3;TLR3;IRF3'}
KEGG_TGF_BETA_SIGNALING_PATHWAY	1	0.2071203563108865	1.3304637157176054	1.0	31.61	{'SP1;TGFB1;TFDP1;MAPK1;RPS6KB1;ROCK2;BMPR2;CUL1;RBL2;SMURF2;E2F4;BMPR1A;SKP1;ZFYVE9;SMAD5;TGFBR2;PPP2R1B;ACVR1;PPP2R1A;ZFYVE16;PPP2CB;EP300;ROCK1;SMAD3;SMAD4;SMAD7;PPP2CA;CDKN2B;SMURF1;CREBBP;BMP5;SMAD2;ACVR2B;SMAD1;MAPK3'}
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	1	0.19895260805406445	1.3441062408286855	1.0	35.97	{'FPGT;GNPDA2;GFPT1;UGP2;HK1;GMPPB;CYB5R1;NAGK;GNPDA1;MPI;UXS1;GNE;HK2;HEXB;PGM1;PGM2;GALT;PGM3;GALK2;GMPPA;CMAS;CYB5R3'}
KEGG_BETA_ALANINE_METABOLISM	1	0.19747799178172157	1.3491048439781708	1.0	67.83	{'HADHA;ALDH9A1;ACADM;MLYCD;ALDH2;SRM;EHHADH;HIBCH;ALDH1B1;DPYD;ALDH7A1;ABAT;SMS;ECHS1;ALDH3A2;AOC3;GAD1'}
KEGG_BUTANOATE_METABOLISM	1	0.18889631010292274	1.363174523492657	1.0	62.51	{'HADHA;ALDH9A1;PDHB;HMGCS1;PDHA1;HMGCL;ACAT2;ALDH2;EHHADH;HADH;BDH2;ALDH1B1;AACS;HMGCS2;ALDH7A1;L2HGDH;ACSM5;OXCT1;ALDH5A1;ACSM3;ABAT;BDH1;ACAT1;ECHS1;ALDH3A2'}
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.18567965108738008	1.3705593112012218	1.0	62.51	{'HADHA;ALDH9A1;ALDH2;EHHADH;ALDH1B1;ALDH7A1;YOD1;ECHS1;ALDH3A2'}
KEGG_PYRUVATE_METABOLISM	1	0.1834977936511331	1.3799614925786687	1.0	65.34	{'ALDH9A1;PDHB;LDHC;GRHPR;DLAT;PDHA1;ACAT2;ME2;DLD;ACACA;ALDH2;PC;GLO1;LDHB;MDH1;ALDH1B1;ACSS2;ALDH7A1;ACACB;ME3;PKM;LDHA;ACYP1;ME1;ACAT1;PCK2;HAGH;ALDH3A2;ACYP2'}
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS	1	0.18287641782443234	1.3777869751988656	1.0	42.47	{'MAPK14;RAB5A;PPP3CB;RAC1;BAD;PPP3R1;APAF1;MAP2K3;CASP3;DERL1;BID;MAP3K5;TNFRSF1A;PPP3CA;CHP1;TOMM40L;ALS2;CASP9;BCL2L1;BAX;CCS;CAT;MAPK13;CASP1;DAXX;TP53'}
