pathway	freq	padj	stability	overlap	genes
GOBP_PROTEOLYSIS	1	1.4911319347919307e-12	1.0	0.09973404255319149	{'TNFAIP8;CUL4A;CTSO;MBTPS2;RNF149;SOCS5;TMF1;SPINK2;NRDC;PSMA6;GBA;NR1H3;ARL6IP5;UBXN6;NLRP2;CASP7;IMMP2L;PSMC2;HTRA2;PYCARD;ADAM8;DNAJB12;SNX9;UBA3;SCRN1;RHBDL2;PSMB4;SPOP;EDEM2;FBXO8;AUP1;CASP4;PSMD4;CLDN4;RNF26;SERPINB1;RNF167;NGLY1;CPS1;VPS28;UBE2L6;CAMLG;EPHA7;NUB1;FBXL20;UBXN2A;FBXO17;DNAJB2;SUPT20H;USP4;RNF115;BAD;PMPCB;PSMA3;TNFSF10;ADGRV1;BFAR;NR1H2;SERPINB9;PSMC5;PLAT;TAF12;ANAPC5;BIRC2;ZFAND2B;NUP98;STT3B;AGBL3;NEMF;APH1A;FBXO4;NCLN;WDR48;NDEL1;RNFT1;RPL11;FBXL12;TNIP1;FBXO11;TGFB1;ATP6AP2;UBXN4;MKRN2;USP40;TANK;SPCS2;CRYAB;CARD16;LYN;SYVN1;QPCTL;AMZ2;PCID2;FBXO6;KEAP1;METAP1D;PSMD9;RAD23A;UBAC2;SMAD3;CAPN7;AMN1;COPS6;FBXO44;TIMP2;ROCK2;UBA1;RNF144A;TMUB2;MAN1B1;MVB12A;CTSB;TRIM13;SERPINB6;RFFL;SIRT4;UBE2A;PRCP;KLHDC2;MINDY1;USP9X;BCL10;PDCD6IP;CUL4B;DERL2;PSMD3;UBE2D3;VCP;FIS1;CHMP5;KAT5;NTAN1;RNF114;LGALS9;SCRN3;DDX3X;UBE2B;XDH;IFI27;STAMBP;PSMC3;TRIM21;UBE2Z;OTUD5;C1RL;DNPEP;SCPEP1;RAF1;ERLEC1;ATXN3'}
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1	1.8519915702757107e-11	1.0	0.10393964794635373	{'CUL4A;CTSO;RNF149;SOCS5;TMF1;NRDC;PSMA6;GBA;UBXN6;PSMC2;VPS11;HTRA2;ADAM8;DNAJB12;SNX9;SLFN13;SPOP;PSMB4;AUP1;EDEM2;FBXO8;PSMD4;PHAX;RNF26;NT5C3B;RNF167;NGLY1;VPS28;CASC3;UBE2L6;CNOT8;CAMLG;NUB1;FBXL20;UBXN2A;FBXO17;RNASET2;DNAJB2;USP4;PUM2;RNF115;MOV10;PSMA3;BFAR;PSMC5;OAZ2;CEMIP;ANAPC5;BIRC2;ZFAND2B;STT3B;NEMF;OAS2;UVRAG;FBXO4;RNFT1;RPL11;ATG7;FBXL12;FASTKD3;FBXO11;TGFB1;UBXN4;MKRN2;USP40;PNRC2;UPF3A;RELA;MLH1;SYVN1;PCID2;KEAP1;FBXO6;PPP1CA;RAD23A;UBAC2;PSMD9;SMAD3;AMN1;FBXO44;TIMP2;ROCK2;RNF144A;TMUB2;TRDMT1;MAN1B1;MVB12A;TRIM13;CTSB;NBDY;SEC22B;RFFL;UBE2A;DCPS;KLHDC2;USP9X;DIS3L;PDCD6IP;PSMD3;EXOSC10;DERL2;MYD88;CUL4B;UBE2D3;VCP;CHMP5;PARN;CDH1;LRP2;ZFP36L1;KAT5;NTAN1;RNF114;RAB7A;RNASEH2C;RBM7;UBE2B;VGLL4;IFI27;UBE2Z;PSMC3;UBA1;ERLEC1;ATXN3'}
GOBP_RESPONSE_TO_VIRUS	1	4.6995701381930956e-11	1.0	0.16119402985074627	{'OAS2;IFI44L;RNF135;TRIM13;RNF26;IFITM3;PPM1B;BANF1;DHX58;ATG12;ATG7;TRIM34;GTF2F1;APOBEC3F;PLSCR1;TTC4;MX2;IFI44;RSAD2;IFIT3;MYD88;RELA;PUM2;IRF9;MOV10;MICA;PYCARD;EIF2AK2;IFITM1;OAS1;SMAD3;IFNAR2;DDX58;IFITM2;IL10RB;IFNGR2;LGALS9;IRF1;DDX3X;IFIH1;BIRC2;MX1;SLFN13;IFI27;AUP1;TRIM8;TRIM21;LGALS8;IFIT5;IRF2;PARP9;NMI;OAS3;PQBP1'}
GOBP_DEFENSE_RESPONSE_TO_SYMBIONT	1	4.930125110038505e-11	1.0	0.18292682926829268	{'OAS2;IFI44L;RNF135;TRIM13;RNF26;IFITM3;PPM1B;DHX58;ATG12;ATG7;TRIM34;APOBEC3F;PLSCR1;TTC4;MX2;RSAD2;IFIT3;MYD88;RELA;PUM2;IRF9;MOV10;MICA;PYCARD;IFITM1;OAS1;EIF2AK2;DDX58;IFNAR2;IFITM2;IL10RB;IFNGR2;IRF1;IFIH1;BIRC2;MX1;SLFN13;TRIM8;IFI27;IFIT5;TRIM21;IRF2;PARP9;OAS3;PQBP1'}
GOBP_CELLULAR_PROTEIN_CATABOLIC_PROCESS	1	1.1653231873009442e-09	1.0	0.11424731182795698	{'CUL4A;CTSO;RNF149;SOCS5;TMF1;PSMA6;GBA;UBXN6;PSMC2;VPS11;HTRA2;DNAJB12;SPOP;PSMB4;AUP1;EDEM2;FBXO8;PSMD4;RNF26;RNF167;NGLY1;VPS28;UBE2L6;CAMLG;NUB1;FBXL20;UBXN2A;FBXO17;DNAJB2;USP4;RNF115;PSMA3;BFAR;PSMC5;ANAPC5;BIRC2;ZFAND2B;STT3B;NEMF;FBXO4;RNFT1;RPL11;FBXL12;FBXO11;UBXN4;MKRN2;USP40;SYVN1;KEAP1;FBXO6;RAD23A;UBAC2;PSMD9;AMN1;FBXO44;RNF144A;TMUB2;MAN1B1;MVB12A;TRIM13;CTSB;RFFL;UBE2A;KLHDC2;USP9X;PDCD6IP;PSMD3;DERL2;UBE2D3;CUL4B;VCP;CHMP5;LRP2;KAT5;NTAN1;RNF114;RAB7A;UBE2B;VGLL4;IFI27;UBE2Z;PSMC3;UBA1;ERLEC1;ATXN3'}
GOBP_PROTEIN_CATABOLIC_PROCESS	1	1.316105153105132e-09	1.0	0.10783200908059024	{'CUL4A;CTSO;RNF149;SOCS5;TMF1;NRDC;PSMA6;GBA;UBXN6;PSMC2;VPS11;HTRA2;ADAM8;DNAJB12;SNX9;SPOP;PSMB4;AUP1;EDEM2;FBXO8;PSMD4;RNF26;RNF167;NGLY1;VPS28;UBE2L6;CAMLG;NUB1;FBXL20;UBXN2A;FBXO17;DNAJB2;USP4;RNF115;PSMA3;BFAR;PSMC5;OAZ2;ANAPC5;BIRC2;ZFAND2B;STT3B;NEMF;FBXO4;RNFT1;ATG7;RPL11;FBXL12;FBXO11;UBXN4;MKRN2;USP40;RELA;SYVN1;KEAP1;FBXO6;RAD23A;UBAC2;PSMD9;SMAD3;AMN1;FBXO44;TIMP2;RNF144A;TMUB2;MAN1B1;MVB12A;TRIM13;CTSB;SEC22B;RFFL;UBE2A;KLHDC2;USP9X;PDCD6IP;PSMD3;DERL2;UBE2D3;CUL4B;VCP;CHMP5;CDH1;LRP2;KAT5;NTAN1;RNF114;RAB7A;UBE2B;VGLL4;IFI27;UBE2Z;PSMC3;UBA1;ERLEC1;ATXN3'}
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS	1	4.697314335356092e-09	1.0	0.09682804674457429	{'CUL4A;CTSO;RNF149;SOCS5;TMF1;NRDC;PSMA6;GBA;UBXN6;PIPOX;PSMC2;VPS11;HTRA2;OGG1;ADAM8;DNAJB12;SNX9;SPOP;PSMB4;AUP1;EDEM2;FBXO8;PSMD4;HYKK;RNF26;SLC25A21;RNF167;NGLY1;VPS28;UBE2L6;CAMLG;NUB1;FBXL20;UBXN2A;SMPDL3A;FBXO17;DNAJB2;USP4;RNF115;ACER3;PSMA3;BFAR;PSMC5;OAZ2;CEMIP;ANAPC5;BIRC2;ZFAND2B;BCKDK;STT3B;NEMF;FBXO4;GLUL;RNFT1;RPL11;ATG7;FBXL12;FBXO11;TGFB1;UBXN4;GGACT;MKRN2;USP40;RELA;SYVN1;KEAP1;FBXO6;RAD23A;UBAC2;PSMD9;SMAD3;AMN1;FBXO44;TIMP2;RNF144A;GLDC;TMUB2;NAGK;NT5C2;MAN1B1;HMGCL;MVB12A;TRIM13;CTSB;SEC22B;RFFL;APOBEC3F;UBE2A;KLHDC2;USP9X;PDCD6IP;PSMD3;DERL2;HNMT;CUL4B;UBE2D3;VCP;CHMP5;NUDT4;CDH1;LRP2;KAT5;NTAN1;RNF114;RAB7A;UBE2B;XDH;VGLL4;IFI27;UBE2Z;PSMC3;BCKDHA;UBA1;SDSL;ERLEC1;ATXN3'}
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION	1	1.4664300860366685e-08	1.0	0.08982035928143713	{'RAB13;RAB4B;ARF6;PPID;CMTM6;TMEM30B;MCFD2;MX2;ERGIC3;RSAD2;NR1H3;ARL6IP5;IMMP2L;VPS11;HTRA2;ADAM8;ZDHHC6;NMT1;SSR2;SNX9;AP4M1;SEC22C;AIP;SNX15;VPS54;TXNIP;EDEM2;MDFIC;VPS41;AUP1;HSPA1L;STAM2;PHAX;AP4B1;APPL2;GOLPH3L;SFT2D1;VPS28;SEC31A;CAMLG;AP3S1;RAB9A;ARRDC3;APBA3;LIMS1;BAD;PMPCB;ADGRV1;NR1H2;VAMP4;OAZ2;CEMIP;COG4;ZFAND2B;NUP98;RAB1B;SNAPIN;GCC2;YWHAE;ARL8B;RAB34;RHBDF2;RTN2;GLUL;NDEL1;RPL11;ATG7;INSIG1;ENSA;STEAP3;TGFB1;STX3;TVP23A;MED1;SRI;RAB1A;PEX12;SPCS2;SP100;UFM1;ARFGAP2;ARCN1;SYVN1;SRPRA;ARRDC4;PCID2;AFTPH;PSMD9;UBAC2;SMAD3;RAB35;ERBB2;IFT20;AP3M2;ABCB9;NPNT;MVB12A;RINL;SEC22B;HINFP;SLU7;BLZF1;ERP29;SIRT4;IGF1;VMP1;LINC00869;PREB;NECAP2;PDCD6IP;UBE2D3;DERL2;SCFD1;SNX2;VCP;FIS1;CHMP5;GOLGA7;UNC119;COG2;CDH1;LRP2;SLC15A4;MYO6;EXOC7;RAB7A;RAF1;IFT22;IFI27;SEC23IP;SNX17;SLC8B1;SRP68;PLEKHA8;ERLEC1'}
GOBP_VIRAL_PROCESS	1	1.4938995765132538e-08	1.0	0.13766233766233765	{'OAS2;UVRAG;MAN1B1;MVB12A;TRIM13;CTSB;IFITM3;NECTIN1;BANF1;PPID;ATG12;ATG7;TRIM34;VPS28;TNIP1;APOBEC3F;PLSCR1;RAB1A;RSAD2;PDCD6IP;GTF2B;VCP;CHMP5;CALCOCO2;USF1;IFITM1;RAD23A;EIF2AK2;OAS1;LARP7;ST6GALNAC3;IFITM2;TMEM39A;RAB7A;LGALS9;CLDN1;DDX3X;IFIH1;ROCK2;MX1;RAB1B;EDEM2;IFI27;TRIM8;PSMC3;TRIM21;IFIT5;PIK3C2G;MDFIC;PARP9;PARP16;ARL8B;OAS3'}
GOBP_DEFENSE_RESPONSE_TO_OTHER_ORGANISM	1	2.6463910014350322e-08	1.0	0.10267857142857142	{'RNF135;ALPK1;IFITM3;CD47;TMF1;COCH;MX2;RSAD2;NR1H3;NLRP2;ELF4;RELB;PYCARD;CDC42EP4;ADAM8;IFITM1;IFNGR2;SLFN13;PAK1;ARID5A;LGALS8;CASP4;IRF2;IFI44L;APPL2;RNF26;BATF2;PPM1B;DHX58;PLSCR1;NUB1;RNASET2;CHID1;PUM2;MOV10;OAS1;ECSIT;DDX58;NR1H2;SERPINB9;NOD2;BIRC2;RBPJ;PARP9;ARL8B;OAS2;IL1RL2;BANF1;ATG12;ATG7;TTC4;MED1;RAB1A;IFIT3;ASS1;RELA;SP100;LYN;CALCOCO2;CXCL16;IRF9;IFI35;IFNAR2;PARP14;IFITM2;IL10RB;TRIM8;MR1;GSDMD;TRIM13;TRIM34;CD58;APOBEC3F;BCL10;MYD88;MICA;SLC15A4;EIF2AK2;LGALS9;CLDN1;IRF1;DDX3X;IFIH1;MX1;PTPN2;IFI27;TRIM21;IFIT5;C1RL;NMI;OAS3;PQBP1'}
