pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_REGULATION_OF_CAMP_MEDIATED_SIGNALING	1	0.2499434295616237	1.5131797631976764	1.0	29.47	['PDE4D', 'SCTR', 'APLNR', 'PDE3B', 'SCT', 'FFAR4', 'PDE3A', 'UCN', 'RASD2', 'GPR3', 'POMC', 'PDE2A']
GOBP_ATRIOVENTRICULAR_VALVE_FORMATION	1	0.24988449482316502	-1.355012559678117	1.0	44.06	['OLFM1', 'HEY2', 'NOTCH1', 'SMAD4', 'DCHS1', 'HEY1']
GOBP_POSITIVE_REGULATION_OF_CEREBELLAR_GRANULE_CELL_PRECURSOR_PROLIFERATION	1	0.24970184365158127	1.5131337178817386	1.0	50.07	['GLI1', 'FGF2', 'EGF', 'SMO', 'GPR37L1', 'SHH']
GOBP_INNER_CELL_MASS_CELL_PROLIFERATION	1	0.24956719966148358	-1.3554749895377225	1.0	23.29	['PALB2', 'PELO', 'SBDS', 'ZPR1', 'TAF8', 'NDEL1', 'COPS2']
GOBP_PERISTALSIS	1	0.24943668087415474	1.5131129474963918	1.0	31.71	['SSTR2', 'P2RX2', 'TBX2', 'DRD1', 'TIFAB', 'DCANP1']
GOBP_STRESS_GRANULE_DISASSEMBLY	1	0.2486203252121077	-1.3565694195823963	1.0	52.23	['KIF5B', 'VCP', 'ZFAND1', 'DYRK3', 'KLC1']
GOBP_POSITIVE_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	1	0.24841769570011976	1.5164158343371013	1.0	55.84	['OSM', 'PARK7', 'BTK', 'TNFRSF11A', 'C2CD4A', 'CCR7', 'TNF', 'FFAR2', 'PTGS2', 'PTGER3', 'IL6ST', 'TNFSF11', 'PIK3CG', 'C2CD4B', 'ZP3', 'IL6', 'CNR1', 'IL1B', 'C3']
GOBP_POSITIVE_REGULATION_OF_MACROPHAGE_CHEMOTAXIS	1	0.24838650407325438	1.5172406895405255	1.0	57.76	['THBS1', 'C3AR1', 'CCL5', 'CXCL17', 'PTK2', 'IL34', 'CSF1', 'MDK', 'CSF1R', 'TRPV4', 'AKIRIN1', 'CMKLR1', 'SLAMF1', 'C5AR1', 'RARRES2']
GOBP_MUCOSA_ASSOCIATED_LYMPHOID_TISSUE_DEVELOPMENT	1	0.24834695977641766	1.5169992867984754	1.0	16.13	['ARTN', 'FOXL1', 'TOX', 'RET']
GOBP_GASTRIC_ACID_SECRETION	1	0.24827883842269372	1.5167987380278676	1.0	51.92	['HRH2', 'OXTR', 'OXT', 'SGK1', 'KCNQ1', 'OPRL1', 'UCN', 'TFF2', 'SCT', 'PTGER3', 'SNX10', 'GHRL']
GOBP_HEART_TRABECULA_MORPHOGENESIS	1	0.24819180614208045	1.516358319925242	1.0	19.06	['NOG', 'CHD7', 'ADGRG6', 'BMP5', 'TEK', 'HEG1', 'TGFB2', 'DLL4', 'S1PR1', 'OVOL2', 'ADAMTS1', 'NRG1']
GOBP_OLIGOSACCHARIDE_BIOSYNTHETIC_PROCESS	1	0.24817396033043232	1.5153280385995953	1.0	60.39	['FUT8', 'ST6GALNAC6', 'ST3GAL4', 'FUT3', 'FUT7', 'B3GALT4', 'MPDU1', 'ST6GALNAC5', 'ST3GAL3', 'FUT5', 'FUT1', 'B3GALT2', 'FUT2', 'FBP1', 'B4GALNT2', 'ST3GAL6', 'ST6GALNAC1', 'B3GALNT1', 'B4GALT1', 'FUT6']
GOBP_REGULATION_OF_OSTEOBLAST_PROLIFERATION	1	0.2480012790227825	1.51523863388377	1.0	21.29	['ITGAV', 'NELL1', 'MN1', 'SFRP1', 'TMEM119', 'NPR3', 'BMP2', 'BCL2', 'LTF', 'HPSE', 'IGF1R']
GOBP_IMMUNE_RESPONSE_INHIBITING_SIGNAL_TRANSDUCTION	1	0.2479971317313479	1.5162804246179755	1.0	44.74	['IL20RB', 'CD33', 'LILRB1', 'KLRC1', 'HLA-G', 'LILRB4', 'LILRB2']
GOBP_REGULATORY_T_CELL_DIFFERENTIATION	1	0.2479689922063496	1.5178543872889911	1.0	59.88	['CD28', 'VSIR', 'MIR21', 'FOXP3', 'TNFSF4', 'PLA2G2D', 'FANCA', 'IRF1', 'FANCD2', 'LAG3', 'FUT7', 'DUSP10', 'BCL6', 'CR1', 'SOCS1', 'HLA-DRB1', 'KAT2A', 'HLA-G', 'SOX12', 'IL4I1', 'LILRB4', 'HLA-DRA', 'TOX', 'CTLA4', 'MDK', 'IFNG', 'LILRB2']
GOBP_INNATE_IMMUNE_RESPONSE_IN_MUCOSA	1	0.24786481525363765	1.5184637245566466	1.0	50.89	['PLA2G1B', 'DEFB1', 'RPL39', 'DEFA3', 'LTF', 'BPIFB1', 'RNASE2', 'NOS2', 'CAMP']
GOBP_INORGANIC_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	1	0.24779340129388497	1.5162142875285263	1.0	76.24	['SLC6A9', 'SLC39A5', 'ATP1A3', 'SLC5A1', 'SLC9A7', 'SLC39A14', 'FYN', 'SLC9A6', 'SLC12A4', 'SLC39A4', 'MIR210', 'SLC9A9', 'TRPV4', 'HCN2', 'SLC9A5', 'KCNJ11', 'SLC9A3', 'KCNJ15', 'DLG1', 'KCNE2', 'KCNJ10', 'SLC12A7', 'ATP1B1', 'ATP1B2', 'SLC8A1', 'TRPV2', 'SLC12A2', 'SCNN1A', 'MIR24-1', 'TRPM4', 'ATP12A', 'PRNP', 'KCNJ8', 'ABCC9', 'ISCU', 'KCNJ12', 'ATP1A2', 'WNK2', 'RAMP3', 'CNGA3', 'FXYD2', 'STEAP2', 'ATP1B3', 'WNK1', 'KCNJ5', 'TRPM2', 'TRPV1', 'WNK3', 'SLC9A2', 'ATP1A1', 'SCNN1G', 'HCN4', 'KCNJ16', 'SLC12A8', 'WNK4', 'P2RX1', 'HFE', 'KCNJ14', 'SLC39A6', 'KCNH2', 'CACNA2D1', 'IFNG', 'SLC39A8', 'KCNQ1', 'SCNN1D', 'SLC30A1', 'SLC5A2', 'SCNN1B', 'KCNJ2', 'SLC6A1']
