pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	0.24628507143478492	-1.2751918962623208	0.1	54.21	['EXTL2', 'HS2ST1', 'HS3ST3B1', 'HS3ST2', 'B3GAT2', 'B3GAT1', 'HS6ST1', 'EXTL3', 'B4GALT7', 'XYLT2', 'HS3ST1', 'EXT2', 'B3GAT3', 'B3GALT6', 'EXT1', 'GLCE', 'NDST2']
KEGG_STEROID_BIOSYNTHESIS	1	0.22207070943026	-1.2956286266533852	0.1	16.89	['FDFT1', 'CYP51A1', 'HSD17B7', 'MSMO1', 'NSDHL', 'SOAT1', 'SQLE']
KEGG_GLYCOLYSIS_GLUCONEOGENESIS	3	0.21876300324723183	-1.2754894201555445	0.3	65.30333333333333	['PCK2', 'PGAM4', 'LDHB', 'ADH1C', 'HK2', 'GALM', 'ENO1', 'ACSS2', 'ALDH9A1', 'ALDOC', 'LDHA', 'TPI1', 'ALDH3B1', 'PGM2', 'ALDH7A1', 'PDHA1', 'HK1', 'ALDH1B1', 'ADH5', 'AKR1A1', 'ADH6', 'DLAT', 'ALDH3A2', 'ENO3', 'ACSS1', 'ALDOA', 'PGAM1', 'PFKM', 'PKM', 'PFKL', 'ALDH2', 'BPGM', 'FBP1', 'HK3', 'ALDH1A3', 'PDHB', 'ENO2', 'PGM1', 'ADH7', 'PGK1', 'DLD']
KEGG_SULFUR_METABOLISM	2	0.21579383586309453	1.3391012286157673	0.2	65.47999999999999	['SULT1A4', 'SULT1A2', 'BPNT1', 'PAPSS1', 'SULT1A1', 'SUOX', 'CHST13', 'CHST12', 'SULT2B1', 'PAPSS2', 'CHST11', 'SULT1E1', 'SULT1A3']
KEGG_PRIMARY_IMMUNODEFICIENCY	5	0.21567461319372933	-0.18386564256085874	0.5	62.862	['TAP2', 'LCK', 'CIITA', 'BTK', 'CD3E', 'PTPRC', 'ADA', 'RFXANK', 'ICOS', 'CD4', 'UNG', 'JAK3', 'ZAP70', 'RAG1', 'CD19', 'TNFRSF13B', 'RFXAP', 'CD40', 'DCLRE1C', 'TNFRSF13C', 'IL7R', 'RFX5', 'CD8A', 'CD8B', 'CD40LG', 'CD3D', 'IL2RG', 'TAP1', 'CD79A', 'IKBKG', 'BLNK']
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	2	0.2106141024296591	1.360956510647179	0.2	76.09	['HACD2', 'ACOT1', 'ACOT4', 'HADHA', 'BAAT', 'ELOVL6', 'SCD', 'YOD1', 'FADS2', 'ACOT2', 'HACD1', 'ACOT7', 'PECR', 'TECR', 'HSD17B12', 'SCD5', 'ELOVL5', 'ACOX3', 'FADS1', 'ACAA1', 'ELOVL2', 'ACOX1']
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	4	0.201139750369628	1.3923377091619762	0.4	72.72999999999999	['UGT1A7', 'GUSB', 'UGT1A10', 'UGT1A4', 'TYMP', 'CES2', 'UCK2', 'CES1', 'CDA', 'TK1', 'UGT1A1', 'TPMT', 'UGT2B4', 'UGT1A9', 'UGT2B7', 'UGT2B15', 'CYP3A5', 'UGT1A6', 'IMPDH1', 'TK2', 'NAT1', 'IMPDH2', 'HPRT1', 'UCK1', 'CYP2A6', 'UMPS', 'GMPS', 'ITPA', 'DPYD', 'UGT1A8', 'XDH', 'UCKL1', 'UPP1']
KEGG_O_GLYCAN_BIOSYNTHESIS	2	0.20082826771992046	1.3721680340519231	0.2	33.195	['B3GNT6', 'GALNT15', 'GALNT10', 'GALNT1', 'ST3GAL1', 'GALNT18', 'GALNT16', 'C1GALT1', 'GALNT6', 'GALNT13', 'GCNT3', 'GALNT3', 'GCNT1', 'GALNT11', 'GALNT5', 'GALNT7', 'GALNT14', 'ST6GALNAC1', 'B4GALT5']
KEGG_LEISHMANIA_INFECTION	10	0.197557803380763	0.058761282737191035	1.0	63.371	['HLA-DPA1', 'IL1A', 'MAPK12', 'IFNGR1', 'IL10', 'NFKBIB', 'TAB1', 'NFKBIA', 'TLR2', 'MAPK13', 'CYBA', 'ELK1', 'NCF1', 'MAPK14', 'TRAF6', 'ITGB1', 'FCGR3B', 'MAPK11', 'MYD88', 'FCGR3A', 'TNF', 'HLA-DRB5', 'STAT1', 'IL12A', 'TGFB3', 'PTGS2', 'PRKCB', 'FOS', 'FCGR1A', 'MARCKSL1', 'TAB2', 'CR1', 'NCF2', 'HLA-DQA2', 'HLA-DOA', 'TGFB1', 'ITGB2', 'FCGR2C', 'HLA-DRB1', 'C3', 'ITGAM', 'JUN', 'JAK2', 'HLA-DOB', 'HLA-DMA', 'HLA-DQA1', 'MAP3K7', 'IFNGR2', 'HLA-DMB', 'HLA-DRA', 'NOS2', 'TLR4', 'HLA-DPB1', 'NFKB1', 'MAPK3', 'HLA-DQB1', 'ITGA4', 'NCF4', 'FCGR2A', 'IL1B', 'IFNG', 'TGFB2', 'JAK1', 'IRAK4', 'MAPK1', 'RELA', 'IRAK1', 'PTPN6']
KEGG_HUNTINGTONS_DISEASE	3	0.18903341230633477	-0.5106357485106648	0.3	80.32666666666667	['RCOR1', 'POLR2A', 'GPX1', 'CREB5', 'UQCR10', 'PLCB3', 'PLCB2', 'VDAC1', 'NDUFV2', 'COX6A1', 'NDUFS3', 'COX6C', 'POLR2J3', 'NDUFA3', 'CASP3', 'CLTB', 'COX5A', 'POLR2J', 'POLR2K', 'NDUFA2', 'NDUFA1', 'NDUFC2', 'COX8A', 'CREB1', 'MT-CO3', 'POLR2G', 'REST', 'NDUFB8', 'COX4I1', 'NRF1', 'UQCR11', 'NDUFB7', 'POLR2F', 'UQCRB', 'UQCRFS1', 'COX6B1', 'COX5B', 'VDAC2', 'EP300', 'PPID', 'NDUFS5', 'BBC3', 'DLG4', 'COX7A1', 'CYCS', 'MT-CYB', 'NDUFAB1', 'CLTCL1', 'TFAM', 'DNAH3', 'AP2A1', 'SIN3A', 'COX7A2', 'POLR2C', 'SDHA', 'NDUFS4', 'GNAQ', 'DNAL1', 'POLR2L', 'NDUFS8', 'TGM2', 'AP2B1', 'NDUFS2', 'GRIN1', 'DNAI1', 'CREB3', 'SDHD', 'COX6B2', 'UQCRHL', 'CLTA', 'CASP9', 'DCTN1', 'COX4I2', 'NDUFB4', 'NDUFB9', 'UQCRC2', 'CREB3L4', 'UQCRQ', 'TAF4', 'NDUFS6', 'CASP8', 'POLR2B', 'PPARG', 'POLR2I', 'NDUFA10', 'COX7C', 'PLCB4', 'MT-CO2', 'MT-ATP8', 'CREB3L1', 'COX7B2', 'CYC1', 'HIP1', 'NDUFA7', 'BDNF', 'SLC25A5', 'NDUFA4L2', 'SDHC', 'SP1', 'TBPL1', 'UQCRH', 'DNAH1', 'NDUFB5', 'DNAH2', 'NDUFB6', 'AP2A2', 'HDAC1', 'NDUFS1', 'APAF1', 'DCTN2', 'POLR2H', 'AP2S1', 'MT-ATP6', 'TAF4B', 'NDUFV3', 'COX7B', 'NDUFC1', 'UQCRC1', 'MT-CO1', 'SOD1', 'CREBBP', 'POLR2D', 'CREB3L2', 'COX7A2L', 'DNALI1', 'POLR2J2', 'PPARGC1A', 'VDAC3', 'NDUFA9', 'NDUFB10', 'NDUFV1', 'IFT57', 'DNAI2', 'PLCB1', 'HTT', 'HDAC2', 'NDUFA4', 'TP53', 'AP2M1', 'NDUFA5', 'POLR2E', 'SDHB', 'BAX', 'NDUFB2', 'ITPR1', 'CLTC', 'NDUFA8', 'NDUFB3', 'TBP', 'NDUFB1', 'DNAL4', 'NDUFA6', 'SOD2', 'DCTN4', 'NDUFS7', 'SLC25A4']
