pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	1	0.24722407491153345	-1.3083333281277008	1.0	63.98	['HLA-DMA', 'HLA-DPB1', 'ITGA4', 'PIGR', 'TNFRSF13B', 'TNFRSF17', 'IL10', 'TNFSF13B', 'IL15RA', 'ICOSLG', 'CCL28', 'HLA-DRA', 'ITGB7', 'CD40', 'HLA-DMB', 'TNFSF13', 'HLA-DOA', 'LTBR', 'CXCR4', 'HLA-DRB5', 'HLA-DOB', 'CD80', 'CD86', 'TGFB1', 'CXCL12', 'IL6', 'IL15', 'MAP3K14', 'ICOS', 'HLA-DQA2', 'HLA-DPA1']
KEGG_PRIMARY_IMMUNODEFICIENCY	1	0.2210152869597573	-1.3386616420117838	1.0	69.75	['TAP1', 'RFXAP', 'IL7R', 'TAP2', 'TNFRSF13B', 'ZAP70', 'CD19', 'DCLRE1C', 'ADA', 'CD8A', 'RAG1', 'UNG', 'CIITA', 'LCK', 'CD3D', 'CD40', 'PTPRC', 'CD4', 'BTK', 'CD79A', 'CD3E', 'CD8B', 'IL2RG', 'RFXANK', 'JAK3', 'RFX5', 'BLNK', 'ICOS']
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	0.21823442151715444	-1.3451858776674956	1.0	22.3	['B3GALT6', 'XYLT2', 'HS2ST1', 'GLCE', 'B3GAT3', 'EXTL2', 'NDST2', 'EXT2', 'EXT1', 'B3GAT2']
KEGG_PROSTATE_CANCER	1	0.21699833849407144	-1.3496293389496201	1.0	56.09	['GSK3B', 'CREB3L2', 'CDKN1B', 'RELA', 'CDKN1A', 'CDK2', 'PDGFRB', 'RB1', 'IKBKB', 'MTOR', 'HRAS', 'AKT2', 'PIK3R2', 'HSP90AA1', 'CCND1', 'HSP90AB1', 'EP300', 'RAF1', 'CTNNB1', 'PDGFB', 'CREB3L1', 'MAP2K2', 'PIK3CD', 'SOS2', 'CREBBP', 'CASP9', 'GSTP1', 'PIK3CB', 'NKX3-1', 'PDPK1', 'HSP90B1', 'CREB1', 'EGF', 'PIK3CG', 'CCNE1', 'TGFA', 'CREB3L4', 'ARAF', 'CREB3', 'EGFR', 'BRAF', 'FGFR2', 'ERBB2', 'CCNE2', 'PIK3CA', 'MAP2K1', 'TCF7L1', 'GRB2', 'TCF7L2', 'NFKB1', 'PDGFC', 'MAPK3', 'TP53', 'BAD', 'AKT1', 'SOS1', 'NRAS', 'MAPK1']
KEGG_HUNTINGTONS_DISEASE	1	0.21227984807449815	-1.35880214580208	1.0	52.53	['NDUFV1', 'DLG4', 'POLR2G', 'NDUFS2', 'COX7B2', 'DNAL1', 'PPARG', 'CASP8', 'HDAC1', 'EP300', 'DNAL4', 'SDHB', 'NDUFB1', 'HTT', 'COX7C', 'CREB1', 'POLR2A', 'CREB3', 'TBP', 'COX8A', 'POLR2J2', 'NDUFB5', 'POLR2L', 'POLR2H', 'POLR2J3', 'NDUFA5', 'NRF1', 'BBC3', 'CLTA', 'NDUFA10', 'GNAQ', 'POLR2J', 'AP2S1', 'PLCB2', 'AP2B1', 'SOD2', 'SDHC', 'CREBBP', 'CASP9', 'NDUFA8', 'AP2M1', 'NDUFS8', 'CREB3L4', 'COX6B1', 'BAX', 'POLR2E', 'APAF1', 'DCTN1', 'SP1', 'NDUFV3', 'NDUFS3', 'PLCB3', 'UQCRFS1', 'CREB3L2', 'NDUFB4', 'UQCRB', 'SLC25A5', 'NDUFAB1', 'DNAH2', 'NDUFA7', 'AP2A2', 'IFT57', 'VDAC1', 'CREB3L1', 'TBPL1', 'NDUFB2', 'NDUFC1', 'REST', 'NDUFB3', 'NDUFA6', 'TFAM', 'SOD1', 'CASP3', 'HDAC2', 'TP53', 'DNAH3', 'VDAC3', 'NDUFB8', 'PPID', 'POLR2B', 'SIN3A', 'NDUFS1', 'NDUFS7', 'SDHD', 'TGM2', 'AP2A1', 'NDUFC2', 'UQCR11', 'POLR2D', 'CLTB', 'UQCRC1', 'DNAH1', 'DCTN4', 'COX6A1', 'RCOR1', 'SLC25A6', 'TAF4']
KEGG_OXIDATIVE_PHOSPHORYLATION	1	0.204395665419317	1.459551317959931	1.0	55.99	['ATP6V1G1', 'COX6C', 'COX7B', 'ATP6V1E1', 'ATP6V0D1', 'NDUFA1', 'UQCRC2', 'NDUFS1', 'NDUFA4', 'NDUFA11', 'MT-ND6', 'NDUFS4', 'MT-ND3', 'MT-ND1', 'ATP6V0E1', 'COX4I1', 'NDUFB9', 'UQCRH', 'ATP6V0A1', 'COX5B', 'MT-CO1', 'ATP6V0C', 'ATP6V1F', 'NDUFV2', 'MT-ND2', 'NDUFC2', 'UQCR10', 'ATP6V0D2', 'UQCRQ', 'MT-ND4', 'NDUFB10', 'ATP6V1D', 'COX7C', 'COX17', 'NDUFA8', 'UQCR11', 'COX5A', 'NDUFB6', 'SDHA', 'COX7A2L', 'UQCRHL', 'ATP12A', 'NDUFS6', 'ATP6V1B1', 'NDUFB7', 'MT-CO3', 'COX6B1', 'NDUFS8', 'MT-ATP6', 'NDUFA7', 'COX8A', 'NDUFS5', 'NDUFA6', 'COX6B2', 'MT-ATP8', 'CYC1', 'NDUFA2', 'COX6A1', 'COX7A1', 'NDUFB5', 'ATP6V0A2', 'COX7A2', 'ATP6V0A4', 'MT-CO2', 'NDUFA4L2', 'ATP6V0B', 'COX4I2', 'MT-CYB', 'NDUFA3', 'MT-ND5', 'NDUFA9', 'NDUFB8', 'COX11', 'MT-ND4L']
KEGG_NITROGEN_METABOLISM	1	0.19601020222262708	1.4919920604193109	1.0	41.64	['CA5B', 'HAL', 'CA12', 'CA8', 'ASNS', 'CTH', 'CPS1', 'CA2', 'CA4', 'CA3', 'GLS2', 'GLS', 'CA9']
KEGG_CALCIUM_SIGNALING_PATHWAY	1	0.19490712356319734	1.5036581932464854	1.0	24.24	['SLC25A4', 'PLN', 'EDNRB', 'ADRB1', 'GRIN1', 'SPHK1', 'VDAC2', 'OXTR', 'ERBB4', 'CACNA1D', 'ITPKB', 'PDE1A', 'PLCB4', 'P2RX2', 'PDE1C', 'TACR2', 'P2RX1', 'PRKCB', 'HTR2B', 'PLCE1', 'BST1', 'CD38', 'ITPKA', 'NOS2', 'CAMK4', 'GRIN2D', 'NOS3', 'ADCY9', 'CACNA1C', 'TNNC1', 'ADRA1B', 'PTGER3', 'ADCY1', 'BDKRB1', 'PDGFRA', 'PLCB1', 'CAMK2B', 'ATP2A1', 'LTB4R2', 'PTGER1', 'BDKRB2', 'ATP2A3', 'CHP2', 'PHKA1']
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION	1	0.19347422458969926	-1.388994651344523	1.0	71.93	['MAPK10', 'CHUK', 'ATP6V1G1', 'CCL5', 'CXCL8', 'RELA', 'ATP6V0D1', 'MET', 'MAPK12', 'ATP6V1C2', 'IKBKB', 'RAC1', 'ATP6V1H', 'JAM3', 'ATP6V0A2', 'ATP6AP1', 'ATP6V0C', 'ATP6V0E1', 'ATP6V0A1', 'LYN', 'NOD1', 'ATP6V0E2', 'MAPK14', 'SRC', 'ATP6V1G2', 'ATP6V1F', 'F11R', 'ADAM17', 'CDC42', 'GIT1', 'TJP1', 'ATP6V1D', 'TCIRG1', 'ATP6V1E2', 'ATP6V1C1', 'CXCR1', 'PAK1', 'MAPK8', 'CSK', 'EGFR', 'JUN', 'ADAM10', 'HBEGF', 'PLCG1', 'ATP6V1B2', 'MAP2K4', 'MAPK13', 'PLCG2', 'NFKB1', 'CASP3', 'NFKBIA', 'MAPK11', 'ATP6V1A', 'MAP3K14', 'PTPN11', 'ATP6V0B', 'MAPK9']
KEGG_CELL_CYCLE	1	0.19305420808328444	-1.3859979606362174	1.0	57.14	['YWHAH', 'SKP2', 'CDK2', 'SMC3', 'ANAPC5', 'HDAC1', 'EP300', 'MCM6', 'YWHAE', 'CDKN1C', 'MCM2', 'ANAPC13', 'MCM4', 'TGFB3', 'CUL1', 'SMC1A', 'SMAD4', 'ORC2', 'MCM5', 'BUB3', 'ANAPC4', 'ANAPC7', 'MAD2L2', 'FZR1', 'ATR', 'CCND1', 'CHEK1', 'YWHAB', 'CREBBP', 'CDC25B', 'YWHAQ', 'TFDP2', 'CCNH', 'CCNE1', 'CDC23', 'CDKN2C', 'PRKDC', 'RBL2', 'SMAD2', 'TGFB1', 'CDC7', 'ORC4', 'E2F5', 'ANAPC10', 'ABL1', 'CCND2', 'TFDP1', 'CCND3', 'CDC26', 'MCM7', 'ORC5', 'ANAPC11', 'ORC3', 'CDC14B', 'RBL1', 'GADD45A', 'E2F4', 'ZBTB17', 'PKMYT1', 'CDC27', 'SMAD3', 'MCM3', 'HDAC2', 'CDKN2D', 'TP53', 'SKP1', 'STAG2', 'GSK3B', 'RBX1', 'CDKN1B', 'CDKN1A', 'RB1', 'DBF4', 'YWHAZ', 'CDC16', 'YWHAG', 'STAG1', 'CCNE2', 'MYC', 'CDK7', 'ANAPC1', 'WEE1']
KEGG_OOCYTE_MEIOSIS	1	0.19199833849407147	-1.393990071795655	1.0	59.26	['REC8', 'ADCY3', 'PPP1CB', 'PPP2R5B', 'RBX1', 'YWHAH', 'SPDYA', 'RPS6KA6', 'RPS6KA2', 'CDK2', 'MAD2L2', 'BTRC', 'ADCY7', 'MAPK12', 'CDC26', 'SMC3', 'YWHAZ', 'ANAPC5', 'PPP2R5E', 'CALML5', 'ANAPC11', 'YWHAE', 'ANAPC13', 'RPS6KA3', 'PPP3CA', 'PRKACA', 'YWHAB', 'CAMK2G', 'ITPR2', 'CDC16', 'YWHAG', 'CALM2', 'YWHAQ', 'PPP2R5A', 'PPP2R1B', 'RPS6KA1', 'PKMYT1', 'ANAPC2', 'CCNE1', 'PPP2R5D', 'CDC23', 'PPP2R1A', 'CDC27', 'CALM3', 'PPP3R1', 'CHP1', 'PPP1CC', 'ITPR3', 'CCNE2', 'MAP2K1', 'CUL1', 'FBXW11', 'SMC1A', 'ANAPC1', 'PRKACB', 'SLK', 'PPP2CB', 'PPP2CA', 'PPP2R5C', 'MAPK3', 'CALM1', 'FBXO5', 'ANAPC4', 'SKP1', 'ANAPC10', 'ANAPC7', 'PPP1CA', 'PPP3CB', 'MAPK1']
KEGG_HEDGEHOG_SIGNALING_PATHWAY	1	0.19159888404259498	1.486195197291261	1.0	43.47	['GLI2', 'BMP5', 'WNT9A', 'BMP6', 'GLI3', 'PTCH1', 'WNT5B', 'CSNK1E', 'WNT10B', 'WNT11', 'WNT10A', 'WNT7B', 'ZIC2', 'WNT4', 'PRKX', 'GLI1', 'WNT2', 'WNT3', 'PTCH2', 'IHH', 'WNT7A', 'HHIP', 'SMO', 'RAB23', 'WNT3A', 'WNT5A', 'BMP2', 'SHH', 'LRP2']
