pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	1	0.2300289242856374	1.3554019296622757	1.0	64.62	['HMGCS1', 'HMGCR', 'MVK', 'HMGCS2', 'MVD', 'GGPS1', 'ACAT2', 'IDI2', 'FDPS', 'PMVK', 'DHDDS', 'IDI1', 'PDSS1', 'PDSS2']
KEGG_OOCYTE_MEIOSIS	1	0.2250896252665939	1.3635946714286389	1.0	75.52	['IGF1', 'YWHAH', 'CDK2', 'ADCY7', 'SMC3', 'ANAPC5', 'YWHAE', 'SMC1B', 'ANAPC13', 'PPP3CA', 'PRKACA', 'CAMK2G', 'ITPR2', 'CDK1', 'PPP2R5A', 'ANAPC2', 'CUL1', 'SMC1A', 'ANAPC4', 'PTTG1', 'ANAPC7', 'PPP1CA', 'MAPK1', 'PPP1CB', 'SGO1', 'SPDYA', 'MAD2L2', 'MAPK12', 'CALML5', 'YWHAB', 'BUB1', 'YWHAQ', 'AR', 'CCNE1', 'PPP2R5D', 'CDC23', 'PPP2R1A', 'CALM3', 'ITPR3', 'PRKACB', 'SLK', 'FBXO5', 'ANAPC10', 'PPP2R5B', 'RPS6KA2', 'CDC25C', 'CDC26', 'PPP2R5E', 'ANAPC11', 'PPP2R1B', 'PKMYT1', 'PPP3R1', 'CDC27', 'ADCY1', 'PLK1', 'MAP2K1', 'ESPL1', 'PPP2CB', 'PPP2R5C', 'MAPK3', 'CCNB1', 'SKP1', 'REC8', 'ADCY3', 'RBX1', 'RPS6KA6', 'BTRC', 'YWHAZ', 'RPS6KA3', 'CDC16', 'YWHAG', 'CALM2', 'RPS6KA1', 'CCNE2', 'CHP1', 'PPP1CC', 'CCNB2', 'CAMK2B', 'ANAPC1', 'MAD2L1', 'PPP2CA', 'CALM1', 'IGF1R', 'FBXW11', 'PPP3CB']
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	1	0.2240883244542503	1.368184009086207	1.0	75.87	['IGF1', 'ADCY3', 'SPDYA', 'RPS6KA6', 'FZR1', 'CDK2', 'RPS6KA2', 'MAD2L2', 'ADCY7', 'MAPK12', 'CDC25C', 'CDC26', 'ANAPC5', 'AKT2', 'PIK3R2', 'HSP90AA1', 'PIK3R1', 'HSP90AB1', 'RAF1', 'ANAPC11', 'MAPK14', 'ANAPC13', 'RPS6KA3', 'PIK3CD', 'PRKACA', 'PIK3R3', 'BUB1', 'CDC16', 'CDC25B', 'PIK3CB', 'GNAI1', 'PDE3A', 'CDK1', 'RPS6KA1', 'PKMYT1', 'MAPK8', 'PIK3CG', 'ANAPC2', 'AKT3', 'CCNA2', 'CDC23', 'GNAI2', 'CDC27', 'ARAF', 'ADCY1', 'BRAF', 'PIK3CA', 'PLK1', 'CCNB2', 'MAP2K1', 'ANAPC1', 'MAPK13', 'PRKACB', 'MAD2L1', 'CCNB1', 'MAPK3', 'AKT1', 'MAPK11', 'IGF1R', 'CCNA1', 'ANAPC4', 'PDE3B', 'ANAPC10', 'ANAPC7', 'CDC25A', 'MAPK1', 'MAPK9', 'GNAI3']
KEGG_NON_HOMOLOGOUS_END_JOINING	1	0.20916967120486468	1.3873871107299107	1.0	26.0	['XRCC6', 'NHEJ1', 'RAD50', 'MRE11', 'XRCC4', 'POLL', 'XRCC5']
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	1	0.20737538377854794	1.3980894129804045	1.0	66.99	['CACNA2D1', 'ITGA7', 'ITGA11', 'CACNA2D2', 'LMNA', 'DSG2', 'JUP', 'CACNB2', 'DAG1', 'GJA1', 'CACNA1D', 'SLC8A1', 'LAMA2', 'CTNNB1', 'ITGB7', 'ATP2A2', 'CDH2', 'CACNA1F', 'ITGB4', 'CACNB1', 'DMD', 'ACTN1', 'ITGB1', 'DSC2', 'SGCA', 'PKP2', 'ITGA3', 'ACTN4', 'CACNA1C', 'ITGB3', 'DSP', 'ITGA9', 'ACTG1', 'EMD', 'CACNA2D4', 'TCF7L1', 'ITGA1', 'CTNNA1', 'ACTB', 'SGCG', 'LEF1', 'SGCD', 'TCF7L2', 'TCF7', 'ITGB6', 'SGCB', 'ITGA2B', 'ITGB5', 'ITGA5', 'ITGB8']
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION	1	0.20557484439182766	1.397074263130143	1.0	75.71	['VCAM1', 'ITGA4', 'RHOH', 'ITGAL', 'ITK', 'ICAM1', 'MSN', 'MYL12A', 'CTNNB1', 'CLDN8', 'CLDN16', 'CTNND1', 'PIK3CB', 'CLDN3', 'ACTN1', 'PTK2B', 'CLDN7', 'CLDN4', 'RHOA', 'ACTB', 'MYL12B', 'MAPK13', 'MAPK11', 'CLDN5', 'PTPN11', 'GNAI3', 'ARHGAP35', 'MYL9', 'CDH5', 'NCF2', 'EZR', 'MAPK12', 'NCF4', 'THY1', 'PIK3R1', 'SIPA1', 'AFDN', 'MAPK14', 'CLDN22', 'ITGB2', 'PRKCB', 'PIK3R3', 'ITGB1', 'RAP1B', 'PIK3CG', 'CXCR4', 'RAP1A', 'PLCG2', 'RASSF5', 'BCAR1', 'VCL', 'RAC1', 'PIK3R2', 'PECAM1', 'NOX1', 'MMP2', 'PXN', 'ARHGAP5', 'PIK3CD', 'GNAI1', 'ITGAM', 'CLDN2', 'ACTN4', 'CYBB', 'GNAI2', 'ACTG1', 'CLDN6', 'TXK', 'CXCL12', 'CD99', 'PRKCA', 'CLDN23', 'CLDN1', 'OCLN', 'VASP', 'JAM3', 'F11R', 'NCF1', 'CDC42', 'VAV1', 'VAV3', 'ROCK2', 'VAV2', 'PIK3CA', 'JAM2', 'CTNNA1', 'ESAM', 'ROCK1', 'RAPGEF4']
KEGG_THYROID_CANCER	1	0.20553577102064854	1.4038315919740445	1.0	70.43	['CCDC6', 'RXRB', 'HRAS', 'PPARG', 'CCND1', 'NCOA4', 'CTNNB1', 'MAP2K2', 'TPR', 'TPM3', 'RXRG', 'PAX8', 'BRAF', 'MYC', 'CDH1', 'MAP2K1', 'TCF7L1', 'RXRA', 'LEF1', 'TCF7L2', 'TCF7', 'MAPK3', 'TP53', 'NRAS', 'TFG', 'MAPK1']
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY	1	0.20495571787457126	1.3950732296521922	1.0	13.51	['RELA', 'IKBKB', 'AKT2', 'PIK3R2', 'CD81', 'LYN', 'MAP2K2', 'PIK3CD', 'SOS2', 'VAV1', 'CD22', 'NFATC2', 'BCL10', 'NFKBIE', 'DAPP1', 'JUN', 'GRB2', 'IFITM1', 'MAPK3', 'NRAS']
KEGG_COLORECTAL_CANCER	1	0.2017212565845725	1.411214171804666	1.0	67.8	['GSK3B', 'AXIN1', 'TGFBR1', 'BIRC5', 'RAC1', 'AKT2', 'PIK3R2', 'PIK3R1', 'CCND1', 'MSH2', 'RAF1', 'BCL2', 'MSH6', 'CTNNB1', 'PIK3CD', 'RALGDS', 'CASP9', 'PIK3R3', 'PIK3CB', 'TGFBR2', 'MSH3', 'APC', 'MAPK8', 'PIK3CG', 'RHOA', 'ARAF', 'PIK3CA', 'TGFB3', 'JUN', 'MYC', 'BRAF', 'SMAD3', 'BAX', 'MAP2K1', 'TCF7L1', 'SMAD4', 'LEF1', 'SMAD2', 'TCF7L2', 'TGFB1', 'CASP3', 'TCF7', 'MAPK3', 'MLH1', 'BAD', 'TP53', 'AKT1', 'APPL1', 'MAPK9', 'MAPK1']
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	0.1985362966151859	1.4180370468996943	1.0	25.06	['B3GALT6', 'XYLT2', 'HS3ST5', 'HS2ST1', 'GLCE', 'B3GAT3', 'EXTL2', 'NDST2', 'EXT2', 'EXT1', 'B3GAT2']
