pathway	freq	padj	stability	overlap	genes
GOBP_MRNA_METABOLIC_PROCESS	1	5.83308499180089e-12	1.0	0.12962962962962962	['WDR83', 'UPF3A', 'SF3A1', 'FUS', 'ANGEL2', 'MED1', 'CWF19L2', 'RBM41', 'RBM4', 'ZCRB1', 'RBM4B', 'DHX8', 'TBP', 'RBM22', 'EDC3', 'SUGP1', 'SRSF1', 'DAZAP1', 'RRP1B', 'PRPF38B', 'UPF3B', 'MAPK14', 'DCP1A', 'LEO1', 'PRPF31', 'SRSF2', 'CNOT6', 'HNRNPF', 'SFSWAP', 'CWC25', 'SNW1', 'PPP4R2', 'HNRNPA2B1', 'SMG9', 'SNRNP35', 'PCF11', 'U2AF2', 'PRMT9', 'RBMXL1', 'AGO1', 'SMU1', 'TSEN54', 'SRSF8', 'PTCD2', 'GPATCH1', 'RALY', 'SNRNP27', 'PCIF1', 'TAF3', 'ATF2', 'PUM2', 'HNRNPA1L2', 'IK', 'TUT1', 'NSRP1', 'CDK11B', 'HELZ2', 'RBM10', 'CDK9', 'ZRSR2', 'CWC22', 'CPSF6', 'DHX16', 'SMG8', 'PPP1R8', 'DDX1', 'ZNF830', 'CLP1', 'PNRC2', 'PHRF1', 'GPKOW', 'THRAP3', 'YTHDF2', 'SRSF10', 'CACTIN', 'HNRNPK', 'AQR', 'AGO4', 'SCAF8', 'RNF40', 'COIL', 'SF3A3', 'CASC3', 'CD2BP2']
GOBP_RNA_PROCESSING	1	3.294546435785743e-11	1.0	0.10674157303370786	['REXO4', 'WDR83', 'MPHOSPH10', 'SNORD94', 'SF3A1', 'FUS', 'CWF19L2', 'RBM41', 'RBM4', 'DDX54', 'RBM12B', 'SNORA53', 'MAP2K2', 'THUMPD3', 'KRI1', 'WDR36', 'ZCRB1', 'RBM4B', 'DHX8', 'CHERP', 'RBMS2', 'RBM22', 'TRMT1L', 'SUGP1', 'SRSF1', 'DAZAP1', 'RRP1B', 'C9orf64', 'PRPF38B', 'RBM12', 'ELP5', 'PPP1R9B', 'RPL7L1', 'PDCD7', 'LEO1', 'THUMPD1', 'PRPF31', 'SRSF2', 'HNRNPF', 'SFSWAP', 'CWC25', 'TRMT10B', 'SNW1', 'PPP4R2', 'SNORA22', 'TGFB1', 'METTL15', 'HNRNPA2B1', 'WDR74', 'SCARNA22', 'SNRNP35', 'PCF11', 'METTL6', 'USB1', 'U2AF2', 'PRMT9', 'RBMXL1', 'AGO1', 'SMU1', 'TSEN54', 'SRSF8', 'PTCD2', 'GPATCH1', 'SNORA7B', 'RALY', 'SNRNP27', 'DUS3L', 'SNORA79', 'OSGEPL1', 'PUM2', 'AARS2', 'IK', 'HNRNPA1L2', 'TUT1', 'NSRP1', 'CDK11B', 'MTERF4', 'RPUSD4', 'SNORA80B', 'MTO1', 'RBM10', 'SNORA31', 'RIOK2', 'CDK9', 'ZRSR2', 'CWC22', 'CPSF6', 'SNORA71C', 'DHX16', 'PPP1R8', 'DDX1', 'ZNF830', 'CLP1', 'BMS1', 'PHRF1', 'GPKOW', 'NSUN4', 'THRAP3', 'YTHDF2', 'SRSF10', 'CACTIN', 'INTS12', 'HNRNPK', 'AQR', 'DGCR8', 'AGO4', 'FTSJ3', 'SCAF8', 'RNF40', 'COIL', 'SF3A3', 'CASC3', 'CD2BP2', 'INTS5']
GOBP_RNA_SPLICING	1	3.294546435785743e-11	1.0	0.1524547803617571	['WDR83', 'USB1', 'MPHOSPH10', 'ZRSR2', 'SRSF1', 'SF3A1', 'FUS', 'CWC22', 'DAZAP1', 'CWF19L2', 'RRP1B', 'RBM41', 'U2AF2', 'PRPF38B', 'RBMXL1', 'RBM12', 'SMU1', 'TSEN54', 'DHX16', 'SRSF8', 'PPP1R8', 'GPATCH1', 'DDX1', 'ZNF830', 'RBM4', 'RALY', 'SNRNP27', 'CLP1', 'RBM12B', 'PDCD7', 'PRPF31', 'SRSF2', 'PPP1R9B', 'HNRNPA1L2', 'ZCRB1', 'RBM4B', 'DHX8', 'HNRNPF', 'IK', 'GPKOW', 'THRAP3', 'SFSWAP', 'SRSF10', 'NSRP1', 'CACTIN', 'CWC25', 'SNW1', 'HNRNPK', 'PPP4R2', 'AQR', 'RBM22', 'RBM10', 'HNRNPA2B1', 'COIL', 'SF3A3', 'CASC3', 'SNRNP35', 'CD2BP2', 'SUGP1']
GOBP_MRNA_PROCESSING	1	6.990011443743933e-11	1.0	0.14285714285714285	['WDR83', 'CDK9', 'ZRSR2', 'SRSF1', 'SF3A1', 'CWC22', 'CPSF6', 'DAZAP1', 'CWF19L2', 'RRP1B', 'RBM41', 'U2AF2', 'PRPF38B', 'RBMXL1', 'PRMT9', 'DHX16', 'SMU1', 'TSEN54', 'SRSF8', 'PPP1R8', 'PTCD2', 'DDX1', 'GPATCH1', 'RBM4', 'RALY', 'SNRNP27', 'CLP1', 'ZNF830', 'LEO1', 'PHRF1', 'PRPF31', 'SRSF2', 'GPKOW', 'HNRNPA1L2', 'ZCRB1', 'RBM4B', 'DHX8', 'HNRNPF', 'IK', 'TUT1', 'THRAP3', 'SFSWAP', 'SRSF10', 'NSRP1', 'CDK11B', 'CACTIN', 'CWC25', 'SNW1', 'HNRNPK', 'PPP4R2', 'AQR', 'RBM22', 'RBM10', 'HNRNPA2B1', 'SCAF8', 'RNF40', 'COIL', 'SF3A3', 'CASC3', 'SNRNP35', 'CD2BP2', 'SUGP1', 'PCF11']
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION	1	2.7171408840971405e-10	1.0	0.11439588688946016	['HMG20B', 'RELA', 'WDR48', 'MEX3C', 'RNF185', 'TRIM13', 'TRIM26', 'VHL', 'ATXN7L3', 'RING1', 'FAAP100', 'RNF123', 'DNAJA1', 'TRIM56', 'MKRN2', 'RNF26', 'VPS28', 'FZR1', 'PCGF2', 'RNF114', 'FBXW8', 'RNF214', 'TRIM39', 'KCTD13', 'XIAP', 'TRAF6', 'LEO1', 'PELI3', 'TRIM8', 'RANBP2', 'CDC23', 'TRIM62', 'KLHL21', 'KLHL20', 'KEAP1', 'RFFL', 'UBE2L6', 'TRAF7', 'MKRN1', 'CUL7', 'UBOX5', 'HECTD3', 'DDB2', 'SOCS5', 'U2AF2', 'DNAJB2', 'OTUB1', 'FBXO44', 'DCAF12', 'DCAF15', 'RLIM', 'SUMO1', 'TNKS2', 'UBE2D2', 'FBXO6', 'ASB8', 'KCTD11', 'RNF144A', 'LTN1', 'RAD18', 'ITCH', 'CBL', 'MYLIP', 'UBXN2A', 'UBE2O', 'DCAF1', 'KLHL15', 'BRAP', 'CDK9', 'RNF115', 'RNF169', 'UBR2', 'CBX4', 'UFL1', 'KLHL22', 'UBE2A', 'RNF135', 'PIAS3', 'MSL2', 'ASB14', 'FBXL12', 'TRIM11', 'DCAF7', 'UBE2Z', 'RNF8', 'RNF168', 'APPBP2', 'RNF40', 'RBCK1']
GOBP_MODIFICATION_DEPENDENT_MACROMOLECULE_CATABOLIC_PROCESS	1	8.678422999257703e-10	1.0	0.12251655629139073	['RNF115', 'VPS28', 'ZYG11B', 'HECTD3', 'FAF1', 'FZR1', 'CHMP6', 'WDR26', 'UBR2', 'KCTD2', 'SOCS5', 'UFL1', 'DNAJB2', 'KLHL22', 'RNF114', 'ERLEC1', 'FBXW8', 'UBE2A', 'TRIM39', 'RNF185', 'CCDC47', 'FBXO44', 'KCTD13', 'ZER1', 'DCAF12', 'PLK3', 'PCYOX1', 'RLIM', 'SUMO1', 'FBXL12', 'TRIM13', 'ZFAND2B', 'UBE2D2', 'FBXO6', 'LATS1', 'EDEM2', 'CUL7', 'DNAJB12', 'CCDC22', 'UBE2Z', 'VPS37C', 'FBXL4', 'USP19', 'CDC23', 'STYX', 'UBQLN2', 'SIRT6', 'RNF8', 'ARAF', 'USP38', 'CHMP2B', 'RNF144A', 'UBXN2B', 'LTN1', 'UBXN4', 'KLHL20', 'ITCH', 'KEAP1', 'RFFL', 'TMUB2', 'MKRN2', 'CBL', 'MYLIP', 'RNF168', 'UBXN2A', 'UBE2L6', 'APPBP2', 'RNF26', 'RNF40', 'USP16', 'USP42', 'KLHL15', 'UBXN7', 'RBCK1']
GOBP_PROTEIN_MODIFICATION_BY_SMALL_PROTEIN_CONJUGATION_OR_REMOVAL	1	1.158405643729636e-09	1.0	0.10702341137123746	['HMG20B', 'RELA', 'TADA3', 'WDR48', 'MEX3C', 'RNF185', 'TRIM13', 'TRIM26', 'VHL', 'ATXN7L3', 'RING1', 'FAAP100', 'RNF123', 'DNAJA1', 'TRIM56', 'MKRN2', 'RNF26', 'VPS28', 'FZR1', 'PCGF2', 'RNF114', 'FBXW8', 'RNF214', 'TRIM39', 'KCTD13', 'XIAP', 'TRAF6', 'LEO1', 'PELI3', 'TRIM8', 'RANBP2', 'CDC23', 'TRIM62', 'KLHL21', 'KLHL20', 'KEAP1', 'RFFL', 'UBE2L6', 'TRAF7', 'MKRN1', 'USP42', 'CUL7', 'UBOX5', 'HECTD3', 'DDB2', 'SOCS5', 'U2AF2', 'DNAJB2', 'OTUB1', 'FBXO44', 'DCAF12', 'DCAF15', 'RLIM', 'SUMO1', 'TNKS2', 'UBE2D2', 'FBXO6', 'ASB8', 'USP19', 'KCTD11', 'USP38', 'RNF144A', 'LTN1', 'RAD18', 'ITCH', 'CBL', 'MYLIP', 'UBXN2A', 'UBE2O', 'DCAF1', 'KLHL15', 'BRAP', 'CDK9', 'RNF115', 'RNF169', 'UBR2', 'CBX4', 'UFL1', 'KLHL22', 'STAMBP', 'UBE2A', 'RNF135', 'PIAS3', 'MSL2', 'ASB14', 'FBXL12', 'TRIM11', 'DCAF7', 'UBE2Z', 'RNF8', 'RNF168', 'APPBP2', 'RNF40', 'USP16', 'MINDY2', 'RBCK1']
GOBP_RNA_SPLICING_VIA_TRANSESTERIFICATION_REACTIONS	1	5.7758511734788516e-08	1.0	0.15087719298245614	['WDR83', 'MPHOSPH10', 'SRSF1', 'ZRSR2', 'SF3A1', 'DAZAP1', 'CWC22', 'CWF19L2', 'RBM41', 'U2AF2', 'DHX16', 'RBMXL1', 'SMU1', 'SRSF8', 'GPATCH1', 'DDX1', 'RBM4', 'RALY', 'PRPF31', 'SRSF2', 'GPKOW', 'IK', 'ZCRB1', 'RBM4B', 'DHX8', 'HNRNPF', 'SFSWAP', 'THRAP3', 'NSRP1', 'SRSF10', 'CACTIN', 'CWC25', 'SNW1', 'HNRNPK', 'AQR', 'RBM22', 'RBM10', 'HNRNPA2B1', 'COIL', 'SF3A3', 'CASC3', 'SNRNP35', 'CD2BP2']
GOBP_PROTEASOME_MEDIATED_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	1	1.9483932677838549e-07	1.0	0.13076923076923078	['ZYG11B', 'HECTD3', 'FAF1', 'FZR1', 'UBR2', 'WDR26', 'KCTD2', 'SOCS5', 'UFL1', 'DNAJB2', 'KLHL22', 'ERLEC1', 'FBXW8', 'UBE2A', 'TRIM39', 'RNF185', 'CCDC47', 'FBXO44', 'KCTD13', 'ZER1', 'DCAF12', 'PLK3', 'SUMO1', 'FBXL12', 'TRIM13', 'ZFAND2B', 'FBXO6', 'EDEM2', 'DNAJB12', 'FBXL4', 'USP19', 'CDC23', 'STYX', 'UBQLN2', 'SIRT6', 'UBXN2B', 'ARAF', 'RNF144A', 'LTN1', 'UBXN4', 'KLHL20', 'ITCH', 'KEAP1', 'RFFL', 'TMUB2', 'MKRN2', 'UBXN2A', 'APPBP2', 'KLHL15', 'UBXN7', 'RBCK1']
GOBP_MACROMOLECULE_CATABOLIC_PROCESS	1	3.855355157648556e-07	1.0	0.09136630343671416	['REXO4', 'UPF3A', 'FUS', 'ANGEL2', 'RELA', 'KCTD2', 'ERLEC1', 'RNF185', 'CCDC47', 'PCYOX1', 'PHAX', 'TRIM13', 'STYX', 'PSME3', 'RNF123', 'OAZ2', 'MKRN2', 'RNF26', 'EDC3', 'UBXN7', 'VPS28', 'FZR1', 'RNF114', 'FBXW8', 'UPF3B', 'TRIM39', 'KCTD13', 'MAPK14', 'DCP1A', 'LATS1', 'EDEM2', 'CNOT6', 'VPS37C', 'CDC23', 'UBQLN2', 'ARAF', 'IL17RA', 'KLHL20', 'UBXN4', 'KEAP1', 'RFFL', 'TMUB2', 'TGFB1', 'UBE2L6', 'SMG9', 'USP42', 'CUL7', 'HECTD3', 'FAF1', 'CHMP6', 'WDR26', 'SOCS5', 'DNAJB2', 'AGO1', 'FBXO44', 'DCAF12', 'RLIM', 'SUMO1', 'UBE2D2', 'PUM2', 'FBXO6', 'TUT1', 'FBXL4', 'USP19', 'UBXN6', 'UBXN2B', 'USP38', 'RNF144A', 'LTN1', 'ITCH', 'HELZ2', 'BAG3', 'CBL', 'RBM10', 'MYLIP', 'UBXN2A', 'GGA3', 'KLHL15', 'ZER1', 'RNF115', 'ZYG11B', 'UBR2', 'SEC22B', 'UFL1', 'KLHL22', 'PPP1R8', 'SMG8', 'UBE2A', 'PNRC2', 'PLK3', 'FBXL12', 'ZFAND2B', 'DNAJB12', 'CCDC22', 'UBE2Z', 'THRAP3', 'YTHDF2', 'SIRT6', 'RNF8', 'CHMP2B', 'RNASEH2C', 'AGO4', 'RNF168', 'APPBP2', 'DFFA', 'RNF40', 'USP16', 'CASC3', 'RBCK1']
