pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	1	0.24891334493153097	1.2381733850213754	0.125	50.16	['FYN', 'KLRC2', 'BID', 'IFNAR2', 'ULBP3', 'PIK3R5', 'IFNGR2', 'ICAM1', 'RAC1', 'HRAS', 'PIK3R1', 'PIK3R2', 'MICA', 'RAF1', 'NFATC4', 'PPP3CA', 'ITGB2', 'MAP2K2', 'KRAS', 'PIK3CD', 'SOS2', 'TNFRSF10A', 'SHC2', 'PRKCB', 'PIK3CB', 'VAV3', 'VAV1', 'PIK3R3', 'NFATC2', 'MICB', 'PAK1', 'PTK2B', 'PPP3CC', 'KLRC1', 'SH3BP2', 'VAV2', 'PPP3R1', 'ARAF', 'PIK3CA', 'BRAF', 'CHP1', 'NFATC3', 'PLCG1', 'MAP2K1', 'FAS', 'GRB2', 'PLCG2', 'LCP2', 'CASP3', 'TNFRSF10C', 'NFAT5', 'MAPK3', 'TNFRSF10B', 'NFATC1', 'HLA-E', 'IFNAR1', 'PTPN6', 'TNFSF10', 'SOS1', 'SHC1', 'PTPN11', 'PRKCA', 'NRAS', 'PPP3CB', 'MAPK1']
KEGG_LIMONENE_AND_PINENE_DEGRADATION	1	0.24438121571851734	1.2317201039675814	0.125	55.15	['ALDH9A1', 'ALDH7A1', 'HADHA', 'EHHADH', 'ALDH2', 'YOD1', 'ALDH1B1', 'ALDH3A2']
KEGG_RENIN_ANGIOTENSIN_SYSTEM	2	0.2337922733757401	1.2607411321555655	0.25	61.325	['AGTR2', 'CTSG', 'LNPEP', 'ACE', 'THOP1', 'CTSA', 'MME', 'ENPEP', 'ACE2', 'NLN', 'AGT', 'AGTR1', 'CPA3', 'ANPEP']
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS	3	0.2333742472171497	1.315480253651596	0.375	70.48333333333333	['ACOT7', 'ELOVL5', 'ELOVL6', 'ACOX3', 'HACD1', 'ACOT4', 'ACOT1', 'HSD17B12', 'ELOVL2', 'SCD5', 'HACD2', 'TECR', 'ACOT2', 'SCD', 'FADS1', 'BAAT', 'PECR', 'HADHA', 'FADS2', 'YOD1', 'ACAA1', 'ACOX1']
KEGG_ONE_CARBON_POOL_BY_FOLATE	4	0.2280790204081901	1.2651025991553535	0.5	31.439999999999998	['ATIC', 'MTHFD2L', 'GART', 'SHMT1', 'MTR', 'MTHFD1L', 'DHFR', 'MTFMT', 'MTHFR', 'MTHFD1']
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	1	0.2223965179908899	1.2630552538141144	0.125	72.2	['GLUD2', 'ASNS', 'CPS1', 'ABAT', 'ASL', 'GLS2', 'GLS', 'CAD', 'IL4I1', 'ALDH4A1', 'GPT2', 'ASS1', 'PPAT', 'GPT', 'GAD1', 'ADSL', 'DDO', 'GLUD1', 'GLUL', 'ALDH5A1', 'NIT2', 'GFPT1', 'GOT2', 'GOT1', 'ASPA']
KEGG_PRION_DISEASES	1	0.22010807631365328	1.2781327384596501	0.125	48.09	['FYN', 'C6', 'NCAM2', 'ELK1', 'LAMC1', 'HSPA5', 'MAP2K2', 'PRKACA', 'EGR1', 'STIP1', 'NOTCH1', 'PRKX', 'C5', 'BAX', 'MAP2K1', 'PRKACB', 'NCAM1', 'C9', 'MAPK3', 'PRNP', 'C7', 'MAPK1']
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	1	0.21852177888450092	1.2726534643619867	0.125	63.75	['HS3ST5', 'HS6ST1', 'HS2ST1', 'XYLT1', 'NDST2', 'B4GALT7', 'B3GALT6', 'XYLT2', 'NDST1', 'EXTL2', 'EXT2', 'B3GAT1', 'B3GAT2', 'GLCE', 'B3GAT3', 'HS3ST1', 'EXTL3', 'HS6ST2', 'EXT1']
KEGG_O_GLYCAN_BIOSYNTHESIS	1	0.21604738915927335	1.2778853789079498	0.125	74.82	['GALNT11', 'GALNT10', 'GALNT15', 'GALNT2', 'GALNT12', 'GALNT6', 'GCNT1', 'C1GALT1', 'GALNT7', 'ST6GALNAC1', 'C1GALT1C1', 'GALNT1', 'GCNT3', 'GALNT4', 'ST3GAL2', 'GALNT14', 'GALNT18', 'B4GALT5', 'GALNT5', 'GALNT3', 'GALNT16', 'GCNT4', 'ST3GAL1', 'GALNT13']
KEGG_BASAL_CELL_CARCINOMA	2	0.20202490944672774	1.3011956394232296	0.25	63.345	['GSK3B', 'WNT9A', 'AXIN1', 'GLI3', 'FZD5', 'BMP4', 'PTCH1', 'FZD6', 'WNT5B', 'FZD3', 'FZD1', 'STK36', 'FZD2', 'CTNNB1', 'FZD7', 'WNT10B', 'AXIN2', 'APC', 'WNT7B', 'DVL2', 'DVL3', 'GLI1', 'TCF7L1', 'PTCH2', 'FZD4', 'LEF1', 'HHIP', 'FZD8', 'SUFU', 'TCF7L2', 'SMO', 'TCF7', 'TP53', 'DVL1', 'BMP2', 'WNT2B', 'WNT5A', 'GLI2']
KEGG_PYRUVATE_METABOLISM	4	0.19433421252187316	1.3166195655855537	0.5	55.77	['ALDH9A1', 'ALDH7A1', 'ACAT1', 'MDH1', 'ACAT2', 'ALDH2', 'PDHA1', 'HAGHL', 'LDHA', 'PCK2', 'LDHC', 'ACACB', 'GLO1', 'ACACA', 'HAGH', 'GRHPR', 'LDHB', 'ACSS2', 'ACSS1', 'DLAT', 'PC', 'ME2', 'DLD', 'PKM', 'ALDH1B1', 'ALDH3A2', 'PDHB']
