pathway	freq	padj	NES	stability	overlap	Lead_genes
GOBP_TRNA_THREONYLCARBAMOYLADENOSINE_METABOLIC_PROCESS	1	0.2499011902064521	-1.323058383526868	1.0	47.43	['CDK5RAP1', 'HSD17B10', 'MTO1', 'TRMT10C', 'TRMT61B', 'OSGEPL1', 'TRIT1', 'TRMT5', 'TPRKB', 'RPUSD4', 'OSGEP', 'PUS1']
GOBP_RESPONSE_TO_MANGANESE_ION	1	0.2494176513933813	-1.3236489673463387	1.0	29.11	['APP', 'BACE1', 'TFRC', 'HSPA5', 'ATP13A2', 'ATP7A', 'EIF2S1', 'EIF2AK3', 'ADAM9']
GOBP_REGULATION_OF_FERTILIZATION	1	0.24921381941666962	-1.323958926034711	1.0	29.81	['INTS13', 'MYH9', 'PLAT', 'LHFPL2', 'CFAP69']
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_PROCESS_INVOLVED_IN_DEVELOPMENT	1	0.24896709079392615	-1.3242950759421728	1.0	53.27	['TNFRSF1A', 'NOTCH1', 'TNFRSF1B', 'VDR', 'BAX']
GOBP_POSITIVE_REGULATION_OF_APOPTOTIC_PROCESS_INVOLVED_IN_MORPHOGENESIS	1	0.24896709079392615	-1.3242950759421728	1.0	53.27	['TNFRSF1A', 'NOTCH1', 'TNFRSF1B', 'VDR', 'BAX']
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_LOCALIZATION_TO_CELL_SURFACE	1	0.248202598222458	-1.3255734750993597	1.0	45.94	['COMMD1', 'PICALM', 'ARF6', 'ASTN2', 'GOPC', 'TAX1BP3', 'SNX33', 'LEPROT']
GOBP_THYROID_HORMONE_MEDIATED_SIGNALING_PATHWAY	1	0.24818078271685054	-1.3252952929255035	1.0	39.41	['PRCP', 'RXRA', 'THRA', 'MED1', 'NCOA1']
GOBP_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_ACTIVATION	1	0.24815996630799972	-1.3255091929462757	1.0	68.9	['SH3RF1', 'MAPK8IP1', 'RUNX3', 'CD274', 'HLA-E', 'LILRB1', 'HFE', 'CRTAM', 'PTPN22', 'ZBTB7B', 'VSIR', 'HLA-A', 'RUNX1', 'CBFB', 'IRF1', 'SOCS1', 'NCKAP1L', 'XCL1']
GOBP_POSITIVE_REGULATION_OF_CELL_SIZE	1	0.2480764794837887	-1.3254987117251782	1.0	26.02	['HSP90AB1', 'KDM1A', 'ATP7A', 'RB1CC1', 'TMEM123', 'AKT3']
GOBP_PERISTALSIS	1	0.24730955196760734	1.5536102421602627	1.0	30.19	['DCANP1', 'P2RX2', 'SSTR2', 'TIFAB', 'DRD1', 'TBX2']
GOBP_DIOL_BIOSYNTHETIC_PROCESS	1	0.2472094351721119	-1.3267860816949073	1.0	48.95	['SPHK2', 'ABCA2', 'ACER3', 'SPTLC2', 'PCBD1', 'ASAH2B', 'ASAH1', 'SPTLC1', 'GBA', 'SPTLC3', 'DHFR', 'SPR', 'PTS', 'DHFRP1', 'PCBD2', 'ASAH2']
GOBP_GROWTH_PLATE_CARTILAGE_DEVELOPMENT	1	0.2471433532383384	-1.3267574219865963	1.0	35.23	['ZMPSTE24', 'ANXA6', 'ATF2', 'RARB', 'POR', 'TGFBR2', 'IFT80', 'COL27A1', 'RARA', 'THBS3']
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	1	0.24695764219538963	1.55425275987649	1.0	19.59	['SHANK3', 'RGS4', 'LRRK2', 'NLGN4X', 'CELF4', 'TMEM108', 'PTEN', 'RELN', 'WNT7A', 'RIMS2', 'NETO1', 'GRIN1']
GOBP_REGULATION_OF_MORPHOGENESIS_OF_A_BRANCHING_STRUCTURE	1	0.24676005404183995	1.554763146564086	1.0	51.71	['WNT2', 'LRRK2', 'AGTR2', 'PAX8', 'BCL11A', 'MDK', 'FGF7', 'AR', 'AGT', 'PHB2', 'SHOX2', 'SIX2', 'SIX1', 'SOX8', 'BMP4', 'GREM1', 'SHH', 'TACSTD2', 'NOG', 'HOXB7', 'SOX9', 'PDGFA', 'SFRP1', 'SMO', 'BMP7', 'LGR4', 'SNAI2', 'VEGFA', 'TNF', 'SULF1', 'WNT5A', 'HGF']
