pathway	freq	padj	NES	stability	overlap	Lead_genes
KEGG_PRIMARY_IMMUNODEFICIENCY	1	0.24654749547129104	-1.2280247059320497	1.0	72.51	['CD3D', 'CIITA', 'RAG1', 'CD8B', 'CD79A', 'LCK', 'TAP1', 'IL2RG', 'JAK3', 'RFXANK', 'TNFRSF13B', 'ICOS', 'BTK', 'ADA', 'CD19', 'ZAP70', 'UNG', 'TAP2', 'CD8A', 'CD3E', 'PTPRC', 'BLNK', 'CD4', 'DCLRE1C', 'RFX5', 'RFXAP', 'CD40', 'IL7R']
KEGG_DILATED_CARDIOMYOPATHY	1	0.2459240545092635	1.2853493650639016	1.0	20.61	['ADCY1', 'CACNG6', 'ADCY6', 'DES', 'ITGA11', 'ITGA10', 'CACNG4', 'CACNA1C', 'TGFB2', 'ITGAV', 'SGCA', 'ITGA9', 'ADCY9', 'CACNA2D1', 'MYL3', 'PLN', 'IGF1', 'CACNA2D2', 'CACNB2', 'SGCG', 'CACNA1D', 'LAMA2', 'ITGA8', 'ADCY5']
KEGG_RENIN_ANGIOTENSIN_SYSTEM	1	0.24151250031157306	1.2839378388037057	1.0	17.41	['AGTR2', 'MME', 'CPA3', 'CMA1', 'ACE', 'CTSG', 'AGT']
KEGG_O_GLYCAN_BIOSYNTHESIS	1	0.2265992209761326	1.3135286996891098	1.0	14.19	['GALNT1', 'GCNT3', 'GALNT16', 'ST6GALNAC1', 'GALNT15', 'GALNT18', 'GALNT13', 'GCNT1', 'B4GALT5']
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	1	0.22551240827768154	1.327255483977648	1.0	67.64	['ABO', 'FUT5', 'ST3GAL4', 'FUT7', 'B3GNT4', 'ST3GAL6', 'B3GNT3', 'B4GALT4', 'FUT6', 'FUT1', 'FUT2', 'B4GALT3', 'B4GAT1', 'B4GALT2', 'ST8SIA1', 'B3GNT5', 'ST3GAL3', 'FUT3', 'B3GNT2', 'B4GALT1', 'B3GALT2']
KEGG_CIRCADIAN_RHYTHM_MAMMAL	1	0.22173421687984796	-1.261030659323935	1.0	39.73	['BHLHE40', 'CSNK1D', 'CLOCK', 'NPAS2', 'CRY2', 'PER2', 'PER3', 'CRY1', 'CSNK1E']
KEGG_DRUG_METABOLISM_OTHER_ENZYMES	1	0.22023419078242232	1.3267366401419818	1.0	74.26	['IMPDH1', 'UGT2B4', 'CES2', 'CYP2A6', 'ITPA', 'UCK2', 'UPP1', 'IMPDH2', 'CDA', 'UGT2B7', 'GUSB', 'UGT1A9', 'XDH', 'TYMP', 'TPMT', 'NAT1', 'UGT1A7', 'CYP3A5', 'UGT1A4', 'UGT1A10', 'UGT1A8', 'UGT1A1', 'UCKL1', 'DPYD', 'UMPS', 'UCK1', 'UGT2B15', 'UGT1A6', 'CES1', 'TK1', 'HPRT1']
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	1	0.21940317030518416	1.3413465883933078	1.0	13.81	['DNMT3B', 'LDHC', 'SDS', 'GOT1', 'MTAP', 'CDO1', 'GOT2', 'CTH', 'CBS', 'TRDMT1']
KEGG_AXON_GUIDANCE	1	0.1986090365944735	-1.292473498416055	1.0	37.12	['LIMK1', 'CDC42', 'GNAI1', 'PPP3CA', 'GNAI3', 'NRAS', 'MAPK1', 'NFATC2', 'EPHB4', 'ARHGEF12', 'ABL1', 'ROCK2', 'PAK6', 'RGS3', 'PAK4', 'SEMA3F', 'EPHA4', 'GNAI2', 'SEMA4A', 'PAK1', 'NCK1', 'SEMA4F', 'RAC1', 'SEMA4D', 'ROCK1', 'NCK2', 'FES', 'RHOA', 'PPP3R1', 'PPP3CB', 'NFATC3', 'SEMA4C', 'EPHA1', 'LIMK2', 'FYN', 'ROBO1', 'SRGAP2', 'MAPK3', 'SRGAP3', 'SEMA3C', 'GSK3B', 'CFL1', 'NFAT5', 'NRP1', 'PLXNC1', 'NTN4', 'PLXNB2', 'PAK2', 'PLXNA1', 'SEMA4B', 'CHP1', 'ITGB1', 'PPP3CC', 'KRAS', 'SEMA6A', 'RASA1']
KEGG_ECM_RECEPTOR_INTERACTION	1	0.18428463833608527	1.3901429788590893	1.0	75.3	['ITGB7', 'ITGA6', 'FN1', 'TNXB', 'COL6A6', 'ITGA11', 'THBS1', 'ITGA10', 'ITGA1', 'ITGA5', 'SDC1', 'COMP', 'THBS4', 'CD36', 'COL3A1', 'VTN', 'SDC2', 'SPP1', 'LAMC2', 'LAMB2', 'ITGB6', 'COL4A1', 'COL4A4', 'COL11A2', 'CHAD', 'COL1A1', 'COL6A2', 'HMMR', 'ITGAV', 'SDC3', 'ITGB3', 'THBS3', 'LAMC3', 'CD44', 'HSPG2', 'VWF', 'COL4A6', 'GP1BA', 'ITGA2B', 'LAMA5', 'ITGA4', 'ITGA9', 'ITGA7', 'GP1BB', 'COL5A1', 'SV2A', 'ITGB8', 'COL11A1', 'AGRN', 'ITGA2', 'IBSP', 'LAMA4', 'COL5A2', 'COL1A2', 'COL4A2', 'COL6A1', 'TNC', 'RELN', 'COL5A3', 'LAMA2', 'COL6A3', 'LAMA3', 'ITGA8', 'THBS2', 'ITGA3', 'SDC4']
KEGG_SELENOAMINO_ACID_METABOLISM	1	0.17913249756496058	-1.3210404835790404	1.0	48.24	['GGT7', 'GGT1', 'METTL2B', 'TRMT11', 'SCLY', 'LCMT2', 'PAPSS1', 'LCMT1', 'MAT2A', 'HEMK1', 'AHCYL1', 'MAT1A', 'METTL6', 'AHCY', 'SEPHS2', 'MAT2B', 'AHCYL2']
